Number,ID,Fitness,Runtime,Preprocessed,Result
1,2024-01-01,172.000000,1322.820488,416/1600 (26.00%),[0.14274975 0.03799947 0.94804832 ... 0.         1.         0.        ]
2,2024-01-08,168.000000,1317.864669,516/1600 (32.25%),"[1.84431538e-07 0.00000000e+00 1.88247575e-02 ... 5.85104599e-02
 0.00000000e+00 0.00000000e+00]"
3,2024-01-15,155.000000,1313.929078,507/1600 (31.69%),[1.         0.         0.         ... 0.03384985 0.03981853 0.54502149]
4,2024-01-22,147.000000,1321.221560,600/1600 (37.50%),[1.         1.         0.         ... 0.60751579 0.01146041 0.        ]
5,2024-01-29,145.000000,1296.443362,556/1600 (34.75%),[0.         0.98255345 0.00646335 ... 0.         1.         0.        ]
6,2024-02-05,147.000000,1316.342567,596/1600 (37.25%),"[1.24256259e-05 8.30361600e-01 1.36299774e-05 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
7,2024-02-12,158.000000,1342.094046,487/1600 (30.44%),"[0.00000000e+00 1.00000000e+00 0.00000000e+00 ... 8.74527292e-01
 0.00000000e+00 5.20273154e-04]"
8,2024-02-19,153.000000,1327.574489,529/1600 (33.06%),"[0.00000000e+00 1.00000000e+00 0.00000000e+00 ... 4.16605631e-06
 1.61658152e-04 6.94282929e-01]"
9,2024-02-26,158.000000,1349.858333,504/1600 (31.50%),[0.10724245 0.18869576 0.         ... 0.29427297 0.77433301 0.99334941]
10,2024-03-04,159.000000,1371.742857,460/1600 (28.75%),"[1.60777320e-02 8.63145066e-01 4.45431648e-02 ... 8.18111023e-04
 6.76559079e-01 5.73527173e-01]"
11,2024-03-11,157.000000,1354.388093,523/1600 (32.69%),"[6.86425151e-02 8.90110973e-01 5.69280466e-02 ... 1.98571356e-01
 0.00000000e+00 7.33253688e-04]"
12,2024-03-18,152.000000,1327.108680,631/1600 (39.44%),[0.         0.         0.31271074 ... 0.         1.         0.22777258]
13,2024-03-25,148.000000,1327.777130,514/1600 (32.12%),[0. 1. 0. ... 0. 0. 0.]
14,2024-04-01,135.000000,1335.965618,575/1600 (35.94%),[0.         0.00973644 0.         ... 0.         0.         0.67899299]
15,2024-04-08,147.000000,1340.354190,575/1600 (35.94%),"[0.00000000e+00 0.00000000e+00 1.53272124e-02 ... 4.92246310e-03
 9.76496519e-01 4.98168157e-06]"
16,2024-04-15,156.000000,1378.415670,511/1600 (31.94%),[0.00021841 0.         0.19477346 ... 0.         0.04973085 0.19486066]
17,2024-04-22,154.000000,1343.225005,546/1600 (34.12%),[0.08997226 0.         0.82405072 ... 0.41727501 0.         0.02409471]
