Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",3.000000,42.603040,54/100 (54.00%),"[1.00000000e+00 0.00000000e+00 1.07958520e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.53596830e-01 0.00000000e+00
 0.00000000e+00 9.44773993e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 4.55669582e-01 2.51607177e-01
 0.00000000e+00 8.39858271e-01 3.41745845e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 9.98015344e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.00347318e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 9.41483033e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.17078277e-01 0.00000000e+00 1.00000000e+00 1.67223664e-02
 0.00000000e+00 0.00000000e+00 9.48354931e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.34234228e-05
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 2.32785130e-01 9.84822243e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
2,"1,038,486",4.000000,44.676405,48/100 (48.00%),"[0.         0.         0.         1.         0.00758735 0.04322175
 1.         0.         1.         1.         0.76005691 0.59613524
 0.20452982 0.89199514 0.11557754 0.         0.79600443 0.00102402
 0.         0.         0.49303561 0.         0.79600443 0.
 0.0830191  1.         0.04666193 0.78756526 0.9835686  0.07588609
 0.         0.         1.         0.         0.         1.
 0.01062081 0.01809959 0.         0.         1.         1.
 0.         1.         1.         0.         0.70121956 0.13682161
 0.59397666 0.86699409 0.         0.         1.         0.
 0.         0.53860002 0.         0.         0.         0.
 0.55667831 0.         1.         0.         1.         0.
 0.         0.         1.         1.         0.59680613 0.03780395
 0.         0.04108643 0.76590575 0.         1.         1.
 0.         0.         0.         1.         0.79600443 0.12851827
 0.         1.         0.         0.         1.         1.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.        ]"
3,"1,054,057",3.000000,46.200886,38/100 (38.00%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.33089806e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 4.82269590e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 8.34862211e-01 1.85492966e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 8.54890856e-01
 0.00000000e+00 0.00000000e+00 4.44614967e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.14428452e-01
 1.20468416e-01 8.42830624e-03 1.00000000e+00 1.00000000e+00
 0.00000000e+00 5.73237162e-01 1.00000000e+00 0.00000000e+00
 2.72638092e-01 0.00000000e+00 1.00000000e+00 8.86173316e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.08322551e-01 9.27499932e-01 0.00000000e+00 0.00000000e+00
 5.99565952e-01 4.02819306e-01 7.31234571e-02 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 4.21049687e-01 4.60638137e-01 8.25281606e-02 3.48357175e-04
 1.00000000e+00 4.09084647e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 4.94642181e-02 8.18576245e-01
 1.00000000e+00 0.00000000e+00 8.34892556e-01 3.90033996e-02
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 4.37341622e-01 4.42317587e-01 4.30705015e-01 2.98187601e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 6.50767598e-01
 0.00000000e+00 3.09713639e-01 0.00000000e+00 1.00000000e+00
 2.75806353e-02 8.80463787e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 5.38877799e-02 6.09362000e-01 1.00000000e+00
 0.00000000e+00 5.40457440e-01 0.00000000e+00 9.06147969e-01]"
4,"1,075,756",3.000000,45.822190,43/100 (43.00%),"[1.         0.         1.         1.         0.00520007 0.48599634
 0.02094123 0.89020191 1.         0.         1.         0.
 0.         0.         0.02798111 1.         1.         0.05833679
 0.22279067 0.88687933 0.         1.         1.         0.
 0.         0.         0.         0.5741256  0.         0.91193904
 0.         0.06492234 0.         0.13822613 0.         1.
 0.         1.         0.         0.31177659 0.07850431 0.
 0.03993083 1.         0.         1.         0.         0.
 0.51003192 1.         0.         1.         0.02172804 0.68830891
 0.         0.         0.99181943 1.         0.         0.
 0.03680632 0.         1.         0.07042982 0.         0.27596895
 0.         0.         0.         0.68669961 0.         0.
 1.         0.         1.         0.         0.00114797 0.16007785
 0.         0.98247804 1.         1.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         1.
 1.         0.         1.         1.        ]"
5,"1,080,690",4.000000,46.763180,37/100 (37.00%),"[1.         0.         1.         1.         0.         0.23490196
 0.09903174 0.09235373 1.         0.72746935 1.         0.
 0.         0.         1.         0.0542381  1.         0.42588547
 0.         0.43789621 0.         0.83627144 0.65343726 0.08295333
 0.56258756 0.05962799 0.54799571 0.         0.         0.
 0.0754186  0.0399166  0.         0.15487997 0.08922068 0.95438234
 0.         1.         0.         1.         0.08842906 0.03595029
 0.39972471 0.35226116 0.         0.51052533 0.         1.
 0.         1.         0.04741459 0.62661431 1.         0.01355178
 0.56554768 0.26633743 0.41785293 0.         0.         0.
 0.         0.07915378 0.20765101 0.44007543 0.83796777 0.01122108
 0.81722033 0.7421803  0.         1.         0.36256922 0.
 0.89559464 0.7735829  0.         0.2285989  0.47818129 0.0186198
 0.         1.         1.         0.         0.00785867 0.
 0.89906824 0.54305493 0.         0.         1.         0.
 1.         0.         1.         0.61826195 0.         0.15838232
 0.71911332 0.         1.         0.        ]"
6,"1,112,058",5.000000,46.736566,31/100 (31.00%),"[0.00000000e+00 8.55226438e-01 1.00000000e+00 1.40425253e-02
 9.90686845e-01 9.75154875e-01 2.14177101e-01 4.87444128e-02
 0.00000000e+00 0.00000000e+00 9.33873421e-03 2.39207775e-02
 1.57416113e-01 7.93005687e-01 4.94300230e-03 1.34666443e-01
 1.00000000e+00 0.00000000e+00 1.36353742e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.58798797e-01
 4.13288237e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 7.75206152e-03 0.00000000e+00 5.89699441e-02 8.45734142e-01
 1.00000000e+00 4.99308626e-03 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 2.55921872e-01 4.40761952e-01 7.76346619e-04 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 2.13155175e-03 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.09097955e-02 0.00000000e+00
 7.82163130e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 9.56112680e-01 1.42108400e-01 4.74885136e-02
 1.00000000e+00 9.95584869e-01 2.55472219e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.68076051e-01 3.78381647e-01
 1.00000000e+00 8.18126666e-02 0.00000000e+00 2.85448044e-01
 8.78748927e-01 6.63805486e-01 0.00000000e+00 0.00000000e+00
 3.55671847e-01 9.93619036e-04 6.77755283e-01 0.00000000e+00
 0.00000000e+00 3.15066726e-01 4.47923732e-01 9.93772046e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.30492226e-04
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.90675926e-01 1.42903065e-01 9.05768286e-01 1.00000000e+00]"
7,"1,147,101",5.000000,48.347811,31/100 (31.00%),"[1.         0.         0.         0.         0.42733756 0.
 0.43676063 0.         0.69652295 0.89688768 1.         0.
 0.         1.         1.         0.06820518 0.32147953 0.1812173
 0.         0.04117518 0.         0.57612558 0.         0.28027988
 0.09189278 0.34037421 0.         0.88961185 0.81462825 0.46355694
 0.         0.53853591 0.00874173 1.         0.         0.
 1.         0.         0.37048167 1.         0.96427617 0.
 0.06520857 0.73667    0.04497201 0.         1.         0.
 0.         0.54572438 0.80434113 0.33784014 0.71110776 0.02010731
 0.292494   0.         0.         0.61854451 0.88963295 0.10005286
 0.         0.22576512 1.         0.38885341 0.         1.
 1.         0.         0.         1.         1.         0.
 0.03234167 0.65994096 0.98298807 0.         0.         0.2391924
 0.         0.81974915 1.         0.         0.61674596 0.
 0.         0.98859807 0.         0.         0.02546295 0.25244575
 0.         0.         0.17047723 0.65731791 0.         0.79772059
 0.09280561 0.         0.67951169 0.90955074]"
8,"1,202,434",4.000000,48.190073,31/100 (31.00%),"[0.00000000e+00 1.00000000e+00 1.49050136e-02 0.00000000e+00
 0.00000000e+00 8.49821407e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 8.34404894e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.17046508e-01 2.60956305e-03 5.27310634e-04 0.00000000e+00
 0.00000000e+00 8.70856132e-01 0.00000000e+00 0.00000000e+00
 4.59905034e-01 1.89563738e-01 2.11479658e-01 6.60936155e-02
 0.00000000e+00 3.23698605e-01 1.59229360e-02 1.00000000e+00
 8.00176478e-02 1.07498852e-01 2.48553733e-01 6.07118446e-01
 1.91288578e-01 1.00000000e+00 1.00000000e+00 0.00000000e+00
 2.01344647e-01 9.68399917e-02 3.93607695e-01 4.75651045e-01
 5.12334964e-01 4.19771203e-02 1.00000000e+00 4.90087881e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 7.75763854e-01 0.00000000e+00
 9.17955556e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 4.12333848e-01 1.75719878e-01 2.33777370e-01
 1.46120812e-01 6.11472959e-01 6.67707039e-02 2.56740041e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 9.73655937e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.02001349e-01
 6.34925633e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 3.76427544e-01 0.00000000e+00 6.14974531e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 9.38027815e-01 9.00747012e-01]"
9,"1,244,950",3.000000,45.403313,43/100 (43.00%),"[9.95648310e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.00265601e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.45363909e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 2.39943481e-01
 0.00000000e+00 1.00000000e+00 8.08794551e-01 0.00000000e+00
 5.13088658e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.59388619e-04 9.06212657e-01 7.77907792e-01 3.35038446e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 3.57629235e-01 5.87934955e-01 8.89805144e-01 0.00000000e+00
 0.00000000e+00 7.14162074e-02 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.84201589e-01 0.00000000e+00 2.10478992e-01
 0.00000000e+00 0.00000000e+00 7.54499053e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 9.59429082e-01
 9.95566355e-01 5.46605212e-03 9.78272129e-01 9.47745724e-01
 1.25979603e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.54841938e-03 0.00000000e+00 3.09853696e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 7.02101790e-01 2.38107090e-01 3.84281359e-02 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.61112307e-01 0.00000000e+00 9.26924894e-01
 1.00000000e+00 1.48763699e-04 0.00000000e+00 1.00000000e+00]"
10,"1,247,861",4.000000,49.660298,13/100 (13.00%),"[2.03185245e-01 9.91196908e-01 1.00000000e+00 0.00000000e+00
 5.64974827e-01 7.86072475e-01 3.55696735e-01 1.00000000e+00
 2.13055374e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.24673004e-03 9.05328668e-02 2.13190253e-01 0.00000000e+00
 1.80526921e-01 9.21823236e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.24463181e-01 4.71700090e-01 8.56853101e-01
 3.57843504e-01 5.25998602e-02 2.96757824e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.99724183e-04 0.00000000e+00
 0.00000000e+00 5.50141707e-01 2.50692222e-01 3.86586967e-01
 8.60696147e-01 6.63629123e-01 1.65060020e-01 0.00000000e+00
 7.02250378e-01 1.00000000e+00 4.98638705e-01 3.99394471e-01
 8.07798850e-01 6.99129863e-01 9.03340982e-02 4.93983304e-01
 4.28528833e-01 4.60637482e-01 2.07892485e-01 3.99355215e-04
 1.75565783e-01 0.00000000e+00 3.29037094e-01 4.05137453e-01
 8.96695314e-01 8.22942089e-01 0.00000000e+00 6.67798991e-01
 6.88293975e-01 1.00000000e+00 0.00000000e+00 8.71268556e-01
 9.49405210e-01 4.94330353e-01 3.52051588e-01 2.21647831e-03
 2.35827144e-02 6.74255704e-01 6.01082423e-02 2.41153247e-01
 4.33505523e-01 4.65918100e-01 0.00000000e+00 4.97445930e-01
 6.72136286e-01 9.83399952e-01 4.10984030e-01 0.00000000e+00
 4.26571010e-01 2.46783693e-01 2.80511819e-02 9.95071774e-01
 0.00000000e+00 2.24574903e-01 8.84948327e-03 0.00000000e+00
 0.00000000e+00 1.00000000e+00 6.89448792e-01 1.00000000e+00
 4.64394930e-01 7.50758263e-01 4.20147629e-02 5.26051384e-01
 9.34190429e-01 3.34468538e-02 0.00000000e+00 1.00000000e+00]"
