Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",0.000000,0.172324,52/64 (81.25%),"[0.         0.         0.         0.         0.47976421 0.
 1.         1.         0.         1.         1.         0.
 0.57964268 0.56470126 0.         0.         1.         0.
 0.         0.48215979 0.39776638 0.         1.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.         0.         1.         1.         0.
 1.         0.44538724 0.         1.         1.         0.
 0.         1.         0.         0.71518208 0.         1.
 1.         0.         0.         1.         0.         0.53364589
 0.30774566 0.         0.         1.         1.         0.
 0.         0.         1.         0.53752299]"
2,"1,029,044",3.000000,32.518679,9/64 (14.06%),"[1.         0.         0.53371099 0.46924724 1.         1.
 0.40799042 0.         1.         0.         0.98286809 0.4507069
 0.17156011 0.08175572 0.95964206 0.         0.         0.
 0.         0.         0.20515476 0.36783057 1.         0.
 0.87399091 0.57164754 0.         1.         0.54294756 0.09178729
 0.         0.35602444 0.         0.         0.98754683 0.44717297
 0.02114962 0.26219919 0.4108733  0.         0.02224094 0.38101713
 0.45008037 1.         0.54870022 0.         0.5262804  0.8633301
 0.08640791 0.92792084 0.89366766 0.32449328 0.         0.78340787
 0.         0.         0.         0.         0.13028302 0.20577063
 0.33698997 0.96876395 0.         0.85875188]"
3,"1,100,332",2.000000,31.337317,14/64 (21.88%),"[0.00000000e+00 0.00000000e+00 1.19251883e-01 5.43352912e-01
 4.70824372e-01 0.00000000e+00 6.11935786e-01 3.48451876e-02
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 9.65744944e-04 4.31401564e-02 6.30446654e-01 4.22409430e-01
 0.00000000e+00 0.00000000e+00 4.29949655e-01 0.00000000e+00
 6.95333888e-01 8.48599410e-01 9.18209547e-03 0.00000000e+00
 4.08806189e-01 1.00000000e+00 7.41790252e-01 0.00000000e+00
 0.00000000e+00 3.38996877e-01 2.58774980e-02 4.55037685e-03
 0.00000000e+00 0.00000000e+00 1.82535667e-01 0.00000000e+00
 1.07874725e-01 1.00000000e+00 2.31682660e-01 2.90470985e-01
 5.02929026e-01 1.00000000e+00 0.00000000e+00 9.23069863e-01
 8.88188086e-02 1.00000000e+00 3.99822443e-01 0.00000000e+00
 0.00000000e+00 1.57252113e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.54994536e-01 0.00000000e+00 1.00000000e+00
 6.33470158e-01 1.00000000e+00 9.39128892e-02 3.06689428e-01
 8.17639782e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00]"
4,"1,110,957",1.000000,28.917320,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.86968939 0.63158721 1.         0.         0.         0.
 0.         0.         0.01696585 0.08078835 0.         1.
 1.         0.         0.         0.         0.08267079 0.56433973
 1.         0.         0.         0.01221482 0.00520376 0.0849612
 0.37224882 0.53494507 1.         0.         0.45151803 0.80148804
 1.         0.         0.58256774 0.3695642  0.         0.
 0.53595648 0.03590832 0.03162134 0.         0.60793847 0.4545921
 1.         0.         0.53139335 0.0575248  0.30005978 0.96561866
 0.         1.         1.         0.         0.         0.38430062
 0.40409318 0.52910687 0.0938846  0.77968125]"
5,"1,129,625",2.000000,32.209848,10/64 (15.62%),"[0.         1.         0.         1.         0.         0.01347842
 0.03701101 0.         0.20855286 0.80489303 0.         0.67976278
 0.01273807 0.         0.85137033 0.         0.07122408 0.
 0.         0.15004775 0.         0.00809614 1.         0.
 1.         0.46681541 1.         0.         1.         0.44159613
 0.         0.93130694 0.66697459 0.         0.72040439 0.
 1.         0.05440178 0.00637682 0.68181644 0.         0.
 0.         1.         0.         0.6355798  0.27433224 0.24774645
 0.         0.         0.         1.         0.         0.66568533
 0.01369874 0.93130694 0.04947659 1.         1.         0.
 0.42639267 0.12704747 0.         0.59205229]"
6,"1,149,616",1.000000,30.206978,24/64 (37.50%),"[5.37370480e-03 3.58528747e-01 4.08914625e-01 2.29099739e-01
 4.90327849e-01 6.88156174e-01 5.27616762e-01 7.92899789e-02
 5.07275022e-01 3.37734681e-01 9.16687515e-01 5.11485227e-01
 0.00000000e+00 0.00000000e+00 3.24895375e-01 3.61088930e-04
 5.80044907e-01 4.35089009e-01 1.02704109e-01 2.23684086e-01
 3.19098232e-01 8.24649749e-02 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.34078501e-01 8.75667272e-01
 4.55209623e-01 6.29232127e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 4.61454432e-01 2.10604907e-01
 0.00000000e+00 8.60497615e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 6.19898836e-01 4.98775920e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 5.50615165e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 5.88412222e-01 5.27053668e-01 2.53894150e-01 1.68302663e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,152,113",3.000000,32.719597,9/64 (14.06%),"[8.79673445e-04 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 5.52637249e-01 3.45148764e-01 0.00000000e+00 1.96428000e-01
 1.08290271e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.26717023e-01 7.09419096e-02 9.38076360e-01 7.82989170e-01
 3.62474201e-03 6.66238474e-01 6.50964962e-01 3.57226454e-01
 2.44525675e-02 0.00000000e+00 3.64440886e-01 0.00000000e+00
 9.20344381e-01 2.19381731e-01 6.18970782e-02 0.00000000e+00
 1.00000000e+00 7.92845803e-03 5.09530939e-01 6.18828439e-01
 3.37372802e-01 3.85898917e-01 1.00000000e+00 1.00000000e+00
 9.08112004e-01 3.54242218e-01 9.38726890e-02 3.02218158e-01
 0.00000000e+00 1.58764396e-01 0.00000000e+00 0.00000000e+00
 4.60138986e-01 4.34400060e-01 6.36232489e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 6.91052674e-01 1.00000000e+00 0.00000000e+00 4.39866755e-01
 7.52948195e-02 4.81522114e-01 0.00000000e+00 0.00000000e+00]"
8,"1,231,208",2.000000,32.380312,12/64 (18.75%),"[1.00000000e+00 1.00000000e+00 0.00000000e+00 9.98316127e-01
 7.53832122e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.70614052e-01 0.00000000e+00
 1.58600586e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.62479066e-01 1.06493085e-01 3.91036593e-01 0.00000000e+00
 0.00000000e+00 3.23585974e-01 9.16074507e-01 6.23984915e-01
 0.00000000e+00 0.00000000e+00 9.09550923e-01 5.76706546e-01
 0.00000000e+00 3.54115088e-02 0.00000000e+00 2.54623900e-01
 0.00000000e+00 1.78847682e-02 3.12939644e-01 0.00000000e+00
 7.48934483e-01 4.90251789e-01 5.64396301e-01 7.84904961e-01
 2.38036837e-03 9.98384603e-01 8.15875271e-01 3.13567616e-02
 7.34296896e-01 3.66054674e-02 3.19960824e-01 4.87305285e-02
 2.17115278e-02 2.82326400e-03 0.00000000e+00 5.86025843e-01
 0.00000000e+00 6.03951340e-01 0.00000000e+00 1.00000000e+00
 4.17115982e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 4.28832553e-01 5.85288024e-01 5.60840505e-04 5.06459775e-01]"
9,"1,237,562",3.000000,32.586071,7/64 (10.94%),"[9.82024332e-01 3.74378975e-04 4.96886515e-01 2.03451258e-01
 8.73948935e-01 2.43234054e-01 0.00000000e+00 1.00000000e+00
 7.41485250e-03 5.63044962e-01 7.82563911e-01 3.83131326e-01
 9.66329239e-01 1.76281356e-01 0.00000000e+00 5.51023107e-01
 1.00000000e+00 4.81688001e-01 0.00000000e+00 4.92917729e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.25466816e-02
 9.86566173e-01 3.53639167e-01 1.00000000e+00 8.91793167e-01
 4.14212971e-01 5.03214479e-01 5.41494661e-01 1.62414904e-01
 0.00000000e+00 0.00000000e+00 7.02131353e-02 4.66798105e-02
 5.30658582e-01 3.31358838e-01 0.00000000e+00 2.79383742e-01
 3.70858747e-01 9.06361845e-01 7.40571743e-01 3.32212334e-01
 9.55445803e-02 3.62745231e-01 3.23108850e-01 1.30880576e-01
 2.75006360e-01 8.14734256e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.17169458e-01 1.01210340e-03 1.00000000e+00
 4.19080618e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 8.79315404e-01 0.00000000e+00 8.02822508e-01]"
10,"1,279,555",3.000000,31.713297,18/64 (28.12%),"[0.00000000e+00 1.31695864e-01 0.00000000e+00 2.41547922e-02
 7.73267045e-02 2.42346584e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 7.20547909e-01 1.98230323e-01
 7.41563422e-01 1.00000000e+00 0.00000000e+00 5.15264755e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 8.51706811e-01
 0.00000000e+00 3.23285785e-06 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 4.37543505e-01
 1.00000000e+00 5.66764805e-01 0.00000000e+00 1.00000000e+00
 1.08227923e-02 0.00000000e+00 0.00000000e+00 4.96028684e-01
 0.00000000e+00 8.99680108e-05 0.00000000e+00 1.00000000e+00
 0.00000000e+00 8.65023415e-01 9.26347355e-01 1.66314912e-01
 7.11199240e-01 1.00000000e+00 4.88986694e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.00985368e-01 8.58583917e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 9.02681265e-01 1.00000000e+00 3.25095444e-02 5.00868314e-01
 1.00000000e+00 1.94542698e-01 0.00000000e+00 1.00000000e+00]"
