Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",0.000000,0.580430,52/64 (81.25%),"[0.         0.         0.         0.         0.         0.
 1.         1.         0.         1.         1.         0.
 1.         0.81341591 0.         0.         1.         0.
 0.         0.14979239 0.42472289 0.         1.         1.
 1.         0.         0.         0.         0.99450836 0.
 0.         0.         0.         1.         1.         0.
 1.         0.2054084  0.         1.         1.         0.
 0.         1.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         0.88167861
 0.09133675 0.         0.         1.         1.         0.
 0.         0.         0.70269895 1.        ]"
2,"1,029,044",2.000000,32.934145,9/64 (14.06%),"[1.00000000e+00 0.00000000e+00 1.97356341e-01 8.95882297e-01
 5.28942433e-01 4.17646803e-02 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 7.76536509e-01 4.81462679e-02
 1.84505309e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.97031604e-01 0.00000000e+00
 9.96007434e-02 1.00000000e+00 0.00000000e+00 4.59505952e-01
 1.00000000e+00 0.00000000e+00 7.28824080e-02 1.00000000e+00
 1.37934644e-01 1.00000000e+00 4.06462791e-01 1.74384007e-01
 7.72211090e-01 3.90369130e-01 2.08606656e-02 7.70182107e-01
 0.00000000e+00 4.74099424e-01 8.97031604e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.26178368e-01 4.98877714e-01
 1.50772454e-02 0.00000000e+00 6.25826802e-01 0.00000000e+00
 3.29916542e-01 2.78279643e-05 8.49010623e-01 1.24489183e-02
 0.00000000e+00 2.52797006e-01 0.00000000e+00 6.51746200e-01
 2.42700365e-01 6.01951848e-02 7.57045890e-01 0.00000000e+00
 7.53964516e-01 9.99528640e-01 0.00000000e+00 1.00000000e+00]"
3,"1,100,332",2.000000,32.119921,14/64 (21.88%),"[0.         0.         1.         0.70788767 0.36027605 0.
 0.07340966 0.02490297 1.         1.         0.         0.
 1.         0.8966133  0.08494931 0.         0.         0.
 0.20941089 0.1826823  0.2151829  0.13510923 0.06342797 0.12083898
 0.95881195 1.         0.36574566 0.00883686 0.         1.
 0.         0.62140272 0.         0.         0.         0.
 0.27309729 0.63634537 0.47456286 0.89509051 1.         1.
 0.         0.54987934 1.         0.         0.         0.
 0.08223619 0.         0.         0.         0.         0.9144126
 0.         1.         0.94271937 0.65659549 0.         0.
 0.         0.9863916  0.         1.        ]"
4,"1,110,957",2.000000,29.184591,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.         0.56242574 1.         0.         0.         0.
 0.         0.         0.36619257 0.40006025 0.         1.
 1.         0.         0.10149138 0.         0.02312277 1.
 1.         0.         0.         0.2593029  0.         0.77601227
 0.         0.82737808 1.         0.         0.90825072 0.63053365
 0.15167995 0.99664976 0.29884801 0.         0.         0.
 0.21096073 0.21813294 0.41282468 0.         0.08240575 0.28633855
 1.         0.         0.79693602 0.         0.         1.
 0.         1.         1.         0.         1.         0.11416548
 0.34474712 0.69492968 0.         1.        ]"
5,"1,129,625",3.000000,32.880181,10/64 (15.62%),"[3.73239477e-01 6.36660451e-01 4.87180329e-01 1.29041309e-01
 0.00000000e+00 7.65790521e-06 7.74521104e-01 1.00000000e+00
 1.28431075e-01 9.99491728e-01 9.42692135e-02 6.35043179e-01
 1.10964748e-01 0.00000000e+00 4.84331383e-01 0.00000000e+00
 3.51612997e-01 1.82296726e-01 0.00000000e+00 8.53822035e-01
 7.99853126e-04 0.00000000e+00 0.00000000e+00 9.94003316e-01
 6.57824297e-01 1.00000000e+00 1.00422789e-03 1.41863376e-01
 9.14932045e-01 1.46638022e-01 5.41135947e-01 4.49261636e-01
 4.50768209e-01 0.00000000e+00 5.94355983e-01 0.00000000e+00
 6.67741276e-01 4.66875855e-01 1.00000000e+00 2.98227750e-02
 9.74236314e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 9.91524893e-01 9.42267213e-02 4.65822530e-01
 5.39682123e-02 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 4.88064685e-01 5.11854838e-02
 0.00000000e+00 8.41520390e-01 9.93839463e-01 0.00000000e+00
 4.17094018e-01 3.43781007e-01 7.61751708e-01 5.61909264e-01]"
6,"1,149,616",2.000000,30.953670,24/64 (37.50%),"[1.09697265e-01 1.16722723e-01 6.90908195e-01 3.84390445e-01
 0.00000000e+00 8.78041519e-01 2.67490403e-01 0.00000000e+00
 9.26243042e-01 0.00000000e+00 1.00000000e+00 1.20882149e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 6.08904100e-02
 7.28777679e-01 0.00000000e+00 4.76390972e-02 6.41108264e-02
 9.23150699e-01 3.56389528e-01 7.96620715e-01 1.10753520e-05
 0.00000000e+00 2.27035381e-01 0.00000000e+00 6.59771527e-02
 5.14892150e-01 1.91724098e-02 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 8.65645293e-01 1.00000000e+00
 0.00000000e+00 1.35927545e-03 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.30627125e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 5.40874605e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 4.08778083e-01 2.12381523e-01 0.00000000e+00 3.89029162e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,152,113",3.000000,33.690714,9/64 (14.06%),"[0.13336186 0.53531281 1.         0.40633671 0.41946968 0.32670292
 0.91825734 0.9165739  0.02553422 0.41363941 0.         0.83237162
 0.         0.08371168 0.10595304 0.04095878 0.93410106 0.93410106
 0.29802481 0.72823146 0.         0.18956566 1.         0.93410106
 0.39917003 0.28120532 0.29435204 0.         1.         0.43251468
 0.05488518 0.         0.55296093 0.73152339 0.         0.25939552
 0.0823816  0.7116193  1.         0.29345082 0.         0.01261539
 0.27691312 0.67962544 1.         0.         0.         0.
 0.         0.34411726 0.60502344 0.         0.         0.
 1.         1.         1.         0.63035666 0.         0.
 0.         1.         0.         0.        ]"
8,"1,231,208",2.000000,33.343888,12/64 (18.75%),"[1.         1.         0.         0.79927082 1.         0.
 1.         1.         0.         0.         0.40242008 0.15789328
 0.05321542 0.74176491 0.         0.         0.         0.44791542
 1.         0.52820697 0.18791755 0.85456572 0.         0.75716968
 0.02850628 0.87388762 0.01457227 0.         0.         0.
 0.         0.66797047 0.23090515 1.         0.         0.47075256
 0.52803138 1.         0.         0.         0.11222643 0.07539136
 0.29112861 0.         0.         0.09796939 0.15545246 0.
 0.27220419 0.18931786 0.         0.73401635 0.2745479  0.87309755
 0.40817745 0.53636816 0.         0.43908556 0.         0.59447348
 0.3754824  0.93484851 0.05408759 1.        ]"
9,"1,237,562",1.000000,33.438680,7/64 (10.94%),"[0.86794675 0.29746408 0.00330599 0.3856549  0.60793278 0.05699555
 0.00194757 0.         0.83947521 0.14775673 0.         0.
 0.76658821 0.         0.60432191 0.64775997 0.13571364 0.
 0.64545721 0.84537442 0.39929758 0.00629573 0.         0.
 0.61530637 0.92497823 0.         0.         0.21289345 0.30405078
 0.93829781 1.         0.05344282 0.         1.         0.70366651
 0.         0.33421858 0.01331426 0.42636528 0.         0.92413691
 0.44397086 0.13213862 0.67610515 0.         0.80702829 0.62967717
 0.32927992 0.92532505 0.         0.         0.87273435 0.27404893
 0.2189527  0.03173833 0.19374146 0.         1.         1.
 0.         0.         1.         0.89965345]"
10,"1,279,555",1.000000,32.220567,18/64 (28.12%),"[9.92971837e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.42045318e-01 9.92485974e-01 3.03407306e-03 5.19924873e-01
 5.86156202e-01 0.00000000e+00 1.00000000e+00 8.53278691e-01
 1.51250283e-02 9.91032232e-02 1.00000000e+00 2.85545885e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 2.30941645e-01
 1.00000000e+00 9.25725492e-02 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 4.11193972e-01
 5.63322252e-01 6.14377355e-02 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.83024534e-02 5.47391236e-01
 8.72233335e-05 8.70809335e-01 0.00000000e+00 1.00000000e+00
 6.35408978e-01 8.28388282e-02 0.00000000e+00 5.81792012e-01
 3.33597699e-01 9.91982777e-01 0.00000000e+00 0.00000000e+00
 5.99248470e-01 2.84268806e-01 5.83098000e-01 3.58940222e-01
 5.59263261e-01 1.39757523e-02 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.24695125e-01 9.05150854e-01 4.83372066e-01
 5.58452145e-01 4.63828051e-01 0.00000000e+00 1.00000000e+00]"
