Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",0.000000,0.329915,52/64 (81.25%),"[0.         0.         0.         0.         0.         0.
 1.         1.         0.         1.         1.         0.
 1.         1.         0.         0.         1.         0.
 0.         0.         0.         0.         1.         1.
 1.         0.         0.         0.         0.91858903 0.
 0.         0.         0.         1.         1.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 0.         0.         0.         1.         1.         0.
 0.         0.         1.         1.        ]"
2,"1,029,044",3.000000,32.768678,9/64 (14.06%),"[1.00000000e+00 0.00000000e+00 4.46036597e-02 8.87721117e-01
 8.44212006e-01 0.00000000e+00 6.66787849e-01 3.90979198e-02
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.01549966e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.15644244e-03 0.00000000e+00
 5.73119284e-01 1.00000000e+00 1.22376116e-01 6.71158949e-01
 0.00000000e+00 7.09209267e-01 0.00000000e+00 1.00000000e+00
 5.36590549e-02 1.62973080e-01 0.00000000e+00 6.53559567e-01
 2.96593122e-02 8.69828976e-01 0.00000000e+00 2.53382857e-04
 4.11860958e-01 0.00000000e+00 6.97048802e-01 0.00000000e+00
 0.00000000e+00 3.00219672e-01 0.00000000e+00 9.99990984e-01
 1.00000000e+00 2.46399035e-01 1.00000000e+00 2.07909653e-03
 2.63200335e-01 8.68514822e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.19584697e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 7.00107693e-01 0.00000000e+00 1.94556994e-01
 0.00000000e+00 1.00000000e+00 5.34651036e-01 0.00000000e+00]"
3,"1,100,332",2.000000,32.090724,14/64 (21.88%),"[0.00000000e+00 0.00000000e+00 7.88312217e-01 9.85946966e-01
 0.00000000e+00 0.00000000e+00 4.03680406e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 2.26195165e-01
 1.00000000e+00 1.00000000e+00 1.85499162e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.85212248e-01
 0.00000000e+00 0.00000000e+00 3.29437783e-02 0.00000000e+00
 0.00000000e+00 2.38712708e-01 9.32151756e-01 6.48687761e-02
 0.00000000e+00 1.00000000e+00 1.00000000e+00 4.69038500e-01
 5.59347370e-01 5.49948606e-01 1.01941746e-01 1.00000000e+00
 4.89774221e-02 6.56254188e-04 2.74909343e-01 2.63695138e-02
 1.88846766e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.56416561e-01 8.22292873e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.49318837e-02 6.66784527e-01 8.39745196e-01 1.31229319e-01
 7.48135761e-01 7.67134122e-02 0.00000000e+00 1.00000000e+00]"
4,"1,110,957",1.000000,29.319690,29/64 (45.31%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 3.39891138e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.99624837e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 6.40745728e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 9.00474548e-01
 1.00000000e+00 2.75103665e-04 1.00000000e+00 5.94538137e-01
 1.00000000e+00 0.00000000e+00 3.86649093e-01 3.67440294e-01
 4.56404722e-01 0.00000000e+00 0.00000000e+00 2.81826126e-01
 0.00000000e+00 0.00000000e+00 5.06009771e-01 0.00000000e+00
 5.99177148e-01 3.87914412e-01 4.18803461e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 9.16712412e-01 0.00000000e+00 0.00000000e+00 9.65851044e-01
 1.00000000e+00 0.00000000e+00 1.68518405e-03 0.00000000e+00
 0.00000000e+00 6.83992276e-01 8.71596496e-01 1.43704444e-01]"
5,"1,129,625",4.000000,33.273669,10/64 (15.62%),"[1.00000000e+00 6.57823690e-01 6.78314584e-02 0.00000000e+00
 6.43714426e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 4.39961056e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.08479975e-01 1.90905469e-01 0.00000000e+00
 0.00000000e+00 1.83011505e-01 0.00000000e+00 5.71926286e-02
 0.00000000e+00 1.10721916e-01 6.46214507e-02 1.00000000e+00
 1.09656942e-01 8.52605062e-02 7.09997066e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.66891648e-01
 2.62150924e-03 0.00000000e+00 1.00000000e+00 0.00000000e+00
 4.98088856e-01 6.28581927e-01 6.94935932e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.87955183e-01 0.00000000e+00 5.58045812e-01
 7.01699537e-01 5.22257958e-04 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.59757821e-01 0.00000000e+00 9.10698778e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.52169972e-01 0.00000000e+00 8.48361776e-02 4.68552890e-01]"
6,"1,149,616",2.000000,30.855341,24/64 (37.50%),"[0.00269023 0.28064473 0.85248141 0.90209882 0.10460542 0.4217608
 0.41601223 0.         0.65132078 0.         0.         0.37063669
 0.         0.68633706 0.52141697 0.21256249 0.69862843 0.
 0.76198083 0.59529081 0.13014175 0.00920024 0.43843537 0.18349767
 0.         0.16819705 0.         0.09045202 1.         0.81621747
 0.39736183 0.         1.         0.         0.47215193 0.27847542
 0.         0.26070676 0.         1.         1.         0.
 0.71058595 0.         0.         0.         0.         1.
 0.         0.16856257 0.60153867 0.         1.         1.
 0.         0.         0.52909898 1.         0.2794236  0.
 0.         0.         1.         1.        ]"
7,"1,152,113",2.000000,31.867301,9/64 (14.06%),"[0.63476426 1.         0.02510327 0.63609034 1.         0.
 0.         0.33393635 0.         0.0183047  0.         0.43218355
 0.37017779 0.3390069  0.90251606 0.54120453 1.         0.32334241
 0.         0.         1.         1.         0.         0.
 0.70821902 0.41617304 0.00146844 0.08786847 0.2554933  0.
 1.         0.70931775 0.         0.82317016 0.68005677 0.
 0.         0.29584538 0.         0.38880095 0.39297221 0.
 0.35784853 0.         0.7797141  1.         0.         0.
 0.30530041 0.20494949 0.64982245 1.         0.45076418 0.
 1.         1.         1.         0.83972227 0.         0.02320969
 0.         0.10775968 0.         0.        ]"
8,"1,231,208",4.000000,32.184458,12/64 (18.75%),"[1.00000000e+00 1.00000000e+00 0.00000000e+00 9.12863427e-01
 6.50795636e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 8.23567642e-02
 3.21312871e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.02904548e-03 3.59980017e-01 0.00000000e+00 0.00000000e+00
 5.51069892e-02 7.48635933e-01 8.97793778e-01 2.48506469e-02
 8.51400297e-02 1.62611281e-01 2.83214169e-02 0.00000000e+00
 5.52293997e-01 0.00000000e+00 0.00000000e+00 3.88636495e-03
 0.00000000e+00 1.56419466e-01 1.18588746e-02 0.00000000e+00
 5.07145167e-01 0.00000000e+00 0.00000000e+00 2.10490565e-01
 0.00000000e+00 1.22369419e-01 0.00000000e+00 1.00000000e+00
 1.80641174e-01 3.76933450e-01 6.86412431e-01 6.62961303e-01
 1.14864954e-01 0.00000000e+00 0.00000000e+00 7.69751046e-01
 3.67182399e-01 1.00000000e+00 3.10573837e-01 1.74981530e-01
 8.19200031e-01 1.00000000e+00 0.00000000e+00 1.47111167e-01
 1.40775118e-01 7.54625460e-01 1.18367042e-03 0.00000000e+00]"
9,"1,237,562",3.000000,33.711195,7/64 (10.94%),"[1.         0.95764824 0.         0.59835511 0.         0.
 0.         0.6458464  0.22009533 0.22730547 0.54903883 0.
 0.00803652 0.68286263 0.73890581 0.17385025 0.32087451 0.07338887
 0.60843991 0.30565485 0.         0.         0.14268116 0.3357859
 0.24042375 0.90082157 0.42913279 0.95766421 0.57359989 0.36043595
 0.02345026 0.38793613 0.12648179 0.         0.         0.03470156
 0.         0.68287994 1.         0.04893204 0.         1.
 0.79926587 0.46976959 0.72780626 0.         0.02455281 0.55044375
 0.90087951 0.         0.         0.         1.         0.48519651
 0.2178462  0.05073284 0.71215284 0.         1.         1.
 0.         0.38907735 0.67790152 0.59114824]"
10,"1,279,555",2.000000,31.295098,18/64 (28.12%),"[1.61316328e-01 0.00000000e+00 1.01816208e-05 1.89839048e-01
 6.11739258e-02 1.44831462e-05 8.15748665e-01 9.28563114e-01
 9.41941813e-03 0.00000000e+00 0.00000000e+00 5.80554563e-01
 9.79322394e-01 0.00000000e+00 1.55127040e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 4.34744805e-01
 0.00000000e+00 7.95787714e-01 6.51236169e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 2.27324103e-01
 9.03694131e-01 3.79270175e-01 0.00000000e+00 1.00000000e+00
 2.15629260e-02 0.00000000e+00 0.00000000e+00 4.01574587e-02
 8.94848540e-01 3.45581702e-01 0.00000000e+00 1.00000000e+00
 3.90479152e-01 6.34036300e-01 6.98992823e-01 0.00000000e+00
 0.00000000e+00 3.23521203e-01 2.18569917e-02 0.00000000e+00
 5.62092183e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.07338188e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 6.77736484e-01 4.64192500e-01 8.34599972e-01 1.00000000e+00
 1.69964229e-01 5.62692226e-03 0.00000000e+00 1.00000000e+00]"
