Number,ID,Fitness,Runtime,Preprocessed,Result
1,2024-01-01,187.000000,720.140123,416/1600 (26.00%),[0.         0.02118931 0.         ... 0.         1.         0.        ]
2,2024-01-08,174.000000,724.070511,516/1600 (32.25%),"[5.20363929e-04 8.03354841e-01 9.44958000e-01 ... 3.41309763e-01
 0.00000000e+00 0.00000000e+00]"
3,2024-01-15,158.000000,725.767137,507/1600 (31.69%),[1.         0.         0.         ... 0.96940304 0.62867938 0.3189981 ]
4,2024-01-22,152.000000,701.717553,600/1600 (37.50%),[1.         1.         0.         ... 0.0240518  0.         0.46177373]
5,2024-01-29,162.000000,723.301799,556/1600 (34.75%),[0.02538454 1.         0.35648118 ... 0.         1.         0.        ]
6,2024-02-05,151.000000,701.907716,596/1600 (37.25%),[0.         0.02545421 0.         ... 0.         0.         0.        ]
7,2024-02-12,163.000000,723.066442,487/1600 (30.44%),[0.         1.         0.         ... 0.49588896 0.99422357 0.73506627]
8,2024-02-19,166.000000,721.372520,529/1600 (33.06%),"[0.00000000e+00 1.00000000e+00 0.00000000e+00 ... 9.91291131e-01
 1.61331279e-05 1.58068501e-02]"
9,2024-02-26,164.000000,720.899126,504/1600 (31.50%),[0.00130984 0.11106179 0.99978575 ... 0.1082248  0.00578144 0.        ]
10,2024-03-04,163.000000,719.274829,460/1600 (28.75%),"[8.21992480e-01 1.08779135e-04 2.23006909e-02 ... 2.95932022e-01
 6.27728030e-03 4.29082146e-01]"
11,2024-03-11,162.000000,711.610682,523/1600 (32.69%),[0.72732166 0.55497077 0.         ... 0.         0.22857459 0.02128432]
12,2024-03-18,145.000000,698.184432,631/1600 (39.44%),[0.00408071 0.         0.08794328 ... 0.         0.86975833 0.63914443]
13,2024-03-25,169.000000,719.887828,514/1600 (32.12%),[0. 1. 0. ... 0. 0. 0.]
14,2024-04-01,174.000000,725.681663,575/1600 (35.94%),[0.97938259 0.11695882 0.         ... 0.         0.         0.01321231]
15,2024-04-08,156.000000,696.533986,575/1600 (35.94%),[0.00235308 0.         0.77102123 ... 0.59529719 0.198775   0.13206727]
16,2024-04-15,170.000000,712.234500,511/1600 (31.94%),[1.         0.         0.02202731 ... 0.         0.88898305 0.0043979 ]
17,2024-04-22,155.000000,694.735425,546/1600 (34.12%),"[3.17163544e-02 2.72065619e-02 4.77630670e-03 ... 1.77781907e-06
 8.37554194e-01 7.45479193e-03]"
