Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",2.000000,44.382372,54/100 (54.00%),"[1.00000000e+00 0.00000000e+00 2.42241616e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 4.41431572e-01 2.71524496e-01
 0.00000000e+00 7.71063218e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 8.08168856e-01 2.04319229e-01 6.68260355e-01
 0.00000000e+00 9.11053933e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.15855295e-02 1.00000000e+00 3.41992409e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 9.78341934e-01 1.00000000e+00 8.46310388e-02
 6.02862279e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.75425742e-01 0.00000000e+00 9.58714582e-01 8.97337742e-02
 2.04866052e-03 4.05629702e-01 7.40415970e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.65151308e-01 0.00000000e+00
 2.45767789e-03 6.53534523e-01 7.42878141e-01 3.12782318e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 4.58328852e-06 5.35926027e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.91282046e-01 1.65289024e-02
 9.65876959e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 4.30978732e-01 3.60730202e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 9.99685804e-01 9.65538864e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
2,"1,038,486",3.000000,45.609693,48/100 (48.00%),"[8.25197234e-01 7.03287436e-03 6.76659282e-01 1.99985861e-01
 1.64200827e-02 5.71067779e-01 8.35200808e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 6.71017441e-01 2.18628716e-01
 8.51328772e-01 3.47831170e-01 3.61327116e-01 1.13344115e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.06790995e-01 0.00000000e+00 4.04242093e-01 0.00000000e+00
 7.43602683e-01 1.00000000e+00 3.39781852e-02 1.24867504e-01
 5.83344597e-01 7.36840041e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.33645494e-01 9.37343324e-01 0.00000000e+00 1.75083367e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 9.37909266e-02 0.00000000e+00
 7.12896721e-01 2.30755422e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 7.32805691e-01
 1.00000000e+00 1.82076765e-02 6.49968749e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 9.16992962e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.63181713e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 2.05567517e-02 1.44060584e-02 9.72524901e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 6.76069056e-01 6.76281637e-01
 1.99501073e-05 4.60517500e-04 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
3,"1,054,057",3.000000,47.601650,38/100 (38.00%),"[1.         0.         1.         0.22622027 0.63252506 0.
 1.         0.         0.50642154 0.65450398 1.         0.
 0.30515502 0.         0.71264732 0.         1.         0.
 0.         0.13610275 0.         0.         0.36562982 0.19147069
 0.18825371 0.         0.         1.         1.         0.34747305
 1.         1.         0.         0.97907986 0.50429099 0.
 0.46261172 0.         0.00744899 0.3025402  0.         0.
 0.         0.         0.05444981 0.553697   0.06449433 0.9263969
 0.39681578 0.64351892 0.         0.         1.         1.
 0.         0.78820586 0.06363622 0.00202658 0.07661287 0.60245983
 0.70520995 0.25167964 0.         0.         1.         0.
 0.43923109 0.         0.7967528  0.41224537 1.         0.
 0.00135348 0.         1.         0.         0.47624427 0.
 0.25138047 0.50165381 0.         0.         0.55626112 0.8824115
 0.         0.4416445  0.52201936 0.51751003 0.47812947 0.50920525
 1.         1.         0.         0.42402654 0.50327364 1.
 0.         0.23418488 0.4509223  0.        ]"
4,"1,075,756",4.000000,47.295020,43/100 (43.00%),"[1.         0.         1.         0.94370565 0.44829465 0.5110164
 0.25175061 0.         1.         0.66350861 1.         0.
 0.38155828 0.         0.44894773 0.80199454 0.         0.44301566
 0.         0.47933288 0.         1.         0.99634391 0.
 0.23971475 0.         0.49880193 0.         0.73209484 0.99953033
 0.68481338 0.         0.         0.         0.         1.
 0.         0.73781949 0.         0.         1.         0.
 0.45548398 0.98414663 0.         1.         0.         0.
 0.34471314 0.71278744 0.39325898 0.         0.08859261 0.88574555
 0.0963768  0.         0.         0.         0.05874266 1.
 1.         0.94080856 0.03559986 0.         0.         1.
 0.29516598 0.         0.42130376 0.         0.         0.
 0.3206863  0.         1.         0.         0.04678507 1.
 0.45876456 0.31718858 1.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         0.         1.         1.         0.         1.
 1.         0.         1.         1.        ]"
5,"1,080,690",4.000000,48.102605,37/100 (37.00%),"[1.         0.         1.         1.         0.         0.
 0.30267088 0.17916574 0.05296812 0.77523443 1.         0.
 0.         0.         0.89999817 0.87615996 0.3050665  0.50359112
 0.         1.         0.         0.59164663 0.78731781 0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.24768463 0.         0.45249723 0.69799019
 0.         1.         0.         1.         0.69041322 0.01560577
 0.87801384 0.05034958 0.21967155 0.83849109 0.         1.
 0.         1.         0.5609132  0.1740721  1.         0.
 0.         0.         0.36584149 0.         0.         0.
 0.34663544 1.         0.1612163  0.72364504 0.         0.71075049
 0.         0.82114026 0.         1.         0.37228814 1.
 0.         1.         0.03382262 0.7998192  0.17538923 0.65313194
 0.         1.         0.64037054 0.         0.28517467 0.
 0.64261872 0.07176358 0.         0.         1.         0.
 0.14559666 0.59235161 0.58512937 0.24149093 0.87801384 0.14122645
 0.00725756 0.         1.         0.        ]"
6,"1,112,058",4.000000,48.633586,31/100 (31.00%),"[3.62517607e-04 2.28747764e-04 0.00000000e+00 0.00000000e+00
 1.89026155e-01 1.36927709e-02 9.10375111e-01 8.31966086e-01
 0.00000000e+00 0.00000000e+00 6.81777576e-01 7.75146748e-01
 0.00000000e+00 6.64488068e-01 8.37879617e-01 0.00000000e+00
 3.81653868e-02 2.85335078e-03 5.53536408e-01 7.64392070e-02
 1.07997806e-04 0.00000000e+00 0.00000000e+00 2.11409934e-01
 0.00000000e+00 0.00000000e+00 8.55692148e-01 0.00000000e+00
 8.34450391e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 5.14457496e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 8.35325830e-01 1.00000000e+00 1.45133123e-01 2.18727198e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 3.09085300e-01 4.73562959e-01
 3.31788818e-03 1.00000000e+00 2.37275682e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 2.83179480e-01 1.22986873e-01 3.30796165e-01 1.38883949e-01
 5.83351176e-01 5.62807839e-03 7.27150803e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 4.62787270e-01 0.00000000e+00
 8.19602531e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 9.41064207e-03 0.00000000e+00 8.37879617e-01
 1.69909657e-01 3.38554942e-02 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.82819580e-01 0.00000000e+00
 0.00000000e+00 8.21285396e-01 1.00000000e+00 8.37879617e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 8.05646378e-01 1.34258490e-02 0.00000000e+00]"
7,"1,147,101",5.000000,49.036304,31/100 (31.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 6.08824225e-01
 0.00000000e+00 0.00000000e+00 4.94044478e-01 5.25055150e-01
 3.56538397e-01 3.49566035e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 3.13858242e-01 0.00000000e+00 0.00000000e+00
 2.06366172e-01 1.00000000e+00 0.00000000e+00 9.04211516e-01
 0.00000000e+00 4.18701256e-01 3.20776019e-03 1.00000000e+00
 1.00000000e+00 1.20506103e-01 0.00000000e+00 0.00000000e+00
 3.45102772e-01 1.00000000e+00 9.42102433e-01 0.00000000e+00
 9.20512521e-01 8.30654575e-03 2.94718333e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 7.71453107e-01 0.00000000e+00
 9.90900567e-01 0.00000000e+00 5.39663940e-01 0.00000000e+00
 9.98577813e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 2.64969445e-02 2.15360465e-02 0.00000000e+00
 1.73360520e-01 4.87782523e-01 9.99501481e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 7.79031966e-01 4.59508209e-01
 0.00000000e+00 3.74058589e-04 7.01954331e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 6.46468580e-01 1.00000000e+00 0.00000000e+00
 8.82099194e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.08456805e-01 1.00496134e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.19317269e-02 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.01044673e-02 0.00000000e+00 1.70727286e-01
 1.77907337e-02 0.00000000e+00 0.00000000e+00 4.98483397e-02
 1.55122632e-02 2.14177221e-01 1.00000000e+00 5.83640928e-01]"
8,"1,202,434",4.000000,49.453377,31/100 (31.00%),"[0.13275572 0.26643214 0.37027718 0.         0.         0.70542802
 1.         0.         1.         1.         0.43134228 0.
 0.         1.         1.         0.         0.3548889  0.04384462
 0.         0.         0.         1.         0.9675111  0.
 0.         0.36553498 0.5588563  0.63903488 0.         0.02944038
 0.         0.36000186 0.29880032 0.93616306 0.58607598 0.2571125
 0.47757925 0.         0.51739289 0.10638317 1.         0.01186453
 0.74546329 0.         0.39920504 1.         0.7643312  0.39841359
 0.42613833 0.         1.         0.07969086 0.69110047 0.1182375
 0.72077546 0.1511237  0.31839748 0.78936548 0.53453202 0.2772137
 0.10187033 1.         0.01326504 0.27402266 0.94295486 0.1846774
 0.96005503 0.         0.42341442 0.13693456 0.41825511 0.56337658
 0.         0.         0.         0.62986399 0.         0.
 0.04650616 1.         0.54795985 0.         1.         0.
 1.         0.         1.         0.         0.         0.60568492
 0.78110164 0.         1.         0.         1.         0.
 1.         0.         0.09949333 0.24848067]"
9,"1,244,950",3.000000,45.733714,43/100 (43.00%),"[1.         0.         1.         1.         0.         1.
 1.         0.         0.32030987 0.13670091 0.72956361 0.
 0.         0.         0.0944548  0.         0.         0.16022037
 0.62372326 0.56704221 0.         1.         0.88934522 0.0102955
 1.         0.96322275 0.00966393 0.         0.         0.05177281
 1.         0.         0.40021067 0.         0.29912495 0.17309555
 0.35596036 0.9748471  0.         0.0558979  1.         0.
 1.         0.61982355 0.         0.01541202 0.35187335 0.92038181
 0.         0.04134603 0.         1.         0.         0.29556353
 0.00624064 0.93205916 0.58364467 0.         0.65708575 0.63241811
 0.         1.         0.         0.96454525 0.79423747 0.
 0.16510489 0.07333566 0.         0.02034719 1.         0.
 1.         0.         0.04152624 1.         0.76116856 0.
 0.49713473 0.         1.         0.         1.         0.
 0.2554866  0.00464947 0.4416886  0.26170225 0.         1.
 0.         0.         0.         0.11956262 0.         0.46514216
 1.         0.52385415 0.         1.        ]"
10,"1,247,861",5.000000,50.393283,13/100 (13.00%),"[6.52250085e-01 8.56875023e-03 1.94237607e-02 1.00000000e+00
 8.79426536e-02 5.49462677e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.56925627e-01 1.21647122e-01
 1.97381029e-01 6.00346406e-01 3.63787742e-01 0.00000000e+00
 0.00000000e+00 1.33423568e-05 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 5.47968940e-01 2.72777183e-01
 0.00000000e+00 8.46810086e-01 9.99889775e-01 6.93119816e-02
 0.00000000e+00 1.00000000e+00 0.00000000e+00 2.50891860e-02
 0.00000000e+00 1.00000000e+00 9.48713451e-01 3.07337172e-01
 7.82629068e-02 1.76405919e-01 7.78164208e-02 0.00000000e+00
 1.40191861e-01 0.00000000e+00 4.31131296e-02 3.13852743e-01
 7.93368965e-02 1.00000000e+00 5.66469677e-01 2.07011940e-03
 3.38124661e-02 3.16731670e-01 2.44920637e-01 0.00000000e+00
 7.80785070e-02 8.38344109e-02 4.69209546e-01 2.19628290e-01
 0.00000000e+00 5.68389590e-01 1.00000000e+00 0.00000000e+00
 2.19711433e-01 8.72702484e-01 1.00000000e+00 1.71103088e-04
 7.92762050e-03 1.00000000e+00 1.00000000e+00 1.69161758e-01
 1.23685352e-01 4.80467811e-01 9.51824108e-01 0.00000000e+00
 0.00000000e+00 2.38699337e-01 0.00000000e+00 1.38548837e-01
 1.03918279e-04 8.54938537e-01 8.09153419e-01 0.00000000e+00
 1.00000000e+00 6.00285900e-03 3.69753738e-01 3.29748726e-03
 9.03515909e-01 1.00000000e+00 0.00000000e+00 8.23105546e-02
 0.00000000e+00 1.00000000e+00 0.00000000e+00 3.35090359e-01
 8.97242066e-01 5.88136148e-01 3.09121115e-01 8.54503324e-02
 3.79103335e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
