Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",3.000000,35.848433,54/100 (54.00%),"[1.00000000e+00 0.00000000e+00 7.65223476e-01 0.00000000e+00
 8.08748222e-01 0.00000000e+00 3.26738025e-01 5.90988506e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.08863333e-01 9.99388773e-01 2.19674084e-02
 0.00000000e+00 0.00000000e+00 7.07973758e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 4.68142779e-01
 1.56080147e-01 0.00000000e+00 8.09266508e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.26487365e-01 7.93204331e-06 5.17937877e-01
 6.98357035e-02 0.00000000e+00 1.00000000e+00 1.00000000e+00
 4.14446143e-01 0.00000000e+00 8.32540342e-01 8.26529887e-01
 3.85828909e-01 2.47881267e-02 5.65400849e-01 5.02307455e-01
 0.00000000e+00 0.00000000e+00 9.07887332e-01 0.00000000e+00
 9.35122559e-02 2.50991865e-01 0.00000000e+00 6.73486453e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 8.03775769e-01 1.86008379e-01 7.38875892e-01 9.16725778e-01
 0.00000000e+00 1.00000000e+00 4.20297010e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.38206678e-01 1.60635815e-04
 2.46307761e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.61808264e-01 3.78725043e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 9.96443317e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
2,"1,038,486",4.000000,37.218258,48/100 (48.00%),"[0.00000000e+00 9.81098785e-01 1.00000000e+00 5.97858838e-02
 0.00000000e+00 5.73940965e-04 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 4.89513645e-01 6.23292733e-01 8.32690433e-01 0.00000000e+00
 6.94081374e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.36039794e-01 0.00000000e+00 1.00000000e+00 4.99373125e-01
 3.58741497e-01 1.69463784e-01 2.17432225e-01 6.03883471e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.27804775e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 6.08663217e-01 0.00000000e+00
 0.00000000e+00 7.10309109e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.48263038e-01 3.27720932e-01 0.00000000e+00
 6.46151783e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 7.77711544e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 7.45135024e-01 0.00000000e+00 8.75636255e-01
 0.00000000e+00 4.76369113e-01 3.73016439e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 8.60411407e-05
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 4.79765612e-01 0.00000000e+00
 8.02072656e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
3,"1,054,057",5.000000,38.665895,38/100 (38.00%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.54101028 1.         1.         0.
 1.         0.         0.62984414 0.         1.         0.
 0.07748303 0.32101717 0.         0.         0.95617845 0.
 0.31432141 0.07490776 0.         0.         0.         0.
 1.         1.         0.         0.00399669 0.         0.6058475
 0.43514407 0.         0.43814195 0.78919837 0.         0.
 0.         0.         0.00639627 0.82655033 0.20137515 0.51108654
 0.         1.         0.35567507 0.         1.         1.
 0.         0.00508798 0.13480675 1.         0.         0.24312388
 0.         0.80073272 0.         0.         1.         0.
 0.01404284 0.         1.         1.         0.43767295 0.07198141
 0.96751111 0.         1.         0.         0.         0.
 0.         0.         0.         0.         1.         0.03480176
 0.         0.33915867 0.         0.69838482 0.5634208  0.
 1.         1.         0.         1.         0.21544618 0.98060613
 0.82958413 0.         0.         0.17269138]"
4,"1,075,756",4.000000,38.063527,43/100 (43.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 8.67891685e-01
 1.21590932e-02 9.55594412e-01 8.74270978e-01 0.00000000e+00
 2.47968213e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.70339328e-01 3.52075753e-01
 2.11069386e-01 0.00000000e+00 9.77278769e-01 8.14283854e-01
 0.00000000e+00 1.00000000e+00 1.15298866e-02 1.00000000e+00
 4.51033488e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.47939276e-08 0.00000000e+00 3.31008889e-01 1.00000000e+00
 0.00000000e+00 5.52345441e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 7.91479560e-01 0.00000000e+00
 2.79957361e-01 4.92650275e-01 0.00000000e+00 1.55354154e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 4.99988535e-01 1.00000000e+00 1.13963303e-01 0.00000000e+00
 0.00000000e+00 7.40326020e-01 1.21039344e-03 0.00000000e+00
 0.00000000e+00 2.46161221e-01 0.00000000e+00 6.70007181e-01
 6.26196402e-01 5.72279698e-01 2.76729582e-02 9.79078664e-01
 0.00000000e+00 6.63280487e-01 8.10419482e-01 0.00000000e+00
 5.31952687e-01 1.59878776e-01 0.00000000e+00 0.00000000e+00
 7.93208091e-03 0.00000000e+00 1.00000000e+00 0.00000000e+00
 7.63534807e-02 5.11711167e-02 1.25881866e-01 2.41434926e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 2.20517669e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
5,"1,080,690",3.000000,39.767833,37/100 (37.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 9.06305905e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 7.29917203e-01 0.00000000e+00 8.04131457e-01
 0.00000000e+00 2.57912506e-01 9.61578470e-01 5.24571325e-02
 8.66699371e-01 0.00000000e+00 6.36915782e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 7.93695285e-01 2.84354105e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 6.21360547e-01 4.77690528e-03 8.54752401e-04
 1.07783032e-02 5.41576072e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 2.40545550e-02 1.00000000e+00
 1.87635622e-01 9.48347424e-01 0.00000000e+00 4.37388678e-02
 9.61596467e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.85206140e-01 0.00000000e+00 1.32006314e-02 9.63066717e-01
 1.18951536e-01 8.94335138e-06 7.01961335e-01 2.35442576e-01
 0.00000000e+00 1.00000000e+00 1.82683843e-02 0.00000000e+00
 1.00000000e+00 2.94928876e-01 1.00000000e+00 9.77033510e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.83286157e-01 0.00000000e+00
 0.00000000e+00 2.33924944e-02 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 9.96997780e-01 6.46958468e-01
 3.77820502e-01 1.00000000e+00 9.81794478e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00]"
6,"1,112,058",3.000000,38.696208,31/100 (31.00%),"[5.17997707e-01 0.00000000e+00 1.82648716e-01 1.24828444e-01
 6.95332838e-01 8.39266866e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 5.34788630e-01 0.00000000e+00 5.54448086e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.97252057e-01 0.00000000e+00 6.36074768e-01
 0.00000000e+00 5.51691974e-02 0.00000000e+00 5.44975982e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.05329417e-01 7.23860504e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 2.30566330e-03 0.00000000e+00 2.48170584e-04 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.28461891e-03
 6.28913192e-01 8.50536082e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.64710503e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.51019947e-01
 0.00000000e+00 9.77653960e-01 1.00000000e+00 3.20837200e-02
 1.00000000e+00 2.52323484e-02 0.00000000e+00 2.05930497e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.15254483e-01 1.00000000e+00 0.00000000e+00 6.96682855e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 7.75171701e-01 0.00000000e+00 1.92264974e-04]"
7,"1,147,101",6.000000,40.776501,31/100 (31.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 8.06411637e-01 0.00000000e+00 4.38709187e-01 6.97808740e-02
 5.98748788e-01 8.83648649e-01 1.00000000e+00 0.00000000e+00
 5.91254296e-02 1.00000000e+00 8.45539013e-02 2.11528483e-01
 0.00000000e+00 9.74245570e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.40956328e-03 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 7.84071053e-01
 1.78292061e-06 6.06132107e-01 6.27639028e-02 7.35517292e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.17947817e-01 5.58226144e-01
 0.00000000e+00 0.00000000e+00 4.19350289e-01 0.00000000e+00
 9.17296686e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 8.56619458e-02 0.00000000e+00 1.00000000e+00
 8.65147689e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.72782791e-01 2.74536385e-03
 0.00000000e+00 0.00000000e+00 5.35528455e-02 2.66780324e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 9.64035593e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00604624e-02 0.00000000e+00
 0.00000000e+00 9.09409360e-01 0.00000000e+00 5.70244321e-01
 1.00000000e+00 0.00000000e+00 4.54287279e-03 0.00000000e+00
 5.86147081e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 4.96979689e-01 0.00000000e+00 5.43073001e-01
 1.00000000e+00 4.21734665e-01 1.00000000e+00 4.92402499e-05
 0.00000000e+00 0.00000000e+00 1.00000000e+00 7.03274105e-01]"
8,"1,202,434",5.000000,38.760405,31/100 (31.00%),"[1.00000000e+00 1.00000000e+00 7.51780754e-02 0.00000000e+00
 0.00000000e+00 5.89220748e-01 8.98948541e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.96981083e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.44384145e-01 6.37893119e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.71553227e-01 7.86605119e-01 1.16633391e-02
 1.00000000e+00 1.03202921e-01 7.66781943e-02 3.35722397e-01
 3.85982981e-02 0.00000000e+00 1.01739723e-01 1.75676867e-01
 3.24119024e-01 0.00000000e+00 7.39983345e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 7.91886588e-01
 0.00000000e+00 1.00000000e+00 6.76532599e-01 1.57252578e-03
 0.00000000e+00 0.00000000e+00 8.34612647e-01 2.24031858e-01
 0.00000000e+00 0.00000000e+00 3.14584474e-02 2.01482371e-01
 3.27270437e-04 0.00000000e+00 1.00000000e+00 1.00000000e+00
 2.92542683e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 7.82020830e-01 0.00000000e+00 4.93490672e-03 0.00000000e+00
 2.55043384e-03 1.06406152e-06 7.91886588e-01 8.43681711e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.83977257e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.52267984e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 6.75841251e-01 8.18626764e-07 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.10527238e-01 3.03905557e-01]"
9,"1,244,950",4.000000,38.084680,43/100 (43.00%),"[2.95037602e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.07108815e-04 0.00000000e+00 8.03576898e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.54392156e-01 2.00986032e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 3.14586980e-03
 1.00000000e+00 1.21271922e-01 1.39216082e-01 0.00000000e+00
 1.00000000e+00 4.58170829e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.60383952e-01 1.48477491e-01
 6.85690850e-01 3.99557551e-02 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 6.68240746e-02 0.00000000e+00 6.63009696e-01 3.30648489e-01
 1.90932056e-02 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 9.65158656e-01
 2.71268718e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 4.73746862e-01
 6.61542504e-02 1.37231992e-03 1.00000000e+00 1.00000000e+00
 4.55983718e-01 1.07383805e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 8.73519526e-01 1.00000000e+00
 3.34875588e-01 9.52867200e-03 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.17892872e-02 0.00000000e+00 1.18793630e-04 9.51855583e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 8.29388234e-01
 5.45803487e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
10,"1,247,861",7.000000,39.538777,13/100 (13.00%),"[3.72896369e-01 2.50434610e-01 0.00000000e+00 0.00000000e+00
 7.22624886e-01 0.00000000e+00 0.00000000e+00 1.28173979e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.87337811e-01
 0.00000000e+00 0.00000000e+00 9.00472881e-01 0.00000000e+00
 1.61722900e-03 2.48309720e-04 0.00000000e+00 1.00000000e+00
 2.30305198e-01 8.89960821e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 7.03046133e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.40194370e-04
 0.00000000e+00 1.00000000e+00 9.26411303e-01 0.00000000e+00
 0.00000000e+00 3.66980315e-02 0.00000000e+00 0.00000000e+00
 9.20601157e-01 0.00000000e+00 2.26318545e-03 0.00000000e+00
 1.93729264e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.17771839e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.50390953e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 9.26411303e-01 2.63025669e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.24126831e-01
 2.72116376e-01 2.27747793e-01 0.00000000e+00 2.66697048e-02
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.21547964e-02 1.48602552e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.77412273e-03
 0.00000000e+00 0.00000000e+00 1.56037319e-02 0.00000000e+00
 0.00000000e+00 1.00000000e+00 5.14551328e-01 7.34749188e-01
 0.00000000e+00 8.34901053e-01 1.00000000e+00 0.00000000e+00
 6.16875257e-01 9.26411303e-01 0.00000000e+00 1.00000000e+00]"
