Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,14.499659,23/36 (63.89%),"[0.         0.         1.         1.         0.         0.
 1.         0.86412597 0.         0.         1.         1.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,14.861916,7/36 (19.44%),"[0.15495538 0.         0.         1.         1.         0.
 0.         0.27108965 0.62684626 0.         0.         0.
 1.         0.         1.         0.00418767 0.12472222 0.0663278
 1.         0.23954628 0.         0.68818507 1.         0.33606382
 0.27265148 0.18370417 0.         0.04446252 0.13782378 1.
 0.1517673  0.99555473 1.         0.01404771 0.06239531 1.        ]"
3,"1,188,236",2.000000,14.586455,10/36 (27.78%),"[1.         0.54659634 0.44406456 0.         0.85979226 1.
 0.         0.         0.         0.42001968 0.0510003  0.27904785
 0.45328331 0.         1.         0.28536231 0.         0.
 0.         0.         1.         0.37415341 1.         0.72055455
 1.         1.         0.         0.         0.         0.22984075
 0.         0.         0.08753161 0.45650176 1.         0.60457027]"
4,"1,191,192",0.000000,0.010652,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.000000,15.176683,9/36 (25.00%),"[0.         0.42366806 0.         1.         1.         0.
 0.97157026 0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.48759938 0.97335447
 1.         1.         0.         0.35969197 0.31706161 0.
 0.21886923 0.03304009 0.21504958 0.         0.53837545 0.01949758
 0.40640335 0.59732723 1.         0.         0.60508467 0.16004628]"
6,"1,194,297",0.000000,0.147960,16/36 (44.44%),"[1.         1.         0.         0.43958372 0.23431363 0.5234233
 0.         0.         0.34539127 0.69694198 0.         0.80815035
 1.         0.70645605 0.         0.70930095 0.         0.
 0.13848394 0.         0.52681603 0.         1.         1.
 0.         0.         1.         0.31269074 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,13.126562,19/36 (52.78%),"[0.73209489 1.         0.47018868 1.         0.70005473 0.
 0.         0.40996896 0.         0.11991216 0.         1.
 0.58904448 1.         0.2118795  0.         0.         1.
 0.06430636 0.         0.         1.         1.         0.
 0.         0.88029039 1.         0.         0.         1.
 0.         0.         0.02722885 0.         0.         1.        ]"
8,"1,217,965",1.000000,14.256303,11/36 (30.56%),"[0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1.
 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.]"
9,"1,253,849",0.000000,0.539028,20/36 (55.56%),"[0.         0.97367264 0.97913931 0.         0.         0.
 1.         0.16920577 0.         0.         0.         1.
 1.         0.25290459 0.         0.         0.         1.
 0.         0.63962994 0.         1.         1.         0.
 0.         0.98020184 0.         0.         0.         1.
 0.010241   0.         0.61878485 1.         0.         1.        ]"
10,"1,317,605",2.000000,14.488202,8/36 (22.22%),"[0.33030955 0.03106679 0.64706234 1.         0.         1.
 0.83159851 0.57957924 0.2898023  0.         0.         1.
 0.19600162 0.35676521 0.         0.02653074 0.28004776 0.3618363
 0.         0.         0.27110319 0.         0.88957745 1.
 0.8218935  0.85787463 0.         1.         0.         0.47226575
 0.         0.         0.         1.         0.         0.        ]"
