Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_different_for_each_variables.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.03
	Standard Deviation = 0.8179853299418028
Average Performance = 81.44630192502532%
Runtime:
	Average = 10.70938707113266
	Total = 1070.938707113266
Optimal = 28/100 (28.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
1.   ID = 1,003,822 , Fitness = 1.0000    (Iteration: 1000), Runtime = 14.4997, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
2.   ID = 1,124,444 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.8619, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
3.   ID = 1,188,236 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.5865, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
4.   ID = 1,191,192 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0107 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
5.   ID = 1,192,723 , Fitness = 2.0000    (Iteration: 1000), Runtime = 15.1767, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
6.   ID = 1,194,297 , Fitness = 0.0000    (Iteration:   11), Runtime = 0.1480 , Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 5.0000    , Performance = 100.00%
7.   ID = 1,198,412 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.1266, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
8.   ID = 1,217,965 , Fitness = 1.0000    (Iteration: 1000), Runtime = 14.2563, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
9.   ID = 1,253,849 , Fitness = 0.0000    (Iteration:   42), Runtime = 0.5390 , Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
10.  ID = 1,317,605 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.4882, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
11.  ID = 1,332,159 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.9950, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
12.  ID = 1,341,844 , Fitness = 1.0000    (Iteration: 1000), Runtime = 14.3272, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
13.  ID = 1,343,094 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.4006, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
14.  ID = 1,350,652 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.7318, Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
