Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.793045,23/36 (63.89%),"[1.         0.         0.         0.81791441 0.87711338 0.32763876
 1.         0.         1.         0.48819769 0.329625   0.9175862
 0.         0.         0.52482568 0.         0.17296897 0.62577709
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",4.000000,15.700828,7/36 (19.44%),"[0.17221541 0.         0.         1.         1.         0.
 0.61654066 0.32605917 0.83383602 0.         0.         0.38585899
 0.57788779 0.41814153 0.57955697 0.48034745 0.04977695 0.11535343
 0.34216477 0.31182366 0.19660932 0.21953852 0.05136611 0.5758186
 0.7546412  0.38564729 0.38770718 0.77763251 0.18203668 0.87419668
 0.0863691  0.50896793 0.79632289 0.33236153 0.34224119 0.28034214]"
3,"1,188,236",2.000000,14.114640,10/36 (27.78%),"[0.91279381 0.55540698 0.22651065 0.         1.         1.
 0.         0.         0.14220368 0.45923746 0.         0.35024117
 1.         0.76349915 0.         1.         0.20629436 0.
 0.         0.         0.         0.71635037 0.30947102 0.13385038
 1.         1.         0.         0.24612879 0.         0.97636667
 0.         0.         0.22680831 0.67902957 0.         0.63317783]"
4,"1,191,192",0.000000,0.009186,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,14.363854,9/36 (25.00%),"[4.85565954e-04 2.61443777e-01 0.00000000e+00 6.32373326e-01
 7.71016256e-01 4.61577678e-01 5.62002105e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.28885641e-01
 5.97475679e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 2.33114811e-01 5.53467951e-01 1.97257260e-01 1.42089065e-01
 0.00000000e+00 5.80824305e-02 3.51125151e-01 3.31531138e-01
 9.46667456e-01 5.78456151e-01 4.35680723e-01 2.21361748e-01
 9.94399201e-01 6.46389066e-01 1.24650624e-01 3.37353869e-01
 6.72651174e-01 5.25819654e-01 4.77634380e-01 1.83497113e-01]"
6,"1,194,297",2.000000,15.297124,16/36 (44.44%),"[0.1756895  0.36436479 0.04806228 0.19770095 0.48919997 0.6906734
 0.50046501 0.62594982 0.3248913  0.31691824 0.42669446 0.79708981
 0.10813459 0.04731541 0.74651491 0.47260409 0.         0.
 0.25693781 0.         0.73078929 0.         1.         1.
 0.         0.         0.43841586 0.83853936 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,14.414887,19/36 (52.78%),"[0.07612884 0.71655814 0.45298947 0.67611093 0.52871129 0.
 0.81405923 0.44087062 0.86142763 0.25976454 0.         1.
 0.77248484 0.04923969 0.74393304 0.         0.         1.
 0.08414547 0.49760939 0.         1.         1.         0.
 0.42502228 0.20894201 1.         0.         0.         1.
 0.         0.         0.85659346 0.         0.         1.        ]"
8,"1,217,965",2.000000,14.906611,11/36 (30.56%),"[0.05611602 0.37693814 0.16855343 0.21414687 0.67416685 0.81905788
 0.53934477 0.6717864  0.38311879 0.23371485 0.04969946 0.33962619
 0.48228912 0.         0.         0.8037239  0.2345311  0.32722358
 0.         1.         1.         0.         0.23392483 0.70797501
 1.         0.         0.         0.63077113 0.48592365 0.55941345
 1.         0.         0.38048137 0.76898504 0.29216204 0.41336609]"
9,"1,253,849",2.000000,13.197627,20/36 (55.56%),"[0.48742138 0.15537258 0.19771767 0.         0.         0.
 0.77362353 0.34761204 0.         0.         0.         1.
 0.64003476 0.19022845 0.         0.         0.         1.
 0.08535622 0.48406114 0.         1.         1.         0.
 0.16012132 0.18161888 0.94351272 0.         0.         1.
 0.79667522 0.3178265  0.8561846  0.0890816  0.         1.        ]"
10,"1,317,605",3.000000,15.185621,8/36 (22.22%),"[0.57160465 0.34954368 0.67767214 0.46992217 0.45274468 0.4242868
 0.57097242 0.13020259 0.68471561 0.22555591 0.77686795 0.60472542
 0.36001195 0.83779096 0.         0.49377325 0.32762365 0.10601222
 0.         0.78860391 0.26967758 0.         0.13040672 0.0894847
 0.38079521 0.37412482 0.         1.         0.         0.0229858
 0.29487012 0.228934   0.         1.         0.         0.58692664]"
11,"1,332,159",3.000000,14.876643,11/36 (30.56%),"[0.31120821 0.47731835 0.         0.13936372 0.         0.
 0.41150786 0.14374714 0.06859557 0.         1.         1.
 0.32432925 0.49619941 0.94593581 1.         0.         0.
 0.33857496 0.86108366 0.         0.34040697 0.07811374 1.
 0.23572237 0.8887899  0.19620811 0.10678431 0.         0.56054445
 0.04675099 0.37315453 0.96994792 0.51081059 0.19459382 0.23861033]"
12,"1,341,844",1.000000,14.872708,19/36 (52.78%),"[5.15625434e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 7.99513483e-01 4.95067549e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.21895915e-04 8.57596262e-01 5.13300490e-01 2.18790825e-01
 0.00000000e+00 0.00000000e+00 8.71037999e-01 1.79179180e-02
 2.16132274e-02 0.00000000e+00 1.00000000e+00 1.00000000e+00
 5.79244816e-02 2.51740814e-03 1.30232986e-01 1.76634847e-03
 0.00000000e+00 0.00000000e+00 3.56746448e-01 7.98567873e-01
 7.08679773e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
13,"1,343,094",2.000000,14.755901,11/36 (30.56%),"[0.         0.30213705 0.28556549 0.34822432 0.25933391 0.46754842
 1.         0.         0.41350074 0.52277689 0.21983061 0.53941074
 1.         0.         0.21368961 0.89983141 0.25080045 0.62443145
 0.         0.47447363 1.         0.46945446 0.15078004 0.37089797
 0.         0.         0.65149578 0.01173016 0.13108121 0.56720438
 1.         1.         0.         1.         0.55871374 0.47362736]"
14,"1,350,652",1.000000,12.710617,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.15796595 0.         0.81062349 0.
 0.         0.14478377 0.55256556 0.28298847 0.61241321 0.32656082
 1.         0.         0.78159852 0.38046384 0.         0.96694081
 1.         0.         0.48686971 0.4434411  0.27119544 0.58043246]"
15,"1,375,820",0.000000,0.011677,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,13.946668,16/36 (44.44%),"[0.         0.         0.85594751 0.75612026 0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         0.68892679 0.54341279 0.
 0.         0.         0.52098195 0.01181868 0.         0.18072305
 0.         0.         1.         0.         1.         0.45887344
 0.64757477 0.82407142 0.16961977 0.42302585 0.57291157 0.20970554]"
17,"1,454,003",1.000000,13.189606,16/36 (44.44%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 6.92518725e-01 4.71692038e-01 0.00000000e+00
 0.00000000e+00 4.50190098e-01 3.66039599e-01 5.34944507e-01
 1.19575861e-01 5.28427800e-01 4.23098180e-01 3.12655887e-06
 6.77741731e-02 2.80568715e-01 3.27905216e-01 5.16065239e-01
 0.00000000e+00 5.82341263e-01 9.09757704e-01 6.08063693e-01
 4.44999553e-01 3.75712491e-01 2.35117478e-01 8.05986866e-01]"
18,"1,470,603",0.000000,0.015876,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",3.000000,16.018466,6/36 (16.67%),"[1.         0.44123912 0.12287541 0.34433909 0.64174026 0.07108415
 0.         0.54758908 0.46102725 0.         1.         0.
 1.         0.         0.         0.82417043 0.15203548 0.2182148
 1.         0.         0.42538496 1.         0.47131113 0.388167
 0.         0.77999334 0.57346798 0.17743284 0.         0.7480551
 0.51047031 0.08084321 0.43054193 0.11504181 0.08226806 0.55433434]"
