Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,12.256570,23/36 (63.89%),"[0.54714834 0.         0.22078749 0.         0.38093373 0.
 1.         0.         0.66532312 0.02345808 0.62235002 0.07389608
 0.         0.         0.533049   0.         0.54028029 0.40707753
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,15.347384,7/36 (19.44%),"[0.07552029 0.         0.         1.         1.         0.
 0.92415806 1.         0.         0.         0.         0.55606697
 0.20619931 0.31511798 1.         0.66970798 0.30992138 0.
 0.64219666 0.         0.07589239 0.20569829 1.         0.98822465
 0.49443694 0.61828925 0.36868516 0.         0.40304161 0.38005948
 0.33702846 0.54494055 0.36194316 0.62182289 0.81042498 0.11393539]"
3,"1,188,236",2.000000,13.900452,10/36 (27.78%),"[0.88616367 0.87957214 0.         0.         0.         0.25872843
 0.01548252 0.         0.26694763 0.8628045  0.         1.
 0.50776027 1.         0.34952259 0.76269314 0.21522616 0.5494786
 0.         0.         0.2070273  0.09063234 0.11012916 0.
 1.         1.         0.         0.42765857 0.         0.31488067
 0.         0.         0.92799814 0.48918185 0.89041633 0.88529317]"
4,"1,191,192",0.000000,0.031250,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,13.758072,9/36 (25.00%),"[0.60560594 1.         0.         0.02570652 0.62349009 0.61234559
 0.         0.         1.         0.         0.         0.
 1.         0.         1.         0.         0.85173141 0.65549888
 0.89047139 0.49781788 0.         0.45802578 0.         0.
 0.25899304 1.         0.65138692 0.45904211 0.99447874 0.93903445
 0.         0.37509999 0.         0.         0.         0.010356  ]"
6,"1,194,297",2.000000,14.274115,16/36 (44.44%),"[0.58576101 0.10076792 0.72492092 0.59605345 0.45102262 0.
 0.27784014 0.56054582 0.         0.36321337 0.04946392 0.47988506
 0.40496261 0.93025172 0.12226399 0.86737243 0.         0.
 0.20684312 0.         0.52209805 0.         1.         1.
 0.         0.         0.65862589 0.3476506  0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",2.000000,13.629147,19/36 (52.78%),"[0.13041358 0.67829008 0.90403532 0.42087331 0.9028794  0.
 0.53917892 0.2048419  0.21796682 0.69620815 0.         1.
 0.55885124 0.01784875 0.72562512 0.         0.         1.
 0.17702192 0.41657097 0.         1.         1.         0.
 0.1473469  0.88368591 1.         0.         0.         1.
 0.         0.         0.39410552 0.         0.         1.        ]"
8,"1,217,965",3.000000,13.889811,11/36 (30.56%),"[0.         0.         0.         0.         0.25752962 0.03257139
 0.         0.00567665 0.26466655 0.73955671 0.         0.57884697
 0.         0.         0.         0.5120263  0.01796628 0.73183527
 0.         1.         1.         0.         0.         0.
 1.         0.         0.         0.55671471 0.65937959 0.34169912
 1.         0.         0.         0.0140279  0.         0.        ]"
9,"1,253,849",1.000000,12.393705,20/36 (55.56%),"[7.15587385e-01 9.90794451e-04 5.25427725e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.72787301e-01 3.71626721e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 4.31592165e-01 7.78937623e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 3.75462344e-01 5.93331515e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 6.41264252e-01 0.00000000e+00 1.80876365e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 5.89042474e-01 3.06263624e-01
 4.83616162e-01 4.60504380e-01 0.00000000e+00 1.00000000e+00]"
10,"1,317,605",1.000000,13.908081,8/36 (22.22%),"[1.         0.         1.         0.00832006 0.80515714 0.59005419
 1.         0.         0.65832057 0.         0.         0.
 0.40100326 1.         0.         0.         0.13263797 0.
 0.12768808 1.         0.         0.         1.         1.
 1.         0.07216188 0.         1.         0.         0.
 0.56732762 0.30778915 0.         1.         0.         0.        ]"
11,"1,332,159",2.000000,14.196760,11/36 (30.56%),"[0.         0.71052815 0.         0.54692506 0.         0.
 0.15028327 0.50743828 0.49393972 0.         1.         1.
 0.         0.05843315 1.         1.         0.         0.
 0.06409806 0.29230663 0.         0.         0.5924368  1.
 0.22439032 0.52648528 0.02723796 1.         0.         0.44244701
 0.06090393 0.52578835 0.15560378 0.72306415 0.45573229 0.        ]"
12,"1,341,844",0.000000,0.131948,19/36 (52.78%),"[0.83079495 0.         1.         1.         0.         1.
 0.85619701 0.04168304 0.         0.         0.         1.
 0.19590069 1.         0.51717755 0.44610603 0.         0.
 0.73747309 0.         0.         0.         1.         1.
 0.96025473 0.37549607 0.85599061 0.92922876 0.         0.
 0.18122662 0.         0.29764896 0.         1.         1.        ]"
13,"1,343,094",3.000000,13.936364,11/36 (30.56%),"[0.         0.34922028 0.         0.         0.         0.68003544
 1.         0.         0.         0.15209513 0.01603398 0.55690079
 1.         0.         0.81447704 0.80940658 0.         0.00122673
 0.         0.         0.         0.49769561 0.         0.34637433
 0.         0.         0.22567057 0.         0.75787763 0.
 1.         1.         0.         0.47695232 0.67535219 0.        ]"
14,"1,350,652",1.000000,12.729404,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.44434744 0.         0.3973968  0.
 0.         0.92313963 0.78491574 0.27181782 0.44452741 0.4114902
 1.         0.         0.         1.         0.         1.
 1.         0.         0.16986436 1.         0.26538106 1.        ]"
15,"1,375,820",0.000000,0.016006,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,13.440074,16/36 (44.44%),"[0.         0.         1.         0.58559565 0.         1.
 0.         1.         0.         0.06902097 0.         1.
 0.         1.         0.         0.51762971 0.40019224 0.
 0.         0.         0.11493485 1.         0.33722561 0.69169633
 0.         0.67857383 0.00662106 0.09406879 0.00470754 0.74728388
 0.20614972 0.88572979 0.12590799 0.55046832 0.7920885  0.08093696]"
17,"1,454,003",1.000000,12.496634,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.89111252 1.         0.         0.         0.41235617
 0.57944069 0.19506393 0.40039233 0.61017766 0.36011174 0.78607215
 0.43010725 1.         0.43593645 0.9908883  0.         0.95566287
 0.2039807  1.         0.20111733 0.32171765 0.23409946 0.1604624 ]"
18,"1,470,603",0.000000,0.015902,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",3.000000,13.926150,6/36 (16.67%),"[0.00000000e+00 3.00645530e-01 4.60747526e-05 1.49064652e-01
 0.00000000e+00 1.60105542e-01 0.00000000e+00 2.61816661e-01
 5.91208077e-01 7.99064572e-01 3.05358698e-01 9.56629001e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 4.16740534e-01
 0.00000000e+00 9.58136102e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 2.73257084e-08 2.33200350e-01 0.00000000e+00
 0.00000000e+00 3.10270323e-01 0.00000000e+00 0.00000000e+00
 5.52080687e-01 3.97773416e-05 6.48646930e-02 9.15938488e-01
 7.32210716e-01 0.00000000e+00 8.71056284e-01 0.00000000e+00]"
20,"1,505,558",3.000000,14.871069,7/36 (19.44%),"[0.02932764 0.         0.2696426  0.23958666 0.8497246  1.
 0.03694771 0.87664646 0.879428   0.16646659 0.17144532 0.15955132
 0.         0.23792655 0.         0.         0.         0.14849763
 1.         0.         0.57366332 0.         0.42926083 0.
 0.         0.         0.52034744 0.         0.         0.31196731
 1.         1.         0.         0.         0.84293662 0.92202611]"
21,"1,554,862",3.000000,14.396889,7/36 (19.44%),"[0.48009208 0.45462131 0.         1.         1.         0.
 0.00685888 0.20726515 1.         0.         0.         0.44810226
 0.0051589  0.         0.90597544 0.01236409 0.25021344 0.04675651
 0.72556649 0.97637855 0.28118955 0.5325616  0.51870225 0.49903683
 0.00273485 0.         0.         0.31403432 0.16959957 0.16196461
 0.71524914 0.63539263 0.00702724 0.04315736 0.         0.39063897]"
22,"1,568,229",1.000000,12.654400,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.84896872
 1.         0.         0.         0.         0.4894021  1.
 0.         0.         1.         0.02130564 0.         0.17320953
 0.         0.         0.73440465 0.17378438 0.         0.82136349
 1.         1.         0.         0.41544998 0.45911397 0.
 0.         0.         0.45763963 0.5315699  0.74245347 0.        ]"
23,"1,589,978",2.000000,12.357719,20/36 (55.56%),"[1.         0.         0.         0.68030587 0.53846378 0.
 1.         0.         0.09026215 0.18933989 0.         0.01156707
 0.         0.24540856 0.         0.28439713 0.81785901 1.
 0.46119096 0.43235473 0.67659909 1.         0.         0.
 0.         0.37403687 0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.        ]"
24,"1,605,903",2.000000,14.685808,8/36 (22.22%),"[0.15546329 1.         0.05929867 0.9644893  1.         0.22384253
 0.         0.91555475 0.         0.05962595 0.20222678 0.31997133
 1.         0.         1.         0.34003733 0.36089562 0.
 1.         0.         0.23094015 1.         0.74099492 0.24561139
 0.         0.54205321 1.         0.         0.         0.94866287
 0.8135576  0.46231208 0.12649885 0.         0.         0.98548339]"
25,"1,611,457",1.000000,13.918925,18/36 (50.00%),"[1.         0.         0.61581003 0.         0.         0.47647652
 1.         0.         1.         0.         0.17586632 0.
 0.         1.         0.         0.         1.         0.7415342
 0.         1.         0.         0.98761147 0.00114196 0.123356
 1.         0.         0.03303859 0.         0.09175109 0.50708625
 1.         0.         1.         0.90753378 0.34634113 0.5373921 ]"
