Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_reverse_learning_init_population.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.35
	Standard Deviation = 0.9526279441628828
Average Performance = 74.03495440729483%
Runtime:
	Average = 10.978399238586427
	Total = 1097.8399238586426
Optimal = 20/100 (20.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
1.   ID = 1,003,822 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.2566, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
2.   ID = 1,124,444 , Fitness = 2.0000    (Iteration: 1000), Runtime = 15.3474, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
3.   ID = 1,188,236 , Fitness = 2.0000    (Iteration: 1000), Runtime = 13.9005, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
4.   ID = 1,191,192 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0313 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
5.   ID = 1,192,723 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.7581, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
6.   ID = 1,194,297 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.2741, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
7.   ID = 1,198,412 , Fitness = 2.0000    (Iteration: 1000), Runtime = 13.6291, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
8.   ID = 1,217,965 , Fitness = 3.0000    (Iteration: 1000), Runtime = 13.8898, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  50.00%
9.   ID = 1,253,849 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.3937, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
10.  ID = 1,317,605 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.9081, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
11.  ID = 1,332,159 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.1968, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
12.  ID = 1,341,844 , Fitness = 0.0000    (Iteration:    9), Runtime = 0.1319 , Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
13.  ID = 1,343,094 , Fitness = 3.0000    (Iteration: 1000), Runtime = 13.9364, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  50.00%
14.  ID = 1,350,652 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.7294, Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
15.  ID = 1,375,820 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0160 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
16.  ID = 1,430,637 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.4401, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
17.  ID = 1,454,003 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.4966, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
18.  ID = 1,470,603 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0159 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
19.  ID = 1,480,509 , Fitness = 3.0000    (Iteration: 1000), Runtime = 13.9261, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
20.  ID = 1,505,558 , Fitness = 3.0000    (Iteration: 1000), Runtime = 14.8711, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
21.  ID = 1,554,862 , Fitness = 3.0000    (Iteration: 1000), Runtime = 14.3969, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
22.  ID = 1,568,229 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.6544, Preprocessed = 18/36 ( 50.00%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
23.  ID = 1,589,978 , Fitness = 2.0000    (Iteration: 1000), Runtime = 12.3577, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
24.  ID = 1,605,903 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.6858, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
25.  ID = 1,611,457 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.9189, Preprocessed = 18/36 ( 50.00%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
26.  ID = 1,615,209 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.3951, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
27.  ID = 1,700,818 , Fitness = 1.0000    (Iteration: 1000), Runtime = 11.6130, Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
28.  ID = 1,744,893 , Fitness = 3.0000    (Iteration: 1000), Runtime = 12.2359, Preprocessed = 18/36 ( 50.00%), Preprocessed Fitness = 5.0000    , Performance =  40.00%
29.  ID = 1,771,362 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.9495, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
30.  ID = 1,807,054 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.5181, Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 2.0000    , Performance =  50.00%
31.  ID = 1,821,140 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.7188, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
32.  ID = 1,823,388 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.5366, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
