Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.033058,23/36 (63.89%),"[0.57952781 0.         0.         0.94424244 1.         0.37939069
 1.         0.31755881 0.95298375 0.39928257 0.         0.86707637
 0.         0.         1.         0.         0.2961531  0.90971639
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,14.809198,7/36 (19.44%),"[0.69230649 0.         0.         1.         1.         0.
 0.01598021 0.07382217 0.07657308 0.         0.         0.54756284
 0.12614186 0.60526243 0.57234381 0.19757805 0.244504   0.57692048
 0.04493313 0.20571698 0.03790209 0.36340592 0.02637186 0.
 0.99936934 0.57438183 0.04229773 0.37486428 1.         0.69264024
 0.04234671 0.06537142 0.53462941 0.7586729  0.09282511 0.        ]"
3,"1,188,236",2.000000,14.086635,10/36 (27.78%),"[0.31392578 0.51034732 0.55931006 0.         0.39504069 0.14590143
 0.21995188 0.         0.27553366 0.36713902 0.26404648 0.37947266
 0.49180958 0.84748301 0.98041474 0.4077816  0.21641451 0.70955264
 0.         0.         0.33118626 0.56698657 0.28166592 0.55523326
 1.         1.         0.         0.85440839 0.         0.19855873
 0.         0.         0.40222505 0.16895058 0.60648631 0.88592536]"
4,"1,191,192",0.000000,0.015624,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",3.000000,14.836618,9/36 (25.00%),"[0.91119554 0.08574191 0.         0.16308855 0.18318159 0.91407022
 0.50207021 0.         1.         0.         0.         0.73760533
 0.         0.         1.         0.         0.13336457 0.27108321
 0.61316562 0.59677472 0.         1.         0.39747304 0.19442793
 0.0698121  0.08036019 0.30652167 0.46436577 0.         0.76936286
 0.01564792 0.67393592 0.         0.40643871 0.         1.        ]"
6,"1,194,297",2.000000,13.765364,16/36 (44.44%),"[0.18438164 0.77056343 0.92406931 0.39811762 0.00343684 0.03370356
 0.         0.39644537 0.38990965 0.95025581 0.         0.
 0.34258106 0.53108351 0.         0.71956566 0.         0.
 1.         0.         0.14099487 0.         1.         1.
 0.         0.         0.95734046 1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,13.021675,19/36 (52.78%),"[0.56354174 0.55528587 0.         0.66979449 0.         0.
 0.20790475 0.01267399 0.23186919 0.54172157 0.         1.
 0.2244792  0.         0.45639036 0.         0.         1.
 0.84705029 0.64711737 0.         1.         1.         0.
 0.49527593 0.         1.         0.         0.         1.
 0.         0.         0.56354174 0.         0.         1.        ]"
8,"1,217,965",2.000000,14.738886,11/36 (30.56%),"[0.43553784 1.         0.06627174 0.67743229 0.58520878 0.1587897
 0.53285388 0.48320724 0.0079397  0.30429863 0.38004579 0.54602975
 0.77119693 0.         0.         0.         0.         0.88644869
 0.         1.         1.         0.         0.80963082 0.24526669
 1.         0.         0.         0.68637424 0.4503841  0.60671631
 1.         0.         0.00633731 1.         0.34128417 1.        ]"
9,"1,253,849",2.000000,12.675240,20/36 (55.56%),"[0.55128147 0.41539848 0.31626673 0.         0.         0.
 0.2127726  0.85509919 0.         0.         0.         1.
 0.         0.59526326 0.         0.         0.         1.
 0.11211579 0.37216179 0.         1.         1.         0.
 0.26056151 0.76033309 0.8483107  0.         0.         1.
 0.743122   0.1817608  0.38202872 0.66126473 0.         1.        ]"
10,"1,317,605",2.000000,14.387667,8/36 (22.22%),"[7.11265901e-01 8.59011085e-02 2.72490194e-01 3.59252812e-05
 5.84946922e-01 9.11968450e-01 6.29698742e-01 3.00746558e-01
 4.78332589e-01 6.05221284e-01 4.00661747e-01 2.74362829e-02
 8.10832608e-03 4.63849186e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 5.71953991e-01 4.71996266e-01 4.67781830e-01
 8.44111689e-01 0.00000000e+00 6.67494571e-02 8.76071318e-01
 3.36645387e-01 6.90070066e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.54275060e-01 1.29948988e-01 8.04106380e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.27955092e-01]"
11,"1,332,159",3.000000,14.957233,11/36 (30.56%),"[0.26818531 0.40262105 0.66875631 0.53028763 0.         0.
 0.46391364 0.26712435 0.         0.         1.         1.
 0.         0.34098154 0.22034462 1.         0.         0.
 0.55694952 0.         0.         0.86748016 0.32333512 1.
 0.         0.25256603 0.25048774 0.03147222 0.         0.
 0.79733436 0.635023   0.37723187 0.         0.71887139 0.86748016]"
12,"1,341,844",2.000000,13.713053,19/36 (52.78%),"[0.07813165 0.         1.         1.         0.         1.
 0.         0.25336238 0.         0.         0.         1.
 0.61247237 0.52006608 0.03539567 0.16672917 0.         0.
 0.28867937 0.13531848 0.         0.         1.         1.
 0.41339605 0.32114295 0.02048337 0.59898385 0.         0.
 0.30586436 0.5532363  0.91013129 0.         1.         1.        ]"
13,"1,343,094",2.000000,14.554775,11/36 (30.56%),"[0.         0.62381915 0.19702333 0.26810943 0.09486149 0.19452659
 1.         0.         1.         0.         0.24814601 0.54752706
 1.         0.         0.50400421 0.44690647 0.         0.97101923
 0.         0.         0.29444    1.         0.40015829 0.
 0.         0.         0.31355175 0.95433915 0.         0.09485416
 1.         1.         0.         0.         0.95489949 0.57166864]"
14,"1,350,652",1.000000,13.271674,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         0.91022367 0.
 0.         0.72943879 0.1946233  0.         1.         0.18793155
 1.         0.         0.98237411 0.75036792 0.         0.2104366
 1.         0.         0.31729373 0.         0.66063081 0.64528285]"
15,"1,375,820",0.000000,0.006017,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",2.000000,14.567699,16/36 (44.44%),"[0.         0.         0.35268498 1.         0.         1.
 0.         1.         0.         0.53487745 0.         1.
 0.         1.         0.         0.09345323 0.06109413 0.
 0.         0.         0.50468837 0.067757   1.         0.56347326
 0.         0.46145494 0.08197995 0.9307279  0.01287385 0.26991819
 0.61547979 0.9201708  0.10645291 0.55800784 0.34502067 0.78247433]"
17,"1,454,003",2.000000,13.203786,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.68857053 0.10646921 0.         0.         0.48503513
 0.61690643 0.22546676 0.34804319 0.93206172 0.65976548 0.23464172
 0.70000837 0.42008735 0.31838634 0.23025447 0.         0.73398283
 0.42176337 0.25048686 0.16898854 0.1628609  0.04283834 0.84302785]"
18,"1,470,603",0.000000,0.015360,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",3.000000,15.503494,6/36 (16.67%),"[0.35783198 0.96176129 0.2267953  0.05019729 0.96740415 0.22269764
 0.         0.71702869 0.44224714 0.03139141 0.67710548 0.07577027
 1.         0.         0.17253206 0.11820788 0.25257118 0.28387466
 1.         0.         0.04040276 0.65512431 0.24856816 0.74933739
 0.         0.87421256 0.00206109 0.10372561 0.5564474  0.34719093
 0.42820659 0.88041429 0.33328595 0.20328694 1.         0.34889024]"
