Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,12.798263,23/36 (63.89%),"[0.83762522 0.         0.         0.         0.         0.06537243
 1.         0.47258406 1.         1.         0.         0.88438618
 0.         0.         0.         0.         0.         1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,16.063897,7/36 (19.44%),"[0.71507885 0.         0.         1.         1.         0.
 1.         0.24341825 1.         0.         0.         0.
 0.25694516 0.         1.         0.         0.         1.
 0.         0.         0.         0.41919675 0.93490599 0.
 1.         1.         0.         0.         1.         0.
 0.         0.         0.62138031 1.         0.22692423 0.45918966]"
3,"1,188,236",2.000000,16.497104,10/36 (27.78%),"[0.00000000e+00 5.74958885e-01 8.65617506e-01 0.00000000e+00
 8.42572057e-01 4.91075666e-01 1.83849683e-01 0.00000000e+00
 5.71340664e-02 3.58452122e-01 8.67263848e-01 0.00000000e+00
 8.66523451e-01 8.60275144e-01 3.69213011e-04 8.79144353e-02
 2.30930928e-02 7.58769317e-03 0.00000000e+00 0.00000000e+00
 8.66583916e-01 1.93011217e-01 8.68197621e-01 6.22963102e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 8.58153433e-01
 0.00000000e+00 1.12865435e-01 0.00000000e+00 0.00000000e+00
 8.64887551e-01 9.62257050e-03 8.67417547e-01 7.12162794e-01]"
4,"1,191,192",0.000000,0.015644,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,15.141656,9/36 (25.00%),"[1.         0.22808263 0.         1.         1.         0.
 1.         0.         1.         0.         0.         0.
 0.         0.         1.         0.         1.         1.
 1.         1.         0.         1.         0.24486302 0.
 0.31222749 0.         0.         0.         1.         1.
 1.         0.         1.         1.         0.         0.        ]"
6,"1,194,297",2.000000,13.840715,16/36 (44.44%),"[0.13511181 1.         0.         0.         0.05742273 0.34877224
 0.31853587 1.         0.21684193 0.         0.         0.
 1.         0.00337384 0.96537113 1.         0.         0.
 0.0010387  0.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",2.000000,13.463769,19/36 (52.78%),"[1.         0.33356389 0.91075262 0.96105467 0.35561072 0.
 1.         0.12028782 0.         0.24446668 0.         1.
 0.42558775 1.         0.7360796  0.         0.         1.
 1.         0.20425457 0.         1.         1.         0.
 0.66850422 0.         1.         0.         0.         1.
 0.         0.         0.68214715 0.         0.         1.        ]"
8,"1,217,965",1.000000,15.335001,11/36 (30.56%),"[0.00299699 0.70037977 0.3974173  0.98429095 1.         0.31862048
 0.         1.         0.         0.02288491 0.         0.82367272
 0.83331908 0.         0.         1.         0.         0.9956142
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         0.25150625 0.87598885 0.
 1.         0.         1.         0.64832366 0.         0.01230057]"
9,"1,253,849",1.000000,13.893643,20/36 (55.56%),"[0.3206411  0.         1.         0.         0.         0.
 1.         0.58054464 0.         0.         0.         1.
 0.47507045 0.00956586 0.         0.         0.         1.
 0.72008572 1.         0.         1.         1.         0.
 0.20873687 0.13048409 0.92540386 0.         0.         1.
 0.44556457 0.         1.         0.         0.         1.        ]"
10,"1,317,605",3.000000,16.406945,8/36 (22.22%),"[0.89242228 0.5544445  0.         0.3487619  0.         0.17367281
 0.19521519 0.40457394 1.         1.         0.33449796 0.
 0.7653868  0.32331697 0.         0.         0.         1.
 1.         0.         1.         0.         0.430098   1.
 0.28591353 0.         0.         1.         0.         0.48091765
 1.         1.         0.         1.         0.         0.28073005]"
11,"1,332,159",1.000000,15.369491,11/36 (30.56%),"[0.3455948  0.09516561 0.84762121 0.67276663 0.         0.
 0.53346334 0.94447    0.14841153 0.         1.         1.
 0.44401809 0.03079124 0.80561117 1.         0.         0.
 0.76561993 1.         0.         0.42612621 1.         1.
 0.20104074 0.         0.36871794 0.82357011 0.         0.
 0.24782248 1.         0.56975322 0.         0.86907096 0.62682357]"
12,"1,341,844",1.000000,13.353818,19/36 (52.78%),"[0.         0.         1.         1.         0.         1.
 1.         1.         0.         0.         0.         1.
 0.         0.         1.         1.         0.         0.
 0.         0.26608995 0.1986827  0.         1.         1.
 0.         0.         1.         0.30960459 0.         0.
 0.00740587 0.06949169 0.74299565 0.         1.         1.        ]"
13,"1,343,094",2.000000,15.311570,11/36 (30.56%),"[0.         0.47838529 0.         0.0914374  0.79830785 0.78951067
 1.         0.         0.         0.67900492 0.         0.03389235
 1.         0.         0.         0.64148928 0.         0.
 0.         0.         0.62764828 0.0670596  0.43660265 0.16285561
 0.         0.         0.69018382 0.         0.         0.74780304
 1.         1.         0.         0.         0.07736794 0.86415236]"
14,"1,350,652",0.000000,0.109806,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.01025985 0.         0.71828761 0.
 0.         0.88231298 1.         0.00221355 0.96921542 0.
 1.         0.         0.         0.41707226 0.         0.89441082
 1.         0.         0.60808035 0.96634216 0.35895383 0.97623264]"
