Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,18.270842,23/36 (63.89%),"[0.81658837 0.         0.39236824 0.09645596 0.873354   0.54376597
 1.         0.18634987 0.75586352 0.40477099 0.29848806 0.07031102
 0.         0.         0.81090884 0.         0.64313131 0.46988282
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",3.000000,18.902518,7/36 (19.44%),"[0.73599893 0.         0.         1.         1.         0.
 0.86335823 0.         0.07536194 0.         0.         0.90700398
 0.         0.59018485 0.         0.33485844 0.32382069 0.86425481
 0.         0.42165229 0.78127843 0.73485176 0.         0.
 0.90889346 0.9789186  0.01447417 0.         0.71076377 0.43187852
 0.35521356 0.         0.63185051 0.         1.         0.06109098]"
3,"1,188,236",2.000000,18.050992,10/36 (27.78%),"[0.87620338 0.36649083 0.65842695 0.         0.         0.53318891
 0.08265029 0.         0.54622154 0.         0.03381065 0.76677396
 1.         1.         0.07865647 0.12695092 1.         0.
 0.         0.         0.27388003 0.15740405 0.97798017 0.16011292
 1.         1.         0.         0.3920735  0.         0.91791447
 0.         0.         0.10562483 0.17155646 0.01646166 1.        ]"
4,"1,191,192",0.000000,0.007953,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,17.485203,9/36 (25.00%),"[0.90841844 0.56281175 0.         0.24529899 0.73323835 0.60083758
 0.47413816 0.         1.         0.         0.         0.37832475
 0.85974189 0.         1.         0.         0.86135207 0.67356688
 0.69483392 0.47527934 0.         0.45149952 0.46962072 0.27770818
 0.19391554 0.05592509 0.3622145  0.10521761 0.45004574 0.29292359
 0.704106   0.78256959 0.35774852 0.23451064 0.52812102 0.82730161]"
6,"1,194,297",1.000000,16.352505,16/36 (44.44%),"[0.24455485 0.         0.51257121 0.         0.3452801  0.
 0.         0.1186761  0.50729408 0.         0.79657448 1.
 1.         0.52904082 0.15253066 0.         0.         0.
 0.05997118 0.         1.         0.         1.         1.
 0.         0.         1.         0.38457842 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,17.949447,19/36 (52.78%),"[0.18807543 0.40661347 0.22793707 0.76908178 0.52562321 0.
 0.93854196 1.         0.27537541 0.42227354 0.         1.
 0.38837113 0.00131391 0.36099365 0.         0.         1.
 0.76892012 0.67355863 0.         1.         1.         0.
 0.43840523 0.16744496 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,17.493687,11/36 (30.56%),"[0.90112781 0.38328612 0.68844232 0.90112781 0.26350078 0.55429634
 1.         0.04810582 0.27279954 0.43509633 0.         0.62601744
 0.02359174 0.         0.         0.51970957 0.29609173 0.
 0.         1.         1.         0.         1.         1.
 1.         0.         0.         0.61023309 0.43984475 0.
 1.         0.         0.3884528  0.52549609 0.         0.0481147 ]"
9,"1,253,849",1.000000,15.229064,20/36 (55.56%),"[0.93413489 0.33602056 1.         0.         0.         0.
 0.93582338 0.25016504 0.         0.         0.         1.
 0.08807742 0.84729688 0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.         0.         0.35490658 0.         0.         1.
 1.         1.         0.2465426  0.12722    0.         1.        ]"
10,"1,317,605",2.000000,18.735268,8/36 (22.22%),"[1.         0.39945055 0.         0.98496009 0.5537566  0.14372647
 0.61936465 0.43637773 1.         0.28745599 0.31973153 1.
 0.         0.89851263 0.         1.         0.         0.52728135
 0.19604563 0.         0.         0.         0.         0.
 0.97491389 1.         0.         1.         0.         1.
 0.44025309 0.15949201 0.         1.         0.         0.59927738]"
11,"1,332,159",2.000000,16.796712,11/36 (30.56%),"[0.46683343 0.         1.         0.15204188 0.         0.
 0.47503072 0.37089304 0.5788621  0.         1.         1.
 0.65655179 0.33246962 0.06457171 1.         0.         0.
 0.82441977 0.19999976 0.         1.         0.4536387  1.
 0.12719814 0.         0.01532738 0.21975579 0.         1.
 0.         0.1009078  1.         0.85107351 0.40168581 0.03715116]"
12,"1,341,844",1.000000,16.784384,19/36 (52.78%),"[0.16952929 0.         1.         1.         0.         1.
 1.         0.95063077 0.         0.         0.         1.
 0.         0.36653048 0.60901669 0.63761456 0.         0.
 0.65701084 0.50266557 0.44524071 0.         1.         1.
 0.13292799 0.40546835 0.02093296 0.17934517 0.         0.
 0.         0.17992152 0.4683227  0.         1.         1.        ]"
13,"1,343,094",1.000000,17.577152,11/36 (30.56%),"[0.         1.         0.25444818 0.95614773 0.67398163 0.02237409
 1.         0.         0.64704885 0.00331963 0.31574    0.31768315
 1.         0.         1.         0.         0.14996038 0.
 0.         0.01925086 0.33621165 0.4038668  0.99356376 0.82672915
 0.         0.         0.76232196 1.         0.00843026 0.02355338
 1.         1.         0.         0.1753517  1.         1.        ]"
14,"1,350,652",1.000000,20.128147,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.36551646 0.         0.31043392 0.
 0.         1.         0.71616624 0.         0.70959075 0.96496448
 1.         0.         0.39465359 0.42139764 0.         0.17831047
 1.         0.         0.63860914 0.10943833 1.         0.53381372]"
15,"1,375,820",0.000000,0.016000,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",2.000000,16.305810,16/36 (44.44%),"[0.         0.         0.13730204 0.88362433 0.         1.
 0.         1.         0.         0.61709084 0.         1.
 0.         1.         0.         0.4835406  0.8975299  0.
 0.         0.         0.00897225 0.25631856 0.71983517 0.19139259
 0.         0.18253013 0.0550817  0.26080977 0.13251594 0.86472829
 0.32875916 0.50221048 0.79830944 0.         0.21210279 0.57433054]"
17,"1,454,003",1.000000,16.520341,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.56621299 0.6601409  0.         0.         0.42655472
 1.         0.         0.41037315 0.         0.89773915 0.65139481
 0.63807372 0.45127005 0.00943732 1.         0.         0.00382796
 0.4123166  0.05651172 1.         0.39518804 1.         1.        ]"
18,"1,470,603",0.000000,0.008039,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,18.790726,6/36 (16.67%),"[0.11211512 0.94072527 0.3455185  0.00516365 0.02111645 0.04892642
 0.         0.86368089 0.         0.6670431  0.13851535 0.
 1.         0.         0.90312703 0.06271026 0.6261357  0.61821635
 1.         0.         1.         0.         0.32357409 0.14214378
 0.         0.         0.07032918 1.         0.95559903 0.
 1.         0.75317231 0.33077051 0.07075072 0.44510545 0.09556841]"
20,"1,505,558",2.000000,17.852564,7/36 (19.44%),"[0.35215025 0.         0.20844476 0.39776787 0.54607124 0.57215106
 0.48286581 0.51580129 0.01762981 0.37073438 0.         0.00796986
 0.1178813  0.94833337 0.02944839 0.52746031 0.65611126 0.27838791
 0.         0.         0.19547204 0.24183337 0.42539161 0.
 0.         0.         1.         0.79096571 0.         0.88395544
 1.         1.         0.         0.         0.         0.92432276]"
21,"1,554,862",2.000000,17.848194,7/36 (19.44%),"[0.         0.5488637  0.         1.         1.         0.
 0.00813045 0.53801666 0.07748014 0.         0.         0.11371533
 0.16333069 0.         0.20878368 1.         0.         0.08641018
 1.         0.8776497  0.         0.61871646 0.12728299 1.
 0.31574848 0.         0.18193364 0.12864598 0.         0.47620773
 1.         1.         0.         0.06281248 0.65102919 1.        ]"
22,"1,568,229",1.000000,16.245045,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.7521187
 1.         0.         0.         0.         0.         0.
 0.         1.         0.95656383 0.30296229 0.56570881 0.8935627
 0.         0.         0.         0.07954376 0.         0.
 1.         1.         0.         0.4859219  0.12245092 0.32629361
 0.         0.         0.         0.01438967 0.67104413 0.61738012]"
23,"1,589,978",1.000000,16.109792,20/36 (55.56%),"[1.         0.         0.         1.         0.80221663 0.03470763
 1.         0.         0.46518086 0.31039735 0.         0.25544429
 0.         0.36663928 0.         0.25056285 0.73138904 1.
 0.41284482 0.         1.         1.         0.         0.
 0.75950164 0.         0.         0.         1.         1.
 0.93270968 0.         1.         1.         0.         0.        ]"
24,"1,605,903",3.000000,17.088034,8/36 (22.22%),"[0.         0.15005495 0.66383141 0.21923944 0.         0.
 0.         0.16380136 0.86647937 0.12884763 0.17864474 0.35743128
 1.         0.         0.01950378 0.41957811 0.86388367 0.
 1.         0.         0.38330247 0.32877979 0.97167921 0.
 0.         0.         0.07984417 0.         0.         0.62073918
 0.22526752 0.87499026 0.57931666 0.28320472 0.12914142 1.        ]"
25,"1,611,457",1.000000,16.370202,18/36 (50.00%),"[1.         0.         0.76722321 0.         0.14212615 0.
 1.         0.         1.         0.25688251 0.51130716 1.
 0.         1.         0.         0.87679873 0.36205676 0.36185284
 0.         1.         0.         0.68405477 0.15427455 0.7937816
 1.         0.         0.39619512 0.         0.12004474 1.
 1.         0.         1.         0.65562186 0.33100774 0.15894397]"
26,"1,615,209",2.000000,17.181996,9/36 (25.00%),"[0.44490815 0.70790587 0.62180506 0.25009512 0.55733807 0.1315365
 0.         0.07375047 0.         0.5291125  0.         0.
 0.54012019 0.         0.08555794 1.         0.17901344 0.
 0.27336934 0.98728973 0.93224424 0.15163476 0.         0.
 0.44618387 0.         0.02366559 0.         1.         0.
 0.         0.72058343 1.         0.         1.         0.        ]"
27,"1,700,818",1.000000,14.393352,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 0.42084511 0.47616402 0.         1.         0.         0.
 0.07334019 0.23706538 0.12303166 0.         0.         0.
 0.61306979 0.72103589 0.46696851 0.         1.         1.
 0.19562226 0.22551494 0.95704523 0.67654044 0.         0.        ]"
28,"1,744,893",1.000000,15.850414,18/36 (50.00%),"[0.72207449 0.36408163 0.67594413 0.97890353 0.         0.73733355
 0.8280808  0.18555561 0.         0.         0.42408759 0.51278857
 0.         0.         0.         0.83061903 0.60735121 0.
 0.         1.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
29,"1,771,362",2.000000,14.676276,15/36 (41.67%),"[0.65589554 0.8473242  0.         0.         0.45513107 0.
 0.0978885  0.         1.         1.         0.         0.46642956
 0.15336191 0.06330691 0.         0.         0.67161771 0.23238748
 0.59217965 1.         0.         1.         0.         0.98921658
 0.10517812 0.         0.         1.         0.         1.
 0.22293715 0.92286119 0.77989398 0.         0.69449352 0.35952778]"
30,"1,807,054",0.000000,0.012061,27/36 (75.00%),"[0.28047011 0.10588947 0.94666508 0.58945929 0.         0.
 0.4595954  0.32544045 0.29955008 0.         1.         1.
 0.         0.         0.57875224 0.82526931 0.         0.
 1.         1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
31,"1,821,140",1.000000,13.145826,20/36 (55.56%),"[0.62574478 0.         0.         1.         0.         1.
 0.24793988 0.20838825 0.         1.         0.         1.
 0.94637238 1.         0.         0.         0.         0.
 0.4580702  0.         0.82920963 0.94730974 0.         1.
 0.38330582 0.17275825 0.         0.         0.         1.
 0.60406849 1.         0.         1.         1.         0.        ]"
32,"1,823,388",0.000000,0.124275,19/36 (52.78%),"[0.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.
 0.39094094 0.         0.         1.         1.         0.
 0.45569944 0.95260769 1.         0.         0.         1.
 0.         0.47340994 0.00224252 0.99997769 0.06920191 1.
 1.         1.         0.         1.         0.20089766 0.20538936]"
33,"1,831,701",1.000000,14.206301,6/36 (16.67%),"[1.         0.         0.97587251 0.         0.9452936  0.7412281
 1.         0.         0.61689694 0.         0.         0.19272926
 0.         0.04332148 0.32786557 0.36224452 0.         0.90032981
 0.11340375 0.         0.05984444 0.53669906 0.46802076 0.92905973
 0.         0.06712757 0.14002047 0.58448034 0.43650909 0.02386392
 0.52573429 0.93714869 0.02759926 0.07210629 1.         0.91728795]"
