Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,12.994828,23/36 (63.89%),"[0.06784882 0.         0.2665082  0.68220319 0.80490877 0.12441595
 1.         0.70738731 0.13010349 0.21191537 0.16150447 0.9378164
 0.         0.         0.66822583 0.         0.48170019 0.50014163
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,14.891375,7/36 (19.44%),"[0.81773497 0.         0.         1.         1.         0.
 0.3380713  0.57139691 1.         0.         0.         1.
 0.         0.23434172 0.         0.         0.47373813 0.83073217
 0.         0.         1.         0.         0.         0.
 0.62088742 1.         0.         0.         0.         0.76303428
 0.         0.         0.56276607 1.         0.         1.        ]"
3,"1,188,236",3.000000,14.454934,10/36 (27.78%),"[0.00340481 0.78366929 1.         0.         0.         1.
 1.         0.         0.48340821 0.         0.         0.
 0.         0.         0.03466467 0.44619725 0.         0.
 0.         0.         0.31707746 0.67865313 0.57797097 0.
 1.         1.         0.         0.         0.         0.72700002
 0.         0.         1.         0.57192257 0.         1.        ]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",3.000000,13.702028,9/36 (25.00%),"[0.0309152  0.         0.         0.         0.         0.10768167
 0.98033825 0.         1.         0.         0.         0.06610402
 0.         0.         1.         0.         0.         0.56216524
 0.91147537 0.60710056 0.         0.0141151  0.07371201 0.92982532
 0.00495043 0.         0.08174018 1.         0.30393714 0.15699961
 1.         1.         0.         0.66609912 0.23565884 0.        ]"
6,"1,194,297",1.000000,13.506497,16/36 (44.44%),"[0.36948015 0.51417699 0.45756247 0.35561132 0.11573497 0.61602249
 0.08848084 0.89556752 0.14969395 0.45679399 0.38112944 0.59322576
 0.69574459 0.46708075 0.53516033 0.20046257 0.         0.
 0.81613279 0.         0.91315725 0.         1.         1.
 0.         0.         0.04387473 0.04861559 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",2.000000,12.838985,19/36 (52.78%),"[0.83667375 0.08453107 0.29934245 0.         0.20660616 0.
 1.         0.20610735 1.         1.         0.         1.
 0.37913507 0.50323386 0.27976151 0.         0.         1.
 0.4469941  0.         0.         1.         1.         0.
 0.33307393 0.         1.         0.         0.         1.
 0.         0.         0.69565663 0.         0.         1.        ]"
8,"1,217,965",1.000000,13.795797,11/36 (30.56%),"[1.         0.         1.         0.62816349 0.         1.
 1.         0.         0.32386842 0.         0.         1.
 0.         0.         0.         0.         0.45964427 0.
 0.         1.         1.         0.         0.65842656 1.
 1.         0.         0.         0.32869789 0.         0.37251199
 1.         0.         0.32435201 1.         1.         0.22159649]"
9,"1,253,849",1.000000,11.921393,20/36 (55.56%),"[0.42570436 1.         0.97575607 0.         0.         0.
 0.38533986 0.00719775 0.         0.         0.         1.
 0.23655997 0.0210013  0.         0.         0.         1.
 0.57244086 0.54849914 0.         1.         1.         0.
 0.15511389 0.26890258 0.71095017 0.         0.         1.
 0.31025489 0.33571671 0.91230519 0.10358954 0.         1.        ]"
10,"1,317,605",1.000000,14.190266,8/36 (22.22%),"[0.69896622 0.15006624 1.         0.56860019 0.06489087 0.50085281
 0.79087354 0.49745358 0.         0.35101582 0.42699015 0.73545085
 0.20486587 0.31201803 0.         0.50517827 0.81255079 0.22891781
 0.28156393 1.         0.61211387 0.         0.43449948 0.28408359
 0.34437335 0.10264166 0.         1.         0.         0.
 1.         0.86933073 0.         1.         0.         0.07937958]"
11,"1,332,159",2.000000,14.688179,11/36 (30.56%),"[0.91607572 0.10885901 0.16540629 0.         0.         0.
 0.25467483 0.96074323 0.76561122 0.         1.         1.
 0.11431189 0.08486423 0.05532113 1.         0.         0.
 0.95128486 0.59977277 0.         0.05226772 0.84089929 1.
 0.39347166 0.33743508 0.18390349 0.3689068  0.         0.26527517
 0.03167503 0.61006456 0.65085443 0.49072177 0.5779784  0.71607878]"
12,"1,341,844",1.000000,12.924917,19/36 (52.78%),"[0.66833055 0.         1.         1.         0.         1.
 0.9152202  0.35235236 0.         0.         0.         1.
 0.01120536 0.65883823 0.59214938 0.33232993 0.         0.
 0.01936596 0.46374753 0.27423228 0.         1.         1.
 0.44996529 0.89344441 0.61382941 0.43143131 0.         0.
 0.21203096 0.26136958 0.29270192 0.         1.         1.        ]"
13,"1,343,094",3.000000,15.050238,11/36 (30.56%),"[0.         0.72366299 1.         0.40548633 0.         0.08740085
 1.         0.         0.36028273 0.14845794 0.         0.06609276
 1.         0.         0.         0.52608201 0.         0.13354692
 0.         1.         0.11966793 1.         0.         0.
 0.         0.         0.         0.16623465 1.         0.60808116
 1.         1.         0.         0.60291325 0.         0.        ]"
14,"1,350,652",0.000000,4.038984,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.24044636 0.         0.82708109 0.
 0.         0.81565854 1.         0.22960879 0.7626332  0.03834956
 1.         0.         0.41766465 0.44255366 0.         0.50300701
 1.         0.         0.6884139  0.64513082 0.45805961 0.5973933 ]"
15,"1,375,820",0.000000,0.017409,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,13.198551,16/36 (44.44%),"[0.         0.         0.18865818 0.93442666 0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.         0.         0.24548393 0.         0.
 0.         0.         0.56209232 1.         0.         1.
 0.         0.         0.         0.38053852 0.         0.96492993
 1.         1.         0.40216906 0.71337957 1.         0.        ]"
17,"1,454,003",1.000000,13.031788,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.64496188 1.         0.         0.02164845 0.20929485 1.
 0.04861593 0.01293193 0.44264096 0.         0.         0.60797822
 0.7805959  0.57054545 0.         1.         0.8318808  0.        ]"
18,"1,470,603",0.000000,0.015625,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",3.000000,15.784235,6/36 (16.67%),"[0.1452587  0.         0.01652514 0.         1.         0.60977757
 0.         0.5672902  0.5071111  0.         0.         0.44745199
 1.         0.         0.         0.55470039 0.83483609 0.
 1.         0.         1.         0.         0.         0.
 0.         0.         0.33018058 0.9798346  0.         0.03743439
 1.         0.4213579  0.         1.         0.         1.        ]"
20,"1,505,558",2.000000,15.168816,7/36 (19.44%),"[0.26851039 0.         0.22035983 0.44150197 0.57786447 0.35517722
 0.         0.68863718 1.         0.31650324 1.         0.3836104
 0.60189469 0.45576724 0.33908144 0.05906309 0.40219019 0.91783117
 0.75845438 0.06373338 0.71942616 0.98232558 0.         0.18616678
 0.         0.         0.         0.3789907  0.         0.71929954
 1.         1.         0.         1.         0.50802378 0.0643297 ]"
21,"1,554,862",2.000000,14.614936,7/36 (19.44%),"[0.59172685 0.82739178 0.         1.         1.         0.
 0.         0.26566493 0.10305857 0.         0.         0.02781274
 0.         1.         0.40036976 0.         0.84523767 0.60305259
 0.         0.54681452 0.28943303 0.         0.         0.17939847
 0.33032307 0.         0.76864372 0.86018905 0.44173515 1.
 0.890151   1.         0.15510055 0.         0.         0.37235549]"
22,"1,568,229",1.000000,13.495876,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.32259149 0.88987654 0.03022272 0.01116897 0.14383085
 0.         0.         0.24133151 0.32978875 0.         0.68307345
 1.         1.         0.         0.10585065 0.22401631 0.88808202
 0.         0.         0.37071508 0.90725842 0.51871602 0.34910156]"
23,"1,589,978",2.000000,13.393721,20/36 (55.56%),"[1.         0.         0.76976132 0.64969946 0.         0.
 1.         0.         0.         0.02799625 0.         0.62674375
 0.         1.         0.         0.09828998 0.         1.
 0.339266   0.05017779 0.90907874 1.         0.         0.
 0.73300183 1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.        ]"
24,"1,605,903",4.000000,15.987502,8/36 (22.22%),"[1.         0.         0.         0.         0.09270274 0.
 0.         0.30271932 1.         1.         0.         1.
 1.         0.         0.23162417 0.26291516 0.07093951 0.
 1.         0.         0.31412584 0.46082038 0.         0.84355286
 0.         0.95151589 0.         0.         0.         1.
 0.         0.         0.27427104 0.56373803 1.         0.        ]"
25,"1,611,457",1.000000,13.420267,18/36 (50.00%),"[1.         0.         0.60223937 0.         0.37839474 0.47311586
 1.         0.         1.         0.00633318 0.03343177 0.41753675
 0.         1.         0.         0.42193939 0.2489609  0.86871651
 0.         1.         0.         0.17931747 0.36101778 0.92744348
 1.         0.         0.5708142  0.         0.         0.29571165
 1.         0.         1.         0.4432365  0.72553873 0.90270378]"
26,"1,615,209",2.000000,14.660044,9/36 (25.00%),"[0.61086124 0.         0.         0.         0.         1.
 1.         0.         0.         0.46315518 0.93804615 0.
 0.48769159 0.25908804 0.         0.         1.         0.
 0.61866322 0.         0.76022121 1.         0.         0.
 0.99616319 0.15609956 0.         0.         1.         0.
 0.06659139 0.23283613 1.         0.         1.         0.        ]"
27,"1,700,818",1.000000,12.079317,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 0.84126683 0.81314192 0.         1.         0.         0.
 0.         0.14941066 0.09334104 0.         0.         0.
 0.55571428 0.69281655 0.14020777 0.         1.         1.
 0.         0.39481642 1.         0.60314781 0.         0.        ]"
28,"1,744,893",1.000000,13.763804,18/36 (50.00%),"[0.43368623 0.42646628 0.5973116  0.         1.         0.
 1.         0.         0.95828098 0.         1.         0.
 1.         0.         0.         1.         0.         1.
 0.         1.         1.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
29,"1,771,362",1.000000,13.499012,15/36 (41.67%),"[0.85018699 0.94275091 0.         0.         0.44562521 0.74231654
 0.15078499 0.         1.         1.         0.         0.64642038
 0.16099543 0.41584835 0.         0.         0.01950892 0.43335016
 0.45212643 0.         0.         1.         0.         0.22104683
 0.49584272 0.         0.         1.         0.         0.50823328
 0.         0.71775313 0.93550633 0.         0.23509612 0.55844825]"
30,"1,807,054",0.000000,0.047395,27/36 (75.00%),"[0.10423927 0.         0.63773812 1.         0.         0.
 0.01886317 0.39627667 0.         0.         1.         1.
 0.         0.         0.72063497 0.78814862 0.         0.
 1.         1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
31,"1,821,140",1.000000,13.454878,20/36 (55.56%),"[0.43171266 0.50145493 0.         1.         0.         1.
 0.25413885 0.5773825  0.         1.         0.         1.
 0.65122385 0.         0.44044541 0.         0.         0.
 1.         0.45980599 0.1248463  0.42756561 0.         1.
 0.         0.66236448 0.80635082 0.         0.         1.
 0.45411188 0.46921407 0.         1.         1.         0.        ]"
