Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.458024,23/36 (63.89%),"[0.65029376 0.         0.         1.         1.         0.
 1.         0.14579317 0.60702304 0.         0.46236616 0.51167554
 0.         0.         1.         0.         0.         1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,17.580034,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.15308721
 0.         0.         0.         1.         0.21141921 0.
 1.         0.27061752 0.11203595 1.         0.20234806 0.
 1.         0.         0.         0.         1.         0.
 0.         1.         1.         0.         1.         0.        ]"
3,"1,188,236",1.000000,17.300918,10/36 (27.78%),"[0.87529546 1.         0.27190736 0.         1.         1.
 0.         0.         1.         0.53756735 0.         0.
 1.         0.6235076  0.09498249 0.19417847 0.24181541 0.
 0.         0.         0.         0.82519278 0.03441512 0.56564297
 1.         1.         0.         1.         0.         0.96341789
 0.         0.         0.29016938 0.06672594 0.         0.05716868]"
4,"1,191,192",0.000000,0.013134,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,17.125825,9/36 (25.00%),"[1.         0.00600049 0.         1.         1.         0.
 0.77643992 0.         1.         0.         0.         0.
 0.         0.         1.         0.         1.         0.79212264
 0.94872321 0.63071091 0.         1.         0.         0.
 0.45238701 0.         0.34255107 0.         1.         0.
 0.14030554 1.         1.         0.         1.         0.22207166]"
6,"1,194,297",1.000000,16.053009,16/36 (44.44%),"[0.99419411 0.35260831 0.99419411 0.99419411 0.3335968  0.
 0.         0.         0.4723063  0.         0.78682908 0.99419411
 0.99419411 0.         0.99419411 0.3430032  0.         0.
 0.99419411 0.         0.66341352 0.         1.         1.
 0.         0.         0.3548951  0.99419411 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,15.342421,19/36 (52.78%),"[7.44408422e-04 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.25570529e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.04061657e-01 1.43664139e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.76310212e-01 2.80252445e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.31045188e-01 2.51352279e-02 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
8,"1,217,965",1.000000,16.701628,11/36 (30.56%),"[0.         1.         1.         0.         1.         0.85981802
 1.         0.         0.43212949 0.         0.24076101 0.
 1.         0.         0.         0.         1.         1.
 0.         1.         1.         0.         0.38347178 0.
 1.         0.         0.         0.28488987 0.         0.
 1.         0.         0.         0.         1.         1.        ]"
9,"1,253,849",1.000000,15.156824,20/36 (55.56%),"[1.         0.17479398 0.60357669 0.         0.         0.
 1.         0.         0.         0.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.         0.81627204 0.         1.         1.         0.
 0.520396   0.         1.         0.         0.         1.
 0.37203194 0.         1.         0.         0.         1.        ]"
10,"1,317,605",1.000000,16.787088,8/36 (22.22%),"[0.         1.         0.71141287 0.         0.         1.
 1.         0.         0.         0.91064376 0.30559051 1.
 1.         0.21634113 0.         1.         0.12739307 0.06837513
 0.28914167 1.         0.         0.         0.         0.
 0.2920088  1.         0.         1.         0.         1.
 0.01945847 0.         0.         1.         0.         1.        ]"
