Number,ID,Fitness,Runtime,Preprocessed,Result
1,2024-01-01,219.000000,850.558448,0/1600 (0.00%),[0.03191674 0.02308473 0.         ... 0.         0.01005193 0.02878807]
2,2024-01-08,213.000000,816.890549,0/1600 (0.00%),[0.1480696  0.         0.16733402 ... 0.98560349 0.48881332 0.04474369]
3,2024-01-15,224.000000,815.370316,0/1600 (0.00%),[0.5511773  0.         0.2781333  ... 0.         0.05299911 0.        ]
4,2024-01-22,226.000000,831.622305,0/1600 (0.00%),[0.00187458 0.         0.00050976 ... 0.         0.05073512 0.        ]
5,2024-01-29,232.000000,829.498842,0/1600 (0.00%),"[9.90521820e-01 5.42958026e-01 0.00000000e+00 ... 1.48887607e-04
 1.45288823e-03 3.23849742e-01]"
6,2024-02-05,220.000000,830.610637,0/1600 (0.00%),"[5.29987792e-04 3.01735524e-02 0.00000000e+00 ... 0.00000000e+00
 6.44260511e-01 7.00232144e-03]"
7,2024-02-12,214.000000,832.914287,0/1600 (0.00%),[0.00185704 0.98362051 0.         ... 0.03056227 1.         0.        ]
8,2024-02-19,230.000000,831.382663,0/1600 (0.00%),[0.09740044 0.06143217 0.07050895 ... 0.18404966 0.19710397 0.        ]
9,2024-02-26,228.000000,835.018426,0/1600 (0.00%),"[1.81805459e-01 1.89492949e-01 4.16773234e-01 ... 5.60088458e-05
 6.69468020e-02 1.37631224e-02]"
10,2024-03-04,228.000000,830.868663,0/1600 (0.00%),[0.94779751 1.         0.03181829 ... 0.4029855  0.34134836 0.        ]
11,2024-03-11,228.000000,821.064878,0/1600 (0.00%),[0.         0.88788349 0.         ... 0.03176589 0.         0.03689262]
12,2024-03-18,227.000000,840.701284,0/1600 (0.00%),[0.         0.28956228 0.00213054 ... 0.44073238 0.64257121 0.98723855]
13,2024-03-25,220.000000,827.709710,0/1600 (0.00%),"[3.91124479e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
 9.90833733e-01 0.00000000e+00]"
14,2024-04-01,229.000000,828.471725,0/1600 (0.00%),[0.         0.10399444 0.44740157 ... 0.         0.10797381 0.04511746]
15,2024-04-08,224.000000,835.073515,0/1600 (0.00%),[0.81052582 0.03990276 0.         ... 1.         0.5996639  0.36564528]
16,2024-04-15,220.000000,831.807875,0/1600 (0.00%),"[1.00000000e+00 6.53941885e-05 3.78749500e-01 ... 4.07743889e-03
 0.00000000e+00 1.43660189e-01]"
17,2024-04-22,225.000000,827.726619,0/1600 (0.00%),[0.00460431 0.00031739 0.00400261 ... 0.00224604 0.00838109 0.2119748 ]
