Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",3.000000,34.665818,0/64 (0.00%),"[1.36037386e-01 4.08150548e-01 1.42084805e-01 0.00000000e+00
 2.66961822e-02 5.00002870e-01 1.30126779e-01 0.00000000e+00
 9.26114169e-01 5.13846476e-01 0.00000000e+00 2.62301694e-01
 4.13903864e-01 6.30979992e-01 8.41732145e-03 6.90344593e-01
 9.51134230e-04 0.00000000e+00 1.72603058e-02 5.23219019e-01
 4.02152955e-01 0.00000000e+00 0.00000000e+00 5.04432323e-01
 2.18492112e-01 1.00000000e+00 1.24988244e-02 1.00000000e+00
 4.65238270e-01 0.00000000e+00 1.38010167e-05 2.71639725e-01
 4.93812599e-01 6.31077777e-01 4.63692314e-01 2.72288189e-01
 5.65318036e-01 7.83052203e-01 0.00000000e+00 2.21236608e-01
 5.04658656e-01 0.00000000e+00 8.53980227e-01 2.15532124e-01
 0.00000000e+00 0.00000000e+00 8.05036400e-01 1.00000000e+00
 5.22381700e-01 7.97936827e-02 9.94278399e-01 3.14077859e-01
 7.57458313e-02 3.53221219e-01 0.00000000e+00 4.06145176e-01
 4.12481089e-01 8.60562263e-02 4.35939755e-02 1.00000000e+00
 1.00000000e+00 0.00000000e+00 5.12988144e-01 7.18574171e-01]"
2,"1,029,044",1.000000,35.045810,0/64 (0.00%),"[5.81980381e-01 0.00000000e+00 0.00000000e+00 8.64408205e-01
 6.51112942e-01 0.00000000e+00 1.00000000e+00 9.09275543e-01
 1.00000000e+00 1.86079983e-01 8.25329719e-01 3.20131209e-01
 0.00000000e+00 2.07801593e-01 0.00000000e+00 3.62272441e-03
 3.69630528e-03 2.49289362e-01 1.00000000e+00 6.67603829e-02
 2.74538461e-01 8.04173177e-01 1.22646071e-01 9.61175839e-02
 6.53871861e-01 6.56597906e-01 7.30249542e-02 4.80111073e-01
 3.29195681e-01 8.99947988e-01 2.74229107e-01 1.00000000e+00
 3.57731388e-04 4.49646803e-01 6.88230281e-01 1.39872769e-02
 1.00000000e+00 0.00000000e+00 6.83630147e-01 1.28573084e-01
 0.00000000e+00 1.02816139e-01 9.92993538e-01 1.04859888e-01
 7.91376380e-01 7.41735716e-04 8.43392600e-01 0.00000000e+00
 1.56099531e-02 0.00000000e+00 9.34567972e-02 8.64408205e-01
 1.91425755e-01 8.26249473e-01 0.00000000e+00 7.46223992e-01
 0.00000000e+00 3.86067972e-01 1.38542849e-01 1.00000000e+00
 7.07282327e-03 1.00000000e+00 2.50176784e-01 1.00000000e+00]"
3,"1,100,332",3.000000,32.999004,0/64 (0.00%),"[1.59783144e-02 1.00000000e+00 7.53404352e-01 0.00000000e+00
 7.33228281e-01 0.00000000e+00 1.23241364e-01 0.00000000e+00
 2.13264116e-01 0.00000000e+00 4.01025963e-02 8.21491239e-02
 8.68345401e-01 0.00000000e+00 5.09370562e-02 9.45723880e-01
 1.00000000e+00 9.01154828e-01 4.14925571e-02 0.00000000e+00
 6.25602819e-02 0.00000000e+00 1.94922760e-01 8.97267256e-01
 1.35559923e-03 7.18242240e-02 0.00000000e+00 7.77225662e-01
 1.24793722e-02 3.95871293e-03 1.79209577e-01 0.00000000e+00
 0.00000000e+00 4.95246901e-02 0.00000000e+00 9.47340365e-01
 2.91987944e-02 6.18537484e-01 5.53116771e-01 0.00000000e+00
 8.74885910e-02 7.33832046e-01 9.74913093e-01 1.55624788e-04
 0.00000000e+00 4.91001909e-03 1.30506173e-01 0.00000000e+00
 4.02028320e-02 0.00000000e+00 1.04520286e-03 0.00000000e+00
 3.46157999e-02 4.46842794e-01 5.62989813e-05 9.64057085e-01
 5.48932882e-01 1.00000000e+00 3.30488121e-04 1.68011663e-01
 9.38233342e-01 8.06590094e-01 0.00000000e+00 9.65227151e-01]"
4,"1,110,957",4.000000,38.242778,0/64 (0.00%),"[3.46703008e-01 9.89161139e-01 9.89212694e-01 4.43763204e-01
 4.43392224e-01 1.43750274e-01 6.90180024e-01 5.76048481e-01
 0.00000000e+00 3.65187107e-01 0.00000000e+00 5.46381968e-02
 2.57317332e-07 0.00000000e+00 3.55854600e-01 0.00000000e+00
 1.16031966e-01 3.70579155e-01 3.84677442e-01 4.10198605e-01
 2.69042330e-01 0.00000000e+00 3.70720513e-01 9.01583650e-01
 0.00000000e+00 0.00000000e+00 2.66909327e-01 6.96406439e-01
 3.77077144e-02 8.49027765e-01 4.12525310e-01 5.09602392e-01
 1.86079311e-01 3.27706797e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 9.22457762e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.85537527e-01 5.98156623e-01 2.45506738e-01
 3.67709915e-01 0.00000000e+00 9.08473041e-01 6.35775268e-02
 9.92946959e-01 1.67475918e-01 4.64727206e-01 3.81863184e-01
 0.00000000e+00 0.00000000e+00 5.53731098e-01 2.80036015e-02
 1.00000000e+00 0.00000000e+00 6.46524719e-01 8.84645688e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.05979132e-01]"
5,"1,129,625",3.000000,34.606989,0/64 (0.00%),"[0.         0.22066547 0.         0.         0.08314171 0.93920664
 0.00654517 0.00260792 0.91651289 0.0355745  0.         0.55444211
 0.35170786 0.55789681 0.         0.         0.61547991 0.0214515
 0.         1.         0.12588538 0.16534407 0.91388075 0.25141959
 0.09367441 0.58173763 0.77437223 0.         0.01384882 0.12745611
 1.         0.16819029 0.91995154 0.13924831 0.35738798 0.68667651
 0.53826192 0.02142131 0.27927081 0.97440852 1.         0.00499754
 0.         0.00823426 0.06484096 0.         0.         0.97432319
 0.         0.         0.00434185 0.93472169 0.         0.74205936
 0.12843352 0.         0.11807694 0.83256581 1.         0.
 0.00402837 0.61392936 0.         0.37324183]"
6,"1,149,616",3.000000,35.048425,0/64 (0.00%),"[3.58316251e-01 3.94814322e-01 2.16515437e-01 7.61873083e-01
 0.00000000e+00 5.15706109e-01 1.81908089e-04 3.58286956e-01
 3.12222459e-01 8.10826906e-01 1.45355494e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 3.12005884e-01
 8.02719660e-01 1.35871518e-01 4.81808170e-01 0.00000000e+00
 2.31699703e-05 1.37224818e-01 7.05845665e-01 1.45315445e-01
 7.93453155e-01 0.00000000e+00 0.00000000e+00 8.02719660e-01
 4.25331789e-01 0.00000000e+00 8.02220415e-01 3.82284814e-03
 0.00000000e+00 7.90926953e-01 1.21530295e-01 1.00000000e+00
 0.00000000e+00 8.02719660e-01 6.20476666e-02 4.29658375e-02
 8.40945414e-01 3.96722570e-01 7.03423925e-01 0.00000000e+00
 0.00000000e+00 3.16058861e-04 6.40901624e-01 6.44733621e-01
 6.59357363e-01 2.86597340e-01 7.06730599e-01 0.00000000e+00
 1.00000000e+00 7.74248240e-01 3.45557130e-02 0.00000000e+00
 2.10369251e-01 1.04858592e-01 2.62202655e-01 1.09583038e-01
 3.55849415e-02 0.00000000e+00 6.77072150e-01 9.69861393e-01]"
7,"1,152,113",4.000000,34.009322,0/64 (0.00%),"[3.31703141e-01 7.58130955e-02 5.29163078e-01 6.49217703e-01
 3.41962923e-01 4.40417602e-01 3.52198972e-01 4.18519087e-02
 9.94095419e-01 0.00000000e+00 1.00102322e-01 1.33577561e-03
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 8.80620945e-01 1.20449765e-01 4.39818627e-01 8.32822982e-01
 5.61240064e-01 2.60920329e-01 1.00347980e-01 8.34658911e-02
 0.00000000e+00 2.89446902e-01 1.25595373e-01 1.07591561e-01
 6.10546082e-02 1.94702466e-03 2.42788338e-01 7.71824199e-01
 2.21511701e-01 2.01910409e-05 7.50599166e-03 1.83115883e-01
 1.00000000e+00 5.57177602e-01 4.16918395e-01 1.00000000e+00
 0.00000000e+00 6.80383642e-01 8.03674497e-01 3.17551142e-01
 3.76119214e-02 1.11153134e-01 1.30998493e-02 4.10227611e-01
 0.00000000e+00 3.33540264e-01 2.28303695e-02 3.93373953e-01
 7.54463360e-02 2.87680513e-01 1.43787175e-01 8.38544141e-01
 6.79470126e-01 5.66598645e-01 7.15872984e-02 0.00000000e+00
 4.51473500e-01 0.00000000e+00 5.89826635e-04 1.00000000e+00]"
8,"1,231,208",4.000000,33.318401,0/64 (0.00%),"[6.58186528e-01 5.61292107e-01 3.41833794e-01 9.63308749e-01
 3.42748852e-02 5.36145920e-01 0.00000000e+00 3.84747701e-02
 1.17541410e-01 0.00000000e+00 9.91010217e-02 5.00354148e-01
 0.00000000e+00 9.47414960e-01 2.72742230e-02 3.26170528e-01
 3.20641136e-01 3.98423795e-01 3.52428144e-01 4.96836338e-01
 7.54955537e-03 4.54218706e-01 0.00000000e+00 3.25755706e-01
 2.05573410e-04 0.00000000e+00 3.19216807e-01 6.65590888e-01
 1.00000000e+00 0.00000000e+00 1.75125054e-01 6.80254636e-01
 4.19278648e-01 0.00000000e+00 0.00000000e+00 3.22484033e-01
 3.38171842e-01 2.50145069e-01 0.00000000e+00 5.72586816e-01
 1.00000000e+00 2.48103118e-01 3.85613053e-01 6.98113989e-01
 7.20889824e-01 7.96949424e-02 7.69726843e-01 0.00000000e+00
 9.93435633e-01 5.40173972e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.98864067e-01 9.28492732e-01 0.00000000e+00
 3.78201744e-01 0.00000000e+00 0.00000000e+00 9.51242390e-01
 1.00000000e+00 0.00000000e+00 4.66272395e-01 1.00000000e+00]"
9,"1,237,562",3.000000,33.694525,0/64 (0.00%),"[2.46494480e-01 2.60014973e-03 3.08227053e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.45117264e-01 0.00000000e+00
 1.00000000e+00 9.78258871e-01 1.17707046e-01 3.16473021e-02
 5.18765689e-01 0.00000000e+00 1.00000000e+00 4.86543921e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.23270970e-07
 7.65556178e-01 2.28861965e-01 0.00000000e+00 9.71550272e-02
 1.13824034e-02 2.08249832e-01 1.00000000e+00 5.88114715e-01
 0.00000000e+00 9.70203089e-01 1.00000000e+00 2.55626539e-01
 0.00000000e+00 8.63603248e-01 4.12258048e-01 2.85343038e-01
 2.90602537e-01 2.97017633e-05 3.46256462e-01 4.62262205e-04
 1.03267761e-01 6.52077939e-01 3.86543030e-01 5.59912154e-01
 1.00000000e+00 1.33531050e-03 3.10180356e-01 1.00000000e+00
 3.48733013e-01 0.00000000e+00 9.42046287e-01 0.00000000e+00
 3.00003255e-01 5.22362901e-01 3.46211747e-02 6.42744542e-01
 1.00000000e+00 1.11446733e-06 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]"
10,"1,279,555",2.000000,34.469229,0/64 (0.00%),"[1.00000000e+00 0.00000000e+00 5.73375940e-01 9.84010286e-02
 0.00000000e+00 1.50289490e-02 7.60362990e-01 0.00000000e+00
 6.36451411e-01 0.00000000e+00 8.53488962e-01 7.66674262e-02
 0.00000000e+00 3.17827449e-01 7.64709723e-01 2.96113950e-01
 1.88256599e-01 9.17327545e-01 4.79145088e-01 2.37811103e-01
 5.96030549e-01 1.65576314e-01 3.07869898e-07 8.34634013e-01
 2.09100867e-01 5.49489042e-01 0.00000000e+00 0.00000000e+00
 8.58159677e-01 3.65813907e-01 3.00718244e-01 9.94303457e-01
 0.00000000e+00 2.74687904e-01 0.00000000e+00 0.00000000e+00
 1.77004441e-01 1.78163226e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.90033229e-01 9.98530000e-01 1.49936700e-02
 0.00000000e+00 5.73353637e-01 5.89203760e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.28642148e-03 8.77290106e-01
 1.00000000e+00 1.39032251e-01 2.96996330e-01 2.27519939e-03
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 2.01584610e-01 2.19854713e-01 1.00000000e+00 5.25534966e-01]"
