Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",0.000000,1.502651,52/64 (81.25%),"[0.         0.         0.         0.         0.         0.
 1.         1.         0.         1.         1.         0.
 1.         0.69832415 0.         0.         1.         0.
 0.         0.         0.37239857 0.         1.         1.
 1.         0.         0.         0.         0.69850205 0.
 0.         0.         0.         1.         1.         0.
 1.         0.41819444 0.         1.         1.         0.
 0.         1.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         0.70500036
 0.         0.         0.         1.         1.         0.
 0.         0.         1.         1.        ]"
2,"1,029,044",3.000000,30.877726,9/64 (14.06%),"[1.00000000e+00 0.00000000e+00 7.73402537e-05 1.00000000e+00
 2.22082346e-01 0.00000000e+00 6.95782389e-01 5.60506590e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 6.86488892e-01
 1.78442122e-01 4.29310008e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.19653167e-01 3.79389569e-01 4.13767838e-01
 0.00000000e+00 8.25348197e-01 3.93646413e-01 1.00000000e+00
 1.00000000e+00 7.45486992e-02 6.33399248e-01 2.18698928e-01
 2.39032564e-01 3.09065985e-01 0.00000000e+00 0.00000000e+00
 3.27654977e-01 0.00000000e+00 6.83164485e-01 0.00000000e+00
 1.41179290e-03 8.33502695e-01 7.87038199e-01 2.45844795e-01
 8.07838007e-01 6.17975709e-01 4.19598205e-01 7.56171437e-01
 1.22399412e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.23152371e-01 1.85258724e-01 9.62611372e-01
 2.28986201e-05 1.47911273e-01 0.00000000e+00 0.00000000e+00
 1.89225000e-01 1.00000000e+00 1.00000000e+00 3.87973086e-04]"
3,"1,100,332",3.000000,31.101618,14/64 (21.88%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 5.86936308e-01
 2.96196697e-01 0.00000000e+00 8.28391865e-01 8.79636617e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 7.32630197e-01
 1.91765073e-02 1.18956473e-01 0.00000000e+00 2.22440114e-06
 0.00000000e+00 0.00000000e+00 3.89093557e-01 2.85655759e-02
 7.82218513e-01 7.54195839e-01 4.95255172e-02 1.66058814e-02
 1.00000000e+00 8.28391865e-01 0.00000000e+00 7.25753545e-01
 0.00000000e+00 2.03635056e-01 0.00000000e+00 3.05088882e-02
 0.00000000e+00 1.93593770e-01 1.59188432e-02 1.47566829e-01
 4.94698474e-02 5.49628314e-01 3.64689035e-02 0.00000000e+00
 0.00000000e+00 8.12407426e-01 1.00000000e+00 2.72305680e-01
 0.00000000e+00 6.97338859e-01 3.87786389e-01 0.00000000e+00
 3.71401266e-01 1.11374043e-01 1.47762707e-01 9.30896808e-01
 0.00000000e+00 1.02730410e-02 0.00000000e+00 1.00000000e+00
 5.64679624e-01 6.39204024e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 2.33962704e-01 0.00000000e+00 1.00000000e+00]"
4,"1,110,957",2.000000,29.176105,29/64 (45.31%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.96538000e-02 6.56045452e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.28273328e-02 8.10168015e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.86847013e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.10558389e-01 4.28381947e-02 9.10558389e-01
 1.00000000e+00 0.00000000e+00 7.28516182e-01 3.26739271e-02
 1.00000000e+00 0.00000000e+00 1.26039907e-02 9.18374982e-01
 0.00000000e+00 0.00000000e+00 4.79452547e-01 6.77144966e-02
 7.42898719e-01 7.86705354e-06 9.05800072e-01 1.51972348e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 9.10558389e-01
 0.00000000e+00 4.78527229e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.62499739e-02
 8.66377086e-01 8.71503167e-01 0.00000000e+00 1.00000000e+00]"
5,"1,129,625",3.000000,31.870110,10/64 (15.62%),"[1.42527489e-01 0.00000000e+00 9.72753427e-01 6.83176155e-01
 0.00000000e+00 2.12498416e-01 2.79020116e-01 0.00000000e+00
 5.57685662e-02 8.40049861e-01 3.32792991e-01 2.50649065e-01
 4.89141007e-01 3.03963863e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.32717342e-01 0.00000000e+00 1.85542275e-01
 3.09169613e-01 0.00000000e+00 5.20688383e-01 9.63472741e-01
 8.67554660e-02 4.53569728e-01 6.66219016e-01 7.75075087e-04
 1.00000000e+00 0.00000000e+00 9.71024632e-02 0.00000000e+00
 8.43449008e-01 0.00000000e+00 8.43201333e-01 0.00000000e+00
 6.17941346e-01 0.00000000e+00 6.71580715e-01 2.42137226e-01
 5.17084913e-01 3.93286122e-02 0.00000000e+00 1.00000000e+00
 0.00000000e+00 8.91904976e-01 3.42662826e-01 8.64022072e-01
 2.47005656e-01 5.61015701e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.59809162e-01 4.52723352e-03 5.45151847e-01
 3.98210062e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 3.00840133e-01 2.19771193e-01 5.17627117e-01 3.14666393e-01]"
6,"1,149,616",3.000000,29.209690,24/64 (37.50%),"[1.00000000e+00 9.94700037e-01 7.50349886e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 2.03253066e-01 8.05398285e-01 8.73763705e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 9.41191210e-02 3.10635261e-01 0.00000000e+00
 3.74345203e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.04068682e-01
 4.12395868e-01 9.93772865e-01 4.59407690e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 2.49295359e-01 2.17350703e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.30815913e-01 2.35944074e-02 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 9.68759244e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,152,113",3.000000,31.274235,9/64 (14.06%),"[8.85069096e-01 2.02115807e-01 0.00000000e+00 7.28749749e-01
 1.00000000e+00 1.17597472e-01 0.00000000e+00 1.00000000e+00
 9.09455210e-01 1.40671765e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.45747185e-01 2.48015088e-01 6.42152854e-01
 0.00000000e+00 8.83647882e-01 1.00000000e+00 0.00000000e+00
 8.61894239e-01 8.06549657e-02 9.85112924e-02 4.18766207e-01
 5.88917158e-01 0.00000000e+00 3.31552792e-01 0.00000000e+00
 8.04833539e-01 1.93942455e-01 1.79063036e-01 2.29262962e-03
 5.47100140e-01 4.83895386e-01 3.09918208e-05 3.06725097e-02
 0.00000000e+00 9.15898320e-01 1.99216029e-02 2.15454946e-01
 1.50027371e-01 2.00661501e-01 1.90754809e-01 4.77620608e-04
 4.99776820e-02 6.02317888e-01 0.00000000e+00 0.00000000e+00
 2.81196873e-02 1.00000000e+00 5.81964781e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 7.82320791e-01 2.80628391e-02 0.00000000e+00 5.49475449e-02
 8.16272883e-01 9.49089149e-01 0.00000000e+00 0.00000000e+00]"
8,"1,231,208",4.000000,31.124150,12/64 (18.75%),"[1.         1.         0.         0.21493238 1.         0.
 1.         1.         0.         0.         1.         0.76592662
 0.         0.51902763 0.         0.         0.32386002 0.04124452
 0.         0.22431709 0.         0.73912134 0.13364295 0.29259609
 0.77614457 0.         0.34907652 0.50230071 1.         0.
 0.         0.         0.59376342 0.47289888 1.         0.27572597
 0.         0.06716585 0.35672648 0.         0.24478041 0.
 0.17611622 1.         0.24387083 0.13348568 0.92609979 0.46893171
 0.         0.27597812 0.         0.71992495 0.4055229  0.
 0.56608956 0.08313822 0.07313611 0.         0.14165422 0.10732374
 0.60032596 1.         0.45685087 0.41707638]"
9,"1,237,562",3.000000,31.528255,7/64 (10.94%),"[0.00000000e+00 0.00000000e+00 6.76332746e-01 7.39512956e-01
 2.58811687e-01 0.00000000e+00 1.83856021e-01 4.75639400e-02
 0.00000000e+00 1.00000000e+00 6.92965134e-02 0.00000000e+00
 3.10396590e-01 1.00000000e+00 8.61009383e-01 1.58955051e-01
 9.41037286e-05 7.91020208e-01 3.36885058e-01 1.00000000e+00
 0.00000000e+00 4.45317131e-01 0.00000000e+00 3.42482165e-01
 0.00000000e+00 4.91648110e-02 8.35167655e-02 9.90678517e-01
 1.62765410e-01 6.89855457e-01 9.84662951e-01 7.22146528e-02
 4.25099624e-01 0.00000000e+00 5.21310990e-01 0.00000000e+00
 1.54082863e-01 0.00000000e+00 0.00000000e+00 9.59415655e-01
 2.89152263e-01 1.00000000e+00 9.22896402e-02 5.79157669e-01
 1.00000000e+00 0.00000000e+00 1.43597511e-01 8.63364856e-01
 0.00000000e+00 9.90919419e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.19628673e-01 2.12741624e-02 1.33132031e-02
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 3.08567104e-01]"
10,"1,279,555",3.000000,29.575402,18/64 (28.12%),"[3.28113695e-05 2.28889159e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 7.39982097e-03 7.54509809e-01
 0.00000000e+00 0.00000000e+00 4.38133248e-04 1.12859938e-01
 0.00000000e+00 3.79283174e-02 0.00000000e+00 8.59469441e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 7.92511180e-01 9.87045604e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 9.25175913e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.28565793e-03 0.00000000e+00 8.79665869e-01 8.83808798e-01
 0.00000000e+00 7.36928435e-01 0.00000000e+00 1.00000000e+00
 4.27335538e-04 9.98556104e-01 1.21236378e-01 2.93768437e-04
 0.00000000e+00 1.00000000e+00 2.41968897e-01 0.00000000e+00
 1.00925990e-01 6.56422928e-01 3.12231146e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.59416070e-02 9.05147431e-01 7.35012082e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
