Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.216168,23/36 (63.89%),"[0.59921567 0.         0.23934352 0.58762997 0.54166716 0.
 1.         0.05806214 0.81055975 0.43455492 0.         1.
 0.         0.         1.         0.         0.10956552 0.98768797
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",0.000000,3.207438,7/36 (19.44%),"[0.74509973 0.         0.         1.         1.         0.
 0.9942669  0.16885473 0.39965404 0.         0.         0.6322977
 0.43242382 1.         1.         0.20140785 0.24628514 0.95205206
 1.         0.37584286 0.07614695 1.         0.19740132 0.
 1.         0.36708083 0.26551628 0.6562653  0.         0.
 0.00641846 0.50413391 0.99290227 0.         1.         0.84590009]"
3,"1,188,236",1.000000,18.479211,10/36 (27.78%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 6.21950059e-01 8.57279546e-01 2.68446024e-02 0.00000000e+00
 7.36863872e-01 5.40154336e-02 4.48826483e-04 2.76406397e-01
 6.38695179e-01 9.45746404e-01 1.67167168e-01 0.00000000e+00
 1.00000000e+00 5.83174071e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.63066483e-03 1.31120449e-02
 1.00000000e+00 1.00000000e+00 0.00000000e+00 8.49523148e-01
 0.00000000e+00 8.48276234e-01 0.00000000e+00 0.00000000e+00
 2.29681033e-01 1.00000000e+00 0.00000000e+00 6.58725870e-01]"
4,"1,191,192",0.000000,0.013972,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,17.899941,9/36 (25.00%),"[0.74513788 1.         0.         0.         0.15968941 0.
 0.10180823 0.         1.         0.         0.         0.62297264
 1.         0.         1.         0.         0.06215343 1.
 0.60317526 0.0450245  0.         0.7822357  0.87951701 0.
 0.4920591  1.         1.         0.         0.         0.
 0.         0.33749039 0.4374865  1.         0.98716716 0.03907454]"
6,"1,194,297",0.000000,6.815526,16/36 (44.44%),"[0.95975055 0.94576475 0.05016696 0.15213671 0.39706349 1.
 0.17981799 0.49459853 0.38259395 0.93421858 0.09475094 1.
 0.80162976 0.77543281 0.01965035 0.79207861 0.         0.
 0.49059589 0.         0.5569386  0.         1.         1.
 0.         0.         1.         0.01474449 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.337312,19/36 (52.78%),"[1.         0.10477828 0.         0.91385212 0.7209626  0.
 0.90340465 0.1870387  0.99981448 0.0012738  0.         1.
 0.         0.13211909 1.         0.         0.         1.
 0.83414636 0.73410666 0.         1.         1.         0.
 0.01255251 0.12228136 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",0.000000,0.603383,11/36 (30.56%),"[0.1146087  1.         1.         0.38759906 0.46955105 0.15985754
 0.60747264 0.48206574 0.         1.         0.         0.50105137
 1.         0.         0.         1.         0.         0.81293857
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         0.31291977 0.97203708 0.35876438
 1.         0.         0.67582739 0.63024165 0.         0.        ]"
9,"1,253,849",0.000000,1.055773,20/36 (55.56%),"[0.         0.86109805 1.         0.         0.         0.
 0.57663648 0.27244146 0.         0.         0.         1.
 0.80346476 0.         0.         0.         0.         1.
 0.01533343 1.         0.         1.         1.         0.
 0.06005561 0.60284717 0.19117421 0.         0.         1.
 0.         0.01248997 0.7384313  0.82661285 0.         1.        ]"
10,"1,317,605",1.000000,18.758051,8/36 (22.22%),"[0.72161183 0.06179604 1.         0.01581408 0.78311449 0.63546623
 1.         0.10411765 0.73368062 0.         0.14508612 0.
 0.         0.         0.         0.75277419 0.17129416 0.96163797
 0.21525772 0.94002477 0.95601458 0.         0.         1.
 0.61200031 0.         0.         1.         0.         0.01356393
 0.65643652 0.         0.         1.         0.         0.        ]"
11,"1,332,159",0.000000,6.200958,11/36 (30.56%),"[0.         0.08668392 1.         1.         0.         0.
 0.42944553 0.29313707 0.37658988 0.         1.         1.
 0.64474738 0.01354166 0.57250744 1.         0.         0.
 1.         0.         0.         0.         0.921208   1.
 0.32133857 0.         0.97611285 0.89812519 0.         0.
 0.9188112  0.97400278 0.         0.07338613 1.         0.78242389]"
12,"1,341,844",0.000000,0.448637,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.         0.59018332 0.79297192 0.27043055 0.         0.
 1.         0.31550197 0.17418089 0.         1.         1.
 0.99240397 0.3124713  0.6419398  0.88167114 0.         0.
 0.18976689 0.08783714 0.0089282  0.         1.         1.        ]"
13,"1,343,094",1.000000,17.992708,11/36 (30.56%),"[0.         0.12656712 0.         0.00790024 1.         1.
 1.         0.         0.96532619 0.83049255 0.03120798 0.40201299
 1.         0.         0.         0.         0.         0.04155849
 0.         0.80192378 0.55606009 0.41933825 0.20450942 0.49053881
 0.         0.         0.11396528 0.80049447 0.         1.
 1.         1.         0.         0.73289858 0.30312646 0.70889629]"
14,"1,350,652",0.000000,0.552743,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.88647306 1.         0.33143228 0.52544819 0.46871894
 1.         0.         0.26750249 0.         0.         0.6650208
 1.         0.         1.         1.         0.43384601 1.        ]"
15,"1,375,820",0.000000,0.010688,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",0.000000,1.460177,16/36 (44.44%),"[0.         0.         0.72283044 0.51508388 0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         0.54731595 0.53626769 0.
 0.         0.         0.78189604 0.         0.         0.78740027
 0.         0.44549865 0.63050402 0.         0.         1.
 0.87474027 1.         0.         0.73699796 0.93139138 0.03648398]"
17,"1,454,003",1.000000,16.687222,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.89746526 0.98600355 0.         0.         0.65424257
 0.         0.         0.1277493  0.61716997 0.0331214  1.
 0.03759891 0.9270607  0.98600355 0.44473319 0.         0.16394471
 0.29207169 0.24598167 0.         1.         0.8454254  0.16558537]"
18,"1,470,603",0.000000,0.005788,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,18.747732,6/36 (16.67%),"[1.65553947e-01 3.58854858e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.74266112e-01
 8.70724231e-01 0.00000000e+00 7.54150389e-01 9.30307927e-01
 1.00000000e+00 0.00000000e+00 2.50840129e-02 0.00000000e+00
 0.00000000e+00 1.29603940e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 6.62089728e-01 1.00000000e+00 5.38412066e-02
 0.00000000e+00 0.00000000e+00 6.36851090e-01 7.44666321e-02
 8.64572085e-05 7.30828772e-01 8.54173993e-01 0.00000000e+00
 9.06692728e-01 1.08511477e-01 9.98021926e-06 8.77860463e-01]"
20,"1,505,558",1.000000,17.944155,7/36 (19.44%),"[2.07999266e-02 0.00000000e+00 9.26847360e-02 1.63348920e-01
 1.00000000e+00 2.40256863e-01 2.01718583e-01 1.00000000e+00
 1.00000000e+00 4.40238024e-01 7.87817057e-01 0.00000000e+00
 1.00000000e+00 3.58775048e-01 7.70070991e-02 3.13410757e-03
 9.80889525e-02 0.00000000e+00 9.21899880e-01 3.81966014e-01
 9.38757534e-01 1.00000000e+00 3.35579845e-01 7.93177958e-01
 0.00000000e+00 0.00000000e+00 4.31620759e-01 1.33072321e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 9.19299388e-01 7.41436470e-01 1.98053850e-04]"
21,"1,554,862",1.000000,18.712794,7/36 (19.44%),"[0.80819386 0.94797146 0.         1.         1.         0.
 0.00129593 0.0014971  0.44743211 0.         0.         0.01394009
 0.60970082 0.99008421 0.13416179 0.22898317 0.91909445 0.84410026
 0.40178669 0.         0.96354665 0.26679633 0.29641426 0.01412559
 0.1405677  0.         0.7986529  0.19973919 0.06799973 0.88938745
 1.         1.         0.46782835 0.8583948  0.53781372 0.        ]"
22,"1,568,229",0.000000,8.141710,18/36 (50.00%),"[ 1.          0.          1.          1.          0.          0.8031567
  1.          0.          0.          0.          0.13126287  0.61439207
  0.         -1.19400392 -0.89429833  1.          0.79781551  0.21211888
  0.          0.         -0.39069199  0.33966476  0.          1.
  1.          1.          0.          0.45713397  0.25942437  0.65919979
  0.          0.          0.18229032  1.          0.72225025  0.45148458]"
23,"1,589,978",0.000000,15.469507,20/36 (55.56%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 6.72094336e-05 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]"
24,"1,605,903",1.000000,17.720673,8/36 (22.22%),"[0.03338247 0.4911565  0.15948082 0.50920289 1.         0.05222938
 0.         0.75474756 0.71225995 0.0433121  0.36052464 0.14941821
 1.         0.         0.         0.16344743 0.70929597 0.89881612
 1.         0.         1.         0.75723672 0.         0.
 0.         0.92965837 0.16696204 0.         0.         0.06059034
 0.         0.89401671 0.         0.20198168 0.91672916 0.56973333]"
25,"1,611,457",1.000000,16.391761,18/36 (50.00%),"[1.         0.         0.86606143 0.         0.36958834 0.1624205
 1.         0.         1.         0.33631279 0.32625415 0.24878807
 0.         1.         0.         0.49440065 1.         1.
 0.         1.         0.         0.06343241 0.14687846 0.12265614
 1.         0.         0.66173147 0.         0.1932713  0.45635826
 1.         0.         1.         0.21039808 0.72368383 0.69297391]"
26,"1,615,209",1.000000,17.251292,9/36 (25.00%),"[1.         0.25855656 0.29202205 0.         0.         0.66512844
 1.         0.16811559 0.         0.09019364 0.         1.
 0.         0.2735604  0.         0.83409552 0.70806857 0.
 1.         1.         0.1456754  0.         0.         0.
 0.32239992 0.22080697 0.85489713 0.         1.         0.
 1.         0.37122942 0.58187747 0.         1.         0.        ]"
27,"1,700,818",0.000000,1.215044,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 0.63556223 0.124633   0.         1.         0.         0.
 0.65783535 0.07534116 1.         0.         0.         0.
 0.06203276 0.14425982 1.         0.         1.         1.
 1.         1.         0.         0.         0.         0.        ]"
28,"1,744,893",0.000000,2.834964,18/36 (50.00%),"[0.         0.6718989  1.         0.43430014 1.         0.78407496
 0.74903355 0.39474861 0.34212326 0.89060959 0.35737742 0.
 0.50338757 0.         0.         1.         0.13530119 0.18814129
 0.         1.         1.         0.         1.         0.51143528
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
29,"1,771,362",1.000000,17.122816,15/36 (41.67%),"[1.         0.494102   0.         0.         0.58931925 1.
 0.67547184 0.         1.         1.         0.         0.25048872
 0.41478633 0.45774338 0.         0.         0.82039511 1.
 0.         0.14274912 0.         1.         0.         0.
 0.77428139 0.50657376 0.         1.         0.         0.90738769
 0.30674581 0.15634707 0.33494122 0.         0.47659394 0.72755654]"
30,"1,807,054",0.000000,0.204177,27/36 (75.00%),"[ 0.39589774 -0.02218765  1.          0.56431434  0.          0.
 -0.91768832  0.48692252  0.30908866  0.          1.          1.
  0.          0.          0.58876804  0.65791723  0.          0.
  1.          1.          0.          0.          1.          1.
  0.          0.          1.          1.          0.          0.
  1.          1.          0.          0.          1.          1.        ]"
