Number,ID,Fitness,Runtime,Preprocessed,Result
1,2024-01-01,168.000000,1501.751911,416/1600 (26.00%),[0.         0.02225689 0.01432702 ... 0.         1.         0.        ]
2,2024-01-08,165.000000,1492.227750,516/1600 (32.25%),[0.024727   0.25492203 0.02911261 ... 0.19946644 0.         0.        ]
3,2024-01-15,157.000000,1512.558965,507/1600 (31.69%),[1.         0.         0.         ... 0.99930758 0.02173478 0.        ]
4,2024-01-22,154.000000,1444.734608,600/1600 (37.50%),[1.         1.         0.         ... 0.4370908  0.00859596 0.5259126 ]
5,2024-01-29,160.000000,1447.414500,556/1600 (34.75%),[0.05636666 0.92963999 0.07770041 ... 0.         1.         0.        ]
6,2024-02-05,145.000000,1441.515915,596/1600 (37.25%),[0.         0.94694119 0.89847992 ... 0.         0.         0.        ]
7,2024-02-12,150.000000,1457.370479,487/1600 (30.44%),"[0.00000000e+00 1.00000000e+00 0.00000000e+00 ... 2.27902307e-04
 5.96024009e-02 0.00000000e+00]"
8,2024-02-19,150.000000,1454.948601,529/1600 (33.06%),[0.         1.         0.         ... 0.05136744 0.         0.        ]
9,2024-02-26,160.000000,1463.336630,504/1600 (31.50%),[0.03868827 0.24008837 0.01015615 ... 0.01614467 0.         0.17215138]
10,2024-03-04,160.000000,1485.233588,460/1600 (28.75%),[0.84452653 0.         0.03452679 ... 0.06753858 0.         0.92883721]
11,2024-03-11,164.000000,1473.832832,523/1600 (32.69%),[0.40430761 0.00987272 0.         ... 0.25768904 0.         0.70167793]
12,2024-03-18,147.000000,1446.600607,631/1600 (39.44%),"[1.00000000e+00 2.18894697e-04 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 3.04491392e-02]"
13,2024-03-25,156.000000,1442.133144,514/1600 (32.12%),[0. 1. 0. ... 0. 0. 0.]
14,2024-04-01,150.000000,1450.305900,575/1600 (35.94%),"[0.00000000e+00 5.01930707e-02 0.00000000e+00 ... 0.00000000e+00
 1.00000000e+00 7.70176907e-04]"
15,2024-04-08,149.000000,1434.994798,575/1600 (35.94%),[0.08300114 1.         0.826276   ... 0.06132047 0.98858136 0.76491537]
16,2024-04-15,143.000000,1467.379369,511/1600 (31.94%),"[5.44531336e-02 0.00000000e+00 1.23178885e-03 ... 0.00000000e+00
 2.33628685e-05 0.00000000e+00]"
17,2024-04-22,149.000000,1455.346867,546/1600 (34.12%),[0.1515166  0.68449919 0.         ... 0.2067806  0.66044695 0.15678442]
