Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.033170,23/36 (63.89%),"[0.65119898 0.         0.39135641 1.         1.         0.12351024
 1.         0.23639209 1.         0.31935342 0.40270399 1.
 0.         0.         1.         0.         0.18263388 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,29.358996,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 1.         0.23487128 0.10828029 0.         0.         1.
 0.         0.70702988 0.50957893 0.         0.         0.52363049
 0.34783893 0.19760472 0.         1.         0.34770545 0.
 0.05257794 1.         0.1948972  1.         0.         0.
 0.         1.         0.         0.39039207 0.94572129 1.        ]"
3,"1,188,236",1.000000,28.565632,10/36 (27.78%),"[0.30609025 0.59226714 0.78259607 0.         0.30755546 0.09236189
 0.90101228 0.         0.36852727 0.4763611  0.87053735 0.59328852
 0.72105215 0.37509778 1.         1.         0.         0.
 0.         0.         0.01350405 0.14361013 0.69316676 1.
 1.         1.         0.         0.75933368 0.         0.
 0.         0.         0.         0.41461036 0.59980635 1.        ]"
4,"1,191,192",0.000000,0.015645,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,29.322055,9/36 (25.00%),"[0.63368371 1.         0.         0.19692817 1.         0.
 0.17313215 0.         1.         0.         0.         0.61627798
 1.         0.         1.         0.         0.         1.
 0.65290805 0.18464084 0.         0.58369457 0.97623649 0.47388189
 0.04398563 0.97623649 0.         0.20501855 0.25465766 0.
 0.25328377 1.         0.         1.         0.83523289 0.2955718 ]"
6,"1,194,297",1.000000,27.393383,16/36 (44.44%),"[0.         0.         0.65977953 0.91127952 0.09503951 0.01943262
 0.17492728 0.11465811 0.23083164 0.07228902 0.69763224 0.76333179
 0.48296393 0.55685781 0.54761599 0.         0.         0.
 0.27371539 0.         0.         0.         1.         1.
 0.         0.         0.86133445 1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,1.218645,19/36 (52.78%),"[1.         0.         0.         0.52600105 1.         0.
 1.         0.29507293 0.54990324 0.         0.         1.
 0.         0.21614756 0.52994657 0.         0.         1.
 1.         1.         0.         1.         1.         0.
 0.         0.47999236 1.         0.         0.         1.
 0.         0.         0.62555353 0.         0.         1.        ]"
8,"1,217,965",1.000000,29.445142,11/36 (30.56%),"[0.         0.51304906 0.54363324 0.         0.54531373 0.65332852
 0.98773089 0.16163604 0.01919859 1.         0.04495634 0.
 0.80404691 0.         0.         0.84958763 0.23923738 0.
 0.         1.         1.         0.         1.         0.67491458
 1.         0.         0.         0.         0.         0.47880079
 1.         0.         0.78909303 0.45624116 0.90888886 0.69954309]"
9,"1,253,849",0.000000,6.478362,20/36 (55.56%),"[0.         0.68570818 1.         0.         0.         0.
 0.72917112 0.         0.         0.         0.         1.
 0.68502631 0.00531955 0.         0.         0.         1.
 0.         0.5959846  0.         1.         1.         0.
 0.         1.         0.29859058 0.         0.         1.
 0.4878639  0.16902869 1.         0.90792021 0.         1.        ]"
10,"1,317,605",1.000000,29.902424,8/36 (22.22%),"[0.70394436 1.         0.49333277 0.29461849 1.         0.40272454
 0.         0.         0.78196013 1.         0.2644314  0.91225704
 0.25316817 0.45179662 0.         0.43543236 0.         0.71632643
 1.         1.         0.07016132 0.         0.         0.21987302
 0.37907804 0.         0.         1.         0.         0.54036289
 0.6340351  0.93678488 0.         1.         0.         0.96561537]"
11,"1,332,159",1.000000,28.287040,11/36 (30.56%),"[0.3260806  1.         1.         0.40325383 0.         0.
 0.0947645  0.         0.         0.         1.         1.
 0.37010876 0.02749131 1.         1.         0.         0.
 0.47229486 0.01092653 0.         0.4862797  0.97655928 1.
 1.         0.         0.70652987 0.35586475 0.         0.11243872
 1.         0.11759868 1.         0.         0.5341464  1.        ]"
12,"1,341,844",0.000000,3.435968,19/36 (52.78%),"[0.72057101 0.         1.         1.         0.         1.
 0.84203526 0.46294411 0.         0.         0.         1.
 0.         0.69607511 0.92494226 0.00244138 0.         0.
 0.58066243 0.         0.05950231 0.         1.         1.
 0.65287095 0.17636266 1.         1.         0.         0.
 0.         0.42211436 0.32412496 0.         1.         1.        ]"
13,"1,343,094",1.000000,29.380816,11/36 (30.56%),"[0.00000000e+00 1.00000000e+00 6.75339496e-01 0.00000000e+00
 5.85013333e-01 1.13202370e-01 1.00000000e+00 0.00000000e+00
 6.60209736e-02 1.66983467e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 5.00656656e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 8.08499724e-02 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 4.88040998e-02 9.26073298e-01
 4.02881241e-04 1.98547309e-02 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.19433905e-01 0.00000000e+00]"
14,"1,350,652",0.000000,0.279426,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.43138587 0.         0.67082119 0.
 0.         0.85357573 1.         0.         0.54937553 0.
 1.         0.         0.49780883 0.         0.         0.78625636
 1.         0.         1.         0.74554757 0.21030724 0.738078  ]"
15,"1,375,820",0.000000,0.013823,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,27.005780,16/36 (44.44%),"[0.         0.         0.15438018 0.84576908 0.         1.
 0.         1.         0.         0.66785064 0.         1.
 0.         1.         0.         0.         0.3213222  0.
 0.         0.         0.73338595 0.9341177  0.29059155 0.67578202
 0.         0.15654842 0.04239448 0.27836708 0.         0.68042391
 0.93695558 0.99877939 0.3516771  0.53957688 0.87359003 0.        ]"
17,"1,454,003",1.000000,26.600899,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.98031689 0.65374606 0.         0.         1.
 0.55375426 0.32989724 0.44640151 0.42916489 0.08197045 1.
 1.         0.25421501 0.         0.09829576 0.         0.
 0.         0.19214646 0.77754107 0.89111075 0.27702883 0.        ]"
18,"1,470,603",0.000000,0.015625,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,29.321441,6/36 (16.67%),"[7.91614044e-02 1.42992056e-04 7.86297840e-02 0.00000000e+00
 0.00000000e+00 7.78757005e-01 0.00000000e+00 2.32307712e-01
 8.34222404e-01 6.41811108e-01 4.26239412e-02 6.74030335e-01
 1.00000000e+00 0.00000000e+00 1.46174950e-01 3.34216689e-01
 0.00000000e+00 4.31057041e-02 1.00000000e+00 0.00000000e+00
 1.69011262e-01 1.00000000e+00 7.78755003e-01 0.00000000e+00
 0.00000000e+00 4.23093739e-01 4.13921002e-01 2.24032911e-02
 0.00000000e+00 6.65354181e-01 6.44763446e-01 5.57666456e-01
 1.03973621e-02 1.20407173e-01 0.00000000e+00 7.78757005e-01]"
