Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",0.000000,0.298770,52/64 (81.25%),"[0.         0.         0.         0.         0.49246418 0.
 1.         1.         0.         1.         1.         0.
 0.69244665 0.71785601 0.         0.         1.         0.
 0.         0.11020827 0.12841588 0.         1.         1.
 1.         0.         0.         0.         0.83826306 0.
 0.         0.         0.         1.         1.         0.
 1.         0.25418232 0.         1.         1.         0.
 0.         1.         0.         0.51534925 0.         1.
 1.         0.         0.         1.         0.         0.73323519
 0.25058228 0.         0.         1.         1.         0.
 0.         0.         0.92444476 0.60051775]"
2,"1,029,044",6.000000,30.079930,9/64 (14.06%),"[1.         0.         0.         1.         1.         0.
 1.         0.70674225 1.         0.         0.         0.25689398
 0.89284737 0.         0.         0.         0.         0.
 0.73485581 0.         0.         0.95926424 0.7370156  0.18981918
 0.         0.         0.7676703  0.         0.         0.93807326
 0.         0.         0.56833789 0.         0.66480896 0.
 0.         0.25875513 0.         0.         0.98881872 0.
 0.         0.72387047 1.         0.         0.66985073 0.52313125
 0.         0.         0.         0.34519602 0.         0.55047823
 0.47242725 0.63236311 0.46685352 1.         0.65336933 0.49305636
 0.         1.         1.         0.        ]"
3,"1,100,332",6.400000,28.731378,14/64 (21.88%),"[0.00000000e+00 0.00000000e+00 8.04283851e-01 8.93972226e-01
 0.00000000e+00 0.00000000e+00 8.33686969e-02 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 7.16761890e-01 6.91623653e-01 5.20129039e-02 3.45776858e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.09034126e-01
 9.02822384e-01 2.42911526e-01 5.72307089e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.68933547e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 6.03764582e-05 6.63895708e-01 1.00000000e+00
 1.00000000e+00 3.36365697e-01 0.00000000e+00 8.65204344e-02
 0.00000000e+00 1.00000000e+00 2.08779712e-01 9.98818351e-01
 0.00000000e+00 7.94606813e-01 4.16440381e-01 0.00000000e+00
 0.00000000e+00 9.47690590e-01 0.00000000e+00 1.68698859e-01
 8.62756361e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 2.40163503e-01 1.00000000e+00 5.97965542e-01 0.00000000e+00
 7.06585955e-02 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
4,"1,110,957",5.750000,27.718841,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.14779221 0.         1.         0.         0.         0.
 0.         0.         0.37810069 0.92928303 0.         1.
 1.         0.         0.92689046 0.         0.23365702 0.54618744
 1.         0.         0.         0.00172612 0.92491469 0.
 0.92926789 0.         1.         0.         0.         0.64612246
 0.         0.42098339 0.93064954 0.20630924 0.         0.
 0.00321342 0.89943434 0.5144109  0.27256412 0.80208926 0.55296313
 1.         0.         0.         0.0072225  0.00270629 0.07909003
 0.         0.00102686 1.         0.         1.         0.92556548
 0.         0.         0.92924831 0.89079887]"
5,"1,129,625",9.350000,30.032194,10/64 (15.62%),"[0.         0.         0.         0.         1.         1.
 0.17263339 0.         1.         0.77843355 0.85515512 0.
 0.92823741 0.24912854 0.33266578 0.         0.49238374 0.
 0.         0.         0.         0.44007672 0.89308494 0.88572972
 0.         0.4957263  0.         0.         0.34163726 0.
 0.62491005 0.         1.         0.94040012 0.         0.
 0.88044237 0.96440026 0.         0.85003285 0.08771482 0.71830452
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         1.         0.         0.
 1.         0.         0.65386937 0.89629285 1.         0.
 0.         0.         0.92072085 0.        ]"
6,"1,149,616",5.250000,27.943300,24/64 (37.50%),"[5.24834253e-01 8.66415383e-01 0.00000000e+00 8.55497266e-01
 2.62918900e-01 0.00000000e+00 0.00000000e+00 2.83206571e-02
 9.49658618e-02 3.73273970e-01 7.84053315e-01 7.64100945e-01
 0.00000000e+00 0.00000000e+00 2.48899750e-01 8.55497266e-01
 0.00000000e+00 1.75871810e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 7.55007938e-01
 0.00000000e+00 0.00000000e+00 4.49169900e-01 1.93464377e-01
 3.57845194e-06 1.00000000e+00 8.55497266e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 3.98315454e-01 8.52524551e-01
 0.00000000e+00 7.34664175e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 6.40124947e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 8.54198116e-01 6.47767616e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 3.41707002e-03 8.85525889e-01 8.42628087e-01 3.44004212e-02
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,152,113",10.450000,30.496634,9/64 (14.06%),"[0.67119516 0.         0.89011967 1.         0.         0.83704617
 0.80403231 0.26569966 0.         1.         0.         0.01896656
 0.43677734 0.         0.         0.         0.18304352 0.8915219
 0.         0.34637286 0.89301421 0.72719851 0.         0.
 0.88176763 0.         0.         0.4574088  0.85021191 0.
 0.41980446 0.83680277 0.88984475 0.         0.         0.22970236
 0.         0.01166749 0.93707651 0.84761517 0.         0.90935215
 0.92733148 0.         0.18703202 0.         0.         0.
 0.         0.11801928 0.0062223  0.         0.63240544 0.
 1.         1.         0.         0.         0.         0.46164571
 0.69983498 0.         0.         0.        ]"
8,"1,231,208",6.250000,31.938998,12/64 (18.75%),"[1.00000000e+00 1.00000000e+00 0.00000000e+00 4.52077250e-01
 9.63854461e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.36439223e-04
 7.75719278e-01 7.84861689e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.45875541e-03 1.00000000e+00 3.42458838e-01
 4.08391109e-01 0.00000000e+00 2.42574229e-05 1.06417557e-02
 9.31022494e-01 5.45276448e-01 3.51801245e-01 1.00000000e+00
 5.37773594e-01 1.00000000e+00 0.00000000e+00 9.79683775e-01
 2.80070634e-01 4.82454895e-01 8.79474809e-01 0.00000000e+00
 9.09229826e-02 2.16849013e-04 4.34421753e-01 8.36711631e-01
 1.00000000e+00 0.00000000e+00 5.85898759e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.37449404e-02 0.00000000e+00
 5.06087193e-01 1.19713463e-01 0.00000000e+00 0.00000000e+00
 4.03433683e-01 4.65043324e-01 6.20752344e-01 8.43334177e-01
 2.79321905e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 8.72373128e-01 0.00000000e+00 6.97532853e-02 1.00000000e+00]"
9,"1,237,562",5.850000,30.958836,7/64 (10.94%),"[7.49940316e-01 5.95058063e-02 7.26143646e-01 0.00000000e+00
 9.71982417e-01 8.26880895e-01 0.00000000e+00 4.09399277e-02
 7.71928662e-01 0.00000000e+00 8.87386111e-01 0.00000000e+00
 2.01980642e-02 3.33778520e-01 0.00000000e+00 9.73262950e-02
 4.52862047e-01 0.00000000e+00 0.00000000e+00 4.18108645e-01
 2.36569647e-02 0.00000000e+00 0.00000000e+00 3.01319789e-02
 4.58939828e-02 7.79717263e-01 9.32746837e-01 5.27529569e-01
 0.00000000e+00 7.13487505e-01 4.04252336e-01 5.77691499e-01
 2.59925991e-01 0.00000000e+00 0.00000000e+00 9.17572357e-01
 0.00000000e+00 5.73038322e-01 4.67381521e-01 8.82960021e-01
 3.33151209e-01 9.26878155e-01 7.95700028e-01 0.00000000e+00
 0.00000000e+00 3.41437633e-01 3.04925760e-01 4.82525214e-04
 7.69304819e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.64465246e-01 0.00000000e+00 0.00000000e+00
 8.50076802e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 6.88467336e-01 6.13086832e-01 9.55748721e-01]"
10,"1,279,555",5.600000,29.247766,18/64 (28.12%),"[5.59193268e-01 9.53302187e-01 7.05762172e-03 5.22207033e-02
 1.02814940e-01 7.35835382e-04 6.88382999e-01 9.91690533e-01
 2.64464695e-01 0.00000000e+00 5.49303241e-01 8.74071678e-01
 3.69781850e-01 1.04806286e-01 8.31481952e-03 9.67546589e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 3.22385636e-02
 8.92643433e-01 5.16014410e-01 5.78270795e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.16108835e-01
 6.63373236e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.24142494e-03 0.00000000e+00 2.85945361e-01 0.00000000e+00
 4.11878222e-01 3.31499947e-01 0.00000000e+00 1.00000000e+00
 5.51221690e-02 5.90287469e-01 2.17225762e-04 9.76842458e-01
 2.29269184e-02 9.81172981e-01 9.72258839e-01 0.00000000e+00
 1.87493936e-01 9.12096718e-01 2.96983776e-01 9.90966805e-01
 9.90202013e-01 6.18409187e-02 0.00000000e+00 1.00000000e+00
 2.11962557e-01 9.92921903e-01 7.89687231e-01 1.17820121e-01
 8.89049528e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
