Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",11.450000,30.198591,54/100 (54.00%),"[1.00000000e+00 0.00000000e+00 7.61358769e-01 0.00000000e+00
 3.99793011e-01 0.00000000e+00 0.00000000e+00 6.97083267e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.69292449e-04 0.00000000e+00 1.00875419e-01
 0.00000000e+00 0.00000000e+00 7.62867834e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 8.93662509e-01
 8.62328921e-01 1.79994460e-03 8.91899816e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 8.92818832e-01 2.33164260e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 3.12141417e-01 0.00000000e+00 6.99058164e-01 3.16605580e-02
 1.66074534e-01 2.72007311e-01 0.00000000e+00 5.73864696e-07
 0.00000000e+00 0.00000000e+00 7.18046126e-01 8.86303993e-01
 0.00000000e+00 8.93662509e-01 3.98224254e-01 2.47541952e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 6.02939511e-03 1.67632456e-01 4.98072667e-03 8.18443760e-01
 0.00000000e+00 1.00000000e+00 7.46672920e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.86550001e-01
 8.66903783e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.48139132e-03 1.76547569e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 9.56107174e-02 8.09358884e-01
 9.11047288e-01 8.81138398e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
2,"1,038,486",10.350000,30.827180,48/100 (48.00%),"[3.17901297e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.76459881e-01 7.44209550e-01 6.19879188e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.85071737e-01 0.00000000e+00 0.00000000e+00 6.00227193e-01
 4.55613027e-04 1.00000000e+00 0.00000000e+00 0.00000000e+00
 6.73016145e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 2.07504782e-01 4.55852288e-01 2.62790867e-03 6.93742352e-01
 1.00000000e+00 6.52773742e-01 0.00000000e+00 0.00000000e+00
 4.58232206e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 4.67281826e-01 1.00000000e+00
 2.20773350e-02 2.51949830e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 2.38146465e-01
 2.96885381e-02 9.33756895e-01 4.45153976e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 6.50358307e-01 8.74104868e-01 5.18695761e-01
 0.00000000e+00 0.00000000e+00 6.43581333e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.99915249e-01 7.08818193e-01 0.00000000e+00 8.88494065e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 6.59436205e-02 1.00000000e+00
 1.06411461e-01 1.82536414e-03 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
3,"1,054,057",14.900000,31.844227,38/100 (38.00%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 5.12786397e-01 6.04320464e-01 1.00000000e+00 0.00000000e+00
 2.06264495e-02 0.00000000e+00 2.26558921e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 6.12202354e-01
 0.00000000e+00 0.00000000e+00 7.15103046e-01 7.57780920e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.33836407e-04 3.71298325e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.89175895e-01 7.04295215e-01
 6.92397388e-01 0.00000000e+00 6.18121255e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.65848228e-01 0.00000000e+00 0.00000000e+00
 7.13671673e-01 6.81752127e-01 6.84137814e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.94485503e-01 0.00000000e+00 2.21387945e-01
 5.49567238e-01 4.86113892e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 6.45065127e-01 0.00000000e+00
 0.00000000e+00 1.03718647e-01 7.13653883e-01 0.00000000e+00
 5.68981390e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 6.95001380e-01 0.00000000e+00 5.95353125e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.20251373e-01 0.00000000e+00
 0.00000000e+00 8.29782092e-01 0.00000000e+00 3.36993594e-02
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 3.81234984e-01 6.96115935e-01 7.18463893e-01
 0.00000000e+00 0.00000000e+00 7.22104849e-01 0.00000000e+00]"
4,"1,075,756",9.150000,30.639723,43/100 (43.00%),"[1.         0.         1.         0.         0.96557612 0.96605989
 0.         0.         0.96605989 0.60445306 1.         0.
 0.95053825 0.         0.1468066  0.9522728  0.94664867 0.
 0.         0.         0.         1.         0.00809775 0.
 0.         0.         0.18058957 0.96441355 0.         0.
 0.86815665 0.78181068 0.         0.5970505  0.         1.
 0.         0.79662762 0.         0.96109752 0.06588657 0.34771868
 0.         0.98564193 0.         1.         0.         0.
 0.5311335  0.         0.36102935 0.95816556 0.16512926 0.
 0.         0.         0.25405332 0.96605989 0.87092881 0.
 0.96579523 0.86129878 0.96605989 0.         0.         1.
 0.8515464  0.         0.         0.71022837 0.         0.
 0.         0.         1.         0.         0.96122699 0.34932118
 0.         0.96605989 1.         1.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         1.
 1.         0.         1.         1.        ]"
5,"1,080,690",14.150000,31.573244,37/100 (37.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.24996804e-01 9.37451212e-01 6.11857729e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.50944453e-01 0.00000000e+00
 0.00000000e+00 9.11308450e-01 0.00000000e+00 9.08751071e-01
 0.00000000e+00 1.00000000e+00 1.38866698e-03 0.00000000e+00
 0.00000000e+00 9.71667113e-01 5.75555654e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.44413384e-01 6.81673088e-01
 0.00000000e+00 0.00000000e+00 5.09037726e-01 7.62302123e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 3.99062328e-01 8.01587991e-01 7.41677164e-06 1.18454133e-01
 8.68612302e-01 4.60243250e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 8.34479620e-05 0.00000000e+00
 9.55159948e-01 0.00000000e+00 0.00000000e+00 7.38508526e-01
 8.37969912e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.83149835e-01 1.00000000e+00 0.00000000e+00 6.16779651e-01
 6.02377195e-07 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.54886554e-01
 5.73111878e-01 1.00000000e+00 1.00000000e+00 6.10426839e-02
 8.41989496e-01 8.84710360e-01 0.00000000e+00 1.00000000e+00
 9.24989500e-01 0.00000000e+00 4.96026963e-01 0.00000000e+00
 8.36071692e-03 1.24239356e-02 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 7.94421058e-01 0.00000000e+00
 1.61258861e-02 6.29509394e-01 7.91825435e-01 1.00000000e+00
 8.54944125e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00]"
6,"1,112,058",15.100000,31.606553,31/100 (31.00%),"[0.         0.         0.97493684 1.         0.         0.
 1.         0.49034204 0.         0.         1.         0.62400015
 0.43491188 0.29941859 1.         0.2275869  1.         0.96676114
 0.71369752 0.93156574 0.91009681 0.         0.         0.
 0.         0.         0.00282918 0.         0.95312158 0.
 0.         1.         0.50614437 0.67565898 0.         1.
 0.         1.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 0.         1.         0.92136655 0.         0.         0.8936705
 0.01643828 0.         1.         0.         1.         0.
 1.         0.28918241 0.         0.15084975 1.         0.
 0.78508579 0.         1.         0.         0.45527462 0.93602733
 0.         0.00793308 1.         1.         0.29439169 0.
 0.         0.         0.         0.85798626 0.8449238  0.
 0.         0.         0.00254105 0.13893162 1.         0.94288462
 0.         0.         0.         1.         1.         0.
 0.91674787 1.         0.00371126 0.27224236]"
7,"1,147,101",17.300000,32.764854,31/100 (31.00%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.24693459e-01 8.69101365e-01 0.00000000e+00 4.95245734e-01
 0.00000000e+00 4.21297354e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.98935073e-01 1.00000000e+00 3.19654053e-01
 1.00000000e+00 7.44397735e-01 0.00000000e+00 7.75573756e-01
 6.85296127e-01 1.00000000e+00 8.33834916e-01 0.00000000e+00
 4.29839073e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 7.96897946e-01 7.59798990e-01
 5.85575656e-08 8.71943209e-01 0.00000000e+00 8.19340415e-01
 1.34816093e-02 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.61008995e-01 8.78716638e-01
 0.00000000e+00 7.09084678e-01 4.47943437e-01 0.00000000e+00
 0.00000000e+00 7.53820597e-01 6.81838819e-01 1.00000000e+00
 0.00000000e+00 3.83425498e-01 1.98657011e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 2.40361221e-02 9.23425135e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 6.67019919e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 5.39671022e-01 0.00000000e+00 0.00000000e+00
 3.93311872e-01 7.21934093e-01 0.00000000e+00 7.04414749e-01
 5.72892710e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.71556998e-01 7.05945800e-01 1.29054328e-01 1.00000000e+00]"
8,"1,202,434",14.050000,30.545824,31/100 (31.00%),"[8.60691110e-01 8.51605641e-01 7.41048572e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 9.00566136e-01 6.21591254e-02 0.00000000e+00 0.00000000e+00
 6.67623732e-01 7.58498811e-01 5.01468496e-03 0.00000000e+00
 0.00000000e+00 3.59836678e-01 6.05861434e-01 3.49751406e-02
 8.38477052e-01 8.53214121e-01 4.71274207e-02 0.00000000e+00
 2.63923637e-03 0.00000000e+00 0.00000000e+00 8.34049084e-01
 3.26652851e-02 2.49541279e-01 9.01697328e-01 2.69464563e-01
 0.00000000e+00 0.00000000e+00 8.77845376e-01 3.38437209e-01
 6.32783383e-01 9.25140491e-01 0.00000000e+00 5.88885447e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.02515541e-01 5.63350641e-01 3.70596316e-01 0.00000000e+00
 5.44765808e-05 2.75143299e-01 8.67556138e-01 8.94991399e-01
 9.50080361e-01 8.45775001e-01 0.00000000e+00 4.65547951e-01
 7.70449729e-01 8.56164007e-01 0.00000000e+00 8.63973333e-03
 4.89943003e-01 0.00000000e+00 7.83146917e-01 6.60399538e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.19051570e-04
 0.00000000e+00 0.00000000e+00 7.42651052e-01 1.48244949e-02
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 8.35093877e-01 5.88202126e-03 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
9,"1,244,950",10.850000,30.934266,43/100 (43.00%),"[0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.56498755e-01 0.00000000e+00 6.32182234e-01
 0.00000000e+00 0.00000000e+00 1.92196474e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 2.68361137e-01 9.31231283e-01
 9.33069340e-01 2.88437640e-01 0.00000000e+00 0.00000000e+00
 7.61733984e-01 6.14299018e-01 1.00000000e+00 0.00000000e+00
 1.07241286e-01 0.00000000e+00 0.00000000e+00 5.66042218e-01
 9.28447823e-01 8.72848598e-01 0.00000000e+00 5.24840596e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 7.73725052e-01
 7.05856058e-01 0.00000000e+00 8.12128062e-03 3.12033228e-01
 9.06183903e-01 3.81663551e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.26151711e-03 5.38879182e-01 0.00000000e+00
 7.25348690e-01 0.00000000e+00 1.00000000e+00 1.63029183e-02
 0.00000000e+00 1.00000000e+00 0.00000000e+00 2.64178619e-01
 0.00000000e+00 1.18057239e-04 9.21761823e-01 0.00000000e+00
 6.21940173e-01 3.93453896e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 8.14552084e-01 7.36724768e-01
 0.00000000e+00 1.22824877e-02 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.79384131e-01 8.99051704e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.82497320e-01 8.53072424e-01
 5.28446540e-02 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
10,"1,247,861",14.200000,32.926451,13/100 (13.00%),"[2.26683634e-02 6.98945514e-01 6.05964608e-01 2.87278222e-01
 0.00000000e+00 1.51486687e-01 5.27629565e-01 2.95471061e-02
 4.36137604e-01 0.00000000e+00 1.58191043e-01 9.77236590e-01
 8.20193611e-02 3.06175332e-01 1.00000000e+00 0.00000000e+00
 8.45006018e-01 1.88259091e-01 0.00000000e+00 1.00000000e+00
 1.46151203e-01 4.50228133e-01 1.31123243e-02 3.95644648e-01
 8.53999365e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.64456510e-02 0.00000000e+00
 0.00000000e+00 4.32293160e-01 0.00000000e+00 9.14185939e-01
 9.02414397e-04 8.98167720e-01 1.70277113e-02 0.00000000e+00
 5.92862794e-01 8.83791145e-02 1.37642578e-02 8.22250724e-01
 7.10355582e-01 6.44583201e-01 1.32213700e-03 1.00000000e+00
 9.89761926e-04 6.37166809e-01 7.49349533e-01 1.13679586e-02
 1.13879749e-02 0.00000000e+00 6.13348360e-02 1.83316671e-01
 0.00000000e+00 1.29754788e-04 1.45221630e-01 8.13680628e-01
 7.07980512e-02 0.00000000e+00 9.01048722e-01 1.62338535e-01
 0.00000000e+00 0.00000000e+00 3.03594019e-01 9.85308242e-01
 9.26422898e-01 7.08995065e-02 0.00000000e+00 1.40899398e-01
 9.87007328e-01 7.67794615e-01 1.41089997e-01 8.64092095e-01
 7.65790153e-02 6.71431707e-01 2.26052691e-02 0.00000000e+00
 8.87688366e-01 5.51048013e-01 2.90076861e-01 2.28962122e-02
 3.20724514e-01 8.67030164e-01 5.63034903e-01 1.34179652e-01
 0.00000000e+00 1.00000000e+00 3.65969225e-01 6.58736085e-01
 7.34241388e-01 8.09599387e-04 3.35709430e-01 1.76483337e-07
 4.24768669e-01 3.73983085e-05 0.00000000e+00 1.00000000e+00]"
