Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",1.200000,17.203882,52/64 (81.25%),"[0.         0.         0.         0.         0.47558294 0.
 1.         1.         0.         1.         1.         0.
 0.63028939 0.39890884 0.         0.         1.         0.
 0.         0.57183635 0.61854136 0.         1.         1.
 1.         0.         0.         0.         0.3249254  0.
 0.         0.         0.         1.         1.         0.
 1.         0.67531926 0.         1.         1.         0.
 0.         1.         0.         0.21441124 0.         1.
 1.         0.         0.         1.         0.         0.63926222
 0.61909758 0.         0.         1.         1.         0.
 0.         0.         0.50391578 0.46134197]"
2,"1,029,044",6.800000,22.189736,9/64 (14.06%),"[1.         0.         0.         0.63967644 0.54577747 0.14196994
 0.         0.76641438 1.         0.         0.         0.
 0.15408735 0.         0.69241537 0.         0.         0.
 0.         0.         0.88323299 0.83064854 0.46673476 0.76729718
 0.4625941  0.407896   0.54812566 0.80635349 0.         0.00294089
 0.         0.74413078 0.62090755 0.8047971  0.15884543 0.39593189
 0.03614207 0.         0.         0.         0.         0.
 0.         0.79397606 0.77648444 0.         0.84906795 0.74955197
 0.         0.         0.02883921 0.12279675 0.         1.
 0.05633246 0.88732355 0.         0.46762422 0.55374118 0.84151952
 0.         0.86658062 0.00767383 0.83883921]"
3,"1,100,332",3.800000,21.795771,14/64 (21.88%),"[0.         0.         0.74717376 0.89655007 0.48901078 0.
 0.         0.         1.         1.         0.         0.
 0.89275034 0.51930874 0.         0.87754831 0.         0.
 0.         0.         1.         1.         0.         0.8345281
 1.         0.         1.         0.         0.         0.
 0.         0.         1.         0.06078085 1.         0.
 0.         0.52089242 0.98955929 0.         0.44479046 0.
 0.         0.50389195 1.         0.04130009 0.32292651 0.
 1.         0.         0.78280496 0.36442703 0.         0.01668272
 0.         1.         0.74224048 0.         0.78293132 0.
 0.82993728 1.         0.         1.        ]"
4,"1,110,957",6.150000,19.812512,29/64 (45.31%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 5.23224925e-01 6.13539591e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.57427589e-04 2.48886557e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.97297361e-01 0.00000000e+00 2.71204183e-02 5.96065460e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 2.02214366e-01
 6.83267390e-01 2.71044650e-01 1.26870988e-01 6.69402196e-01
 1.00000000e+00 0.00000000e+00 5.48831365e-01 7.59401750e-01
 7.47140519e-01 0.00000000e+00 5.07636584e-03 8.09880848e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.68455037e-01
 5.17111012e-06 2.99172286e-01 1.51105303e-04 3.60376480e-02
 1.00000000e+00 0.00000000e+00 5.97191382e-01 1.12743704e-01
 1.37500603e-01 1.31573915e-02 0.00000000e+00 1.03680674e-05
 1.00000000e+00 0.00000000e+00 9.59774970e-01 1.58843375e-02
 4.70622054e-01 8.31755401e-01 6.70011968e-01 0.00000000e+00]"
5,"1,129,625",6.400000,22.926158,10/64 (15.62%),"[3.63056687e-01 9.42150153e-02 1.00000000e+00 2.35181687e-01
 3.08960644e-01 7.23513054e-02 9.66170520e-01 7.68021348e-01
 2.86967458e-01 7.07057411e-01 1.00000000e+00 2.68968002e-01
 7.51897065e-03 1.11473664e-02 0.00000000e+00 0.00000000e+00
 7.50938825e-01 3.91547947e-01 0.00000000e+00 3.81818180e-01
 2.83620733e-04 5.33228290e-03 4.23800418e-01 8.61893298e-02
 5.98513227e-01 3.20039964e-01 1.64370086e-01 5.29455634e-02
 5.36420521e-01 4.64490419e-01 6.04423210e-01 3.15510082e-03
 2.70994921e-01 7.75673473e-01 7.17349661e-01 0.00000000e+00
 8.23246880e-01 0.00000000e+00 8.16135718e-01 3.43991410e-02
 1.26231616e-02 2.28163081e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 6.80783940e-01 2.90344516e-01 7.35402832e-01
 6.77288211e-01 5.07037812e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 6.85314052e-01 2.15608679e-01 8.20535616e-01
 1.14426401e-01 8.85949247e-01 4.81636361e-01 0.00000000e+00
 2.50730315e-01 7.00875955e-01 2.80971961e-04 1.17511518e-04]"
6,"1,149,616",8.200000,21.182033,24/64 (37.50%),"[0.         0.         0.         0.37239592 0.         0.92594943
 0.         0.         0.         0.         0.87085102 0.87670747
 0.         0.5816234  0.         0.70053118 0.85781986 0.68111072
 0.         0.         0.86721616 0.         0.50392524 0.85227687
 0.         0.94828655 0.         0.48660415 0.88549538 0.93463883
 0.         0.         1.         0.         0.         0.
 0.         0.10141949 0.         1.         1.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.8042469  0.         0.         1.         1.
 0.         0.         0.         0.95041109 0.         0.94848226
 0.         0.         1.         1.        ]"
7,"1,152,113",9.550000,22.058380,9/64 (14.06%),"[0.17447513 0.42331789 0.11316332 0.         0.         0.78367259
 1.         0.01383833 1.         0.68148548 0.         0.43933926
 0.         0.         0.         1.         0.25098122 1.
 0.18463559 0.01365558 1.         1.         0.         1.
 1.         0.         1.         0.         0.         0.24304094
 0.86214859 0.07816773 1.         0.00946028 1.         1.
 1.         0.         1.         0.         0.         0.44687555
 0.         0.46889321 0.05877089 0.         0.         0.
 0.61453192 1.         0.48818777 0.41698896 1.         0.
 1.         1.         1.         1.         0.         0.
 1.         0.         0.         0.        ]"
8,"1,231,208",12.300000,21.613760,12/64 (18.75%),"[1.00000000e+00 1.00000000e+00 0.00000000e+00 3.45497712e-01
 7.79449254e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.40991198e-01 6.30729948e-01
 2.14820493e-02 5.72150473e-01 0.00000000e+00 0.00000000e+00
 2.35793742e-05 3.07030248e-02 0.00000000e+00 5.22119461e-01
 2.86229329e-02 8.40991198e-01 5.59657802e-01 2.19488634e-01
 8.40991198e-01 1.94571969e-03 3.77675382e-01 1.22613784e-01
 5.76406806e-01 0.00000000e+00 0.00000000e+00 1.85627658e-05
 1.00000000e+00 7.53035782e-02 2.32058814e-03 8.40991198e-01
 6.01105360e-01 3.57168714e-02 3.69173242e-01 6.07623298e-02
 0.00000000e+00 0.00000000e+00 1.96013352e-01 4.17640169e-04
 1.08641059e-02 6.97164489e-01 3.81900235e-02 0.00000000e+00
 4.48861448e-04 0.00000000e+00 0.00000000e+00 7.08808471e-04
 1.02948796e-03 8.33989195e-01 1.45594921e-01 2.35388586e-01
 8.84694111e-02 7.93965933e-01 7.33332157e-01 8.88591328e-04
 5.41809245e-02 2.33373555e-01 3.24269123e-01 0.00000000e+00]"
9,"1,237,562",14.650000,23.921673,7/64 (10.94%),"[0.         1.         1.         0.         0.         0.
 0.         1.         0.         1.         1.         0.
 0.         0.         0.         1.         0.         0.01867709
 0.         0.         0.66526171 0.         1.         0.
 0.         0.6558442  1.         0.         1.         0.
 1.         0.         1.         0.         0.         0.
 0.         1.         0.         1.         1.         1.
 0.         0.         1.         0.         0.14340516 1.
 1.         0.         0.         0.         1.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.         1.         0.        ]"
10,"1,279,555",10.950000,20.984781,18/64 (28.12%),"[1.21021072e-02 3.10638270e-01 0.00000000e+00 7.84589607e-01
 0.00000000e+00 1.92775140e-02 1.62096636e-02 6.52672750e-02
 1.36217526e-04 0.00000000e+00 8.32748065e-01 7.77992223e-01
 5.22234054e-02 7.08547314e-01 6.73944029e-01 8.15955007e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.56951442e-01
 0.00000000e+00 3.17663962e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 7.10043057e-01 1.29271056e-02 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.38454473e-02 6.73482740e-02
 8.30444924e-01 4.58106247e-01 0.00000000e+00 1.00000000e+00
 1.34219655e-02 8.21803341e-01 3.45611720e-03 5.60114254e-01
 0.00000000e+00 1.09254977e-02 0.00000000e+00 0.00000000e+00
 7.03892880e-01 8.54582673e-01 2.91135006e-01 2.63012212e-01
 1.76316580e-01 4.55863762e-04 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 7.53591228e-01 8.30874572e-01
 6.40477643e-01 5.48938927e-01 0.00000000e+00 1.00000000e+00]"
