Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.200000,14.400545,23/36 (63.89%),"[7.25772787e-01 0.00000000e+00 9.03064110e-01 3.57413449e-01
 2.90756697e-02 3.76473555e-03 1.00000000e+00 3.11026518e-10
 6.47150376e-01 9.87930621e-02 6.39724998e-01 5.16985360e-01
 0.00000000e+00 0.00000000e+00 6.39708541e-01 0.00000000e+00
 6.44082996e-03 6.85208983e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
2,"1,124,444",1.600000,12.569787,7/36 (19.44%),"[0.95118129 0.         0.         1.         1.         0.
 0.60926879 0.16052171 0.95118129 0.         0.         0.19780886
 0.33062241 0.         0.71778583 0.         0.95118129 0.95118129
 1.         0.82014118 0.         0.         0.32702113 0.
 0.95118129 0.95118129 0.         0.46027098 0.50028606 0.95118129
 0.18644512 0.         0.95118129 1.         0.         0.        ]"
3,"1,188,236",3.150000,12.132500,10/36 (27.78%),"[0.6545718  0.05192488 0.65498072 0.         0.67100633 0.74280316
 0.61763634 0.         0.61063635 0.0906555  0.71190461 0.71868039
 0.         0.55616832 0.49863771 0.34940814 0.21025845 0.09160794
 0.         0.         0.         0.64514729 0.71082683 0.
 1.         1.         0.         0.60476007 0.         0.41919238
 0.         0.         0.14702056 0.14145362 0.7010304  0.69510926]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.800000,11.711509,9/36 (25.00%),"[1.         0.49275403 0.         1.         1.         0.
 0.78791769 0.         1.         0.         0.         0.
 1.         0.         1.         0.         0.62374742 0.64967374
 0.         0.24780554 0.         1.         0.36201273 1.
 1.         0.04944215 1.         1.         0.47952138 0.
 1.         0.01335644 0.         1.         0.         0.29693824]"
6,"1,194,297",2.200000,11.252974,16/36 (44.44%),"[0.16904613 0.02200178 0.83744051 0.21503291 0.         0.68329787
 0.94519089 0.05024177 0.99524826 0.35888662 0.30436376 1.
 0.77981044 0.23167079 0.32135678 0.14341736 0.         0.
 0.08329632 0.         0.04257825 0.         1.         1.
 0.         0.         0.74505086 0.81082862 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",2.800000,10.551297,19/36 (52.78%),"[0.         0.68444011 0.60433555 1.         0.30170365 0.
 1.         0.385738   0.         0.89045538 0.         1.
 0.95385163 0.675871   0.45700078 0.         0.         1.
 0.40739184 0.14857356 0.         1.         1.         0.
 0.41130543 1.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",2.800000,11.791054,11/36 (30.56%),"[0.65896017 0.26304276 0.66828441 1.         0.76678361 0.08762924
 0.50480978 0.05670151 0.49425391 0.25899899 0.         1.
 0.35299706 0.         0.         0.21710852 0.38857438 0.5575856
 0.         1.         1.         0.         0.01115731 0.75693823
 1.         0.         0.         0.76902365 0.55140185 0.14516675
 1.         0.         0.72262301 0.60632299 0.29206679 0.04655604]"
9,"1,253,849",3.200000,9.887049,20/36 (55.56%),"[0.1323372  0.         0.10385777 0.         0.         0.
 0.99866992 0.51636907 0.         0.         0.         1.
 0.88372955 0.75201915 0.         0.         0.         1.
 0.14651351 0.09670981 0.         1.         1.         0.
 0.31030104 0.80483224 0.9658586  0.         0.         1.
 0.28905413 0.3670012  0.64707875 1.         0.         1.        ]"
10,"1,317,605",3.850000,12.442898,8/36 (22.22%),"[0.         0.         0.04200761 0.71425499 0.57403088 0.
 0.70373992 0.62193834 1.         0.28520679 0.         1.
 0.44917899 0.         0.         1.         0.         1.
 1.         0.40368938 0.         0.         0.         0.05682515
 0.         1.         0.         1.         0.         0.92988212
 0.87252477 0.96309478 0.         1.         0.         1.        ]"
11,"1,332,159",5.550000,11.776717,11/36 (30.56%),"[0.37815905 0.05399861 0.9114076  0.         0.         0.
 0.         0.67272888 0.8822474  0.         1.         1.
 0.28826587 0.         0.66861391 1.         0.         0.
 0.27925066 0.         0.         0.29629333 0.69723517 1.
 0.63930201 0.908801   0.02960285 0.78247277 0.         0.
 0.37422276 0.         0.         0.51412269 0.714605   0.        ]"
12,"1,341,844",0.000000,0.062783,19/36 (52.78%),"[0.65345394 0.         1.         1.         0.         1.
 0.76237348 0.42688166 0.         0.         0.         1.
 0.19303544 0.5737133  1.         0.40488448 0.         0.
 0.85771254 0.26598117 0.         0.         1.         1.
 0.64504272 0.29611357 0.5538361  1.         0.         0.
 0.10236923 0.28556022 0.         0.         1.         1.        ]"
13,"1,343,094",5.750000,12.249660,11/36 (30.56%),"[0.         0.86585033 0.81314956 0.         0.         0.47654728
 1.         0.         0.         0.62102383 0.8334947  0.51718734
 1.         0.         0.         0.13685249 0.         0.
 0.         0.51077222 0.87481665 0.01294739 0.         0.63306447
 0.         0.         0.         0.         0.         0.5529921
 1.         1.         0.         0.         0.60965455 0.87354661]"
14,"1,350,652",2.000000,10.453368,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.61700261 0.         0.00281309 0.
 0.         0.56695639 0.77593137 0.38653628 0.94708183 0.82188313
 1.         0.         0.37413814 0.13724986 0.         0.94354237
 1.         0.         0.88757146 0.62674558 0.66894405 0.        ]"
15,"1,375,820",0.000000,0.015953,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",4.000000,10.822690,16/36 (44.44%),"[0.         0.         0.51936795 1.         0.         1.
 0.         1.         0.         0.88266063 0.         1.
 0.         1.         0.         0.45295102 0.79912636 0.
 0.         0.         0.43592152 1.         1.         0.39051717
 0.         0.18262426 0.13091502 0.1404971  0.13060825 0.
 0.9229701  0.8027171  0.         0.75547214 1.         0.36874747]"
17,"1,454,003",3.850000,11.046614,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         0.70822488 0.         0.         0.34968151
 0.7389452  0.         0.44008433 1.         1.         0.49044963
 0.         0.42456766 1.         0.         0.         0.55398924
 0.         0.         1.         0.         0.14060004 1.        ]"
18,"1,470,603",0.000000,0.015869,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",3.200000,12.613313,6/36 (16.67%),"[0.1154882  0.21691152 0.         0.4682448  1.         0.60992862
 0.         1.         0.60337036 0.47298971 0.06956061 0.
 1.         0.         0.3746889  1.         1.         0.47092578
 1.         0.         0.65831704 0.         0.50280937 0.98553097
 0.         0.80938838 0.59331151 0.25006848 0.28203559 0.34524023
 0.13728298 1.         0.06764251 1.         0.52961196 0.41253084]"
