Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.063519,23/36 (63.89%),"[0.52972772 0.         0.39236804 0.60389646 0.5462471  0.32825218
 1.         0.27104746 0.86786706 0.11770568 0.08550064 1.
 0.         0.         0.7395447  0.         0.2564949  0.52240848
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",3.950000,12.953504,7/36 (19.44%),"[7.73624712e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.60650798e-01
 3.87227736e-01 0.00000000e+00 0.00000000e+00 7.48071794e-01
 8.06156292e-01 8.14663259e-01 7.49098166e-01 1.96731687e-01
 0.00000000e+00 8.21714337e-01 1.02741471e-01 4.11636306e-01
 5.55296920e-01 0.00000000e+00 1.47909928e-01 3.92445315e-01
 5.84539341e-01 0.00000000e+00 3.54830409e-01 1.49673493e-01
 1.14267276e-01 8.61092487e-01 6.10234269e-01 0.00000000e+00
 7.02861468e-01 6.00683495e-01 4.57005483e-06 5.80229839e-01]"
3,"1,188,236",5.400000,12.398064,10/36 (27.78%),"[1.         0.83267205 0.36790885 0.         0.24546761 0.83306712
 0.91942039 0.         0.04817711 0.         0.         1.
 0.15408839 1.         1.         1.         0.         0.31142617
 0.         0.         1.         0.05778301 0.         0.52550209
 1.         1.         0.         1.         0.         1.
 0.         0.         0.04075075 1.         1.         0.25423777]"
4,"1,191,192",0.000000,0.011018,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.200000,12.995332,9/36 (25.00%),"[0.61029076 0.26951405 0.         0.80840946 0.84146765 0.
 0.51725765 0.         1.         0.         0.         1.
 0.78577037 0.         1.         0.         0.46354193 1.
 0.08662902 0.3162249  0.         0.77371266 1.         0.30680166
 1.         0.94095529 0.17576386 0.         0.63342029 0.00749644
 0.43688962 0.3300256  0.64519147 0.92721544 0.41900673 0.41663995]"
6,"1,194,297",2.650000,12.595677,16/36 (44.44%),"[0.         1.         1.         0.         0.         1.
 1.         0.         0.         1.         0.         1.
 0.80269349 0.         0.30822602 0.51355487 0.         0.
 1.         0.         0.69051185 0.         1.         1.
 0.         0.         0.97794766 0.41753541 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",4.600000,11.777790,19/36 (52.78%),"[0.67307897 0.         0.69250411 1.         1.         0.
 0.0344514  0.         0.         1.         0.         1.
 0.02454137 1.         0.87378888 0.         0.         1.
 0.97437632 1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",5.200000,11.754906,11/36 (30.56%),"[0.         1.         1.         0.         0.         0.
 1.         0.72947332 0.         1.         1.         0.
 0.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         0.         0.         0.
 1.         0.         1.         1.         0.51882467 0.        ]"
9,"1,253,849",2.400000,11.043276,20/36 (55.56%),"[1.         1.         1.         0.         0.         0.
 0.         0.18643134 0.         0.         0.         1.
 0.50028943 0.98754958 0.         0.         0.         1.
 0.         0.1722209  0.         1.         1.         0.
 1.         0.89313799 0.76554141 0.         0.         1.
 0.         0.13912714 0.52212839 0.         0.         1.        ]"
10,"1,317,605",5.100000,13.138811,8/36 (22.22%),"[5.17947255e-01 6.09612683e-01 2.43107893e-07 8.79484928e-01
 5.92721978e-01 0.00000000e+00 3.95346019e-02 0.00000000e+00
 5.22452405e-06 8.12305633e-01 2.88279248e-02 5.30208566e-01
 4.25636158e-03 8.11562388e-01 0.00000000e+00 7.24690037e-01
 1.79896979e-01 8.02660668e-01 3.77828949e-01 5.01063049e-01
 8.53837288e-01 0.00000000e+00 3.27531536e-01 8.14423562e-01
 3.59827738e-03 1.43056836e-02 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.67191604e-11 9.98573778e-02 4.38394432e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 4.25932349e-03]"
11,"1,332,159",2.400000,12.271904,11/36 (30.56%),"[0.68715487 0.18484998 0.44073096 0.         0.         0.
 0.72935057 0.03216428 0.78619282 0.         1.         1.
 0.13408708 0.14327377 0.85159692 1.         0.         0.
 0.04118801 0.25816656 0.         0.01533792 0.         1.
 0.78372093 1.         0.         0.81809394 0.         0.9064813
 0.56290774 0.10827891 0.84872784 0.85687766 0.01182916 0.76217921]"
12,"1,341,844",0.000000,0.031250,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 0.9964549  0.         0.         0.         0.         1.
 0.31610444 0.50564022 1.         0.         0.         0.
 1.         0.01405289 0.         0.         1.         1.
 1.         0.         0.67386881 1.         0.         0.
 0.38788497 0.         0.         0.         1.         1.        ]"
13,"1,343,094",3.200000,12.341112,11/36 (30.56%),"[0.         1.         0.66984969 0.93411576 0.         0.37040607
 1.         0.         0.22245125 0.86925571 0.21240186 0.
 1.         0.         0.         0.05614928 0.16192761 0.82425836
 0.         0.99443146 0.98949009 0.14877946 0.         0.86712571
 0.         0.         0.77304182 0.99414961 0.         0.00336056
 1.         1.         0.         0.14979329 1.         0.64879876]"
14,"1,350,652",0.000000,0.678154,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         0.51371815 0.
 0.         0.89401804 0.80455428 0.         0.74056666 0.42790908
 1.         0.         0.         0.49402518 0.         0.8743811
 1.         0.         1.         1.         0.10267189 0.50744727]"
15,"1,375,820",0.000000,0.000000,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",2.300000,12.436688,16/36 (44.44%),"[0.         0.         0.87435876 0.7657415  0.         1.
 0.         1.         0.         0.23921331 0.         1.
 0.         1.         0.         0.99481954 1.         0.
 0.         0.         0.6094559  0.19892757 0.1521373  0.77529092
 0.         0.07800466 1.         0.         1.         0.
 1.         1.         0.28468071 0.02219278 0.78989663 0.6817232 ]"
17,"1,454,003",3.350000,11.477760,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.         0.92317108 0.         0.         0.73419141
 0.         0.         0.77385221 0.69208598 0.09731898 1.
 0.10928036 0.         0.49115055 0.17653243 0.         0.37803883
 0.79795372 0.5105598  0.197547   0.55914648 1.         0.04602523]"
18,"1,470,603",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",4.750000,13.042737,6/36 (16.67%),"[0.         0.38732426 0.5203246  0.49987549 0.4930621  0.
 0.         0.         0.58103689 0.28343719 0.96143221 0.
 1.         0.         0.11360882 0.06958495 0.57442084 0.53839076
 1.         0.         1.         0.92135025 0.22038559 0.60114556
 0.         0.42164461 0.34755972 0.31668111 0.95750243 0.
 0.93111097 0.6687827  0.28411267 0.16968224 0.94445452 0.        ]"
20,"1,505,558",4.450000,13.475979,7/36 (19.44%),"[0.04712929 0.         0.71420132 0.03891664 0.0366633  0.76967367
 0.65331382 0.77784762 0.08823016 0.22137802 0.09843673 0.76247876
 0.35790509 0.         0.64683883 0.78076563 0.77715408 0.
 0.45993296 0.38016525 0.10646983 0.03474872 0.77232855 0.00362287
 0.         0.         0.77984125 0.78103653 0.         0.
 1.         1.         0.         0.12115553 0.68019034 0.54853669]"
21,"1,554,862",7.400000,14.038981,7/36 (19.44%),"[1.         0.03917906 0.         1.         1.         0.
 1.         0.         0.65229706 0.         0.         0.
 0.         0.         0.         1.         1.         0.
 1.         1.         0.68293536 0.         0.         1.
 0.         0.         0.         1.         0.17522939 0.97763242
 1.         0.         1.         1.         1.         0.        ]"
22,"1,568,229",1.550000,11.607013,18/36 (50.00%),"[1.         0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.         0.         0.         1.         1.         0.
 0.         0.         0.         0.43790151 0.         1.
 1.         1.         0.         0.44215794 1.         0.
 0.         0.         0.         0.         0.87627684 1.        ]"
23,"1,589,978",1.600000,11.402433,20/36 (55.56%),"[1.         0.         0.41895544 1.         0.92289501 0.4241814
 1.         0.         0.2647068  0.04216362 0.         1.
 0.         0.03372212 0.         1.         0.42780325 1.
 0.98616781 0.53740394 0.14653075 1.         0.         0.
 1.         0.62370216 0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.        ]"
24,"1,605,903",3.300000,13.173796,8/36 (22.22%),"[1.         1.         0.02804734 0.9135481  0.02225535 0.
 0.         0.07569557 0.         0.6544215  1.         0.
 1.         0.         1.         0.39281922 0.         0.9167604
 1.         0.         1.         0.         0.48656567 0.84418243
 0.         1.         0.         0.         0.         0.72969894
 0.14309749 1.         0.         1.         1.         0.00679196]"
25,"1,611,457",0.000000,0.203815,18/36 (50.00%),"[1.         0.         1.         0.         0.05098312 0.14794791
 1.         0.         1.         0.         0.         1.
 0.         1.         0.         0.80049121 0.         0.57126223
 0.         1.         0.         1.         0.20641255 0.0536793
 1.         0.         0.32168884 0.         0.01541723 0.9611298
 1.         0.         1.         0.99977349 0.2530582  0.96629224]"
26,"1,615,209",3.550000,12.094776,9/36 (25.00%),"[0.         0.         0.43997451 0.94655314 0.         0.13000196
 0.86433587 1.         0.         1.         0.46637759 0.39582534
 0.18019554 0.         0.5031555  1.         0.20386686 0.
 0.30223337 0.         0.07760206 0.         0.         0.
 1.         0.06399828 1.         0.         1.         0.
 1.         0.2039373  0.75483217 0.         1.         0.        ]"
27,"1,700,818",1.600000,10.449136,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 0.         0.59072954 0.         1.         0.         0.
 0.65685483 0.73636607 0.81395846 0.         0.         0.
 0.12997066 0.26103766 0.         0.         1.         1.
 0.16004335 0.66437283 0.97408278 0.19670379 0.         0.        ]"
28,"1,744,893",5.150000,11.712167,18/36 (50.00%),"[1.         0.         1.         0.         1.         0.
 1.         0.46733461 0.86323272 0.         0.         1.
 0.         0.         0.         0.53622073 0.79988876 0.80025425
 0.         1.         1.         0.         0.13136525 0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
29,"1,771,362",0.800000,11.975989,15/36 (41.67%),"[0.6424268  1.         0.         0.         0.40864126 0.8417068
 0.         0.         1.         1.         0.         0.58996189
 1.         0.54846065 0.         0.         0.17002956 0.49076936
 0.         0.28711617 0.         1.         0.         1.
 0.         0.         0.         1.         0.         0.92434165
 0.07651247 0.67814975 0.63707504 0.         0.48482114 0.71122901]"
30,"1,807,054",0.800000,10.925185,27/36 (75.00%),"[0.95207342 0.4935234  0.         0.28443036 0.         0.
 0.7340214  0.29706213 0.63460498 0.         1.         1.
 0.         0.         0.85436891 1.         0.         0.
 1.         1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
31,"1,821,140",1.200000,11.529739,20/36 (55.56%),"[0.57654682 0.38593515 0.         1.         0.         1.
 1.         1.         0.         1.         0.         1.
 0.13128786 0.44599731 1.         0.         0.         0.
 0.4258643  0.32387939 0.82933068 0.74067808 0.         1.
 0.08104099 0.17359199 0.44039966 0.         0.         1.
 0.72945691 0.74738912 0.         1.         1.         0.        ]"
32,"1,823,388",1.200000,11.017566,19/36 (52.78%),"[0.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.
 0.33563064 0.         0.         1.         1.         0.
 0.02824294 0.79294843 0.64353977 0.         0.         0.16723639
 0.43972583 0.         0.23109228 0.84505999 0.77203936 0.71425958
 0.58576387 0.9897594  0.84505999 0.42105188 0.         0.22340529]"
33,"1,831,701",3.550000,12.945914,6/36 (16.67%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 1.80467412e-04
 8.02835039e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 4.68607931e-02 3.86479547e-01 8.47779411e-01 0.00000000e+00
 0.00000000e+00 6.62455180e-01 7.65140774e-01 0.00000000e+00
 9.06876005e-02 9.87312557e-02 9.24084718e-02 1.18805564e-06
 1.87479150e-02 8.97931545e-01 9.37833838e-01 2.72654547e-01
 0.00000000e+00 3.12981121e-01 0.00000000e+00 6.24064294e-03
 0.00000000e+00 8.49575711e-01 7.60655421e-01 9.10706955e-01
 9.47997009e-01 8.74924226e-01 2.51505018e-04 5.72335216e-01]"
34,"1,905,338",2.400000,11.860905,12/36 (33.33%),"[0.         0.95360587 0.         1.         0.         0.
 0.         0.77035658 0.3949869  1.         0.         1.
 0.         1.         0.         0.         1.         1.
 0.27498656 0.         1.         1.         0.         1.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.94234409 1.         0.         0.        ]"
35,"1,925,806",2.200000,12.224853,14/36 (38.89%),"[1.         1.         0.         0.         0.         0.76181087
 0.         0.         1.         1.         0.         0.65845238
 0.9770776  1.         0.         0.         0.90353418 0.
 0.         0.01485104 0.         0.33764338 1.         0.33363981
 0.84312427 0.94159454 0.02482344 0.         0.13175724 0.19467533
 0.21259564 0.19402288 1.         0.85974916 0.29093226 0.29170165]"
36,"1,945,389",0.000000,0.003520,36/36 (100.00%),"[1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.
 1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0.]"
37,"1,945,835",3.500000,12.833130,7/36 (19.44%),"[4.89764125e-01 3.01693943e-01 9.28706408e-01 4.30273873e-02
 5.49388965e-01 7.12335816e-01 0.00000000e+00 9.21137108e-02
 8.78956686e-01 0.00000000e+00 1.28568030e-01 2.39884974e-01
 8.21707289e-01 2.01721106e-02 8.02519616e-01 1.47001796e-01
 1.99210078e-04 2.08082006e-01 8.56505477e-01 0.00000000e+00
 6.00793997e-05 3.11822910e-01 4.35705256e-01 7.56645550e-01
 0.00000000e+00 0.00000000e+00 6.35256720e-01 7.21120930e-01
 2.15717054e-01 6.43341893e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 8.48593042e-01 4.60953821e-01 1.41377996e-01]"
38,"1,966,415",0.000000,0.016012,28/36 (77.78%),"[0.75336277 0.         0.         1.         1.         0.
 0.91507214 0.00647059 0.32407372 0.         0.         1.
 0.         0.89671679 0.         1.         0.         1.
 0.28891469 1.         0.         1.         0.         0.
 0.79584422 0.         1.         0.         1.         1.
 0.5064849  0.         1.         0.         0.         0.        ]"
39,"10,016,966",0.000000,0.014017,27/36 (75.00%),"[0.97016037 0.64251809 0.         0.         0.         0.
 0.08740593 0.         0.         0.         1.         1.
 1.         0.         1.         1.         0.         0.
 1.         0.20062914 0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 0.88356932 1.         0.         0.         1.         1.        ]"
40,"10,021,279",0.000000,0.116825,16/36 (44.44%),"[0.83739664 0.16231772 1.         0.         0.00256157 0.19918884
 0.55732225 0.30550557 0.88596187 0.         0.         0.92307925
 0.04484784 0.6633421  0.         0.74394393 0.21099891 0.55732945
 0.         0.71900438 0.         1.         0.         0.49656711
 1.         0.         1.         0.         1.         0.
 1.         0.         1.         0.         1.         0.        ]"
41,"10,043,693",2.050000,12.488202,16/36 (44.44%),"[0.         0.         0.         0.         0.         1.
 0.         1.         1.         0.         0.         1.
 0.75204284 0.         0.         0.85570794 0.54617418 0.
 0.18017895 1.         0.77650918 0.34511452 0.10118877 0.8684116
 0.85172107 0.49156036 0.22718161 1.         0.48982307 0.51490465
 0.84093066 0.35711269 0.         0.75666584 0.21807759 0.9615193 ]"
42,"10,068,202",0.000000,0.015625,36/36 (100.00%),"[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
43,"10,070,131",3.550000,11.591447,15/36 (41.67%),"[0.         1.         0.99672496 0.06148785 0.96799584 1.
 0.39545483 1.         0.52997466 0.12533041 0.         0.18656841
 0.         0.         0.39592989 0.68526399 0.72225565 0.03787158
 1.         1.         0.         0.         0.42196831 0.31437557
 0.         0.         0.         0.         0.88922837 0.81514154
 0.         0.         1.         1.         0.         0.        ]"
44,"10,085,101",0.000000,0.031641,29/36 (80.56%),"[1.         1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         0.
 1.         0.         1.         0.         0.         0.
 1.         0.         0.         1.         0.         1.
 0.         0.43199459 0.30635914 1.         0.         1.
 0.         1.         1.         0.         0.         0.        ]"
45,"10,087,831",1.600000,10.846779,24/36 (66.67%),"[1.         1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 1.         0.         1.         0.         0.         1.
 1.         0.         0.         0.0340285  0.85215956 0.
 0.         0.26054357 0.03891843 0.29877596 0.94532901 1.
 0.         0.45049823 0.74519724 0.59794852 0.17327826 0.93092473]"
