Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",10.650000,30.602898,54/100 (54.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.51788737e-03 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 9.93263340e-01 9.95793752e-01 9.81598198e-01
 0.00000000e+00 0.00000000e+00 9.94026551e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.06575651e-04 5.95397111e-03 9.93069739e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.21685955e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.01314661e-01 9.64449591e-01
 1.46137655e-02 0.00000000e+00 9.86463656e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.76052374e-01 0.00000000e+00
 1.00000000e+00 2.45167270e-03 9.81262756e-01 9.91521545e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 5.83360490e-01 0.00000000e+00 1.84611083e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.90745646e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.22103286e-01 9.92876707e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 9.32082546e-01
 9.91487978e-01 2.12188364e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
2,"1,038,486",9.000000,30.586833,48/100 (48.00%),"[0.88771209 0.84824617 0.88771209 0.02969157 0.6401267  0.86288209
 0.         0.         1.         1.         0.88771209 0.29479259
 0.0220093  0.49246864 0.31312649 0.04605599 0.88711123 0.80830065
 0.         0.         0.         0.         0.         0.66839086
 0.92719201 0.11011922 0.         0.02629565 0.77463735 0.7948262
 0.         0.         0.00222289 0.         0.         0.01178857
 0.41637506 0.79077288 0.         0.14934303 1.         1.
 0.         1.         1.         0.         0.8321815  0.6647958
 0.88396273 0.         0.         0.         1.         0.
 0.         0.38539659 0.         0.88723045 0.11055636 0.
 0.38521939 0.         1.         0.         1.         0.73643439
 0.         0.         1.         0.51361188 0.83857745 0.71200445
 0.         0.02844931 0.01713459 0.         1.         1.
 0.         0.         0.88771209 0.20886685 0.88326805 0.88771209
 0.         1.         0.         0.         1.         1.
 0.02268912 0.88860386 0.55343442 0.17603506 0.         1.
 0.         0.         0.         0.        ]"
3,"1,054,057",19.300000,33.718875,38/100 (38.00%),"[1.00000000e+00 0.00000000e+00 7.08669421e-01 0.00000000e+00
 1.44632310e-04 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 3.79033781e-04 1.00000000e+00 0.00000000e+00
 7.41814010e-01 2.07559788e-01 8.52984574e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.04559388e-01
 0.00000000e+00 0.00000000e+00 2.39742335e-01 7.58832991e-01
 5.77631070e-02 0.00000000e+00 0.00000000e+00 5.66318246e-01
 0.00000000e+00 7.89946268e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 5.23994414e-01 0.00000000e+00 5.62517152e-01
 9.63024038e-01 0.00000000e+00 4.42128152e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.44939019e-02 2.49376331e-03 0.00000000e+00 8.11415958e-01
 7.83541431e-01 5.96667825e-01 6.31589686e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 8.35525827e-01
 8.38101539e-01 3.15881413e-01 2.95716247e-01 0.00000000e+00
 5.40644934e-01 2.51519680e-03 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 8.05888461e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.51361370e-03
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 3.55915286e-01 0.00000000e+00 5.76399647e-02 5.23048922e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.05590970e-01
 0.00000000e+00 7.14754473e-01 2.44294545e-01 0.00000000e+00
 0.00000000e+00 5.53777094e-05 1.00000000e+00 1.00000000e+00
 0.00000000e+00 2.19905653e-05 5.34186855e-01 6.61281793e-01
 5.10731263e-01 0.00000000e+00 1.92270545e-02 6.86937526e-01]"
4,"1,075,756",9.700000,32.186959,43/100 (43.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 7.40515726e-01
 2.15829627e-01 1.72262855e-05 3.32140931e-01 8.94677227e-02
 6.77288509e-01 3.98826905e-01 1.00000000e+00 0.00000000e+00
 7.93074145e-01 0.00000000e+00 0.00000000e+00 8.87414825e-01
 8.98711554e-01 0.00000000e+00 8.38417992e-01 2.66093230e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 6.77436533e-01
 4.31043278e-03 0.00000000e+00 9.16403127e-01 1.00000000e+00
 4.98281368e-02 0.00000000e+00 0.00000000e+00 5.69260510e-01
 0.00000000e+00 8.89067370e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 5.62198106e-02 6.47505222e-02 5.26385095e-01
 7.19139243e-01 0.00000000e+00 9.22724043e-01 6.07569198e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.25306704e-01 8.73766483e-01 0.00000000e+00
 1.40726468e-01 0.00000000e+00 9.20091369e-01 0.00000000e+00
 8.82281943e-01 2.86286204e-01 8.84497259e-01 0.00000000e+00
 1.60615812e-04 6.50855881e-01 8.02635551e-01 5.45431526e-03
 0.00000000e+00 8.75637769e-01 9.04409582e-01 0.00000000e+00
 7.73633727e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.99164737e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 8.96358693e-01 2.35797240e-05 2.33337874e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.68652368e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
5,"1,080,690",10.650000,31.783245,37/100 (37.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 6.36054502e-03 1.00000000e+00 2.81267671e-01
 9.23093480e-01 8.07296314e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.24323132e-01 0.00000000e+00
 9.13092531e-01 9.02190181e-01 0.00000000e+00 4.09423449e-03
 0.00000000e+00 0.00000000e+00 4.38034124e-03 8.29591268e-01
 6.78717497e-01 0.00000000e+00 3.54562296e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.12297359e-01 0.00000000e+00
 8.47818371e-01 8.55252577e-02 2.37987750e-05 6.99258701e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 5.92393669e-01 5.36314056e-02 0.00000000e+00 1.00000000e+00
 2.01123410e-01 8.61703274e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 8.62296608e-01 3.40767624e-01
 6.73033028e-01 8.47193628e-01 6.74740416e-02 3.44171300e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.51940397e-01 6.66294057e-03 8.13673456e-01
 0.00000000e+00 6.07316870e-02 8.86179598e-01 6.26000472e-01
 0.00000000e+00 1.00000000e+00 5.89149657e-03 5.01085899e-01
 7.20867268e-01 3.91385589e-01 9.89482478e-01 0.00000000e+00
 1.00000000e+00 8.68869035e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.77477210e-01 7.20203333e-01 4.66789251e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 6.84451618e-01 6.41517713e-01
 5.69375422e-01 9.35795000e-01 2.68564405e-02 5.60361878e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00]"
6,"1,112,058",8.750000,33.283818,31/100 (31.00%),"[6.23101759e-02 1.00173669e-01 8.56604986e-02 0.00000000e+00
 9.94383149e-01 9.94383149e-01 2.06377721e-03 0.00000000e+00
 0.00000000e+00 9.94383149e-01 9.94383149e-01 0.00000000e+00
 9.94383149e-01 8.82983845e-01 0.00000000e+00 0.00000000e+00
 9.94383149e-01 4.37614536e-01 9.94383149e-01 0.00000000e+00
 9.94383149e-01 7.57698416e-01 0.00000000e+00 9.94383149e-01
 6.07827855e-01 0.00000000e+00 9.90773710e-01 0.00000000e+00
 6.30169949e-01 0.00000000e+00 1.81164240e-03 5.64321910e-04
 9.94383149e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 9.94383149e-01 5.44752596e-02 6.44783396e-01 1.08131714e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 9.94383149e-01 4.88065531e-02
 0.00000000e+00 7.35542085e-01 1.00000000e+00 0.00000000e+00
 9.64093380e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 7.42550707e-02 9.45287186e-01 1.00000000e+00 4.28652748e-01
 0.00000000e+00 1.96210212e-02 7.97055474e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.94767310e-02 0.00000000e+00
 0.00000000e+00 9.94383149e-01 8.88876338e-01 9.71820735e-01
 3.85951626e-01 9.94383149e-01 0.00000000e+00 8.46922309e-01
 1.00000000e+00 9.94383149e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.90590779e-01 0.00000000e+00 9.94383149e-01
 3.98369857e-02 5.97300044e-01 0.00000000e+00 9.94383149e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 7.71938075e-02 2.25483308e-01 0.00000000e+00 9.94383149e-01]"
7,"1,147,101",19.000000,34.036254,31/100 (31.00%),"[1.00000000e+00 0.00000000e+00 8.69924807e-01 9.50098387e-02
 3.54947901e-04 8.96932464e-01 8.88318583e-01 4.13722266e-01
 1.06710575e-01 7.07845590e-01 1.00000000e+00 0.00000000e+00
 3.66566397e-02 0.00000000e+00 9.90745296e-02 0.00000000e+00
 3.94996963e-01 8.96932464e-01 0.00000000e+00 8.96932464e-01
 0.00000000e+00 1.38068452e-01 7.18236025e-01 2.32518710e-03
 8.73329379e-01 0.00000000e+00 0.00000000e+00 6.69371960e-01
 8.67236579e-01 1.43284593e-01 0.00000000e+00 2.21170365e-02
 9.38407267e-01 0.00000000e+00 8.96932464e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 6.49293110e-01
 1.60143822e-01 0.00000000e+00 0.00000000e+00 8.96609874e-01
 5.64210978e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 8.96932464e-01 0.00000000e+00 8.35352163e-01
 8.96932464e-01 0.00000000e+00 8.39035887e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 5.95361364e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 8.97271357e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.03028651e-01 3.74518822e-01 7.56461017e-01
 1.00000000e+00 0.00000000e+00 6.14234803e-05 0.00000000e+00
 8.96932464e-01 8.93019012e-01 0.00000000e+00 8.49461937e-01
 1.96579146e-02 8.84960498e-01 0.00000000e+00 7.88253584e-01
 6.19768441e-01 0.00000000e+00 4.19997581e-04 0.00000000e+00
 8.82902048e-01 7.21867730e-02 5.28857480e-01 2.63650364e-05]"
8,"1,202,434",8.450000,31.717757,31/100 (31.00%),"[3.97061522e-01 1.42433166e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.51746345e-01 6.01641883e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 6.40253424e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 5.91912043e-01 3.53322774e-01 0.00000000e+00 0.00000000e+00
 7.55548335e-01 0.00000000e+00 8.48967208e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.82636830e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.22661707e-01 7.03305834e-01 0.00000000e+00 8.57979634e-01
 0.00000000e+00 8.29850443e-01 5.31167657e-01 4.56193259e-02
 5.47319037e-01 1.00000000e+00 9.05976064e-02 0.00000000e+00
 7.38289608e-01 9.33700479e-01 0.00000000e+00 0.00000000e+00
 4.82752425e-01 9.13587004e-01 5.26621465e-06 5.26242829e-02
 2.01044564e-01 0.00000000e+00 9.05629174e-01 0.00000000e+00
 9.99788327e-01 6.84547312e-01 2.17685506e-01 8.51529605e-01
 1.18086779e-04 1.77543415e-04 6.31030596e-01 7.83390942e-01
 0.00000000e+00 2.58161123e-01 5.85549653e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.78210670e-01 4.72071158e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.97941413e-02
 0.00000000e+00 1.24575687e-01 9.87135269e-01 0.00000000e+00
 5.82654099e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 9.11476859e-01 3.13494609e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
9,"1,244,950",21.300000,32.780875,43/100 (43.00%),"[0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.06239096e-01 0.00000000e+00 0.00000000e+00 6.93876880e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.55318117e-01 4.07246107e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 9.47907899e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.35298820e-01 1.00000000e+00 0.00000000e+00
 5.36236039e-01 0.00000000e+00 0.00000000e+00 7.89122225e-01
 5.84819238e-01 3.38486243e-01 0.00000000e+00 5.43362022e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.49066826e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.14310522e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.38074774e-01 6.49101500e-01
 0.00000000e+00 0.00000000e+00 8.73984427e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 6.52368305e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.36124503e-01
 8.66177597e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 5.65228663e-01
 0.00000000e+00 0.00000000e+00 2.34232323e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 4.17805887e-01 0.00000000e+00 0.00000000e+00 7.92285936e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.35694605e-01 0.00000000e+00 0.00000000e+00
 1.20266998e-01 8.07524564e-01 0.00000000e+00 1.00000000e+00]"
10,"1,247,861",23.800000,35.358031,13/100 (13.00%),"[0.84390584 1.         0.         0.99447748 1.         0.03185401
 0.         0.79219457 0.         0.         0.13655282 0.
 0.         0.18207133 0.93567515 0.         0.         0.00129437
 0.         1.         1.         0.71942344 0.         0.
 0.         0.83829458 0.         0.17969915 0.         1.
 0.35667093 0.         0.         1.         0.99651393 0.
 0.         0.31954768 0.03575026 0.         0.3425613  0.
 0.85478215 0.69698922 0.16538504 1.         0.         0.14726993
 0.98086314 0.55638821 1.         0.         0.         0.
 0.         0.         1.         0.02241227 0.02075795 1.
 0.53964223 0.         1.         0.         0.         0.
 1.         1.         0.         1.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         0.         0.
 0.         0.3412189  1.         0.         0.         1.
 0.         0.         1.         0.68985172 0.12067578 0.95814397
 1.         0.         0.         1.        ]"
