Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.031270,23/36 (63.89%),"[0.89539798 0.         0.20041976 0.63368941 0.7931678  0.46244575
 1.         0.14087954 0.50161415 0.20719208 0.25094047 0.73029306
 0.         0.         0.73681582 0.         0.         0.50569956
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",3.600000,12.960185,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 0.         0.64008475 0.56424038 0.         0.         0.77764581
 0.75794764 0.6970037  0.         0.2634915  0.10697708 0.50989999
 0.11854153 0.         0.69243578 0.0633244  0.18717934 0.60848895
 0.91932097 0.32091268 0.84532595 0.30824674 0.         0.25846381
 0.77559134 0.03441039 0.         1.         0.75961587 0.        ]"
3,"1,188,236",4.550000,12.576605,10/36 (27.78%),"[0.66182043 0.65985089 0.1558789  0.         0.06991222 0.11906442
 0.71874694 0.         0.38042227 0.         0.46040215 1.
 0.16887665 1.         0.53241756 0.4543638  0.0717493  0.51927639
 0.         0.         0.         0.74032173 1.         0.44794661
 1.         1.         0.         0.49730903 0.         0.79599235
 0.         0.         0.9493647  1.         0.72560851 0.        ]"
4,"1,191,192",0.000000,0.020369,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.600000,13.024026,9/36 (25.00%),"[9.66402609e-01 5.48828532e-01 0.00000000e+00 1.00000000e+00
 9.68020263e-01 1.20462394e-01 3.47653176e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 4.35255324e-07
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 7.96285094e-01 1.00000000e+00 8.96021520e-01 8.57992513e-01
 0.00000000e+00 1.00000000e+00 2.99481168e-01 6.68548882e-02
 2.69735820e-01 1.44568188e-04 0.00000000e+00 6.68686927e-01
 9.79692560e-02 1.70218474e-02 1.00000000e+00 1.00000000e+00
 1.00000000e+00 3.50635088e-01 8.58296030e-01 9.38158011e-01]"
6,"1,194,297",1.200000,12.273124,16/36 (44.44%),"[0.16864746 0.14315008 0.56584125 0.         0.52593805 0.4116794
 0.44094424 0.         0.76824834 0.29555037 0.98356592 0.74253485
 0.80961381 0.68204345 0.         0.22297211 0.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.         0.56905019 1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.200000,11.642697,19/36 (52.78%),"[0.70381526 0.45765362 0.17835711 0.55189392 0.91724529 0.
 1.         0.4020972  0.54986177 0.02773638 0.         1.
 1.         0.33195642 0.84649842 0.         0.         1.
 0.39183721 0.         0.         1.         1.         0.
 0.63923646 0.53442557 1.         0.         0.         1.
 0.         0.         0.04523794 0.         0.         1.        ]"
8,"1,217,965",3.150000,12.182120,11/36 (30.56%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 8.79855952e-02
 8.90027496e-03 9.87305402e-01 9.58371975e-01 1.19245922e-04
 1.09924921e-01 4.08586762e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.36234453e-04
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 9.97287087e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 4.68389627e-01 4.53210699e-01 1.00000000e+00 0.00000000e+00
 2.64940510e-01 9.98261704e-01 9.57361660e-01 1.30652654e-01]"
9,"1,253,849",1.200000,10.681545,20/36 (55.56%),"[0.99241299 1.         0.         0.         0.         0.
 1.         0.12228749 0.         0.         0.         1.
 0.26757945 0.96217456 0.         0.         0.         1.
 0.45721753 0.68903252 0.         1.         1.         0.
 0.         0.82733847 0.0914776  0.         0.         1.
 0.         0.         1.         1.         0.         1.        ]"
10,"1,317,605",4.100000,12.475633,8/36 (22.22%),"[3.68400588e-01 1.00000000e+00 5.29309264e-01 0.00000000e+00
 0.00000000e+00 5.88808191e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 7.83003407e-01 9.06642666e-03 5.16598867e-01
 1.00000000e+00 3.74730973e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.51464671e-04 0.00000000e+00 0.00000000e+00 1.24616655e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00]"
11,"1,332,159",3.150000,12.204121,11/36 (30.56%),"[1.         0.64852972 0.         0.15829463 0.         0.
 0.05321016 0.         1.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 0.92098234 1.         0.         0.         0.85996336 1.
 0.33592165 0.         0.46602204 0.14078592 0.         1.
 0.35428706 0.82346969 1.         0.         0.04426966 0.        ]"
