Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",1.600000,18.163447,52/64 (81.25%),"[0.         0.         0.         0.         0.4166189  0.
 1.         1.         0.         1.         1.         0.
 0.62621357 0.17692619 0.         0.         1.         0.
 0.         0.28733115 0.58285997 0.         1.         1.
 1.         0.         0.         0.         0.66627814 0.
 0.         0.         0.         1.         1.         0.
 1.         0.47819359 0.         1.         1.         0.
 0.         1.         0.         0.81263175 0.         1.
 1.         0.         0.         1.         0.         1.
 0.20014178 0.         0.         1.         1.         0.
 0.         0.         0.78403509 0.79604958]"
2,"1,029,044",10.600000,25.440489,9/64 (14.06%),"[1.00000000e+00 0.00000000e+00 6.74399191e-01 6.87182769e-01
 2.81322828e-01 5.65391772e-01 7.02548264e-01 7.38280147e-01
 1.00000000e+00 0.00000000e+00 3.48742940e-01 2.30104182e-01
 3.10865831e-02 2.86725859e-02 6.12262356e-07 0.00000000e+00
 0.00000000e+00 6.33178915e-01 1.29875424e-01 0.00000000e+00
 1.31751785e-01 8.14248162e-01 5.29343041e-01 4.68359879e-07
 9.83355162e-03 5.61824491e-01 2.90387932e-02 4.86759550e-01
 0.00000000e+00 2.25443762e-01 6.07610409e-01 0.00000000e+00
 3.49583558e-03 3.96437998e-01 6.43629136e-01 6.77397662e-01
 1.07148696e-01 3.59667678e-01 5.51492498e-02 0.00000000e+00
 3.77646704e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.43272821e-01 7.73217411e-01 9.63474632e-06 0.00000000e+00
 7.04698239e-02 8.21700690e-01 2.44988297e-01 1.89051312e-05
 0.00000000e+00 5.36452506e-01 8.70602072e-02 0.00000000e+00
 3.66711022e-01 8.06084102e-01 5.02657675e-03 2.84434974e-01
 1.03980762e-02 0.00000000e+00 1.41561332e-02 6.91350341e-02]"
3,"1,100,332",7.550000,25.628506,14/64 (21.88%),"[0.00000000e+00 0.00000000e+00 5.16109001e-01 5.10139458e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.24058141e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.79535041e-01
 5.19293190e-01 6.63792990e-01 5.92437673e-01 6.95850796e-02
 0.00000000e+00 0.00000000e+00 3.38626613e-01 3.25094839e-01
 5.31149513e-01 7.49520903e-04 0.00000000e+00 1.52110771e-01
 3.22728232e-02 3.08080926e-01 6.17834797e-01 0.00000000e+00
 0.00000000e+00 9.22501524e-01 1.81464696e-01 0.00000000e+00
 7.55918637e-01 1.21493057e-01 5.14063869e-01 1.00000000e+00
 0.00000000e+00 8.54492196e-01 1.63189696e-01 2.28504084e-01
 5.30916919e-01 0.00000000e+00 5.76221306e-03 0.00000000e+00
 0.00000000e+00 5.33795345e-01 5.48431792e-01 0.00000000e+00
 0.00000000e+00 6.20925010e-01 3.18737893e-01 2.87592840e-01
 5.28365029e-02 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.44294685e-02 5.04611237e-01 1.42933044e-01 7.03312568e-01
 5.65061333e-01 7.60038025e-01 0.00000000e+00 1.00000000e+00]"
4,"1,110,957",5.650000,22.593050,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.55741569 0.74438199 1.         0.         0.         0.
 0.         0.         0.07039672 0.27033322 0.         1.
 1.         0.         0.01806562 0.         0.93710116 0.94032652
 1.         0.         0.         0.22872865 0.00297695 0.28287981
 0.12346388 0.17420721 1.         0.         0.18983812 0.22818449
 0.00463058 0.         0.93662196 0.93776734 0.         0.
 0.87978765 0.82995484 0.00300945 0.38962631 0.00192791 0.00178716
 1.         0.         0.91709983 0.32734242 0.20825801 0.82192603
 0.         0.75508186 1.         0.         0.89622897 0.29734648
 0.397959   0.51685271 0.00365092 0.69651131]"
5,"1,129,625",7.650000,26.801664,10/64 (15.62%),"[1.00000000e+00 0.00000000e+00 4.32681425e-01 0.00000000e+00
 0.00000000e+00 4.40002752e-01 8.89835907e-01 4.03145798e-01
 8.52608234e-01 0.00000000e+00 0.00000000e+00 7.63406281e-01
 3.42830583e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 7.29615413e-01
 9.21622160e-03 8.68620415e-01 0.00000000e+00 8.30521697e-01
 4.15218673e-01 7.38814300e-01 1.00000000e+00 3.69827487e-01
 7.38614776e-03 8.21045513e-01 0.00000000e+00 6.32172741e-01
 0.00000000e+00 1.00000000e+00 7.38521953e-01 0.00000000e+00
 8.49936078e-03 5.90137606e-03 6.43757610e-01 3.89791247e-01
 5.04397618e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 2.22323749e-01 7.15247348e-01 0.00000000e+00
 5.99271091e-01 9.59211651e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.76270585e-04 3.20414450e-01 0.00000000e+00
 8.07888300e-01 8.45490660e-01 4.76349478e-01 0.00000000e+00]"
6,"1,149,616",6.400000,23.618435,24/64 (37.50%),"[0.44837187 0.39875566 1.         0.53528882 0.03188373 0.
 0.         0.         0.         0.         0.         0.9929553
 0.         0.         0.         0.53673005 0.72797654 1.
 0.29511275 0.         0.17999287 0.15595425 1.         1.
 0.         0.7932096  0.25797213 0.68112403 0.21776306 1.
 0.23870144 0.         1.         0.         0.         0.52230673
 0.         1.         0.         1.         1.         0.
 0.07753044 0.         0.         0.         0.         1.
 0.         0.         0.14312466 0.         1.         1.
 0.         0.         0.83517983 0.53911919 0.         0.0429844
 0.         0.         1.         1.        ]"
7,"1,152,113",11.850000,26.220742,9/64 (14.06%),"[4.86425114e-01 8.81282541e-01 0.00000000e+00 7.11254956e-01
 1.00000000e+00 0.00000000e+00 8.04189400e-01 4.11926668e-01
 8.91676831e-03 7.96409156e-01 0.00000000e+00 8.55519314e-01
 1.00000000e+00 3.86506117e-01 9.56280018e-01 0.00000000e+00
 0.00000000e+00 4.21953398e-01 0.00000000e+00 9.99085746e-01
 0.00000000e+00 4.87682916e-01 6.30461614e-01 8.81493569e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.93026675e-01 9.99628805e-01 4.53898939e-01 0.00000000e+00
 9.13088107e-01 0.00000000e+00 0.00000000e+00 3.03954664e-01
 0.00000000e+00 6.21769016e-01 0.00000000e+00 0.00000000e+00
 6.72302108e-01 0.00000000e+00 9.14140230e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.99746988e-01 0.00000000e+00 6.06830046e-01 5.54415335e-04
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 8.76159358e-01
 1.00000000e+00 3.73946288e-02 0.00000000e+00 0.00000000e+00]"
8,"1,231,208",9.550000,25.326154,12/64 (18.75%),"[1.00000000e+00 1.00000000e+00 0.00000000e+00 9.98009942e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 2.31046105e-01 7.45150577e-01
 0.00000000e+00 2.40590129e-02 0.00000000e+00 0.00000000e+00
 1.98968813e-03 0.00000000e+00 2.64279583e-01 1.17154923e-01
 1.00000000e+00 2.13129510e-03 1.00000000e+00 7.04533998e-01
 1.60202253e-01 4.74873322e-01 7.04018281e-01 8.48661227e-03
 7.95912762e-01 2.47448652e-02 0.00000000e+00 1.00000000e+00
 9.99010950e-02 2.95793093e-01 1.00000000e+00 4.47715892e-01
 7.96648718e-01 0.00000000e+00 7.92669725e-01 2.42984543e-01
 9.30634411e-01 4.07675923e-01 5.65796076e-06 4.52448069e-10
 0.00000000e+00 8.16995716e-01 7.93472808e-01 1.00000000e+00
 7.03189229e-01 0.00000000e+00 0.00000000e+00 2.95861981e-02
 1.13427081e-01 0.00000000e+00 1.60644178e-01 8.25083555e-01
 0.00000000e+00 2.37300166e-02 4.46343621e-02 4.51132877e-01
 2.27314210e-02 1.52386016e-07 4.06038788e-01 2.74545861e-01]"
9,"1,237,562",7.950000,26.155094,7/64 (10.94%),"[0.55067926 0.13104365 0.25119279 0.22214967 0.46538059 0.56680623
 0.78275836 0.25636153 0.78018364 0.21956722 0.73843936 0.55533961
 0.43809075 0.14773198 0.00649871 0.45542872 0.29926361 0.83629899
 0.         0.02947463 0.34801278 0.15089813 0.82069916 0.6204926
 0.34329004 0.53018538 0.56830992 0.23516789 0.         0.
 0.52892512 0.01420849 0.08773438 0.         0.         0.84776223
 0.         0.80281047 0.32670732 0.24622757 0.64878986 0.50361522
 0.         0.87210578 0.17834559 0.66173085 0.05531411 0.32724657
 0.67107584 0.16288743 0.         0.         0.25531324 0.4216403
 0.18606867 0.54728943 0.33714432 0.         1.         1.
 0.         0.38404092 0.00522665 0.55002025]"
10,"1,279,555",5.700000,24.901858,18/64 (28.12%),"[4.12398877e-01 1.72315008e-01 5.02478422e-02 6.94107022e-01
 2.84530163e-01 4.68341424e-01 3.00532758e-01 2.69238318e-02
 0.00000000e+00 0.00000000e+00 8.30573543e-01 5.04202997e-01
 3.18136208e-01 5.52714242e-01 8.01846559e-01 9.03674790e-02
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.86179427e-04
 5.40081563e-01 1.81305811e-02 9.37049056e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.68553521e-01
 7.06261223e-01 4.86899250e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.54745839e-01 1.05805994e-01
 3.49540024e-01 1.16275436e-01 0.00000000e+00 1.00000000e+00
 2.80395654e-01 8.88390652e-02 9.04899919e-01 5.27338534e-01
 1.02709036e-01 8.18809634e-01 6.22379379e-01 0.00000000e+00
 6.43450993e-01 6.51459010e-01 1.24886906e-01 0.00000000e+00
 4.95966609e-01 3.18351696e-03 0.00000000e+00 1.00000000e+00
 3.14516023e-01 1.85449969e-02 3.00434636e-01 3.22585601e-01
 7.71149507e-01 9.06587739e-01 0.00000000e+00 1.00000000e+00]"
