Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.523921,23/36 (63.89%),"[0.69596542 0.         0.13874249 1.         1.         0.22338748
 1.         0.18837756 0.69771369 0.11971868 0.04273782 0.69123738
 0.         0.         0.51952452 0.         0.01136995 0.81796915
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",3.600000,13.554253,7/36 (19.44%),"[5.95843077e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 5.92574732e-01 0.00000000e+00
 6.64291808e-01 0.00000000e+00 0.00000000e+00 3.84681767e-01
 1.00000000e+00 0.00000000e+00 5.88765878e-01 1.34520105e-03
 0.00000000e+00 1.32531041e-01 1.89292986e-01 9.59957723e-01
 0.00000000e+00 5.78691260e-01 8.58260295e-01 4.56979008e-01
 7.48938913e-01 9.40265327e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.28691755e-01 6.18988864e-03
 9.74377825e-01 2.55690095e-04 6.46702230e-01 7.67349658e-01]"
3,"1,188,236",1.600000,13.045392,10/36 (27.78%),"[4.27065667e-01 5.76924945e-01 8.23540362e-01 0.00000000e+00
 6.34735731e-01 6.07663632e-01 6.67171352e-06 0.00000000e+00
 8.52427815e-03 3.63124738e-01 6.17007565e-01 5.19686064e-01
 8.46094984e-01 1.00000000e+00 2.03937204e-03 1.92958413e-03
 0.00000000e+00 1.39153253e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.66244372e-01 7.27799403e-01 3.77482599e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 2.01764731e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 5.49538365e-01 9.21939017e-01 6.31804835e-04 7.65709995e-01]"
4,"1,191,192",0.000000,0.010779,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.800000,13.989310,9/36 (25.00%),"[0.87837692 0.65573328 0.         0.32531193 0.54783865 0.62802252
 0.         0.         1.         0.         0.         0.
 0.59468    0.         1.         0.         0.7389443  0.66397364
 0.50444532 0.         0.         0.38042771 0.         0.31873014
 0.27196607 0.1618319  0.80571839 0.88194219 0.         0.
 0.60287737 0.72155215 0.         0.13188107 0.87386816 0.82105005]"
6,"1,194,297",4.000000,12.934234,16/36 (44.44%),"[0.58901115 0.99666823 0.18994284 0.20601502 0.56869002 0.27205627
 0.         0.26741325 0.14172057 0.30608742 0.6384735  0.05547424
 0.55078176 0.         0.58004139 0.36983564 0.         0.
 0.66205288 0.         0.56507042 0.         1.         1.
 0.         0.         0.48087041 0.01022874 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",2.800000,11.647516,19/36 (52.78%),"[0.15752772 0.46553426 0.59243998 0.72792538 0.17183114 0.
 0.87207872 0.35949199 0.92317364 0.64277877 0.         1.
 0.76119183 0.55709721 0.25802143 0.         0.         1.
 0.02487131 0.43790198 0.         1.         1.         0.
 0.14362459 1.         1.         0.         0.         1.
 0.         0.         0.83843866 0.         0.         1.        ]"
8,"1,217,965",2.800000,12.341792,11/36 (30.56%),"[0.94172659 1.         1.         0.15259526 0.         0.
 0.         1.         0.3691162  0.83215402 0.86463298 0.3429355
 0.159946   0.         0.         0.73835891 0.48138934 0.
 0.         1.         1.         0.         1.         1.
 1.         0.         0.         1.         0.06301951 0.
 1.         0.         0.11161988 1.         1.         0.06835009]"
9,"1,253,849",1.600000,11.144955,20/36 (55.56%),"[3.44963442e-01 8.31426503e-01 6.22063770e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.51016826e-01 8.52674060e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 3.97485728e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.00165426e-01 7.11942203e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.51788572e-01 2.24970766e-02 9.06146726e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 2.29123466e-01 2.13183988e-01
 6.79127003e-01 2.91112792e-01 0.00000000e+00 1.00000000e+00]"
10,"1,317,605",4.450000,12.633594,8/36 (22.22%),"[0.         0.99855325 1.         0.         0.         0.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.07560935
 1.         0.         0.         0.         0.         0.
 0.43779549 1.         0.         1.         0.         1.
 0.         1.         0.         1.         0.         1.        ]"
11,"1,332,159",3.150000,13.237178,11/36 (30.56%),"[1.16928979e-01 3.06644197e-02 7.18236521e-01 9.48533235e-01
 0.00000000e+00 0.00000000e+00 9.04176453e-06 3.52376748e-01
 1.37933561e-06 0.00000000e+00 1.00000000e+00 1.00000000e+00
 8.55160277e-01 1.55997941e-02 7.71175154e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.88855911e-01 3.78686887e-01
 0.00000000e+00 3.95775532e-01 7.07203443e-05 1.00000000e+00
 2.31744438e-01 4.20795683e-01 8.96001197e-01 5.47668943e-01
 0.00000000e+00 7.95130106e-01 9.01520525e-01 5.67018676e-02
 8.27094055e-01 2.70804506e-04 9.45278144e-01 8.04959612e-01]"
12,"1,341,844",1.550000,12.356976,19/36 (52.78%),"[0.88466265 0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.13848924 0.9420916  0.63215117 0.67701111 0.         0.
 0.52141003 0.         0.25262782 0.         1.         1.
 0.21216573 0.01453962 0.10831866 0.         0.         0.
 0.78136736 0.97509983 0.         0.         1.         1.        ]"
13,"1,343,094",2.400000,12.690376,11/36 (30.56%),"[0.         0.         0.20282838 1.         0.05592481 0.
 1.         0.         0.69777674 1.         0.         0.59897582
 1.         0.         0.4050275  0.         0.74924887 1.
 0.         1.         1.         0.01072138 0.         0.
 0.         0.         1.         0.32487229 0.         0.73509686
 1.         1.         0.         0.         1.         1.        ]"
14,"1,350,652",3.600000,11.266250,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.00135257 0.         0.3348249  0.
 0.         1.         0.93131742 1.         0.39154754 0.52407219
 1.         0.         0.50249361 0.93571788 0.         1.
 1.         0.         0.14840479 0.08935327 0.33927796 0.84558295]"
15,"1,375,820",0.000000,0.006337,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",2.800000,11.822354,16/36 (44.44%),"[0.         0.         1.         1.         0.         1.
 0.         1.         0.         0.26106605 0.         1.
 0.         1.         0.         1.         0.63847702 0.
 0.         0.         0.         1.         0.24087121 0.5085703
 0.         0.         0.38299999 0.         1.         0.97888431
 1.         1.         1.         0.         0.         1.        ]"
17,"1,454,003",1.600000,12.144770,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.53188541 0.73396457 0.         0.         0.34869352
 0.58607114 0.03960306 0.76739653 0.6708191  0.         0.50359588
 0.89058788 0.40242713 0.29111714 0.11349188 0.         0.72148688
 0.00359713 0.08188851 0.         0.85371713 0.53759213 0.01065235]"
18,"1,470,603",0.000000,0.011538,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",4.350000,13.577851,6/36 (16.67%),"[3.55229784e-01 1.00000000e+00 6.86262888e-01 2.28211346e-01
 0.00000000e+00 2.30104912e-01 0.00000000e+00 6.18045062e-01
 3.11724002e-02 0.00000000e+00 5.90075987e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.23514649e-02 7.56474869e-02
 7.42633089e-01 3.47917000e-02 1.00000000e+00 0.00000000e+00
 7.24394435e-01 6.96460909e-01 0.00000000e+00 1.54606170e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.89612328e-02
 9.02453587e-01 2.00006872e-01 7.28465854e-01 1.00000000e+00
 0.00000000e+00 8.10238692e-05 6.90895345e-01 7.23687877e-01]"
20,"1,505,558",2.800000,13.134044,7/36 (19.44%),"[0.         0.         0.         0.13538557 0.16311851 1.
 0.28909397 0.82540169 0.71470669 0.         0.56345445 0.72725609
 0.83974199 0.         0.34190669 0.9828119  0.44694366 0.
 0.77067544 0.00594826 0.0483947  0.69874039 0.51049257 1.
 0.         0.         0.08659649 0.33550985 0.         0.18642654
 1.         1.         0.         0.51997361 0.86756311 0.71772002]"
