Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",1.200000,17.299577,52/64 (81.25%),"[0.         0.         0.         0.         0.84105946 0.
 1.         1.         0.         1.         1.         0.
 0.9478912  0.06448508 0.         0.         1.         0.
 0.         0.47314975 0.68941092 0.         1.         1.
 1.         0.         0.         0.         0.22047347 0.
 0.         0.         0.         1.         1.         0.
 1.         0.69354645 0.         1.         1.         0.
 0.         1.         0.         0.26713716 0.         1.
 1.         0.         0.         1.         0.         0.69656464
 0.54151792 0.         0.         1.         1.         0.
 0.         0.         0.56870481 0.26844533]"
2,"1,029,044",9.850000,23.499577,9/64 (14.06%),"[1.         0.         0.60559638 0.53323604 0.         0.
 0.81389633 0.40577122 1.         0.         0.         0.71595833
 0.         0.         0.53852859 0.         0.         0.54009446
 0.57465938 0.         0.         0.         0.         0.11088833
 0.43630765 0.57076435 0.1510096  0.96418031 0.62976146 0.62271904
 0.         0.         0.19142299 0.14290251 0.80370273 0.
 0.         0.52128271 0.63623832 0.         0.48184994 0.
 0.76584657 0.         0.53597352 0.         0.22467722 0.91572828
 0.48600002 0.35761946 0.07161954 0.7854333  0.         0.70530436
 0.64295994 0.         0.20265785 0.07820023 0.         0.67152568
 0.         0.56605345 0.55935809 0.05039977]"
3,"1,100,332",5.950000,22.377281,14/64 (21.88%),"[0.         0.         0.29632484 0.83628684 0.84568209 0.
 0.81309983 0.83986017 1.         1.         0.         0.
 0.         0.55695572 0.         0.         0.         0.
 0.55929942 0.81910023 0.48731199 0.78465898 0.01776745 0.14954507
 0.45056449 0.6833907  0.24565289 0.00451658 0.         0.
 0.77814135 0.01107424 0.81494286 0.81146788 0.50819304 0.70454715
 0.         0.05952624 0.68423059 0.         0.         0.13423024
 0.         0.         0.58789965 0.84680506 0.         0.
 0.17876474 0.6042654  0.72841915 0.19567198 0.         0.15234848
 0.         1.         0.         0.67982053 0.         0.8406899
 0.81756643 0.39750548 0.         1.        ]"
4,"1,110,957",2.400000,19.950423,29/64 (45.31%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.35522832e-01 5.81058683e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.90609543e-03 7.56502159e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 2.51474054e-02 0.00000000e+00 6.56350838e-02 7.26004258e-06
 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.51448872e-01
 6.95921629e-01 2.98845265e-01 3.17060478e-01 2.06311523e-06
 1.00000000e+00 0.00000000e+00 2.62072857e-01 2.89323780e-01
 4.27500962e-02 7.86250569e-01 6.40934984e-01 3.66197480e-01
 0.00000000e+00 0.00000000e+00 8.70551809e-01 8.83566641e-01
 6.46311683e-01 3.99081306e-01 7.81488874e-01 2.31436824e-01
 1.00000000e+00 0.00000000e+00 2.78717776e-01 1.80309043e-01
 9.34424888e-02 6.47340598e-01 0.00000000e+00 9.02710943e-01
 1.00000000e+00 0.00000000e+00 9.85370340e-02 3.54851629e-01
 8.02151518e-01 8.10030691e-01 3.17156929e-01 6.49020939e-01]"
5,"1,129,625",12.750000,22.914384,10/64 (15.62%),"[0.00000000e+00 0.00000000e+00 3.65695527e-01 2.70661768e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 3.76811590e-01
 1.00000000e+00 5.18213836e-01 8.93235479e-01 8.43679640e-01
 0.00000000e+00 1.00000000e+00 4.56932615e-01 0.00000000e+00
 0.00000000e+00 9.65354255e-01 0.00000000e+00 3.13726048e-01
 7.23234831e-02 1.49503935e-01 0.00000000e+00 0.00000000e+00
 4.37694209e-02 1.28459368e-01 7.74512329e-01 4.15932169e-01
 1.00000000e+00 2.67641534e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00 8.77264209e-04 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 2.87240653e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.42305421e-04 9.82803854e-02 1.82698938e-02
 0.00000000e+00 2.63443996e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 5.14023307e-01 9.10014480e-01
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00]"
6,"1,149,616",9.000000,20.686438,24/64 (37.50%),"[0.         1.         0.         0.         1.         0.05814024
 0.14717969 0.         0.         1.         1.         0.
 0.         0.52221434 0.61863669 0.27810632 0.07525118 0.
 0.38455638 0.         0.76023875 0.         0.08650063 0.
 0.         0.98158663 1.         0.         0.63850344 1.
 0.         0.         1.         0.         0.55267297 0.05709884
 0.         0.38691042 0.         1.         1.         0.
 0.         0.03018436 0.         0.         0.         1.
 0.         0.         0.05343581 0.         1.         1.
 0.         0.         0.55778477 0.55615422 0.07379676 0.30970302
 0.         0.         1.         1.        ]"
7,"1,152,113",5.200000,22.522593,9/64 (14.06%),"[0.00000000e+00 1.09790351e-04 4.23379097e-02 7.56737094e-01
 9.13235453e-01 6.46745886e-02 0.00000000e+00 5.12816067e-01
 8.36817014e-01 8.46269315e-01 0.00000000e+00 2.49624570e-01
 0.00000000e+00 0.00000000e+00 6.53636557e-03 7.90606221e-01
 0.00000000e+00 0.00000000e+00 9.25891589e-01 5.09453629e-01
 4.23469561e-01 5.83798700e-01 6.21046933e-01 1.33097304e-01
 0.00000000e+00 7.93559199e-01 3.39085360e-01 0.00000000e+00
 1.51477850e-02 3.44101454e-01 3.46250704e-01 8.76117094e-01
 0.00000000e+00 6.39286910e-01 3.08906106e-03 0.00000000e+00
 8.19645544e-01 0.00000000e+00 3.40651155e-02 8.36944639e-01
 3.34187561e-03 9.92382059e-02 4.62753190e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 3.50283788e-01 6.30616393e-01 8.55576799e-01 1.59710066e-01
 1.55924527e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.51861224e-01
 5.51649612e-01 7.96338771e-01 0.00000000e+00 0.00000000e+00]"
8,"1,231,208",6.200000,22.651733,12/64 (18.75%),"[1.         1.         0.         0.63443324 0.         0.
 1.         1.         0.         0.         0.         0.88067747
 0.00276899 0.2198998  0.         0.         0.         0.02502411
 0.         0.         0.14451577 0.         0.7132269  0.6517087
 0.59546875 0.         0.88358848 0.00389541 0.65786059 0.817784
 0.         0.         0.9361028  0.         0.87226404 0.02827624
 0.10401896 0.         0.87928727 0.68615745 0.0757602  0.37914877
 0.00681222 0.35217171 0.         0.02253025 0.39452187 0.91212654
 0.04833891 0.01080677 0.         0.32049387 0.55236468 0.
 0.85716588 0.         0.45620187 0.32149224 0.00473928 0.
 0.51263529 0.         0.89357335 0.57873364]"
9,"1,237,562",7.350000,22.475938,7/64 (10.94%),"[0.00000000e+00 0.00000000e+00 5.32231615e-01 8.34672302e-03
 9.99680249e-01 9.99537913e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.78505083e-01 8.79263556e-01 9.87413458e-03
 4.16855695e-01 2.65900859e-03 1.09943457e-01 0.00000000e+00
 0.00000000e+00 6.42042535e-01 2.69306977e-01 9.61294293e-01
 0.00000000e+00 9.72129453e-01 5.73625735e-01 0.00000000e+00
 1.84954126e-01 5.14717002e-01 2.64528902e-01 9.99995894e-01
 4.09280616e-01 0.00000000e+00 1.01718931e-01 2.68533284e-01
 9.82326293e-01 0.00000000e+00 9.22175006e-01 4.00513285e-01
 1.66918843e-04 0.00000000e+00 6.61762239e-02 2.53097408e-01
 8.14947682e-01 0.00000000e+00 9.97636315e-01 7.34322945e-01
 1.80926660e-01 0.00000000e+00 9.91680616e-01 8.92703703e-01
 0.00000000e+00 6.80884235e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.60136560e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 6.88684577e-01 8.31423011e-01 9.72853091e-01]"
10,"1,279,555",2.000000,21.262273,18/64 (28.12%),"[7.59015129e-01 2.15042949e-01 8.12281905e-01 0.00000000e+00
 6.32729255e-01 8.05015534e-01 3.56481145e-02 8.16453797e-01
 6.75499644e-01 0.00000000e+00 8.37128393e-01 2.74798124e-01
 6.39673693e-02 3.83538750e-01 8.41982476e-01 8.25254081e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.65205539e-02
 8.11305142e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 5.99592796e-01 1.59004370e-01 0.00000000e+00 1.00000000e+00
 3.22822140e-04 0.00000000e+00 9.13274532e-04 6.69885037e-01
 0.00000000e+00 1.29032458e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 4.04731302e-01 3.90169452e-03 7.16360125e-01
 1.46042538e-01 8.16739623e-01 7.46302510e-01 0.00000000e+00
 7.07626132e-01 8.18246098e-01 1.69474288e-01 0.00000000e+00
 3.06214257e-01 8.41810219e-01 0.00000000e+00 1.00000000e+00
 3.13388748e-01 1.70390920e-01 7.03805466e-01 7.65090405e-01
 8.02602996e-01 6.16917734e-02 0.00000000e+00 1.00000000e+00]"
