Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.200000,16.925717,23/36 (63.89%),"[0.60148483 0.         1.         0.         0.19134302 0.31443521
 1.         0.16293736 0.59173714 0.04043692 0.58688974 0.79182147
 0.         0.         0.50010116 0.         1.         0.42542349
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",4.350000,18.934087,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 0.         0.83425282 0.45699646 0.         0.         1.
 0.1107933  1.         1.         0.         1.         0.95553473
 0.7112349  0.41953481 0.47712893 0.         0.         0.
 1.         0.08932819 0.         0.         0.47846693 1.
 1.         0.14157991 0.02909579 1.         1.         1.        ]"
3,"1,188,236",6.300000,19.664763,10/36 (27.78%),"[1.         0.65160097 0.         0.         1.         1.
 1.         0.         1.         0.         0.         0.
 1.         0.         1.         1.         0.         1.
 0.         0.         0.         0.         1.         1.
 1.         1.         0.         0.69233894 0.         0.
 0.         0.         0.         0.         1.         1.        ]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.950000,20.317672,9/36 (25.00%),"[0.93607187 0.         0.         0.85429182 0.63954091 0.40585964
 0.61251815 0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.63797924 0.
 0.85485109 0.78718567 0.         0.50910211 0.72060254 0.
 0.30202245 0.         0.29772278 0.00896467 0.36658686 0.92993607
 0.86852387 0.64790999 0.10364605 0.5904993  0.46031498 0.52496687]"
6,"1,194,297",1.600000,17.812145,16/36 (44.44%),"[0.         0.15817622 0.53306668 0.52736475 0.07901627 0.47765492
 0.79999172 0.2079381  0.15071029 0.03029203 0.62530179 0.7745232
 0.63158857 0.32856896 0.59452814 0.42784609 0.         0.
 0.25836745 0.         0.76649701 0.         1.         1.
 0.         0.         0.66185688 0.79735653 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.600000,17.587204,19/36 (52.78%),"[0.91753143 0.80099387 0.24417245 0.54190345 0.52190402 0.
 0.49264332 0.48440422 0.16435928 0.15938901 0.         1.
 0.150867   0.62189962 0.93001002 0.         0.         1.
 0.79362928 0.50529376 0.         1.         1.         0.
 0.33456312 0.07406863 1.         0.         0.         1.
 0.         0.         0.83924915 0.         0.         1.        ]"
8,"1,217,965",4.600000,19.913603,11/36 (30.56%),"[0.3887195  1.         0.37654271 0.64811238 0.18202386 0.86522893
 0.         1.         0.7744647  0.20723977 0.09235112 1.
 0.03038159 0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.
 1.         0.         0.         1.         0.63518636 0.07772957
 1.         0.         1.         0.         1.         0.34243379]"
9,"1,253,849",3.200000,15.860141,20/36 (55.56%),"[0.54978494 0.48073855 0.09271885 0.         0.         0.
 0.80993836 0.57932129 0.         0.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.01177728 0.14243467 0.         1.         1.         0.
 0.76099032 0.79982995 0.73738747 0.         0.         1.
 0.28528973 0.41389377 0.96927555 0.42989198 0.         1.        ]"
10,"1,317,605",6.000000,19.889696,8/36 (22.22%),"[1.         1.         0.10588917 0.90810386 1.         0.
 0.         0.         0.         0.         0.         1.
 0.         1.         0.         1.         0.         0.68165287
 1.         1.         1.         0.         0.         1.
 0.         0.         0.         1.         0.         0.
 1.         0.53076452 0.         1.         0.         0.        ]"
