Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.200000,11.530086,23/36 (63.89%),"[0.71482149 0.         1.         0.12902405 0.273092   0.58625691
 1.         0.47771509 0.82556108 0.3428049  0.26150018 0.76020299
 0.         0.         0.65216588 0.         0.1579026  0.67581099
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",6.900000,13.844264,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.92508498
 0.         0.         0.         1.         0.36773063 1.
 0.         0.04391226 0.37295766 0.         0.16092488 1.
 0.         0.         0.         1.         0.         0.49348382
 1.         1.         0.         1.         1.         0.        ]"
3,"1,188,236",3.850000,13.730989,10/36 (27.78%),"[8.22810357e-03 9.62647040e-01 9.62647040e-01 0.00000000e+00
 9.63299102e-01 0.00000000e+00 9.62647040e-01 0.00000000e+00
 0.00000000e+00 6.78116638e-01 0.00000000e+00 9.62647040e-01
 8.61628330e-01 1.78152718e-01 9.17995537e-01 9.62647040e-01
 0.00000000e+00 9.62647040e-01 0.00000000e+00 0.00000000e+00
 3.57500921e-02 8.50070058e-04 7.65727879e-01 4.36461988e-02
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.59382073e-01
 0.00000000e+00 3.91165402e-01 0.00000000e+00 0.00000000e+00
 7.54092539e-04 6.74134030e-01 9.62647040e-01 9.62647040e-01]"
4,"1,191,192",0.000000,0.012281,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.000000,12.543547,9/36 (25.00%),"[7.43976809e-01 8.25263001e-01 0.00000000e+00 0.00000000e+00
 1.43482695e-02 7.75228716e-01 7.51272334e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 7.53103059e-01
 4.25442866e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.15927811e-02 5.17230734e-01 6.78303326e-01 4.03784301e-01
 0.00000000e+00 5.60172777e-01 6.80839005e-01 8.90246359e-02
 7.48138508e-01 3.75396508e-01 0.00000000e+00 1.09902786e-04
 4.56937466e-01 7.73032196e-01 9.71426373e-01 1.48905165e-01
 8.57913684e-01 8.05026970e-01 1.11287176e-01 7.55416148e-01]"
6,"1,194,297",1.200000,12.089621,16/36 (44.44%),"[3.16374843e-01 8.41415751e-01 8.77558419e-01 6.33768300e-02
 3.31952654e-07 0.00000000e+00 0.00000000e+00 6.03995568e-01
 0.00000000e+00 0.00000000e+00 6.88471516e-01 5.65414729e-01
 1.00000000e+00 0.00000000e+00 9.73796960e-01 6.10057196e-01
 0.00000000e+00 0.00000000e+00 9.02274951e-01 0.00000000e+00
 5.29145507e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 3.42047514e-01 4.33864446e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",1.200000,11.589117,19/36 (52.78%),"[0.88591381 0.         0.03877005 0.7514043  0.17574577 0.
 0.81612373 0.10765275 0.53747791 0.89571603 0.         1.
 0.         0.98953041 0.         0.         0.         1.
 0.50430677 0.50451288 0.         1.         1.         0.
 0.37457119 0.4993498  1.         0.         0.         1.
 0.         0.         0.96899387 0.         0.         1.        ]"
8,"1,217,965",3.250000,12.940798,11/36 (30.56%),"[0.         0.73932676 0.         1.         0.         0.86358979
 1.         1.         0.         1.         0.         1.
 0.45315656 0.         0.         0.32251852 1.         0.
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         0.11656749 0.         1.
 1.         0.         1.         1.         0.         0.52392784]"
9,"1,253,849",0.800000,10.866170,20/36 (55.56%),"[0.80785793 0.93664788 0.47469609 0.         0.         0.
 0.26638817 0.10717685 0.         0.         0.         1.
 0.61874245 0.6575046  0.         0.         0.         1.
 0.18536106 0.79389004 0.         1.         1.         0.
 0.66269543 0.43595093 0.75618306 0.         0.         1.
 1.         0.27684268 0.63939343 0.19590016 0.         1.        ]"
10,"1,317,605",5.100000,13.146800,8/36 (22.22%),"[0.8450349  0.         0.53432217 0.9975639  0.06496586 1.
 0.         0.67495789 0.79078181 0.12478595 0.08904799 1.
 0.         0.0427329  0.         0.95125334 0.5876056  0.07309063
 1.         0.85079735 0.18828654 0.         0.46987065 0.23795292
 0.75183571 0.72473177 0.         1.         0.         0.99783922
 0.01001172 0.06029731 0.         1.         0.         0.63599345]"
11,"1,332,159",0.800000,12.604325,11/36 (30.56%),"[0.         0.01050865 0.64512794 0.7286039  0.         0.
 0.56354757 0.87736667 0.         0.         1.         1.
 0.19499783 0.1439785  0.61746628 1.         0.         0.
 0.38516419 0.         0.         0.         0.87099657 1.
 0.87927177 0.12981873 0.83167756 0.87563713 0.         0.
 0.66552475 0.31725611 0.79901884 0.31959883 0.79072542 0.86020156]"
12,"1,341,844",1.200000,11.715392,19/36 (52.78%),"[0.51648583 0.         1.         1.         0.         1.
 0.59331267 1.         0.         0.         0.         1.
 0.         0.         0.80901562 0.67879078 0.         0.
 0.5052056  0.48097858 1.         0.         1.         1.
 0.60497121 0.0332711  0.         0.38172979 0.         0.
 0.37467926 0.11801023 0.48868326 0.         1.         1.        ]"
13,"1,343,094",3.900000,13.047681,11/36 (30.56%),"[0.         0.4996673  0.         0.         0.63082396 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.76574342 1.
 0.         1.         1.         0.         0.         0.
 0.         0.         1.         0.         0.         1.
 1.         1.         0.         1.         0.         1.        ]"
14,"1,350,652",1.200000,10.858366,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.98133364 0.         0.         0.
 0.         1.         1.         0.         0.33597907 0.39671324
 1.         0.         0.09367437 0.86762659 0.         0.73888118
 1.         0.         1.         0.7666165  0.01477552 0.64501699]"
15,"1,375,820",0.000000,0.015970,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",4.550000,11.419967,16/36 (44.44%),"[0.         0.         1.         0.84619999 0.         1.
 0.         1.         0.         0.06469823 0.         1.
 0.         1.         0.         0.03330413 0.17205674 0.
 0.         0.         0.71339678 0.0805948  0.92239196 0.57939271
 0.         0.97639189 0.68857286 0.10970531 0.46569888 0.86439534
 0.35423803 0.60838511 0.4365007  0.51576551 0.57870938 0.49727464]"
17,"1,454,003",1.200000,11.149905,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         0.65137925 0.         0.         0.
 0.57751373 0.41448049 0.66684348 0.38275927 0.53948445 0.74345414
 1.         0.32610088 0.22690446 0.62793829 0.         0.60454432
 0.18343291 0.         0.08431373 1.         0.15258136 0.13738619]"
18,"1,470,603",0.000000,0.010950,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
