Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.066800,11.471639,23/36 (63.89%),"[0.35298659 0.         0.98933844 1.         1.         0.
 1.         1.         0.33069826 0.17523786 0.49003936 0.60873245
 0.         0.         0.73671092 0.         0.16623086 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",5.867000,12.858300,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 0.86730133 0.         1.         0.         0.         0.
 0.         0.         0.63395741 1.         0.         0.
 1.         1.         0.         1.         0.         0.
 1.         0.         0.         0.17360583 1.         1.
 0.30012187 0.98658178 1.         1.         0.         0.        ]"
3,"1,188,236",1.600200,14.600518,10/36 (27.78%),"[0.90180669 0.17410043 1.         0.         0.01949927 0.37590343
 0.51761703 0.         0.47879729 0.68777557 0.98055218 0.09681474
 0.29123899 0.8555864  0.56239572 0.         0.         1.
 0.         0.         0.40131649 0.36320172 0.96585193 1.
 1.         1.         0.         0.94525411 0.         0.
 0.         0.         0.98373374 0.16508709 0.97590015 0.90533584]"
4,"1,191,192",0.000000,0.011063,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.667000,14.242052,9/36 (25.00%),"[1.00000000e+00 1.00000000e+00 0.00000000e+00 1.95016422e-01
 1.00000000e+00 1.00000000e+00 9.52733931e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.54345805e-01
 7.27111405e-04 0.00000000e+00 1.00000000e+00 0.00000000e+00
 9.10840382e-01 3.56377004e-01 9.33917186e-01 1.00000000e+00
 0.00000000e+00 1.24019821e-01 0.00000000e+00 1.00000000e+00
 3.28385038e-01 5.80868165e-03 1.00000000e+00 0.00000000e+00
 4.77911369e-03 5.78119997e-02 5.73625486e-01 1.35835729e-01
 1.00000000e+00 2.12491509e-01 4.08786383e-01 1.00000000e+00]"
6,"1,194,297",1.600200,12.036004,16/36 (44.44%),"[2.10343562e-01 9.65185223e-01 7.51831707e-01 0.00000000e+00
 4.69334639e-01 4.03408211e-01 6.14137841e-01 2.90087304e-01
 1.76234406e-01 1.39059803e-01 9.53112003e-01 9.67838049e-01
 7.21543098e-01 5.66113397e-01 0.00000000e+00 1.95290926e-01
 0.00000000e+00 0.00000000e+00 4.62984641e-04 0.00000000e+00
 6.73164923e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.67942002e-01 9.67147429e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",1.066800,12.145083,19/36 (52.78%),"[0.57905645 0.19460557 0.10808066 0.53529712 0.53440565 0.
 0.08224926 0.81391218 0.99453531 0.47995572 0.         1.
 0.99006191 0.00298067 0.99002099 0.         0.         1.
 0.87732663 0.47352819 0.         1.         1.         0.
 0.26776126 0.109214   1.         0.         0.         1.
 0.         0.         0.62196918 0.         0.         1.        ]"
8,"1,217,965",0.533400,13.311213,11/36 (30.56%),"[0.31926011 0.72777311 1.         0.21820558 0.90305163 0.83954365
 0.77963349 0.42208885 0.23286864 0.95007406 0.35597156 0.
 0.64690221 0.         0.         0.60225667 0.27443833 0.06168302
 0.         1.         1.         0.         0.80568081 0.63958334
 1.         0.         0.         0.21464743 0.07517687 0.
 1.         0.         0.78920382 0.71073122 0.17461259 0.51663589]"
9,"1,253,849",2.666600,11.756352,20/36 (55.56%),"[0.19860009 1.         0.57332402 0.         0.         0.
 0.54070313 0.4505125  0.         0.         0.         1.
 0.         0.         0.         0.         0.         1.
 0.8141206  1.         0.         1.         1.         0.
 0.07079659 0.19675493 1.         0.         0.         1.
 0.8356482  1.         0.16097833 0.18674937 0.         1.        ]"
10,"1,317,605",3.200400,14.355521,8/36 (22.22%),"[0.92704421 0.44732814 0.9350553  0.93551405 0.         0.06862547
 0.33179217 0.95224309 0.11149637 1.         0.         0.93308713
 0.86062174 0.347137   0.         0.50424696 0.00435615 0.66452829
 0.79129812 0.29601021 0.8716766  0.         0.85585291 0.33246526
 0.15376345 0.86540568 0.         1.         0.         0.
 0.01968146 1.         0.         1.         0.         0.12227334]"
