Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",2.000000,12.284753,23/36 (63.89%),"[0.60388241 0.         0.70244726 0.0761935  0.21646064 0.11879558
 1.         0.1301209  0.36726754 0.78359739 0.76138449 0.39327636
 0.         0.         0.60278636 0.         0.03053519 0.62192354
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,14.601270,7/36 (19.44%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 8.49815033e-01 1.95638721e-01
 9.61080090e-01 0.00000000e+00 0.00000000e+00 5.74848502e-01
 4.90122622e-01 5.11781874e-01 0.00000000e+00 3.64792544e-01
 2.22914946e-04 9.11925736e-01 0.00000000e+00 5.16100798e-01
 1.79542060e-01 4.62961272e-01 1.00000000e+00 7.12659144e-02
 1.00000000e+00 4.50657906e-01 7.62842494e-01 0.00000000e+00
 1.49882272e-01 9.64885100e-02 6.19594207e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.01738267e-01 1.00000000e+00]"
3,"1,188,236",3.800000,14.286023,10/36 (27.78%),"[0.78632791 0.         0.         0.         1.         1.
 0.         0.         0.96603074 0.83110254 0.29680492 0.
 0.78699231 0.9508069  0.         0.29736438 1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         0.         1.
 0.         0.         0.         0.76518149 0.35092892 0.6831316 ]"
4,"1,191,192",0.000000,0.015644,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.400000,13.485069,9/36 (25.00%),"[0.53370037 0.72456786 0.         0.26909613 0.88373069 0.59089749
 0.33326633 0.         1.         0.         0.         0.34484312
 0.89286775 0.         1.         0.         0.66176856 0.51573333
 0.69740193 0.25453512 0.         0.05333324 0.         0.47007916
 0.28730331 0.68666357 0.69134072 0.32478331 0.13074778 0.00570966
 0.9818915  0.10785324 0.15715231 0.1396728  0.7144651  0.87683827]"
6,"1,194,297",1.200000,12.528571,16/36 (44.44%),"[0.00226766 0.14770715 0.86121171 0.58076075 0.1213174  0.00373801
 0.90386761 0.39583727 0.         0.06821979 0.75839462 0.73747542
 0.90530186 0.26106423 0.63610604 0.89797502 0.         0.
 0.07687885 0.         0.47022356 0.         1.         1.
 0.         0.         0.89755159 0.00201258 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",3.000000,12.574779,19/36 (52.78%),"[1.         0.         0.34505933 0.92511052 0.85275066 0.
 0.         0.65260711 0.10290446 0.25016423 0.         1.
 0.         1.         0.43407416 0.         0.         1.
 0.89286778 0.18356893 0.         1.         1.         0.
 1.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",3.200000,13.612246,11/36 (30.56%),"[1.         0.         0.59093238 0.         1.         1.
 1.         0.         0.         0.29931642 0.         0.43201574
 0.         0.         0.         1.         0.74254837 0.24601953
 0.         1.         1.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 1.         0.         1.         0.12540268 1.         0.68624542]"
9,"1,253,849",1.400000,11.187864,20/36 (55.56%),"[0.99463098 0.876123   0.05611434 0.         0.         0.
 0.03754607 0.         0.         0.         0.         1.
 0.56197118 0.49713798 0.         0.         0.         1.
 0.3821792  0.72221469 0.         1.         1.         0.
 0.34905424 0.72849517 0.08530421 0.         0.         1.
 0.01979524 0.42942724 0.91910209 0.70923635 0.         1.        ]"
10,"1,317,605",3.600000,13.441974,8/36 (22.22%),"[0.00000000e+00 6.15808895e-02 2.05241252e-01 6.60285045e-01
 1.19710548e-01 0.00000000e+00 1.10786556e-01 5.43636281e-01
 0.00000000e+00 8.12726827e-01 8.71060391e-02 1.00000000e+00
 2.42988871e-02 5.94351873e-01 0.00000000e+00 0.00000000e+00
 3.81803516e-01 5.90776938e-01 1.11845415e-12 0.00000000e+00
 2.80710514e-01 0.00000000e+00 4.98824391e-01 0.00000000e+00
 3.74489549e-01 1.25132070e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 9.33838399e-01 8.34580176e-01 5.41629650e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 6.49031900e-01]"
11,"1,332,159",1.200000,13.062881,11/36 (30.56%),"[0.22198338 0.04335369 0.63435246 0.64334723 0.         0.
 0.29390756 0.0303859  0.00224458 0.         1.         1.
 0.62394452 0.40977283 0.55041333 1.         0.         0.
 0.61865983 0.08102832 0.         0.42881464 0.99323696 1.
 0.23280642 0.51517969 0.33842284 0.9475966  0.         0.0572262
 0.         0.99922236 0.34303373 0.2332011  0.88924272 0.86896608]"
12,"1,341,844",1.400000,12.642684,19/36 (52.78%),"[0.23505348 0.         1.         1.         0.         1.
 0.87376529 0.8544632  0.         0.         0.         1.
 0.17439599 0.23191645 0.87660772 0.7363399  0.         0.
 0.93600911 0.380305   0.08586116 0.         1.         1.
 0.32744929 0.         0.88990382 0.20987311 0.         0.
 0.49181015 0.20085244 0.5222568  0.         1.         1.        ]"
13,"1,343,094",2.200000,14.046394,11/36 (30.56%),"[0.         0.         1.         0.26963248 0.         0.49377221
 1.         0.         1.         0.         0.81801995 1.
 1.         0.         0.         1.         0.         0.
 0.         0.93102458 0.1730368  0.         0.         0.62243627
 0.         0.         1.         1.         0.21950662 1.
 1.         1.         0.         0.45237243 0.6876023  0.47343883]"
14,"1,350,652",1.600000,13.685114,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         1.         0.         0.46764516 0.
 0.         1.         0.02582006 1.         0.15323574 1.
 1.         0.         0.33263229 1.         0.         0.22392966
 1.         0.         0.9581406  0.4091982  0.52267402 0.82807   ]"
15,"1,375,820",0.000000,0.000000,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",3.000000,11.962492,16/36 (44.44%),"[0.         0.         0.87736763 0.74506447 0.         1.
 0.         1.         0.         0.29664069 0.         1.
 0.         1.         0.         0.67012608 0.17085601 0.
 0.         0.         0.21313365 0.8496393  0.14955494 0.33687649
 0.         0.95392654 0.34574736 0.         0.31340422 0.6675965
 0.06013113 0.55536033 0.03474755 0.57331644 0.48909924 0.86855159]"
17,"1,454,003",0.000000,0.209791,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.50371402 1.         0.         0.         0.
 1.         0.225852   0.         0.17485106 0.84248229 0.63106563
 0.7985158  0.37976023 0.65027467 0.76384136 0.         0.28344322
 0.         0.48092988 0.         0.         1.         1.        ]"
18,"1,470,603",0.000000,0.014738,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",3.400000,14.889800,6/36 (16.67%),"[0.22054462 0.         0.20009582 0.00207681 0.96945118 0.01338778
 0.         0.00536122 0.7846039  0.17034632 0.98891444 0.26322663
 1.         0.         0.74966422 0.1419061  0.         0.56830797
 1.         0.         0.1150443  0.63150766 0.22925006 0.70133494
 0.         0.69129857 0.9601782  0.03197236 0.7259832  0.0337617
 0.01262107 0.3483481  0.13037443 0.82646147 0.14884211 0.89548756]"
20,"1,505,558",4.800000,14.546583,7/36 (19.44%),"[0.72112881 0.         0.         0.11991084 1.         0.47735401
 0.         0.         0.44433895 0.30444095 1.         0.04360066
 0.         0.81645111 1.         0.         0.28718698 0.93855676
 0.         0.         0.         1.         0.48830535 0.
 0.         0.         0.         1.         0.         1.
 1.         1.         0.         0.         1.         0.        ]"
21,"1,554,862",3.600000,15.024212,7/36 (19.44%),"[0.         1.         0.         1.         1.         0.
 0.95192463 0.         1.         0.         0.         0.
 0.         1.         0.         0.92815035 1.         0.
 0.28217062 1.         0.06444449 0.         0.         0.
 0.6848287  0.         0.         0.         0.         1.
 0.59968665 0.         0.         1.         0.         1.        ]"
22,"1,568,229",1.200000,12.156049,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.50461172
 1.         0.         0.         0.         0.         0.
 0.         0.         0.48866864 0.         0.73977087 0.58060674
 0.         0.         0.25557304 0.         0.         0.
 1.         1.         0.         0.04271331 0.00583378 0.5133458
 0.         0.         1.         0.65778604 0.         0.67029507]"
23,"1,589,978",0.800000,12.880649,20/36 (55.56%),"[1.         0.         0.58201565 0.28832954 0.62472874 0.7928084
 1.         0.         0.22192427 0.38973203 0.         0.
 0.         0.81463256 0.         0.09997665 0.67414514 1.
 0.15770375 0.66720154 0.46320664 1.         0.         0.
 0.69373847 0.         0.         0.         1.         1.
 0.67981529 0.         1.         1.         0.         0.        ]"
24,"1,605,903",2.600000,13.578797,8/36 (22.22%),"[0.01737984 0.20969988 0.98936256 0.48899297 0.48861053 0.25448712
 0.         1.         0.         1.         0.22152933 0.
 1.         0.         0.         0.89224288 0.49439591 0.84107034
 1.         0.         0.94449552 0.37585272 0.43823973 0.59075536
 0.         0.08664396 0.58185082 0.         0.         0.2133414
 1.         0.53625885 0.48881815 0.42300729 1.         0.66148091]"
25,"1,611,457",0.800000,12.674652,18/36 (50.00%),"[1.         0.         1.         0.         0.41279644 0.
 1.         0.         1.         0.41485799 0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.         0.         1.         0.25792565 0.20898711
 1.         0.         0.         0.         1.         0.43067502
 1.         0.         1.         0.66736485 0.         0.53171203]"
26,"1,615,209",2.200000,13.437142,9/36 (25.00%),"[0.00000000e+00 2.26035150e-01 1.00000000e+00 5.29853977e-01
 4.47678451e-01 7.71957429e-01 1.00000000e+00 3.17251965e-02
 0.00000000e+00 4.44354570e-01 7.57249318e-01 3.99907837e-02
 1.21866910e-02 0.00000000e+00 4.44514753e-01 2.48223176e-01
 8.37535086e-01 0.00000000e+00 4.37537776e-02 8.81907929e-04
 1.00000000e+00 9.74514589e-01 0.00000000e+00 0.00000000e+00
 7.97924314e-01 3.49998489e-01 2.41372981e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 2.55783161e-02 7.85307568e-01
 6.82552732e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00]"
27,"1,700,818",1.400000,10.922555,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 0.7203264  0.58285968 0.         1.         0.         0.
 0.17812602 0.         0.13060602 0.         0.         0.
 0.97958195 0.71566508 0.02595736 0.         1.         1.
 0.08223214 0.45058015 0.72377329 0.63279967 0.         0.        ]"
28,"1,744,893",2.000000,12.815551,18/36 (50.00%),"[0.58390215 0.29147291 0.01430359 1.         0.37894481 0.83718681
 0.28546725 0.69960646 1.         0.20234586 0.14824812 0.8022195
 0.79043047 0.         0.         0.82463795 0.81874636 0.
 0.         1.         1.         0.         0.10910352 0.37388873
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
29,"1,771,362",1.200000,11.878547,15/36 (41.67%),"[1.         1.         0.         0.         0.3015318  1.
 0.         0.         1.         1.         0.         1.
 0.6756097  0.48705549 0.         0.         0.         0.
 0.90659439 0.         0.         1.         0.         1.
 0.38311843 0.         0.         1.         0.         0.49671156
 0.08646685 0.29729714 0.30603475 0.         1.         0.96712497]"
30,"1,807,054",0.800000,11.611695,27/36 (75.00%),"[0.3085238  0.34935616 0.14369898 0.63816442 0.         0.
 0.61871126 0.63931125 0.19811038 0.         1.         1.
 0.         0.         0.98217705 0.54753575 0.         0.
 1.         1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
31,"1,821,140",0.800000,12.867039,20/36 (55.56%),"[0.64915331 0.67117356 0.         1.         0.         1.
 0.28584848 0.41164466 0.         1.         0.         1.
 0.13986609 0.72541232 0.56713465 0.         0.         0.
 0.40271516 0.07191796 0.27481257 0.91304967 0.         1.
 0.29919524 0.45440187 0.86228704 0.         0.         1.
 0.64247469 0.85476408 0.         1.         1.         0.        ]"
32,"1,823,388",0.800000,12.011854,19/36 (52.78%),"[0.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.
 0.80143373 0.         0.         1.         1.         0.
 0.79254814 0.         0.66764949 0.         0.         0.68107743
 0.11800435 0.68336083 0.27850709 0.         0.02670364 0.6609699
 0.29783814 0.65074822 0.45805365 0.74107046 0.14363763 0.34183812]"
33,"1,831,701",3.800000,14.245268,6/36 (16.67%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.33234417e-01 9.79194346e-01 1.00000000e+00 0.00000000e+00
 9.37079423e-04 1.86342672e-01 2.62372695e-01 2.75840748e-01
 0.00000000e+00 3.10552689e-01 1.00000000e+00 9.92234619e-01
 0.00000000e+00 5.00401104e-01 1.00000000e+00 2.76838244e-01
 2.23460565e-03 7.44757751e-02 0.00000000e+00 4.39799362e-02
 0.00000000e+00 0.00000000e+00 2.27850162e-01 9.23522384e-01
 9.94125233e-01 2.77641081e-03 1.00000000e+00 1.00000000e+00
 3.40761146e-03 4.41489085e-01 2.06502689e-02 8.16278091e-01]"
34,"1,905,338",1.400000,12.786768,12/36 (33.33%),"[0.92738506 0.         0.76012415 0.         0.         0.
 0.         0.         0.68466727 0.         0.61877356 0.
 0.93531855 1.         0.         0.         0.92271698 0.
 0.         0.         1.         1.         0.         0.27109017
 0.45349909 1.         0.         0.         0.         0.27361264
 0.         0.68687428 0.         0.         0.92615842 0.5069044 ]"
35,"1,925,806",2.200000,13.263749,14/36 (38.89%),"[1.         1.         0.         0.         0.58897368 0.38875589
 0.         0.         1.         1.         0.         1.
 1.         1.         0.         0.         0.08061129 1.
 0.         0.45193441 0.         1.         1.         0.
 0.56107225 0.02795283 1.         0.         0.33919711 0.42479142
 0.         0.42626115 1.         0.22770023 1.         0.71248152]"
36,"1,945,389",0.000000,0.010971,36/36 (100.00%),"[1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.
 1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0.]"
37,"1,945,835",2.000000,14.149584,7/36 (19.44%),"[7.66131819e-01 2.55016624e-04 7.63010829e-01 1.00125727e-01
 8.98376668e-01 8.84489489e-01 7.16646769e-01 3.18720883e-01
 9.60666240e-02 0.00000000e+00 6.51131250e-02 5.06264415e-05
 1.65409396e-01 9.76368869e-01 7.70683561e-01 2.70900554e-01
 1.59349036e-01 3.69214905e-02 7.63897593e-01 0.00000000e+00
 4.41194424e-01 4.82122082e-01 1.83768089e-01 7.54453923e-01
 0.00000000e+00 0.00000000e+00 5.52016501e-01 8.29274780e-06
 5.09065315e-03 5.97808957e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 7.16565680e-01 9.53408300e-01 2.21457210e-01]"
38,"1,966,415",0.800000,11.427503,28/36 (77.78%),"[0.79774855 0.         0.         1.         1.         0.
 0.20111285 0.90929525 0.69691073 0.         0.         1.
 0.         0.13097639 0.         1.         0.         1.
 0.94434484 1.         0.         1.         0.         0.
 0.1640086  0.         1.         0.         1.         1.
 0.65142258 0.         1.         0.         0.         0.        ]"
39,"10,016,966",0.800000,11.677966,27/36 (75.00%),"[0.01091268 0.87571609 0.         0.         0.         0.
 0.81324172 0.         0.         0.         1.         1.
 0.98908942 0.         1.         1.         0.         0.
 0.05637706 0.99999646 0.         0.         1.         1.
 0.64568614 0.         1.         1.         0.         0.
 0.85532869 0.4361654  0.         0.         1.         1.        ]"
40,"10,021,279",1.600000,13.635722,16/36 (44.44%),"[1.         0.20615615 0.39289869 1.         0.86229307 0.43553939
 1.         0.         1.         0.         0.         1.
 0.         0.74649182 0.07977079 0.39393804 1.         0.25879972
 0.         0.51852624 0.         0.16326635 0.         1.
 1.         0.         1.         0.         1.         0.
 1.         0.         1.         0.         1.         0.        ]"
41,"10,043,693",1.200000,12.542542,16/36 (44.44%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 9.13429430e-01 0.00000000e+00 0.00000000e+00 2.68239777e-01
 5.16342015e-01 0.00000000e+00 7.71697458e-01 1.39134085e-01
 8.71790559e-01 6.52444615e-01 2.46079153e-01 6.13965440e-01
 2.15926259e-01 7.66564317e-01 5.58806402e-06 3.47188136e-01
 3.91490816e-01 8.80315292e-01 4.18499822e-01 9.17795479e-01
 0.00000000e+00 7.78857741e-01 6.56770783e-01 3.97242080e-01]"
42,"10,068,202",0.000000,0.013515,36/36 (100.00%),"[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
43,"10,070,131",3.000000,12.236588,15/36 (41.67%),"[0.957156   0.61771338 0.02801269 0.3212214  0.56598829 0.01502429
 0.         0.16238516 0.         1.         0.         1.
 0.         0.         0.09884763 1.         0.2008131  1.
 1.         1.         0.         0.         0.25351339 0.34810842
 0.         0.         0.         0.         0.76495221 0.95834031
 0.         0.         1.         1.         0.         0.        ]"
44,"10,085,101",0.800000,11.184593,29/36 (80.56%),"[1.         1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         0.
 1.         0.         1.         0.         0.         0.
 1.         0.         0.         0.63998623 0.         1.
 0.         0.53817764 0.9749793  0.20658121 0.         1.
 0.         0.12658381 0.31284625 0.79324209 0.         0.        ]"
45,"10,087,831",0.000000,0.499857,24/36 (66.67%),"[1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 3.39190403e-01 3.47042583e-01 0.00000000e+00
 0.00000000e+00 8.15765907e-01 3.75777382e-01 5.61498733e-01
 4.04153107e-01 9.35560940e-01 0.00000000e+00 5.40062978e-01
 9.45098148e-04 5.05412800e-01 2.25041414e-02 6.78538674e-01]"
46,"10,091,029",2.400000,14.778147,12/36 (33.33%),"[0.50277376 0.         1.         0.13256932 0.56802576 0.51223542
 0.43957956 1.         0.38162983 1.         0.         0.
 0.         0.96038753 0.         0.         0.75691331 0.75984169
 1.         0.         1.         0.14411492 0.37756196 0.
 1.         0.         0.         0.67013006 0.         0.
 0.         1.         1.         0.         1.         1.        ]"
47,"10,137,351",0.800000,12.555800,20/36 (55.56%),"[0.         1.         1.         0.         0.         1.
 1.         0.         0.         0.59963811 0.         1.
 1.         0.         0.26729646 0.30475446 0.62697511 0.
 0.         0.05989862 0.9049866  0.96820592 0.         1.
 1.         0.1957649  0.48122711 0.41535539 0.         1.
 0.89475145 0.06616045 0.06651309 0.99133984 0.70399355 0.        ]"
48,"10,144,426",2.400000,13.467312,9/36 (25.00%),"[0.         1.         0.         1.         0.         1.
 0.         1.         0.         1.         0.35992096 1.
 1.         0.         0.         0.35285729 0.70851899 0.41589302
 1.         0.         0.37605829 0.         0.         0.53875097
 0.         0.08892529 1.         0.64058167 1.         0.
 1.         0.96447803 0.13736935 0.         0.45930297 0.87855141]"
49,"10,152,033",3.000000,15.400350,6/36 (16.67%),"[1.00000000e+00 1.18187159e-05 6.45605889e-01 1.34712550e-01
 5.54784757e-01 4.15765062e-01 4.77592447e-02 9.37294018e-01
 3.46876077e-01 2.67277617e-03 8.38973686e-01 2.40387367e-02
 0.00000000e+00 5.75537540e-01 3.03996158e-01 8.93489540e-01
 2.95175327e-04 1.87060485e-02 1.00000000e+00 0.00000000e+00
 8.68512039e-01 7.37796877e-02 6.73705524e-01 9.80480325e-01
 1.00000000e+00 0.00000000e+00 2.10796469e-01 9.80039518e-01
 2.58420274e-01 4.26341515e-01 0.00000000e+00 8.77787709e-01
 0.00000000e+00 9.80199483e-01 1.15158452e-01 5.31474653e-02]"
