Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,11.557512,23/36 (63.89%),"[0.17717289 0.         1.         1.         0.2291491  0.48985144
 1.         0.59500148 0.48115491 0.31857561 0.71917171 0.27787323
 0.         0.         0.09339413 0.         0.51164593 0.43256557
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",3.000000,14.275158,7/36 (19.44%),"[0.64027679 0.         0.         1.         1.         0.
 0.24310189 1.         1.         0.         0.         0.
 0.66212472 0.         0.         0.         0.         0.10174683
 0.9371853  0.27419033 0.78192555 0.16511486 1.         1.
 0.2806785  0.09523098 0.79278183 0.         0.         0.
 0.00712318 0.98345507 0.         0.80719743 0.         0.09801902]"
3,"1,188,236",2.000000,13.203603,10/36 (27.78%),"[0.42864825 0.25938333 0.94359261 0.         0.3697685  0.15187084
 0.74063072 0.         0.5607813  0.42190714 0.47499469 0.54688816
 0.92097336 0.2003332  0.38252858 0.92280182 0.00514132 0.74653801
 0.         0.         0.18472497 0.15525805 0.2013164  0.29961171
 1.         1.         0.         0.72324231 0.         0.92725777
 0.         0.         0.32983391 0.74065274 0.26376641 0.81854161]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.000000,13.877513,9/36 (25.00%),"[0.27141713 0.09484656 0.         0.99555822 0.86127821 0.02523575
 0.66641861 0.         1.         0.         0.         0.51781505
 0.99888211 0.         1.         0.         0.24885771 1.
 0.43034943 0.78020765 0.         0.0042331  0.0265887  0.01545023
 0.27154443 0.15666687 0.99954612 0.33937139 0.00550827 0.40659391
 0.76681222 0.         0.63541596 0.24510953 0.93714493 0.91776381]"
6,"1,194,297",1.000000,12.644071,16/36 (44.44%),"[5.44073318e-01 6.00782140e-01 1.83277276e-04 8.55400744e-02
 2.86669007e-01 9.05625610e-01 3.01352980e-01 4.12395126e-01
 6.24313846e-01 8.93771472e-02 4.03447159e-01 6.85722613e-01
 5.47864890e-01 1.72865033e-01 8.44013446e-01 2.64573894e-01
 0.00000000e+00 0.00000000e+00 7.68323409e-01 0.00000000e+00
 4.85645582e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.49805977e-03 7.38557334e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",1.000000,12.572180,19/36 (52.78%),"[0.67446411 0.88957666 0.14437822 1.         0.51780504 0.
 0.41561459 0.26552902 0.05719814 0.         0.         1.
 0.39877077 0.74964584 0.51392776 0.         0.         1.
 0.61818886 0.2583206  0.         1.         1.         0.
 0.40073434 0.63003028 1.         0.         0.         1.
 0.         0.         0.3393339  0.         0.         1.        ]"
8,"1,217,965",1.000000,13.097010,11/36 (30.56%),"[0.16093401 0.61132276 0.51380526 0.         0.93770416 0.98671702
 0.55502884 0.36511002 0.4110717  0.25806601 0.         0.37636538
 0.51025472 0.         0.         0.31565628 0.         0.
 0.         1.         1.         0.         1.         0.55012992
 1.         0.         0.         0.47050777 0.         0.26596202
 1.         0.         0.39406719 0.4855976  1.         1.        ]"
9,"1,253,849",1.000000,10.919534,20/36 (55.56%),"[1.         1.         0.22315215 0.         0.         0.
 0.         0.31465228 0.         0.         0.         1.
 0.91081072 0.91638132 0.         0.         0.         1.
 0.47592163 0.         0.         1.         1.         0.
 0.47581894 1.         0.         0.         0.         1.
 0.         1.         0.4007373  0.0427251  0.         1.        ]"
10,"1,317,605",2.000000,12.966732,8/36 (22.22%),"[0.52759585 0.6002254  0.23143656 0.93459387 0.89825431 0.22507412
 0.00696781 0.30920456 0.38341631 0.31535593 0.30962004 0.024933
 0.6812989  0.69950413 0.         0.1962922  0.         0.4216592
 0.16707018 0.15633357 0.37976115 0.         0.28049757 0.15696286
 0.42990469 0.27472478 0.         1.         0.         0.68001487
 0.86831873 0.82050742 0.         1.         0.         0.69611893]"
11,"1,332,159",1.000000,13.497454,11/36 (30.56%),"[1.         0.         0.47255263 0.49153205 0.         0.
 0.95745939 0.         0.47259277 0.         1.         1.
 0.31760159 0.3884667  0.60901306 1.         0.         0.
 1.         0.85874659 0.         0.08929522 1.         1.
 0.44110309 0.49675149 1.         1.         0.         0.48506988
 1.         1.         0.43750618 0.         0.52335341 0.94675849]"
12,"1,341,844",1.000000,12.365835,19/36 (52.78%),"[0.30667797 0.         1.         1.         0.         1.
 0.53150564 0.90754137 0.         0.         0.         1.
 0.33803689 0.21457325 0.23192109 0.37173881 0.         0.
 0.52198617 1.         0.22930337 0.         1.         1.
 0.16318933 0.45085762 0.87846392 0.58073625 0.         0.
 0.31002552 0.         0.2155002  0.         1.         1.        ]"
13,"1,343,094",2.000000,13.706282,11/36 (30.56%),"[0.         0.38505861 0.01780241 0.98421745 0.00301593 0.176321
 1.         0.         0.2053375  0.68304141 0.20473092 0.00105945
 1.         0.         0.27495902 0.00804693 0.9075384  0.31928776
 0.         0.95473269 0.54116856 0.45369826 0.14218435 0.82040786
 0.         0.         0.33836205 0.31691556 0.19069998 0.54402044
 1.         1.         0.         0.61116449 0.53736156 0.27958759]"
14,"1,350,652",0.000000,1.606268,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.11850679 0.         0.54951876 0.
 0.         0.7462331  0.73186086 0.24532448 1.         0.
 1.         0.         0.         0.26474158 0.         0.79432438
 1.         0.         0.54007865 0.76130796 0.16874475 0.67552559]"
15,"1,375,820",0.000000,0.015644,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,12.468422,16/36 (44.44%),"[0.         0.         0.77805658 0.56545457 0.         1.
 0.         1.         0.         0.20006537 0.         1.
 0.         1.         0.         0.74133979 1.         0.
 0.         0.         0.18248585 0.01749479 0.         0.29014964
 0.         0.54893821 0.44737569 0.63950309 0.21299158 0.56485262
 0.18835413 0.51021669 0.24833951 0.63953716 0.29410448 0.67816551]"
17,"1,454,003",1.000000,11.783959,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.61776694 0.35982713 0.         0.         0.49635642
 0.0533458  1.         0.         0.         0.72125434 1.
 0.         0.         1.         0.         0.         0.29502712
 0.06615562 0.         1.         0.         0.54135831 0.55785674]"
18,"1,470,603",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,13.494514,6/36 (16.67%),"[0.37757254 0.16730216 0.33412664 0.12976973 0.75140101 0.20576694
 0.         0.37840581 0.62731685 0.36414433 0.61119736 0.
 1.         0.         0.44529539 0.15108162 0.05695255 0.7241915
 1.         0.         0.59225155 0.39190578 0.44554519 0.79887799
 0.         0.11026182 0.6809146  0.34210273 0.55931206 0.0570577
 0.5690392  0.71707613 0.04227163 0.19831541 0.61801134 0.41549719]"
20,"1,505,558",1.000000,13.272404,7/36 (19.44%),"[3.25816827e-01 0.00000000e+00 6.97149661e-01 1.37246443e-04
 0.00000000e+00 5.41034447e-01 3.82920142e-01 9.03431808e-03
 9.14928118e-01 4.55693873e-01 4.85085766e-01 5.88756163e-01
 2.04585325e-02 1.77396767e-01 2.26933475e-01 9.65228179e-01
 9.33201552e-01 3.14378668e-01 7.44800150e-01 5.37893663e-01
 2.09237161e-02 1.93696473e-01 1.14828771e-03 6.32959696e-01
 0.00000000e+00 0.00000000e+00 3.65586834e-01 6.06752549e-01
 0.00000000e+00 6.18012532e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 5.04346051e-01 2.89714002e-02 2.72763861e-04]"
21,"1,554,862",1.000000,13.178634,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 0.87998281 0.79695156 0.         0.         0.         0.
 0.38471318 0.41816616 0.         0.00397449 0.41610506 0.54110278
 1.         0.         0.60262129 0.88834182 0.00202248 0.97817225
 1.         0.         0.25163081 0.47932373 0.74312226 0.00550315
 0.36834716 0.63287268 0.94922791 0.38631235 1.         0.02203508]"
22,"1,568,229",1.000000,11.304261,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.07375751
 1.         0.         0.         0.         0.44074156 0.8307181
 0.         0.32375467 0.         0.46803807 0.34533032 1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.21758731 0.20973189 0.
 0.         0.         0.         0.06723021 0.64350803 0.72720121]"
23,"1,589,978",1.000000,11.891561,20/36 (55.56%),"[1.         0.         0.42464186 0.99913093 0.54625039 0.2139002
 1.         0.         0.46596849 0.01463123 0.         0.93766279
 0.         0.08406893 0.         0.29626757 0.05983653 1.
 0.03453429 0.12973745 0.77251934 1.         0.         0.
 0.5029813  0.46903204 0.         0.         1.         1.
 0.57924799 0.         1.         1.         0.         0.        ]"
24,"1,605,903",2.000000,13.503625,8/36 (22.22%),"[0.1480253  0.09445637 0.88030005 0.1039202  1.         0.53050322
 0.         0.27758521 0.59972877 0.20840319 0.         0.25558198
 1.         0.         0.10141476 0.11635506 0.50461533 0.43361479
 1.         0.         0.48142181 0.09064999 0.79927807 0.0632148
 0.         0.46013154 0.36582552 0.         0.         0.67767218
 0.17821468 0.21648972 0.76954595 0.74174535 0.03080246 0.55021023]"
25,"1,611,457",2.000000,12.933951,18/36 (50.00%),"[1.         0.         0.35403911 0.         0.02604441 0.9546263
 1.         0.         1.         0.27849534 0.02971787 0.74911144
 0.         1.         0.         0.50526372 0.06912163 0.34244108
 0.         1.         0.         0.01234244 0.34815447 0.14552319
 1.         0.         0.09867294 0.         0.06719115 0.61162664
 1.         0.         1.         0.7787211  0.07044568 0.94154298]"
26,"1,615,209",1.000000,12.860208,9/36 (25.00%),"[0.83463041 0.01766183 0.         0.31027029 0.41725059 0.65525073
 0.99483155 0.11252809 0.24183659 0.0224001  0.15307732 0.53898302
 0.         0.03579201 0.083075   0.81795048 0.86013552 0.
 0.27089954 0.61204216 0.74187053 0.39025487 0.         0.
 0.69307144 0.06450646 0.27453599 0.         1.         0.
 1.         0.06975228 0.65714605 0.         1.         0.        ]"
27,"1,700,818",1.000000,10.984083,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 1.         0.07794344 0.         1.         0.         0.
 0.92084509 0.34071854 0.         0.         0.         0.
 0.24371603 0.43534601 0.38024059 0.         1.         1.
 1.         0.58766462 0.0316858  0.11833829 0.         0.        ]"
28,"1,744,893",1.000000,12.530430,18/36 (50.00%),"[0.42391523 0.98349629 0.90860177 0.3203815  0.72276216 0.53530964
 0.62059682 0.04863191 0.23780218 0.89794722 0.05490687 0.1825309
 0.98925054 0.         0.         0.14667452 0.52229805 0.93328391
 0.         1.         1.         0.         0.43949701 0.01016674
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
