Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.013115,23/36 (63.89%),"[4.89571911e-04 0.00000000e+00 5.24672686e-01 8.02783926e-01
 6.84616098e-01 5.17582478e-01 1.00000000e+00 2.04246917e-01
 5.12689369e-01 5.36845298e-01 8.12610418e-01 2.88898512e-01
 0.00000000e+00 0.00000000e+00 7.48981974e-01 0.00000000e+00
 5.36157926e-01 4.30206555e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
2,"1,124,444",0.000000,0.009284,7/36 (19.44%),"[0.3929272  0.         0.         1.         1.         0.
 0.51824891 0.66125506 0.49424051 0.         0.         0.66294733
 0.36704161 0.59416511 0.6941381  0.30461514 0.02554064 0.77797409
 0.24819295 0.79894566 0.06693454 0.36300459 0.81654874 0.05045989
 0.78442885 0.92912466 0.69355465 0.24704514 0.50843785 0.81034934
 0.79563658 0.43915268 0.987353   0.57230318 0.3577673  0.03912344]"
3,"1,188,236",0.000000,0.036092,10/36 (27.78%),"[0.64993491 0.67623857 1.         0.         1.         1.
 0.88720569 0.         1.         0.51685608 1.         0.39400984
 1.         1.         0.77872139 0.52515406 1.         1.
 0.         0.         1.         1.         1.         1.
 1.         1.         0.         0.61714515 0.         0.2362354
 0.         0.         1.         0.1734555  1.         0.6649686 ]"
4,"1,191,192",0.000000,0.015644,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",0.000000,0.062930,9/36 (25.00%),"[5.99032457e-01 2.55152726e-01 0.00000000e+00 7.13280566e-01
 7.65888484e-01 6.45632584e-01 6.06012384e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 7.52493193e-01
 2.65857820e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 5.67786710e-01 3.11426229e-01 9.13334562e-01 6.43268072e-01
 0.00000000e+00 5.68644239e-01 9.56039783e-01 7.81256908e-01
 6.40464712e-01 1.42220659e-01 3.33635411e-01 7.85291203e-01
 5.72454879e-01 6.58292721e-01 7.10170774e-01 4.23965421e-01
 5.55197124e-01 5.17136002e-01 5.37646348e-04 9.85863441e-01]"
6,"1,194,297",0.000000,0.015625,16/36 (44.44%),"[0.98981432 0.84192856 0.78622469 0.18113612 0.92196621 0.79130583
 0.25000899 0.82587441 0.62201994 0.29584551 0.85810999 0.7495719
 0.40838847 0.87877187 0.98321403 0.26017684 0.         0.
 0.84824721 0.         0.57310568 0.         1.         1.
 0.         0.         0.50239662 0.53728453 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.015625,19/36 (52.78%),"[0.57185175 0.38561542 0.67085401 0.79621303 0.77589473 0.
 0.19871207 0.16141527 0.54752715 0.22921483 0.         1.
 0.57272114 0.90147553 0.77688046 0.         0.         1.
 0.60454136 0.3831463  0.         1.         1.         0.
 0.67575232 0.39825149 1.         0.         0.         1.
 0.         0.         0.13891689 0.         0.         1.        ]"
8,"1,217,965",0.000000,0.000000,11/36 (30.56%),"[0.89537174 0.6792937  0.63636874 0.29614461 0.65754514 0.6375748
 0.36956674 0.58298586 0.23793506 0.50881716 0.87967834 0.67624549
 0.18275057 0.         0.         0.86344774 0.945553   0.39118173
 0.         1.         1.         0.         0.73856982 0.3494485
 1.         0.         0.         0.385174   0.82322275 0.06532309
 1.         0.         0.99634924 0.43983374 0.84659609 0.29347105]"
9,"1,253,849",0.000000,0.000000,20/36 (55.56%),"[0.78735897 0.29112368 0.66927777 0.         0.         0.
 0.31748776 0.11062524 0.         0.         0.         1.
 0.76024801 0.85983825 0.         0.         0.         1.
 0.8470179  0.2013269  0.         1.         1.         0.
 0.27124161 0.99832964 0.60055415 0.         0.         1.
 0.56930958 0.22608772 0.10600224 0.01370939 0.         1.        ]"
10,"1,317,605",0.000000,0.015625,8/36 (22.22%),"[0.76372339 0.93036432 0.75617209 0.63066619 0.06740699 0.51276644
 0.85228611 0.47131296 0.64764427 0.65385004 0.64488024 0.76652067
 0.44028549 0.59901941 0.         0.95523641 0.80923289 0.34251441
 0.58433742 0.43413895 0.42724762 0.         0.37312568 0.90854628
 0.04859578 0.28743529 0.         1.         0.         0.23638086
 0.67587519 0.64646218 0.         1.         0.         0.11717442]"
