Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",2.050000,26.887240,52/64 (81.25%),"[0.         0.         0.         0.         0.         0.
 1.         1.         0.         1.         1.         0.
 0.75621356 0.77782139 0.         0.         1.         0.
 0.         0.         0.         0.         1.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.         0.         1.         1.         0.
 1.         0.71877601 0.         1.         1.         0.
 0.         1.         0.         0.         0.         1.
 1.         0.         0.         1.         0.         0.80533201
 1.         0.         0.         1.         1.         0.
 0.         0.         0.         1.        ]"
2,"1,029,044",11.450000,34.203609,9/64 (14.06%),"[1.         0.         0.         0.         0.         0.00438545
 0.83213541 0.         1.         0.         0.79834956 0.92150029
 0.         0.43818476 0.89819112 0.         0.         0.87352771
 0.         0.         0.         0.         0.         0.90720378
 0.         0.62001444 0.18754798 0.         0.83672158 0.
 0.         0.87821401 1.         0.         0.         0.
 0.80542644 0.         0.         0.         0.87647013 0.
 0.87743953 1.         0.         0.         0.89277159 0.75542064
 0.14858475 0.         0.         0.         0.         0.
 0.         0.93805351 0.         0.         0.         0.
 0.         0.         0.77434769 0.        ]"
3,"1,100,332",9.350000,33.271506,14/64 (21.88%),"[0.         0.         1.         1.         0.         0.
 1.         0.         1.         1.         0.         0.
 0.         0.         1.         0.46617629 0.         0.
 1.         1.         1.         0.         0.         0.
 1.         1.         0.         1.         0.         1.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         0.         0.0365646  1.
 0.         0.         1.         1.         0.         0.
 0.         1.         1.         0.         0.         0.
 0.         1.         0.70536663 0.         0.         0.
 1.         1.         0.         1.        ]"
4,"1,110,957",2.000000,30.384964,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.         0.77070776 1.         0.         0.         0.
 0.         0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.26534082 0.
 1.         0.         0.         1.         1.         0.
 1.         1.         1.         0.         1.         0.
 0.93946051 0.09357063 0.24556727 0.30460566 0.         0.
 1.         0.12917656 0.         0.         1.         1.
 1.         0.         0.         0.64365285 0.         1.
 0.         0.26145158 1.         0.         0.19696285 1.
 0.         1.         1.         0.        ]"
5,"1,129,625",11.450000,34.982357,10/64 (15.62%),"[0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.43468789e-01 5.12616768e-01 0.00000000e+00 0.00000000e+00
 5.23830833e-01 0.00000000e+00 6.16268346e-01 0.00000000e+00
 3.15903254e-01 0.00000000e+00 0.00000000e+00 5.19764447e-01
 7.48673047e-01 0.00000000e+00 8.88966393e-01 2.10097373e-01
 0.00000000e+00 0.00000000e+00 1.26215495e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 6.86644367e-01 0.00000000e+00
 5.21363261e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.35329205e-01 2.11139543e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.54391643e-01 0.00000000e+00
 0.00000000e+00 7.73641101e-01 6.38499322e-01 0.00000000e+00
 0.00000000e+00 1.76011447e-02 0.00000000e+00 6.28630044e-01]"
6,"1,149,616",7.200000,30.452422,24/64 (37.50%),"[0.93176107 0.45836436 0.         0.         0.         0.
 0.         0.         0.83836638 0.         0.87537647 1.
 0.         0.10605111 0.89487036 0.85434017 0.         0.
 0.         0.         0.         0.03724091 0.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         1.         0.         1.         1.
 0.         0.77380032 0.         1.         1.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.8597809  0.         0.         1.         1.
 0.         0.         0.         0.69141473 0.         0.
 0.         0.         1.         1.        ]"
7,"1,152,113",9.500000,34.946522,9/64 (14.06%),"[0.         0.79220551 0.51883666 0.29410467 0.93739708 0.
 0.         0.         0.         0.85123995 0.         0.79782801
 0.92963347 0.         0.90869461 0.50962937 0.         0.81029524
 0.         0.82023748 0.         0.9382834  0.         0.
 0.         0.         0.         0.12962554 0.         0.
 0.8527996  0.70722977 0.         0.80149185 0.76078318 0.
 0.64990123 0.89297376 0.         0.         0.         0.18167261
 0.30088827 0.         0.         0.         0.         0.
 0.         0.5661047  0.         0.92019634 0.39619593 0.
 1.         1.         0.24213025 0.59120023 0.         0.59786415
 0.         0.37463163 0.         0.        ]"
8,"1,231,208",9.400000,33.556228,12/64 (18.75%),"[1.         1.         0.         0.01042153 0.36711542 0.
 1.         1.         0.         0.         0.73078336 0.
 0.76843905 0.11482036 0.         0.         0.         0.
 0.67337142 0.         0.8049256  0.         0.58429753 0.91505115
 0.         0.         0.         0.22621569 0.         0.3913892
 0.         0.         0.6724783  0.         0.81002553 0.81549521
 0.         0.         0.         0.         0.72968053 0.
 0.07865422 0.         0.         1.         0.80841139 0.
 0.         0.         0.         0.         0.50452346 0.
 0.         0.         0.         0.31455554 0.         0.
 0.5874611  0.         0.         0.        ]"
9,"1,237,562",5.500000,34.882136,7/64 (10.94%),"[0.         0.05110555 1.         1.         0.         0.
 1.         0.         1.         0.66142561 0.         0.
 0.         0.         0.5066503  0.         0.         1.
 0.         0.         0.86022601 1.         0.         0.
 0.         0.         0.99077463 1.         0.24433935 0.1070906
 0.         0.         0.         0.         0.         0.
 0.         0.         0.60664183 0.         0.         0.
 0.70619631 1.         0.         0.         0.93156244 0.
 1.         1.         0.         0.         1.         0.64463322
 0.         1.         0.         0.         1.         1.
 0.         0.         1.         1.        ]"
10,"1,279,555",5.450000,33.535257,18/64 (28.12%),"[0.61606706 0.         0.6157814  0.         0.96150376 0.88668224
 0.         1.         0.55744455 0.         0.86355219 0.
 0.         0.         0.64123861 1.         0.         1.
 0.         0.80316222 0.         0.17046772 0.00273507 0.
 0.         1.         0.         1.         1.         1.
 0.         1.         0.38873033 0.         0.         0.01065574
 0.         0.         0.         1.         0.95257218 0.98299049
 0.36770701 0.         1.         0.         0.91227363 0.
 0.         0.         0.         0.98787323 1.         0.
 0.         1.         0.         1.         0.65449076 0.
 0.         0.         0.         1.        ]"
11,"1,283,272",10.550000,31.911258,32/64 (50.00%),"[1.         0.         0.         0.         0.         0.99583262
 0.         0.         1.         0.         1.         1.
 0.         1.         1.         1.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         1.         0.
 1.         1.         1.         0.         1.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         0.         1.         1.         0.
 0.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         0.         0.
 1.         1.         0.         1.        ]"
12,"1,325,905",2.400000,28.870504,38/64 (59.38%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 6.77802271e-05 1.00000000e+00 9.11770682e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00641540e-02
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 5.60505412e-01
 9.10590295e-02 9.96800320e-01 2.21070499e-01 1.43201350e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.95408493e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 8.02915188e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.40697912e-03 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
13,"1,333,047",5.450000,31.953964,22/64 (34.38%),"[1.         0.8699498  0.         0.         0.         0.
 0.         1.         0.         0.         0.         1.
 1.         0.         0.         1.         1.         0.2261344
 0.         0.         0.         1.         0.99947547 0.
 1.         1.         0.         0.         0.14655595 0.
 0.         1.         0.         0.         0.         0.
 0.         0.89840867 0.         1.         0.06036279 0.94953929
 0.95485162 0.         0.         1.         0.99947547 0.
 0.         0.         0.         0.         0.94267211 0.
 0.         0.9729567  0.79866161 0.94065505 0.         0.
 0.8100702  0.71078325 0.         0.        ]"
14,"1,345,005",4.900000,33.636052,14/64 (21.88%),"[1.         0.         0.         0.         0.23970454 1.
 0.47734352 0.12805811 0.70145132 0.         0.         1.
 0.         0.97931897 0.         0.94110389 0.         0.59446049
 0.         0.95872428 0.         0.         0.         0.81163666
 0.         1.         0.         0.         0.26088973 0.
 0.         0.         0.         0.         1.         0.
 1.         0.         1.         0.76677683 0.29071544 0.
 1.         0.         0.96013534 0.57825119 0.         0.
 1.         0.9456489  0.         0.         0.         0.68441704
 0.         1.         0.02288613 0.         0.         1.
 1.         0.         0.         1.        ]"
15,"1,394,449",5.750000,34.054558,9/64 (14.06%),"[0.         0.         0.         1.         0.         0.
 0.59624245 0.53360569 0.67424033 0.64905731 0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.71516049 0.75588787 0.93015634 0.98458949
 0.         0.         0.53107559 0.69880388 0.         0.
 0.         0.         0.         0.         0.8256588  0.69591845
 0.         1.         0.         0.99570509 0.00533958 0.
 0.         0.         0.         0.79406705 0.         0.90220074
 0.         0.         0.61907096 0.78481064 0.         0.
 0.26915409 0.         0.65312447 0.81463552 0.12519965 0.
 0.         0.         0.99641313 0.55332736]"
16,"1,399,075",1.200000,27.970339,41/64 (64.06%),"[1.         0.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         1.         0.         1.
 0.         1.         1.         0.         0.         1.
 0.         1.         0.         0.         0.         1.
 1.         0.         1.         0.         0.         0.
 0.01581458 0.         0.         1.         1.         1.
 0.         0.         1.         1.         0.         1.
 0.         0.         1.         0.86130052 0.         1.
 0.         0.         1.         0.97763781 0.39233484 0.
 0.20631201 0.         0.58201174 1.        ]"
17,"1,409,599",5.500000,33.566995,13/64 (20.31%),"[0.         0.         0.         1.         1.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         0.         0.63810727 0.6946076
 0.83750838 0.         0.54018526 0.78054785 0.         0.
 0.83862442 0.         0.         0.         0.81553158 0.
 0.7857085  0.         0.         0.80014449 1.         0.
 0.         0.         0.87039405 0.74564483 0.74853702 0.
 0.         0.26019574 0.         0.22544346 0.         0.
 1.         0.         0.84780192 0.         0.78896428 0.76815318
 0.         0.37326726 0.         0.         0.63898114 0.
 0.         0.         0.         0.49589553]"
18,"1,449,756",4.600000,30.278486,31/64 (48.44%),"[1.00000000e+00 0.00000000e+00 8.14445328e-01 6.79884580e-01
 2.84456799e-02 0.00000000e+00 0.00000000e+00 7.28426214e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.82653929e-02 9.34952596e-01 0.00000000e+00 8.04067223e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 8.21410550e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 9.44041685e-01
 1.00000000e+00 0.00000000e+00 1.65263334e-03 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 3.31198789e-02
 0.00000000e+00 9.05139190e-01 9.22864519e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 5.18368591e-05 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.45747409e-06 9.57562354e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 8.89347523e-01 9.57571413e-01 0.00000000e+00]"
