Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",9.150000,30.229016,54/100 (54.00%),"[1.         0.         0.73361246 0.         0.         0.
 0.         0.         0.         0.56710738 1.         0.
 1.         0.65359908 0.         0.         0.         0.8618256
 0.04683364 1.         0.         1.         0.         0.
 0.71563253 0.25162015 0.09247979 1.         0.         0.
 0.         1.         0.         0.         0.73371502 0.35287478
 0.50986189 0.         1.         1.         0.         0.
 0.61560697 0.52873468 0.         0.         0.79711537 0.
 0.         0.         0.67427503 1.         0.         0.0105177
 0.         1.         0.         0.         1.         1.
 0.         0.         0.18969894 0.         0.         1.
 0.         0.         0.         0.         0.01356663 0.76745656
 0.84004149 0.         1.         0.         0.         1.
 0.         0.         0.         0.03013147 1.         0.
 1.         0.         0.         1.         0.         1.
 0.99743017 0.         0.79256794 0.         0.         1.
 1.         0.         0.         1.        ]"
2,"1,038,486",13.200000,31.563305,48/100 (48.00%),"[1.         0.75905413 0.         1.         0.         0.70815647
 1.         0.         1.         1.         0.         0.
 0.         0.65638586 0.09128163 0.         0.         0.
 0.         0.         0.         0.         0.76150793 0.08016846
 0.         0.62838165 0.4717712  0.         0.60182214 0.
 0.         0.         0.9127519  0.         0.         0.62591339
 0.         0.         0.         1.         1.         1.
 0.         1.         1.         0.         0.         0.72267079
 0.32155946 0.80782295 0.         0.         1.         0.
 0.         0.         0.         0.91311638 0.         0.
 0.         0.         1.         0.         1.         0.96417827
 0.         0.         1.         0.76735455 0.71529025 0.71508668
 0.         0.         0.         0.         1.         1.
 0.         0.         0.         0.         0.67237791 0.75807273
 0.         1.         0.         0.         1.         1.
 0.         1.         0.79141236 0.         0.         1.
 0.         0.         0.         0.        ]"
3,"1,054,057",13.200000,32.470796,38/100 (38.00%),"[1.         0.         0.98101593 0.         0.         0.
 1.         0.         0.94131849 0.69365474 1.         0.
 0.69574346 0.         0.96975461 0.         1.         0.
 0.         0.         0.         0.         0.         0.61926585
 0.         0.18485954 0.         0.18086053 0.         0.
 1.         1.         0.         0.87988622 0.2942373  0.92836094
 0.96496042 0.         0.         0.6593133  0.         0.
 0.         0.         0.         0.         0.         0.
 0.64687127 0.92750872 0.         0.         1.         1.
 0.         0.         0.         0.         0.9309319  0.
 0.97748397 0.68294661 0.         0.         1.         0.
 0.92678382 0.20577964 0.         0.         0.92366042 0.87650317
 0.         0.         1.         0.         0.78379179 0.01771093
 0.54006317 0.9849989  0.         0.         0.         0.
 0.         0.         0.         0.         0.64993509 0.
 1.         1.         0.         0.85298426 0.91741302 0.
 0.34889361 0.         0.         0.98636636]"
4,"1,075,756",11.450000,32.188701,43/100 (43.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 5.41062290e-01
 0.00000000e+00 0.00000000e+00 9.87741337e-01 5.80268903e-01
 0.00000000e+00 6.55869794e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.87741337e-01 0.00000000e+00
 4.20009223e-01 0.00000000e+00 6.46632528e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.87741337e-01 5.25329031e-05
 9.17292744e-01 0.00000000e+00 0.00000000e+00 9.87741337e-01
 9.80671771e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.29640722e-02
 0.00000000e+00 4.85771533e-01 0.00000000e+00 9.87461421e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 9.70382928e-01 7.33449390e-01 7.80681325e-01 9.87741337e-01
 0.00000000e+00 5.31288495e-01 0.00000000e+00 0.00000000e+00
 9.87741337e-01 9.87741337e-01 0.00000000e+00 0.00000000e+00
 8.71777725e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 9.00518757e-01 9.87741337e-01 9.87741337e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
5,"1,080,690",17.100000,33.662383,37/100 (37.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 9.49054852e-01 0.00000000e+00 0.00000000e+00
 1.75951229e-01 8.24891190e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.46805342e-01 0.00000000e+00
 1.00000000e+00 6.61452906e-01 0.00000000e+00 6.30898072e-01
 0.00000000e+00 5.82064513e-01 0.00000000e+00 4.96120455e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 5.37872562e-01
 0.00000000e+00 0.00000000e+00 9.48409771e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 7.62402210e-01 0.00000000e+00
 4.16297139e-01 7.76444529e-01 1.00000000e+00 0.00000000e+00
 3.70595736e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.59046081e-01 0.00000000e+00 2.81188842e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.66572023e-01 9.10187542e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 9.37912910e-01
 9.89753628e-01 0.00000000e+00 7.29987403e-01 0.00000000e+00
 0.00000000e+00 8.92021570e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.02746753e-01 9.27671920e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 7.35728670e-01
 5.82199368e-01 2.25107394e-07 9.31033347e-01 0.00000000e+00
 5.06751635e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00]"
6,"1,112,058",15.200000,33.015654,31/100 (31.00%),"[0.84954847 0.08357864 0.         0.69214242 0.77964841 0.88498253
 0.         0.         0.         0.97312912 0.97369497 0.
 0.         0.18244466 0.         0.         0.85532661 0.
 0.91281482 0.         0.         0.         0.         0.
 0.33147603 0.         0.79262472 0.         0.74151961 0.
 0.         0.         0.78702371 0.67370837 0.         1.
 0.         1.         0.         1.         0.         0.60243316
 0.         0.         0.         1.         0.         1.
 0.         1.         0.         0.57487763 0.         0.
 0.         0.         0.         0.         1.         0.
 0.         0.95260764 0.17117688 0.         0.         0.98042882
 0.         0.         1.         0.         0.         0.
 0.         0.97934167 0.96549855 0.95733301 0.48517625 0.
 0.         0.67729064 0.6539656  0.92055413 0.88825027 0.
 0.         0.         0.         0.         0.         0.75026175
 0.         0.         0.         1.         1.         0.
 0.91879399 0.95540793 0.         0.        ]"
7,"1,147,101",22.950000,32.958361,31/100 (31.00%),"[1.         0.         0.50070132 0.         0.         0.
 0.         0.         0.75538888 0.82046672 1.         0.
 0.92230666 0.         0.         0.         0.         0.
 0.         0.9114819  0.         0.79258164 0.         0.
 0.         0.         0.         0.         0.89093474 0.
 0.         0.9002898  0.92641183 0.6415251  0.         0.
 1.         0.         0.76385577 0.         0.         0.
 0.         0.         0.45090501 0.         1.         0.
 0.         0.91652215 0.         0.92650481 0.         0.86414224
 0.65745133 0.         0.         0.         0.         0.90855164
 0.         0.         0.44261156 0.         0.         1.
 1.         0.         0.         0.86822509 1.         0.
 0.         0.         0.9205872  0.         0.         0.81575108
 0.86711394 0.         1.         0.         0.         0.
 0.78142646 0.         0.         0.70023966 0.         0.85233424
 0.         0.         0.92112603 0.91122413 0.         0.
 0.         0.         0.6589021  0.9266094 ]"
8,"1,202,434",10.400000,33.095263,31/100 (31.00%),"[1.         0.28853339 0.         0.         0.         0.
 0.         0.         1.         1.         1.         0.
 0.         1.         1.         0.         0.         0.
 0.         0.         0.         0.90744805 0.         0.
 0.         0.         1.         0.         0.5389437  0.77679338
 0.90177972 0.67608396 0.         0.         0.         0.
 0.65613107 0.01375587 0.         0.3705211  0.         0.
 0.         0.         0.94977917 1.         0.         0.
 0.63746305 0.54721272 0.78377816 0.88453974 0.         0.
 0.         0.         0.9539471  0.96083774 0.         0.
 0.         0.         0.         0.76676409 0.8542147  0.75969508
 0.01000305 0.64472314 0.         0.51048153 0.         0.
 0.         0.76860312 0.         0.         0.         0.
 0.         0.69537523 0.6567154  0.         1.         0.
 1.         0.         1.         0.         0.         0.80334018
 1.         0.         1.         0.         1.         0.
 1.         0.         0.         0.        ]"
9,"1,244,950",21.800000,32.141583,43/100 (43.00%),"[0.         0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.89055803 0.82920213
 0.         0.         0.04716881 0.         0.         0.
 0.38466016 0.         0.         1.         0.41631783 0.
 0.9060702  0.50042363 0.         0.         0.         0.83474579
 1.         0.         0.         0.         0.         0.
 0.         0.         0.19546046 0.66078348 1.         0.
 1.         0.70091637 0.         0.         0.         0.
 0.22263187 0.         0.         1.         0.         0.78367538
 0.         0.62940855 0.         0.         0.         0.
 0.         1.         0.         1.         0.         0.53873712
 0.         0.78748847 0.58527279 0.         1.         0.
 1.         0.         0.83625743 0.         0.6333837  0.
 0.         0.         1.         0.         1.         0.
 0.         0.86839889 0.90773189 0.         0.         1.
 0.         0.         0.         0.82179816 0.         0.
 0.         0.         0.         1.        ]"
10,"1,247,861",21.550000,33.113887,13/100 (13.00%),"[0.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         0.         0.
 0.         0.63714012 0.         0.         0.74773018 0.56170122
 0.         1.         0.         0.         0.         0.2942811
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 1.         1.         0.         0.         0.         0.64275
 0.         0.         1.         0.6516222  0.         0.
 0.         0.0377711  0.         1.         1.         0.
 0.         0.         0.         1.         0.60192471 0.
 0.         0.         0.         0.         0.75099912 0.57741015
 0.         0.         1.         0.         0.         0.
 0.         1.         0.35970473 0.19784134 0.         0.
 0.         0.         0.         0.         0.         0.68125109
 0.         0.         1.         0.91779461 0.         1.
 0.         0.82521849 1.         0.         0.         0.01267411
 0.         0.         0.         1.        ]"
