Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",16.750000,31.094171,54/100 (54.00%),"[1.         0.         0.91653311 0.         0.         0.
 0.         0.84573925 0.         0.         1.         0.
 1.         0.         0.19280963 0.46501002 0.         0.
 0.9301128  1.         0.         1.         0.         0.
 0.         0.79036861 0.58444377 1.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         0.
 0.         0.87202148 0.37497862 0.         0.66020911 0.7110006
 0.         0.         0.         0.89635952 0.         0.8185154
 0.         0.52315901 0.         0.         1.         1.
 0.         0.         0.90893077 0.         0.         1.
 0.         0.         0.         0.         0.         0.04630872
 0.70531538 0.         1.         0.         0.         1.
 0.         0.         0.85570847 0.         0.         0.
 1.         0.         0.         1.         0.         1.
 0.61535973 0.         0.62529393 0.92295825 0.         1.
 1.         0.         0.         1.        ]"
2,"1,038,486",8.000000,29.718350,48/100 (48.00%),"[0.01254471 0.         0.86617491 0.86225067 0.         0.
 0.30540922 0.         1.         1.         0.90391866 0.98911258
 0.         0.         1.         0.11477542 1.         0.74910494
 0.         0.         0.24075361 0.         1.         0.
 0.95588515 0.         0.         0.00517155 1.         0.68497759
 0.         0.         1.         0.         0.         0.
 0.08518594 0.         0.         0.02828782 1.         1.
 0.         1.         1.         0.         0.98955204 0.89688506
 0.10336302 0.         0.         0.         1.         0.
 0.         0.         0.         0.         1.         0.
 0.96868647 0.         1.         0.         1.         0.74564532
 0.         0.         1.         0.84659904 0.67426475 1.
 0.         0.         1.         0.         1.         1.
 0.         0.         0.         0.         0.79390246 0.99755957
 0.         1.         0.         0.         1.         1.
 0.         0.         0.         0.96152833 0.         1.
 0.         0.         0.         0.        ]"
3,"1,054,057",11.650000,30.255284,38/100 (38.00%),"[1.         0.         0.         0.         1.         0.
 1.         0.         0.         0.         1.         0.
 0.         0.         0.97946216 0.         1.         0.
 0.         0.         0.         0.         0.         1.
 0.74596962 0.75289285 0.         0.         0.61568526 0.
 1.         1.         0.         1.         0.         0.
 0.8901886  0.         0.96585694 0.78913125 0.         0.
 0.         0.         0.         0.         1.         1.
 0.         1.         1.         0.         1.         1.
 0.         1.         0.         0.         0.         0.
 0.95507171 0.         0.         0.         1.         0.
 1.         0.         1.         0.         0.67745593 0.
 0.         0.         1.         0.         0.51836603 0.38165996
 0.97706423 0.         0.         0.         0.90841883 0.95378359
 0.         1.         0.         0.         0.         0.89928202
 1.         1.         0.         0.         1.         1.
 0.         0.         0.         1.        ]"
4,"1,075,756",10.600000,30.679017,43/100 (43.00%),"[1.         0.         1.         1.         1.         0.
 0.         0.55401878 0.50496702 0.         1.         0.
 0.         0.         0.         0.68549041 0.75972388 0.
 0.87732984 0.         0.         1.         0.         0.
 0.11203106 0.         0.         0.         0.         0.87399167
 0.         1.         0.         1.         0.         1.
 0.         0.         0.         1.         0.43976219 0.
 1.         0.96490019 0.         1.         0.         0.
 0.         0.64151573 0.         0.         0.43093504 1.
 0.         0.         1.         0.78880904 0.         0.
 1.         0.90352133 0.99310391 0.         0.         1.
 1.         0.         1.         1.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         1.         1.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         1.
 1.         0.         1.         1.        ]"
5,"1,080,690",17.600000,32.902365,37/100 (37.00%),"[1.         0.         1.         1.         0.         0.
 0.         0.55765723 0.68155869 1.         1.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.37882329 0.79715771
 0.72815594 0.         0.         0.         0.         0.
 0.74871475 0.         0.         0.84735966 0.         1.
 0.         1.         0.         1.         0.81269769 0.
 1.         0.         0.         0.77956726 0.         1.
 0.         1.         0.         0.65367517 0.         0.
 0.4279516  0.         0.         0.         0.         0.
 0.         0.87631062 0.         0.         0.         0.
 0.8472231  0.78119467 0.         1.         0.79474225 0.
 0.         0.62605097 0.79622374 0.         0.44045052 0.77476065
 0.         1.         0.67303883 0.         0.         0.
 0.2958582  0.71511926 0.6447829  0.         1.         0.
 0.         1.         0.79718217 0.67705668 0.         0.
 0.         0.         1.         0.        ]"
6,"1,112,058",18.200000,33.366848,31/100 (31.00%),"[0.01443158 0.         0.67855873 1.         0.         0.
 0.         0.54997789 0.         0.         1.         0.5238135
 0.         0.         0.90680192 0.70060258 0.         0.85687477
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.1537682  1.         0.         1.
 0.         1.         0.         1.         0.65743191 1.
 0.         0.         0.         1.         0.         1.
 0.         1.         0.         0.         1.         0.
 0.         0.         0.         0.         1.         0.
 0.         0.97327036 0.         0.         0.         0.
 1.         0.         1.         0.         0.         1.
 0.         0.75262039 0.7584302  0.         1.         0.
 0.         0.         0.         0.         0.61514024 0.
 0.         0.         0.         0.         0.         0.
 0.75638074 0.96112288 0.         1.         1.         0.
 0.         0.         0.53799571 1.        ]"
7,"1,147,101",35.100000,32.078214,31/100 (31.00%),"[1.         0.         0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.         0.         1.         1.         0.
 0.         0.36781013 0.         0.         0.         0.
 0.         0.         1.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         0.         0.         0.         1.         0.
 0.         1.         1.         1.         0.         1.
 1.         0.         0.         0.         1.         1.
 0.         1.         0.         1.         0.         1.
 1.         0.         0.         1.         1.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 1.         0.         0.         0.         1.         0.
 0.         1.         0.         1.         1.         1.
 1.         0.         1.         0.        ]"
8,"1,202,434",17.600000,31.836592,31/100 (31.00%),"[1.         0.         0.         0.         0.         1.
 1.         0.         1.         1.         1.         0.
 0.         1.         1.         0.         1.         0.
 0.         0.         1.         0.00992798 1.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         1.         0.         1.         1.
 0.         0.         0.         0.         1.         1.
 0.         0.         0.         0.         0.         1.
 0.         0.         1.         0.         0.         0.
 0.         1.         1.         0.         0.         0.
 0.         0.         0.         1.         0.4123878  0.
 0.         1.         1.         0.         1.         1.
 0.         1.         0.         0.         0.         1.
 0.         0.         0.         0.         1.         0.
 1.         0.         1.         0.         1.         1.
 0.         0.         1.         0.         1.         0.
 1.         0.         0.         0.        ]"
9,"1,244,950",10.550000,31.044777,43/100 (43.00%),"[0.53642825 0.         1.         1.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.         1.         0.         0.         0.
 1.         1.         0.         1.         0.         0.
 0.98250093 0.         0.         0.         0.         0.
 1.         0.         0.67926749 0.         1.         0.53725048
 0.         0.         0.         0.         1.         0.
 1.         1.         0.         0.         0.48318839 0.06858221
 1.         1.         0.         1.         0.         0.00341318
 0.         0.95873607 0.         0.         0.         0.
 0.         1.         0.         0.         0.31667997 0.80779485
 0.         0.         1.         0.1508893  1.         0.
 1.         0.         0.         1.         0.         0.
 1.         0.         1.         0.         1.         0.
 0.14655047 0.         0.22808518 0.80843283 0.         1.
 0.         0.         0.         0.98456269 0.96891627 0.
 0.         1.         0.         1.        ]"
10,"1,247,861",24.250000,32.623435,13/100 (13.00%),"[1.         1.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         1.         1.
 0.         1.         0.         0.96442461 1.         0.
 0.         0.         0.         1.         0.         1.
 0.         0.         0.         1.         1.         1.
 0.         0.         0.         0.         0.         1.
 1.         0.         0.         0.         1.         1.
 1.         1.         1.         0.         0.         0.
 0.         1.         0.         1.         1.         0.
 1.         1.         1.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.         0.         1.         0.
 0.         0.         0.         1.         1.         0.
 1.         0.         1.         1.         0.         1.
 0.         0.         0.         0.         1.         0.
 0.         0.         0.         1.        ]"
