Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",6.200000,30.373980,54/100 (54.00%),"[1.         0.         0.71839332 0.         0.53346728 0.
 0.73359695 0.65206336 0.         0.         1.         0.
 1.         0.44024928 0.         0.7492043  0.         0.
 0.72483651 1.         0.         1.         0.         0.67970526
 0.         0.74758503 0.74592929 1.         0.         0.
 0.         1.         0.         0.64901496 0.         0.
 0.         0.         1.         1.         0.67314237 0.
 0.         0.         0.         0.         0.58953443 0.72014242
 0.         0.         0.73749745 0.7398383  0.         0.7329871
 0.72984223 0.25041961 0.         0.         1.         1.
 0.25310933 0.60752319 0.         0.37956385 0.         1.
 0.72560663 0.         0.         0.         0.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.         0.74566992 0.7494731  0.
 1.         0.         0.         1.         0.         1.
 0.08383926 0.         0.59805174 0.58177053 0.         1.
 1.         0.         0.         1.        ]"
2,"1,038,486",18.800000,32.170365,48/100 (48.00%),"[0.         0.         0.         0.         0.         0.
 0.43116125 0.         1.         1.         0.82767923 1.
 0.         0.60059713 0.         0.         0.5783411  0.59643684
 0.         0.         0.         0.         0.68628128 0.84969208
 0.         0.         0.         0.65021528 0.         1.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         1.         1.         1.
 0.         1.         1.         0.         0.40579823 0.
 0.92802989 0.34517299 0.         0.         1.         0.
 0.         0.79202207 1.         0.         0.         0.
 0.         0.         1.         0.         1.         0.
 0.         0.         1.         0.53662577 0.         1.
 0.         0.77347043 0.         0.         1.         1.
 0.         0.         0.99141908 0.67146532 0.         0.
 0.         1.         0.         0.         1.         1.
 1.         0.         1.         1.         0.         1.
 0.         0.         0.         0.        ]"
3,"1,054,057",16.350000,32.250094,38/100 (38.00%),"[1.         0.         0.69349458 0.01559911 0.         0.
 1.         0.         0.53232978 0.85356259 1.         0.
 0.79326427 0.         0.         0.         1.         0.
 0.         0.         0.         0.         0.         0.7654322
 0.         0.60960079 0.         0.         0.11928535 0.82731529
 1.         1.         0.         0.64104446 0.         0.
 0.         0.         0.60841542 0.8670713  0.         0.
 0.         0.         0.         0.         0.98207009 0.73548443
 0.         0.         0.49178799 0.         1.         1.
 0.         0.         0.         0.02887627 0.         1.
 0.5167717  0.         0.         0.         1.         0.
 0.98357856 0.94325105 0.         0.96298963 0.69605702 0.
 0.59519412 0.         1.         0.         0.         0.01954464
 0.         0.52761424 0.         0.         0.74588198 0.
 0.         0.         0.         0.74881623 0.653182   0.43134514
 1.         1.         0.         0.         0.         0.
 0.         0.71866943 0.         0.        ]"
4,"1,075,756",13.050000,32.340625,43/100 (43.00%),"[1.         0.         1.         0.86314354 0.         0.
 0.         0.         0.73318226 0.         1.         0.
 0.         0.         1.         0.         0.66979839 0.
 1.         0.         0.         1.         0.88465439 0.16705234
 0.70719884 0.         0.93816676 0.95164662 0.         0.64252797
 0.80827268 0.         0.         0.         0.         1.
 0.         0.15599085 0.         0.         1.         0.
 0.89727394 0.6085067  0.         1.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.767726   0.55720549 0.         0.5766411
 0.66067732 0.8545314  0.48211997 0.         0.         0.
 0.         1.         0.         0.69672225 0.         0.
 0.         0.         1.         0.         0.79381724 0.
 0.         0.4423359  1.         1.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         1.
 1.         0.         1.         1.        ]"
5,"1,080,690",18.050000,32.252641,37/100 (37.00%),"[1.         0.         1.         1.         0.         0.
 0.8189398  0.61429723 0.70330423 0.         1.         0.
 0.         0.         0.         0.         0.67941675 0.
 0.         0.80565566 0.         0.7970115  0.57083701 0.
 0.82610977 0.39087065 0.         0.         0.         0.
 0.         0.         0.         0.         0.82730714 0.
 0.         1.         0.         1.         0.74415916 0.80640639
 0.         0.         0.28723234 0.         0.         1.
 0.         1.         0.         0.         0.62927466 0.
 0.         0.         0.60275352 0.         0.         0.
 0.10970975 0.         0.85369867 0.         0.87534041 0.
 0.87276559 0.87399423 0.         1.         0.         0.
 0.         0.65563146 0.81188845 0.10426195 0.         0.35135344
 0.         1.         0.76869195 0.         0.84688979 0.
 0.         0.86057089 0.         0.         1.         0.
 0.85520914 0.         0.87517459 0.         0.         0.870214
 0.28909645 0.         1.         0.        ]"
6,"1,112,058",13.900000,33.092249,31/100 (31.00%),"[1.         1.         0.         0.         0.         1.
 1.         0.         0.         0.22441732 0.         0.
 0.         0.18399763 1.         0.         0.         0.92171652
 1.         1.         0.         0.         0.         1.
 1.         0.         1.         0.         0.         0.
 0.         1.         1.         0.         0.         1.
 0.         1.         0.         1.         0.04388809 0.
 0.         0.94576627 0.         1.         0.         1.
 0.         1.         0.         0.         0.8685782  1.
 0.         0.         0.         0.         1.         0.
 0.         0.42130934 0.         0.         0.         1.
 0.76690485 0.         1.         0.         1.         0.
 0.         1.         1.         0.         0.         1.
 0.         1.         1.         0.         0.         0.
 0.         0.         0.         0.90461753 0.         0.75949516
 0.         0.0747551  0.         1.         1.         0.
 0.         0.         0.27472261 1.        ]"
7,"1,147,101",17.950000,33.738035,31/100 (31.00%),"[1.         0.         0.8404147  0.         0.48469215 0.74450786
 0.73556641 0.         1.         0.         1.         0.
 0.56710007 0.00433889 0.38717097 0.04414984 0.         0.
 0.         0.         0.         0.         0.         1.
 0.96687332 0.90718437 0.         0.83718834 0.77488274 0.89891873
 0.82673854 0.77981363 0.48956238 0.         0.         0.
 1.         0.         1.         1.         0.         0.47247867
 0.         0.99358744 0.83860319 0.         1.         0.
 0.         0.         0.         0.84672147 0.         0.
 0.         0.         0.         0.         0.90741796 0.90542922
 0.         0.65821532 0.         0.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.92623848 0.         0.98468506 0.         0.         0.83851823
 0.         0.00750935 1.         0.         0.52882374 0.
 0.92409326 0.         0.         0.81066597 0.         0.96597071
 0.         0.46210686 0.92284608 0.         0.         0.
 0.         0.         0.         1.        ]"
8,"1,202,434",12.850000,32.910017,31/100 (31.00%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 8.43982451e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.50943129e-04
 5.09746007e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.34682893e-01 0.00000000e+00 6.59249411e-01 7.88390832e-01
 0.00000000e+00 2.97731101e-01 9.84126414e-01 0.00000000e+00
 6.89706360e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.61331020e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.93369158e-01 0.00000000e+00
 7.25382014e-01 7.22026369e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.63794610e-01 6.09923659e-01
 0.00000000e+00 8.62838694e-01 6.90939742e-01 0.00000000e+00
 0.00000000e+00 7.86569578e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 4.08166937e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.14444085e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.13239481e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 7.72634654e-01 5.99261315e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 3.49508006e-01 8.10979851e-01]"
9,"1,244,950",17.950000,33.060394,43/100 (43.00%),"[1.         0.         1.         1.         0.         1.
 1.         0.         0.94605791 0.67954864 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         1.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.90009479 0.
 1.         0.         0.         0.         1.         0.
 1.         0.         1.         0.         1.         0.
 0.99987958 0.92801291 0.         1.         0.         1.
 0.         0.         1.         0.         0.         0.
 0.         1.         0.         0.83105197 0.         0.
 0.03481342 0.         0.         0.         1.         0.
 1.         0.         0.05472884 0.27475994 0.         0.93343242
 1.         0.         1.         0.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.         0.69685035 0.84086069 0.
 0.         1.         0.         1.        ]"
10,"1,247,861",21.800000,35.866437,13/100 (13.00%),"[0.         0.         0.         0.         0.         0.14731875
 0.59945302 0.77345723 0.28543491 0.         0.         0.
 0.98620924 0.         0.98620924 0.         0.         0.
 0.         1.         0.66059119 0.24678164 0.92357096 0.
 0.97158082 0.         0.93219759 0.         0.         1.
 0.73144697 0.         0.         0.98620924 0.         0.
 0.85511336 0.         0.         0.         0.         0.
 1.         0.         0.98174798 0.         0.24865339 0.68001919
 0.         0.85350456 0.34203794 0.         0.6123222  0.
 0.         0.         0.         0.98598823 0.         0.98620924
 0.7043731  0.96271373 0.         0.98620924 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05945146 0.81886488 0.76307384
 0.         0.98484108 0.9032235  0.         0.         1.
 0.98620924 0.98307106 0.         0.         0.         0.8943757
 0.         0.         0.         1.        ]"
