Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",1.200000,17.986879,52/64 (81.25%),"[0.         0.         0.         0.         0.88988976 0.
 1.         1.         0.         1.         1.         0.
 0.88988976 0.88988976 0.         0.         1.         0.
 0.         0.         0.         0.         1.         1.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         1.         0.
 1.         0.88988976 0.         1.         1.         0.
 0.         1.         0.         0.88988976 0.         1.
 1.         0.         0.         1.         0.         0.
 0.88988976 0.         0.         1.         1.         0.
 0.         0.         0.88988976 0.4855715 ]"
2,"1,029,044",20.400000,23.321470,9/64 (14.06%),"[1.         0.         0.         1.         0.         1.
 0.         0.55581657 1.         0.         0.         0.
 1.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         1.         0.
 0.         1.         1.         1.         0.         1.
 1.         1.         1.         0.         1.         0.
 0.         1.         0.         0.         1.         1.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         1.
 1.         1.         1.         1.         1.         0.
 0.         1.         0.         0.        ]"
3,"1,100,332",6.050000,22.936268,14/64 (21.88%),"[0.         0.         0.38959743 0.80865776 1.         0.
 0.         0.         1.         1.         0.         0.
 0.         1.         0.87643796 0.         0.         0.
 0.         1.         0.9932108  0.         0.         0.
 1.         0.         0.         0.40082366 0.         1.
 0.89442439 0.         0.69775963 0.5097528  0.         0.28030484
 0.         0.         0.85956095 0.         0.         0.37714746
 0.40252524 1.         0.         0.         0.         0.
 0.         0.         0.75732184 0.93057051 0.         0.8496814
 0.         1.         0.69694547 1.         0.         0.
 0.56895377 1.         0.         1.        ]"
4,"1,110,957",6.900000,20.311682,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.35683633 0.         0.         1.
 1.         0.         0.9467347  0.         0.95058417 0.48210194
 1.         0.         0.         0.         0.91965342 0.40795486
 0.57602716 0.         1.         0.         1.         0.50002982
 0.         0.         0.         0.57381687 0.         0.
 0.         0.         0.84416658 0.         0.         1.
 1.         0.         0.         1.         1.         0.3662146
 0.         0.97004893 1.         0.         0.         0.91772369
 0.         0.         0.         0.        ]"
5,"1,129,625",6.050000,25.083699,10/64 (15.62%),"[0.00000000e+00 6.73959087e-01 7.16850295e-01 0.00000000e+00
 3.54902724e-01 0.00000000e+00 9.39980548e-01 2.41906062e-01
 7.69161427e-01 0.00000000e+00 1.21055863e-03 8.24617779e-01
 8.23382309e-01 0.00000000e+00 5.81672599e-01 0.00000000e+00
 0.00000000e+00 6.65155172e-01 0.00000000e+00 1.23665499e-01
 0.00000000e+00 0.00000000e+00 4.47007858e-01 8.07316239e-01
 0.00000000e+00 6.96195136e-01 5.04446852e-03 0.00000000e+00
 7.21235597e-01 0.00000000e+00 7.36760483e-01 7.20547982e-01
 7.68397540e-02 6.78777990e-01 0.00000000e+00 0.00000000e+00
 8.79114306e-01 2.41347524e-07 2.03108140e-06 0.00000000e+00
 0.00000000e+00 6.04719897e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 5.16911347e-01 1.00000000e+00 0.00000000e+00
 5.77059715e-01 2.52386132e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.28948781e-01
 8.12146118e-01 0.00000000e+00 7.42261014e-01 0.00000000e+00
 5.37732401e-01 1.00000000e+00 0.00000000e+00 6.88581465e-01]"
6,"1,149,616",4.400000,21.722326,24/64 (37.50%),"[0.59866256 0.         0.7981555  0.         0.         0.
 0.76591127 0.6700103  0.52140739 0.         0.80645466 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.68368261 0.75059061
 0.         0.         0.         0.         0.68410579 0.53364745
 0.         0.         1.         0.         0.45471314 0.76063107
 0.         0.         0.         1.         1.         0.
 0.         0.54293742 0.         0.         0.         1.
 0.         0.72256331 0.         0.         1.         1.
 0.         0.         0.         0.60528183 0.31396984 0.
 0.         0.         1.         1.        ]"
7,"1,152,113",6.450000,24.529757,9/64 (14.06%),"[1.         1.         1.         0.         0.96867475 0.
 0.         1.         0.         0.         0.         1.
 0.57936381 0.26434756 0.         1.         0.63399777 1.
 1.         0.         0.01075422 1.         0.         0.66602228
 0.         0.75347211 0.         0.         0.32538992 1.
 0.         0.49417465 0.83265432 0.         0.         0.
 0.         0.04360558 0.         0.         0.         0.
 0.55942922 0.41200613 1.         1.         0.         0.
 0.97366851 0.         0.69436979 0.         0.         0.
 1.         1.         1.         0.         0.         0.61750859
 0.9723981  0.         0.         0.        ]"
8,"1,231,208",12.700000,22.718943,12/64 (18.75%),"[1.         1.         0.         0.         0.         0.
 1.         1.         0.         0.         0.97398894 0.00934716
 0.         0.0146547  0.         0.         0.97398894 0.
 0.86859586 0.96821201 0.08941741 0.         0.         0.
 0.97398894 0.         0.         0.         0.56884287 0.
 0.         0.         0.         0.         0.         0.88572564
 0.97398894 0.         0.42857593 0.         0.         0.48155816
 0.         0.         0.         0.         1.         0.
 0.         0.39887911 0.         0.74982776 0.58082352 0.
 0.63014327 1.         0.         0.97398894 0.97398894 0.
 0.63349964 0.         0.         0.62174508]"
9,"1,237,562",7.600000,24.517023,7/64 (10.94%),"[1.         0.90163652 0.71920268 0.         0.         1.
 0.         0.         0.         0.         0.         0.15603951
 0.         0.99348728 0.         0.82721434 0.         0.87018235
 0.         1.         0.90661434 0.         1.         1.
 0.         0.99952073 0.34153653 0.         1.         0.
 0.         0.00895228 1.         0.         0.76416863 0.61513397
 0.         0.81136236 0.         0.         0.95696009 0.
 0.         0.         0.99348728 0.         0.         1.
 0.         0.         0.         0.         0.84205291 0.
 0.         0.87637545 0.41441238 0.         1.         1.
 0.         1.         0.66211545 0.49490373]"
10,"1,279,555",9.650000,22.399240,18/64 (28.12%),"[0.52006702 0.91070629 0.         0.2672095  0.35805714 0.
 0.         0.         0.         0.         0.62195018 0.75785494
 0.04346913 0.         0.57845002 0.         0.         1.
 0.         0.         0.         0.         0.56771456 0.
 0.         1.         0.         0.         0.68071667 0.
 0.         1.         0.         0.         0.         0.
 0.53220732 0.37442747 0.         1.         0.7887821  1.
 0.         0.         0.         0.27519939 0.         0.
 0.         0.         0.         1.         0.         0.60812754
 0.         1.         0.         0.6763272  1.         0.
 0.         1.         0.         1.        ]"
