Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",1.200000,17.431234,52/64 (81.25%),"[0.         0.         0.         0.         1.         0.
 1.         1.         0.         1.         1.         0.
 1.         1.         0.         0.         1.         0.
 0.         0.         0.42682326 0.         1.         1.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         1.         0.
 1.         1.         0.         1.         1.         0.
 0.         1.         0.         0.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         1.         0.
 0.         0.         1.         0.3481121 ]"
2,"1,029,044",8.750000,22.623744,9/64 (14.06%),"[1.00000000e+00 0.00000000e+00 6.13035077e-02 6.63037035e-01
 0.00000000e+00 8.68814109e-01 9.84594388e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 8.53607860e-01 6.43258839e-01
 0.00000000e+00 4.92151636e-01 9.14378859e-01 0.00000000e+00
 0.00000000e+00 6.89273803e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.71026627e-01
 2.13605211e-02 2.78438283e-01 1.00000000e+00 0.00000000e+00
 1.62903265e-01 0.00000000e+00 3.87107929e-02 8.57761886e-01
 3.15726743e-01 3.01080488e-01 6.72882286e-01 0.00000000e+00
 7.31438791e-01 1.84722545e-01 0.00000000e+00 0.00000000e+00
 3.98002776e-01 0.00000000e+00 2.92778891e-01 0.00000000e+00
 5.04160026e-01 1.57816281e-01 5.39471900e-01 8.93600297e-01
 9.44933825e-01 7.54985352e-01 2.38080358e-02 0.00000000e+00
 0.00000000e+00 4.59712487e-01 4.35471754e-01 9.04054782e-01
 4.64045753e-01 1.41835463e-01 7.14049649e-02 3.83374921e-01
 7.43686726e-01 8.20919750e-01 7.73018466e-01 1.74608548e-01]"
3,"1,100,332",11.650000,22.020987,14/64 (21.88%),"[0.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         1.         0.         0.
 0.         0.         1.         0.         0.         1.
 1.         0.         1.         1.         0.         1.
 0.         1.         1.         0.0466814  0.         1.
 1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         0.         0.
 1.         0.         1.         1.         0.         1.
 0.         1.         1.         1.         0.         0.
 1.         0.55120591 0.         1.        ]"
4,"1,110,957",4.000000,20.326072,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.9252501  0.         1.
 1.         0.         0.         0.         0.96358669 0.55793896
 1.         0.         0.         0.         0.80137287 0.
 0.         0.33340004 1.         0.         0.1380779  0.
 0.56569744 0.91995225 0.         0.91591731 0.         0.
 0.9000908  1.         0.         0.         0.60039739 0.88172511
 1.         0.         0.71937509 0.         0.37359654 0.52821604
 0.         0.         1.         0.         0.         0.
 0.94041661 0.77255665 1.         0.        ]"
5,"1,129,625",7.150000,21.429814,10/64 (15.62%),"[0.         0.01668147 0.         0.         1.         0.21601563
 0.63572162 0.19031147 1.         0.         0.         0.67932914
 1.         0.         1.         0.         1.         0.
 0.         0.         0.         0.         1.         0.
 0.         0.72030456 1.         0.         0.         0.
 0.         1.         0.         1.         1.         0.
 1.         1.         0.         1.         0.         0.
 0.         1.         0.         0.         0.         1.
 0.         0.         0.         1.         0.         0.
 0.         0.         0.         1.         1.         0.
 0.         0.72813347 1.         0.95642725]"
6,"1,149,616",5.650000,20.729179,24/64 (37.50%),"[0.00000000e+00 9.01068175e-01 9.01068175e-01 2.59742595e-04
 0.00000000e+00 8.42337537e-01 0.00000000e+00 7.95043453e-02
 1.57901738e-01 0.00000000e+00 9.01068175e-01 0.00000000e+00
 0.00000000e+00 9.65878621e-01 3.17738210e-01 9.01068175e-01
 9.01068175e-01 8.73045739e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.57585867e-01 5.67061564e-01 9.52391904e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.01068175e-01
 5.26996213e-01 8.64482437e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.90458319e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 6.06742965e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.36894660e-02 8.84002045e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,152,113",9.350000,22.804364,9/64 (14.06%),"[8.26256911e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.88001100e-04 8.76998410e-01 0.00000000e+00
 1.00000000e+00 4.97445480e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.39207729e-01 6.26777884e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.47523951e-01 5.38585359e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 8.56476020e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 7.28445320e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.41962432e-01 0.00000000e+00 0.00000000e+00 8.76998410e-01
 1.00000000e+00 8.76998410e-01 0.00000000e+00 1.00000000e+00
 5.14738340e-01 8.76998410e-01 0.00000000e+00 0.00000000e+00
 4.51479142e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.74858642e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 8.23425123e-01 8.04974856e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
8,"1,231,208",11.600000,22.436505,12/64 (18.75%),"[1.         1.         0.         0.66764319 0.89068871 0.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.09430751 0.
 0.87098757 0.98899572 0.         0.         0.         0.78592544
 0.         0.         0.         0.         0.56266963 0.87511774
 0.         1.         0.         0.75328248 0.         0.
 0.76032593 0.         0.         0.         0.48136418 0.94586805
 0.         0.         0.         0.9113184  0.         0.
 0.         0.         0.         0.         0.83157694 0.66528967
 0.         0.         0.         0.         0.67490059 0.67990574
 0.         0.54355346 0.         0.        ]"
9,"1,237,562",13.750000,22.736892,7/64 (10.94%),"[1.         1.         0.         1.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         0.         1.
 0.         1.         1.         0.         0.         1.
 0.         1.         1.         0.         1.         1.
 0.57044151 0.         1.         0.         0.         1.
 0.         0.         0.         0.         1.         0.
 1.         0.97899729 0.         0.         1.         1.
 0.         1.         1.         0.        ]"
10,"1,279,555",8.800000,22.723650,18/64 (28.12%),"[0.68808609 0.         0.         0.         0.         0.
 0.89656586 0.86749691 0.60677721 0.         0.72882663 0.
 0.58659384 0.         0.         0.         0.         1.
 0.         0.         0.88067097 0.         0.         0.
 0.         1.         0.         0.07238631 0.         0.85126646
 0.         1.         0.88008916 0.         0.         0.85116804
 0.         0.84686189 0.         1.         0.82463755 0.
 0.         0.72195786 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.70712076
 0.         1.         0.05033547 0.         0.92896086 0.55011947
 0.         0.99788723 0.         1.        ]"
