Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",15.300000,29.322722,54/100 (54.00%),"[1.         0.         0.70858185 0.         0.         0.
 0.65756579 0.73268294 0.         0.01861804 1.         0.
 1.         0.         0.02214735 0.         0.         0.
 0.         1.         0.         1.         0.         0.
 0.         0.80273361 0.83318275 1.         0.         0.
 0.         1.         0.         0.20607134 0.         0.
 0.         0.         1.         1.         0.12477687 0.
 0.         0.83840056 0.4638522  0.         0.18307025 0.
 0.         0.         0.         0.72051761 0.         0.78705922
 0.79744978 0.         0.         0.         1.         1.
 0.97290286 0.81911038 0.         0.         0.         1.
 0.80793138 0.         0.         0.         0.         1.
 0.81271547 0.         1.         0.         0.         1.
 0.         0.         0.27542487 0.         0.         0.
 1.         0.         0.         1.         0.         1.
 0.         0.77240433 0.80999049 0.83049945 0.         1.
 1.         0.         0.         1.        ]"
2,"1,038,486",14.100000,28.431207,48/100 (48.00%),"[0.         1.         0.         1.         1.         0.
 1.         0.         1.         1.         0.67467986 0.
 1.         0.         0.         0.         1.         0.
 0.         0.         1.         0.         1.         1.
 1.         0.         0.         0.         1.         0.26815512
 0.         0.         0.         0.         0.         0.
 1.         1.         0.         1.         1.         1.
 0.         1.         1.         0.         0.         0.
 1.         1.         0.         0.         1.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.         1.         1.         1.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.         1.         0.         1.         1.
 0.         1.         0.         0.         1.         1.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.         0.        ]"
3,"1,054,057",15.550000,32.308625,38/100 (38.00%),"[1.         0.         0.88747986 0.         0.         0.
 1.         0.         0.91988519 0.         1.         0.
 0.89940805 0.         0.28565581 0.         1.         0.
 0.86036067 0.85103722 0.         0.         0.         0.
 0.         0.         0.         0.74252569 0.         0.
 1.         1.         0.         0.         0.92373644 1.
 0.         0.         0.         0.25478848 0.         0.
 0.         0.         0.         0.06614306 0.         0.69417517
 0.60829972 0.         0.92781319 0.         1.         1.
 0.         0.90169783 0.85872326 0.         0.89744376 0.
 0.90342838 0.         0.         0.         1.         0.
 0.         0.         0.         0.90242328 0.         0.77447333
 0.73377957 0.         1.         0.         0.         0.5270797
 0.         0.         0.         0.         0.74297984 0.39460406
 0.         0.82171481 0.87024028 0.         0.87550063 0.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.83731245 0.62858996]"
4,"1,075,756",15.800000,31.235462,43/100 (43.00%),"[1.         0.         1.         1.         1.         0.
 0.         1.         0.         0.         1.         0.
 0.         0.         0.         1.         0.         0.52367839
 0.         0.49556097 0.         1.         1.         0.66559713
 1.         0.         0.         0.         0.62111366 0.99282623
 0.         0.         0.         0.         0.         1.
 0.         1.         1.         0.         0.42206468 0.32785695
 0.         0.         0.         1.         0.         0.
 0.         0.         1.         0.8821634  0.         0.
 0.         0.         0.         0.         0.8091782  0.80794914
 0.         0.         0.         0.         0.         1.
 0.76217642 0.         0.58260409 0.         0.         0.
 0.2716276  0.         1.         0.         0.90616627 0.
 0.10077039 0.         1.         1.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         1.
 1.         0.         1.         1.        ]"
5,"1,080,690",17.900000,31.691566,37/100 (37.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.78564820e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.99330664e-01 1.00000000e+00
 6.62344928e-01 1.00000000e+00 0.00000000e+00 8.68839881e-01
 0.00000000e+00 0.00000000e+00 8.78599219e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 2.86216045e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.81304580e-01 0.00000000e+00 1.00000000e+00 6.65511514e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 7.37841422e-01 0.00000000e+00 2.41817269e-01 9.01983605e-01
 0.00000000e+00 9.91687508e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 8.44158796e-01 9.85260051e-02
 0.00000000e+00 7.21897964e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.33680969e-01 0.00000000e+00 3.43956044e-01 2.98882665e-01
 0.00000000e+00 5.31331757e-01 0.00000000e+00 5.96618028e-01
 0.00000000e+00 1.00000000e+00 1.89711695e-01 0.00000000e+00
 0.00000000e+00 2.37255647e-04 0.00000000e+00 8.81678314e-01
 0.00000000e+00 8.26043557e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.77921413e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.77669697e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.94923072e-01
 8.77902635e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00]"
6,"1,112,058",10.500000,34.294605,31/100 (31.00%),"[0.00000000e+00 3.15855435e-01 0.00000000e+00 8.22971093e-01
 8.24913779e-01 0.00000000e+00 0.00000000e+00 8.69292427e-01
 0.00000000e+00 8.40633124e-01 0.00000000e+00 8.76178303e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.77045656e-01
 8.37925469e-01 0.00000000e+00 6.70938036e-01 0.00000000e+00
 0.00000000e+00 6.38784784e-01 0.00000000e+00 8.31345102e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 6.48971668e-01 0.00000000e+00
 7.52654958e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 8.59695174e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 7.23051823e-01
 8.31940723e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.72771669e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 7.33162040e-01 0.00000000e+00 4.57136056e-01 1.06721273e-04
 0.00000000e+00 0.00000000e+00 8.51377583e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 7.85102866e-01 3.61723424e-01
 0.00000000e+00 1.09956565e-02 0.00000000e+00 8.62231529e-01
 0.00000000e+00 8.71018957e-01 0.00000000e+00 6.28582149e-01
 0.00000000e+00 8.36309572e-01 8.77411777e-01 0.00000000e+00
 0.00000000e+00 9.73885563e-01 0.00000000e+00 7.71368008e-01
 0.00000000e+00 6.63772794e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
7,"1,147,101",19.250000,33.973330,31/100 (31.00%),"[1.         0.         0.98845253 0.43086086 0.         0.
 0.         0.363482   0.63146223 0.56794993 1.         0.
 0.73401601 0.95038421 0.         0.96878255 0.         0.47632785
 0.         0.         0.         0.62135236 0.         0.
 1.         0.96878255 0.         0.         0.         0.51819399
 0.0010821  0.67327974 0.         0.847417   0.         0.
 1.         0.         0.         0.8343497  0.         0.
 0.97039363 0.88469731 0.75501504 0.         1.         0.
 0.         0.         0.         0.         0.         0.73435564
 0.         0.         0.         1.         0.         1.
 0.         1.         1.         0.         0.         1.
 1.         0.         0.         0.90529186 1.         0.
 0.27734341 0.95447951 0.         0.         0.         0.
 0.96866502 0.83507025 1.         0.         0.8291593  0.
 1.         0.79838846 0.         0.72498504 0.         0.
 0.         0.         0.83111762 0.         1.         0.
 0.62643378 0.96987203 0.         1.        ]"
8,"1,202,434",13.100000,33.264679,31/100 (31.00%),"[0.         1.         0.62512027 0.         0.         0.
 0.         0.         1.         1.         0.50609807 0.
 0.         1.         1.         0.         1.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.83683608 0.83517794 0.2909109
 0.65533274 0.         0.         0.         0.         1.
 1.         0.         0.         0.         0.         0.
 0.11100475 0.49244414 0.32576715 0.95147622 0.         0.55126363
 0.92011462 0.56389291 0.         0.8709948  1.         0.
 0.         0.         0.         1.         0.         0.
 0.9980484  0.         0.         0.68710383 0.         0.57238847
 0.         0.         0.         1.         1.         1.
 0.         0.7603947  0.         0.74752871 0.         0.
 0.         1.         0.         0.         1.         0.
 1.         0.         1.         0.         0.         0.92027068
 0.         0.         1.         0.         1.         0.
 1.         0.         0.         0.        ]"
9,"1,244,950",11.550000,31.782936,43/100 (43.00%),"[0.74906372 0.         1.         1.         0.         1.
 1.         0.         0.30637343 0.40494478 0.66428586 0.
 0.         0.         0.         0.         0.         0.19499825
 0.         0.26815195 0.         1.         1.         0.
 0.83915608 1.         1.         0.         0.         0.
 1.         0.         1.         0.         0.         0.00171051
 0.         0.35612751 0.71492393 0.95976184 1.         0.
 1.         0.         1.         0.         0.95269545 0.73079794
 0.         0.         0.         1.         0.         0.
 0.         0.         0.69213431 0.         1.         1.
 0.         1.         0.         0.086483   0.80515964 0.
 0.         0.         1.         0.85941695 1.         0.
 1.         0.         0.70272676 0.         0.23152977 0.
 0.3008206  0.         1.         0.         1.         0.
 0.         0.         0.78639869 0.98685957 0.         1.
 0.         0.         0.         0.         0.61994789 1.
 0.0393385  0.         0.         1.        ]"
10,"1,247,861",17.250000,33.937367,13/100 (13.00%),"[1.00000000e+00 3.81211595e-05 0.00000000e+00 8.39257581e-01
 0.00000000e+00 0.00000000e+00 8.56006614e-01 7.01141753e-01
 8.87217660e-01 0.00000000e+00 6.60892216e-01 0.00000000e+00
 0.00000000e+00 8.37879495e-01 9.57406950e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 4.13792457e-03 1.34281931e-03 0.00000000e+00
 0.00000000e+00 5.13601445e-01 8.85004222e-01 5.43583669e-03
 0.00000000e+00 1.00000000e+00 4.30368278e-01 9.54730648e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.41588644e-01
 9.63346960e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.77340053e-01 0.00000000e+00 1.16576599e-01
 0.00000000e+00 0.00000000e+00 4.19229848e-01 0.00000000e+00
 7.44608309e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.53113857e-06 7.61204827e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.74578831e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.60358747e-01 0.00000000e+00
 6.93064189e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.24221218e-01 9.36830526e-01 8.70901387e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 8.95775079e-01 9.80974421e-01 0.00000000e+00
 6.45499042e-01 0.00000000e+00 0.00000000e+00 5.96254413e-01
 7.01165833e-04 0.00000000e+00 0.00000000e+00 9.89859917e-05
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.41476639e-01
 8.55645802e-01 9.10260267e-01 0.00000000e+00 8.93324116e-01
 5.71033277e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
