Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",1.200000,17.941429,52/64 (81.25%),"[0.         0.         0.         0.         0.41485154 0.
 1.         1.         0.         1.         1.         0.
 0.66944795 1.         0.         0.         1.         0.
 0.         0.         0.45132308 0.         1.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.         0.         1.         1.         0.
 1.         0.72540667 0.         1.         1.         0.
 0.         1.         0.         0.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         1.         0.
 0.         0.         0.57262591 0.        ]"
2,"1,029,044",9.850000,26.344543,9/64 (14.06%),"[1.         0.         0.97356245 0.97356245 0.         0.97356245
 0.97356245 0.         1.         0.         0.         0.
 0.97356245 0.         0.         0.         0.         0.
 0.5792539  0.         0.97356245 0.         0.97356245 0.97356245
 0.         0.40950371 0.         0.97356245 0.         0.
 0.         0.         0.97356245 0.76490686 0.         0.97356245
 0.         0.         0.         0.         0.         0.
 0.         0.         0.97356245 0.97356245 0.         0.59547329
 1.         0.97356245 0.         0.         0.         0.
 0.         0.97356245 0.         0.         0.         0.
 0.         0.97356245 0.95716207 0.        ]"
3,"1,100,332",7.750000,24.939781,14/64 (21.88%),"[0.         0.         1.         1.         0.         0.
 0.         0.         1.         1.         0.         0.
 0.         0.         0.4569627  0.         0.         0.
 0.         0.         1.         0.70675188 1.         0.
 0.88948049 1.         0.         0.         0.         0.
 0.         0.         0.09152605 0.         1.         0.
 0.         0.         0.52174521 1.         0.96115218 0.
 0.88899758 0.47487581 0.86577571 1.         0.08564976 0.
 0.99961925 0.         1.         0.         0.87462468 0.
 0.         1.         0.         0.95516979 0.         0.
 0.35844217 0.32606699 0.         1.        ]"
4,"1,110,957",3.300000,22.677266,29/64 (45.31%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.08374901e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.03484246e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.81371249e-01 8.08227962e-01 0.00000000e+00 9.44701919e-01
 1.00000000e+00 0.00000000e+00 8.06394201e-01 1.00000000e+00
 1.63881322e-02 0.00000000e+00 7.70580108e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.74413088e-05 3.52794891e-01 8.00875946e-01 8.32505171e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 7.07769589e-01
 0.00000000e+00 4.14725176e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.73038110e-02 9.65421675e-01
 9.21971017e-01 0.00000000e+00 9.96547614e-01 9.67003137e-01]"
5,"1,129,625",6.350000,25.445573,10/64 (15.62%),"[0.00000000e+00 8.08396174e-01 8.20444764e-01 0.00000000e+00
 0.00000000e+00 4.70472281e-01 8.15258704e-01 8.33206235e-01
 2.40788895e-01 8.20449412e-05 2.61405402e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.05104079e-01 8.62961811e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.00514188e-03 8.46610915e-04
 8.49756231e-01 0.00000000e+00 9.36192456e-01 6.94593517e-01
 0.00000000e+00 0.00000000e+00 8.18528712e-01 2.94597612e-03
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 5.54680676e-01 8.20631241e-01 0.00000000e+00
 0.00000000e+00 8.73222495e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.01362045e-01 8.54790582e-01
 9.18253418e-01 9.18859424e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.30022226e-01 8.35568804e-01
 4.13897175e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 6.86875881e-01 0.00000000e+00 0.00000000e+00]"
6,"1,149,616",5.950000,23.266800,24/64 (37.50%),"[0.00000000e+00 0.00000000e+00 7.49518796e-01 0.00000000e+00
 0.00000000e+00 4.44364196e-01 7.20846775e-01 4.32664516e-01
 5.65514917e-01 3.18683818e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 6.08667967e-01 0.00000000e+00
 5.61229062e-01 3.32165381e-01 0.00000000e+00 3.44508276e-04
 5.60429155e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 5.81736614e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 6.42520971e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.07453104e-01 1.13226540e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,152,113",11.950000,25.106165,9/64 (14.06%),"[0.42941043 0.         0.         0.         0.0309387  0.96075101
 0.         0.         1.         1.         0.         1.
 0.         0.53194078 0.69553255 0.         0.         0.80968819
 0.         0.81998194 0.         0.         0.         0.94042196
 0.         0.         0.92132289 1.         0.         0.
 0.82908999 0.         0.         0.         0.         0.
 1.         0.00860072 1.         0.17881031 0.         0.
 0.         0.         0.82190767 0.         0.         0.
 0.         1.         0.94838302 0.93346197 0.         0.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
8,"1,231,208",6.950000,24.934397,12/64 (18.75%),"[1.         1.         0.         0.85794175 0.85794175 0.
 1.         1.         0.         0.         0.         0.85794175
 0.85794175 0.         0.         0.         0.85548024 0.
 0.         0.10758533 0.         0.         0.80413435 0.85794175
 0.79669778 0.         0.         1.         1.         0.
 0.         0.54009659 0.         0.         0.         0.85794175
 1.         0.         0.85794175 0.         0.         0.
 0.         0.         0.         0.         0.85794175 0.
 0.         0.         0.         0.74710613 0.         0.42478127
 0.2332268  0.65698506 0.         0.         0.         0.85794175
 0.         0.         0.72145551 0.61867686]"
9,"1,237,562",9.350000,25.058417,7/64 (10.94%),"[0.         0.73284732 0.81543574 0.         0.         0.
 0.         0.         0.97911016 0.         0.         0.9957785
 0.90646755 0.         0.08210306 0.98426776 0.87069243 0.
 0.76427622 0.01278426 0.2647663  0.         1.         0.93605062
 0.         0.59477664 1.         0.55450291 0.         0.
 0.         1.         0.         0.         0.         1.
 0.         0.         0.         0.         0.03789333 0.704993
 0.50254788 0.         0.         0.         0.         0.
 0.         0.7923051  0.         0.         0.33877975 1.
 1.         0.         0.         0.         1.         1.
 0.         0.89285336 0.87490211 0.40695277]"
10,"1,279,555",7.150000,23.770076,18/64 (28.12%),"[0.65675882 0.         0.         0.         0.         1.
 1.         0.         1.         0.         1.         0.85422734
 0.         1.         0.23966135 0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.98686281 0.
 0.         1.         0.         0.         0.21509464 0.
 1.         0.84628085 0.         1.         1.         0.
 1.         1.         0.0787285  0.62497589 0.         0.
 1.         0.         0.         0.         0.55506531 0.
 0.         1.         0.44133749 0.         1.         0.83595614
 0.81685782 0.0785296  0.         1.        ]"
