Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,016,002",14.000000,29.948257,54/100 (54.00%),"[1.         0.         1.         0.         1.         0.
 1.         1.         0.         0.         1.         0.
 1.         0.         0.96946929 0.         0.         0.33948409
 0.         1.         0.         1.         0.         1.
 0.         0.47770658 0.55933201 1.         0.         0.
 0.         1.         0.         1.         0.         1.
 1.         0.         1.         1.         0.         0.
 0.         1.         0.         0.         0.         1.
 0.         0.         0.         0.         1.         0.
 0.92291155 1.         0.         0.         1.         1.
 0.         0.         0.73008846 1.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.         0.         1.         0.
 1.         0.         0.         1.         0.         1.
 0.170435   1.         1.         0.         0.         1.
 1.         0.         0.         1.        ]"
2,"1,038,486",8.300000,30.931104,48/100 (48.00%),"[0.         0.67770009 0.02154763 0.83179974 0.91813522 0.83625479
 0.         0.         1.         1.         0.83396605 0.71481446
 0.         0.90641068 0.         0.         0.         0.95305374
 0.         0.         0.         0.         0.73075132 0.
 0.         0.95305374 0.         1.         0.83399084 0.
 0.         0.         0.7345369  0.         0.         0.77018159
 0.88135162 0.         0.         0.82064492 1.         1.
 0.         1.         1.         0.         0.73587161 0.
 0.70664935 0.87859323 0.         0.         1.         0.
 0.         0.40250603 0.         0.33087589 0.16191504 0.
 0.87074161 0.         1.         0.         1.         0.95305374
 0.         0.         1.         0.92769624 0.95305374 0.87618035
 0.         0.66769915 0.30183198 0.         1.         1.
 0.         0.         0.         0.87835405 0.         0.
 0.         1.         0.         0.         1.         1.
 0.13087337 0.         1.         0.74600363 0.         1.
 0.         0.         0.         0.        ]"
3,"1,054,057",14.100000,30.702394,38/100 (38.00%),"[1.00000000e+00 0.00000000e+00 3.37349219e-01 1.00000000e+00
 5.15363211e-04 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 3.88107839e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.57621779e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.61266358e-01 5.91542632e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.36770785e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 9.51858564e-01 4.22434674e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 5.59811830e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.49824944e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 6.02231638e-04 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 7.39438987e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.62795378e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 9.67881816e-01 0.00000000e+00 5.71938006e-01
 1.00000000e+00 2.71247016e-01 0.00000000e+00 2.46278056e-01]"
4,"1,075,756",10.150000,31.080729,43/100 (43.00%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 7.72561189e-01
 7.72056343e-01 1.66296870e-03 3.98851679e-01 0.00000000e+00
 9.03417715e-02 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.04031628e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 5.82686664e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 5.98229533e-02 6.53359290e-01 3.45911123e-01 8.40450772e-01
 0.00000000e+00 8.76695750e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.25328414e-01 0.00000000e+00
 7.20038675e-01 7.32136582e-01 0.00000000e+00 0.00000000e+00
 7.50581271e-01 7.83515323e-01 0.00000000e+00 7.18683149e-01
 7.33108800e-01 8.04119989e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.83339883e-01 7.70684890e-01 0.00000000e+00
 0.00000000e+00 7.96676029e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 3.50270812e-05 3.84455188e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 4.79908114e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
5,"1,080,690",24.050000,33.564159,37/100 (37.00%),"[1.         0.         1.         1.         0.         1.
 0.         0.         1.         1.         1.         0.
 0.         0.         0.         1.         0.         0.95442735
 0.         0.         0.         0.         0.00773384 0.90002525
 0.         0.71418724 0.82801349 0.         0.         0.
 0.92372778 0.         0.         0.65908366 0.         1.
 0.         1.         0.         1.         1.         0.
 0.         1.         0.49071745 0.         0.         1.
 0.         1.         0.         0.         0.94984006 0.
 0.         0.88687767 0.45563691 0.         0.         0.
 0.         0.         0.59682405 0.         0.         0.7760685
 0.         0.         0.         1.         1.         1.
 0.         1.         0.         0.         0.57102777 0.
 0.         1.         0.         0.         0.80936526 0.
 0.52339728 1.         0.         0.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.03647255 0.         1.         0.        ]"
6,"1,112,058",16.500000,33.357959,31/100 (31.00%),"[0.         0.         0.9427067  1.         0.         0.
 0.         1.         0.         0.97621676 0.         0.
 0.         0.         0.         1.         1.         0.
 0.         0.80705287 0.27468171 0.         0.         1.
 0.53988568 0.         1.         0.         0.         0.
 0.61669576 0.70780189 1.         0.         0.         1.
 0.         1.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         1.
 0.         1.         1.         1.         0.         0.89743226
 0.         0.         0.         0.         1.         0.
 0.         0.         0.         0.59159586 0.         1.
 1.         0.         1.         0.         0.         0.
 0.         0.74747001 1.         0.         0.         0.90958642
 0.         0.         0.         1.         0.43093916 0.
 0.         0.         0.         0.31463673 0.         0.
 0.87502275 0.87129187 0.         1.         1.         0.
 1.         0.878991   0.39603547 0.        ]"
7,"1,147,101",17.550000,31.199279,31/100 (31.00%),"[1.         0.         0.         0.         0.96751126 0.
 1.         0.77906644 0.         0.         1.         0.
 0.80010678 0.         1.         0.         1.         0.62658998
 0.         0.75940012 0.         0.         0.92503516 0.
 0.61618262 0.         0.         0.         0.         0.9393344
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         0.         0.92733542
 0.00256358 0.         0.         0.         1.         0.
 0.         1.         0.         1.         1.         0.
 0.         0.         0.         0.30895238 0.         0.34542097
 0.         0.55898264 0.         1.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.         1.         0.         0.         0.         0.
 1.         1.         1.         0.         0.         0.
 0.         0.         0.         1.         0.49686181 0.87169202
 0.         0.25367927 0.8091121  1.         1.         0.
 0.37524031 0.9708713  0.5847388  0.        ]"
8,"1,202,434",11.500000,34.526260,31/100 (31.00%),"[0.78063164 0.         0.         0.         0.         0.75982187
 0.75225363 0.         1.         1.         0.66150874 0.
 0.         1.         1.         0.         0.         0.
 0.         0.         0.         0.82972917 0.71492605 0.
 0.         0.64140777 1.         0.         0.65127158 1.
 0.         0.         0.24459466 0.38925703 0.         0.77712194
 0.         0.25298095 0.         0.         0.74936504 0.59049139
 0.         0.         0.         0.00892824 0.76212366 0.
 0.         0.73172775 0.67176071 0.         0.3294684  0.
 0.         0.84285536 0.68058473 0.         0.         0.
 0.         0.         0.         0.69814304 0.         0.46610659
 0.95564634 0.04087914 0.         0.76167887 0.92297109 0.65854509
 0.         0.66174285 0.         0.         0.         0.
 0.745215   1.         0.75032971 0.         1.         0.
 1.         0.         1.         0.         0.67511824 0.02363628
 0.         0.         1.         0.         1.         0.
 1.         0.         0.         0.        ]"
9,"1,244,950",9.450000,31.129452,43/100 (43.00%),"[0.         0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.92286223 0.9344845
 0.         0.         0.         0.         0.         0.20110626
 0.87780526 0.79986904 0.         1.         0.         0.
 0.         0.         0.         0.         0.82880764 0.
 1.         0.         0.84656665 0.         0.         0.91867279
 0.         0.59498994 0.         0.         1.         0.
 1.         0.92854562 0.         0.78813505 0.         0.89529487
 0.         0.41612667 0.         1.         0.         0.
 0.         0.         0.84146852 0.         0.84081235 0.93334349
 0.         1.         0.         0.78403577 0.92397691 0.
 0.71373658 0.92502214 0.         0.90676348 1.         0.
 1.         0.         0.87853041 0.         0.         0.15872042
 0.         0.         1.         0.         1.         0.
 0.         0.9267884  0.17393825 0.646782   0.         1.
 0.         0.         0.         0.         0.         0.92982739
 0.         0.58068093 0.         1.        ]"
10,"1,247,861",18.450000,34.095375,13/100 (13.00%),"[0.         0.79754562 1.         0.         0.         0.
 0.97732847 1.         0.00777407 0.         0.         0.
 0.         0.66314231 0.70584219 0.         0.         0.
 0.         1.         0.         0.00136232 0.         0.
 0.         0.80865117 1.         1.         0.         1.
 1.         0.5790729  0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.91455696 0.         0.         0.63785701 0.03919086 0.
 0.         0.         0.         0.         1.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.65399193 0.67691087 0.
 0.         0.70057739 1.         0.         0.60171781 0.
 0.         0.84098612 0.22109619 0.65933642 0.50433246 0.
 0.73467885 0.         0.68980276 0.         0.37049969 0.
 0.         0.68628831 0.         0.         0.         1.
 0.         0.         0.         0.94116067 0.77439163 0.
 0.         0.34239422 0.         1.        ]"
11,"1,301,697",7.200000,30.392271,60/100 (60.00%),"[0.         1.         0.         0.         1.         0.
 0.         0.74682855 0.88661362 0.86954699 0.         1.
 0.         0.         1.         0.         0.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.79235505 0.86231823 0.         1.         0.
 1.         0.         0.         0.         1.         0.
 0.67057102 0.92232506 0.         1.         0.         1.
 1.         0.         1.         0.         0.         0.
 0.         1.         0.69982499 0.         0.         0.00558128
 0.         1.         1.         0.         0.         0.
 1.         0.         0.         0.75258178 0.8039291  0.
 0.         0.         1.         1.         0.         0.88779114
 0.86617895 0.         0.         0.84316687 1.         0.
 0.         0.         0.87693147 0.         0.         1.
 1.         0.         0.         0.         0.88581415 0.
 0.75765974 0.41004863 0.3245367  0.         0.         0.60624553
 0.86078991 0.         0.87983805 0.        ]"
12,"1,352,070",26.800000,36.183426,11/100 (11.00%),"[1.         0.         0.27843027 1.         0.61336533 0.
 0.         0.         0.73481734 0.72412284 1.         0.
 0.         0.         0.         1.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.72127916 0.37441651 0.         0.77367869 0.83134
 0.         1.         0.59474377 1.         0.         0.
 0.         0.         0.48831974 0.         0.         0.
 0.65025581 0.         1.         0.         0.67949725 0.
 0.         0.         0.         0.61309152 0.         0.81801529
 0.         0.89508772 0.73911239 0.         1.         1.
 1.         0.67702145 0.         0.         0.4461579  0.
 0.         0.         0.         0.34365357 0.         0.
 0.         0.99843039 1.         0.85017043 0.         0.
 0.         0.         1.         0.         0.         0.86502698
 0.         0.         0.         0.76224811 0.         0.
 1.         0.         0.67261501 0.         0.         0.
 0.         0.68685561 0.         0.        ]"
13,"1,381,836",14.500000,31.286494,44/100 (44.00%),"[0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 4.15335143e-01 0.00000000e+00 1.00000000e+00 2.97278225e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.32135831e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 5.98362962e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 6.65942422e-03 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 2.79542056e-04 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 3.46458753e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]"
