Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",0.000000,0.298785,52/64 (81.25%),"[0.         0.         0.         0.         0.         0.
 1.         1.         0.         1.         1.         0.
 1.         1.         0.         0.         1.         0.
 0.         0.06390922 0.24690482 0.         1.         1.
 1.         0.         0.         0.         0.74344315 0.
 0.         0.         0.         1.         1.         0.
 1.         0.00204437 0.         1.         1.         0.
 0.         1.         0.         0.86336793 0.         1.
 1.         0.         0.         1.         0.         0.75771704
 0.09186419 0.         0.         1.         1.         0.
 0.         0.         0.72225749 0.99512385]"
2,"1,029,044",8.900000,24.545540,9/64 (14.06%),"[1.         0.         0.29942863 1.         0.         0.
 1.         0.93722747 1.         0.         0.43246477 1.
 0.         1.         0.07054612 0.         0.         1.
 0.         0.         0.         1.         0.         0.
 0.93333473 0.3136909  0.5127504  0.99229421 1.         0.04744334
 0.73901646 0.         0.56329742 0.         1.         0.
 0.         0.26483652 0.78429281 0.         0.         0.
 0.         0.99562143 1.         0.         0.71494271 0.39856268
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         1.         0.
 0.         0.         0.69556112 0.5165282 ]"
3,"1,100,332",7.700000,22.750013,14/64 (21.88%),"[0.         0.         0.81866671 0.65381657 0.         0.
 0.         0.20819636 1.         1.         0.         0.
 0.         0.00841309 0.81541429 0.         0.         0.
 0.         0.         0.35313998 0.         0.81866671 0.
 0.63393669 0.73553016 0.         0.81866671 0.         0.
 0.31461806 0.         0.81866671 0.         0.         0.81718593
 0.         0.68255003 0.         0.3936443  0.36924468 0.81866671
 0.         0.         0.         0.82285451 0.         0.
 0.         0.57260173 0.82822964 0.         0.         0.
 0.         1.         0.         0.80929778 0.         0.64858299
 1.         0.76209793 0.         1.        ]"
4,"1,110,957",5.550000,21.344176,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.53641309 0.82595994 1.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.         0.         0.8553295  0.         0.53119842 0.71893148
 1.         0.         0.         0.         0.92164714 0.
 0.         0.         1.         0.         0.78064099 0.83588261
 0.         0.         1.         0.8328115  0.         0.
 0.19716284 0.         0.79451866 0.         0.         0.36325689
 1.         0.         0.         0.         0.67018964 0.21966441
 0.         0.         1.         0.         0.0053077  0.
 0.82552922 0.         0.62082463 0.70535345]"
5,"1,129,625",5.650000,24.538571,10/64 (15.62%),"[1.32392736e-02 0.00000000e+00 9.01220418e-01 9.28146254e-01
 0.00000000e+00 0.00000000e+00 8.21393108e-01 9.38143772e-01
 9.58533401e-01 7.55440990e-01 0.00000000e+00 7.97173952e-01
 0.00000000e+00 4.46000711e-01 9.31109294e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.08323036e-01 8.12254078e-01 0.00000000e+00
 2.19356932e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.49917128e-01 0.00000000e+00 0.00000000e+00 8.70507882e-01
 7.10260073e-02 8.16211029e-01 0.00000000e+00 0.00000000e+00
 6.35650615e-01 0.00000000e+00 3.25090191e-01 8.37089574e-01
 7.68607005e-04 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 9.47879845e-01 0.00000000e+00
 9.08323036e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.08323036e-01
 8.93162379e-01 6.15376935e-01 1.37978397e-01 0.00000000e+00
 8.66336887e-01 8.53243475e-01 0.00000000e+00 7.04540492e-01]"
6,"1,149,616",8.750000,20.794549,24/64 (37.50%),"[0.         0.         0.25278168 0.56036829 0.98317942 0.34297491
 0.         0.         0.90333783 1.         0.         1.
 0.         0.         0.         0.         0.         0.95629122
 0.         0.         0.72979808 0.89558423 0.27169232 0.
 0.         0.6672491  0.         0.         1.         0.76040157
 0.         0.         1.         0.         0.         0.85233639
 0.         0.         0.         1.         1.         0.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.39462976 0.         1.         1.
 0.         0.         0.         1.         0.         0.
 0.         0.         1.         1.        ]"
7,"1,152,113",10.950000,22.218033,9/64 (14.06%),"[0.93243603 0.93789075 0.76510175 0.02620235 0.93687713 0.90532115
 0.94016048 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.9027386
 0.93658956 0.91887353 0.         0.         0.         0.91269154
 0.         0.         0.         0.         0.89692336 0.
 0.         0.78786547 0.         0.93750877 0.94165604 0.
 0.93043449 0.         0.         0.         0.         0.
 0.00971379 0.         0.         0.         0.         0.
 0.         0.92180438 0.93372393 0.         0.42857391 0.
 1.         1.         0.         0.01004526 0.         0.82884164
 0.89783607 0.         0.         0.        ]"
8,"1,231,208",8.050000,22.717697,12/64 (18.75%),"[1.         1.         0.         0.         0.         0.
 1.         1.         0.         0.         0.65237091 0.
 1.         1.         0.         0.         0.         0.
 0.93269015 1.         0.         0.46044139 0.         1.
 1.         1.         0.         1.         0.         1.
 0.         1.         0.         0.         0.         0.
 0.         1.         0.         0.85682009 0.05728556 0.18289342
 0.         0.         1.         1.         0.36636507 0.
 0.19781837 0.26314738 0.         1.         0.11412743 0.
 0.82392781 0.90581017 0.19389492 0.45690997 0.         1.
 1.         0.         0.         0.        ]"
9,"1,237,562",7.850000,23.843940,7/64 (10.94%),"[0.74065151 1.         0.00116825 0.         0.59804016 0.6659099
 0.04719816 0.         0.         0.24803171 0.         0.
 0.         0.         0.81751106 0.78129839 0.41509851 0.55519169
 0.85269534 0.         0.103891   0.         0.         0.
 0.75955676 0.         0.         0.56637407 0.79837704 0.
 0.         0.93187773 0.79076165 0.         0.00283304 0.
 0.         0.         0.         0.74530877 0.         0.83167611
 0.79229967 0.         0.         0.02647085 0.         0.
 0.         0.         0.         0.         0.6978991  0.82468323
 0.98122819 0.78569094 0.         0.         1.         1.
 0.         0.         0.7669226  0.        ]"
10,"1,279,555",6.300000,23.599190,18/64 (28.12%),"[8.30313175e-01 3.44753444e-05 0.00000000e+00 5.69570108e-01
 0.00000000e+00 0.00000000e+00 5.81790324e-01 6.74281004e-01
 9.25347717e-01 0.00000000e+00 0.00000000e+00 6.94741282e-01
 9.14138168e-04 4.71626135e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 7.28289032e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 8.97744146e-01 2.51138704e-01 0.00000000e+00 1.00000000e+00
 4.33552274e-01 0.00000000e+00 5.73256852e-01 8.13594421e-01
 0.00000000e+00 1.84946353e-02 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.35767341e-01 0.00000000e+00 0.00000000e+00
 3.13441703e-02 8.78600619e-01 5.60055299e-01 0.00000000e+00
 6.22118726e-01 0.00000000e+00 0.00000000e+00 9.06051387e-03
 1.00000000e+00 3.12980747e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 2.73543506e-01 0.00000000e+00 0.00000000e+00
 8.78503404e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
