Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.993977,23/36 (63.89%),"[0.74473374 0.         0.21208734 1.         1.         0.00604482
 1.         0.34895903 1.         0.40780301 0.00384058 0.92645409
 0.         0.         0.95071962 0.         0.41749971 0.64527653
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,17.290690,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 1.         0.         0.11229485 0.         0.         0.
 0.         0.23706939 0.15952493 0.         0.03614679 0.
 0.01104718 1.         1.         0.00498927 1.         1.
 0.44858989 0.         0.         1.         0.         0.
 0.98657052 0.72473445 0.00405497 0.98657052 0.         0.        ]"
3,"1,188,236",1.000000,18.036104,10/36 (27.78%),"[0.00000000e+00 1.00000000e+00 6.79791731e-01 0.00000000e+00
 1.00000000e+00 6.19748830e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.92520202e-01 0.00000000e+00 0.00000000e+00
 8.11407589e-01 1.00000000e+00 0.00000000e+00 8.63189096e-05
 8.18028441e-01 1.06660070e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.47111876e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.56695242e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 5.31875044e-01 0.00000000e+00 8.99286210e-01]"
4,"1,191,192",0.000000,0.036752,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,22.198525,9/36 (25.00%),"[1.00000000e+00 8.31676910e-01 0.00000000e+00 3.56616183e-01
 1.00000000e+00 8.52057029e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 5.04895452e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 4.90784261e-01 2.45206872e-01 0.00000000e+00
 0.00000000e+00 2.72784236e-02 1.00000000e+00 7.73957316e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 8.74583165e-01
 6.10040060e-09 0.00000000e+00 9.81299217e-01 0.00000000e+00]"
6,"1,194,297",1.000000,16.830435,16/36 (44.44%),"[1.         0.         0.         1.         0.         1.
 1.         0.         0.06212621 0.         0.15069222 1.
 0.19952343 1.         1.         0.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.         0.8326624  1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,15.859793,19/36 (52.78%),"[1.         1.         0.         1.         0.         0.
 0.         0.         0.         1.         0.         1.
 0.42348662 0.05080932 1.         0.         0.         1.
 0.99280097 1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,16.636220,11/36 (30.56%),"[0.14808522 1.         0.5953924  0.         0.         0.24473491
 0.59334792 0.         0.         0.62801326 0.18296478 0.71574195
 1.         0.         0.         1.         0.         1.
 0.         1.         1.         0.         0.17368305 0.3696463
 1.         0.         0.         0.41284024 1.         0.06150655
 1.         0.         0.         0.40316012 1.         0.17054251]"
9,"1,253,849",0.000000,6.940275,20/36 (55.56%),"[0.26143513 0.82627331 1.         0.         0.         0.
 1.         0.05683145 0.         0.         0.         1.
 0.58501956 0.37552576 0.         0.         0.         1.
 0.         0.85640266 0.         1.         1.         0.
 0.         0.53613038 0.         0.         0.         1.
 0.38037675 0.31437198 0.87612919 0.58717867 0.         1.        ]"
10,"1,317,605",1.000000,17.381797,8/36 (22.22%),"[0.50912691 1.         0.41091947 0.4253947  0.3976719  0.96321092
 0.06975931 0.28939079 0.57005572 0.65880514 0.2928976  1.
 0.67766558 0.63541828 0.         0.         0.33892042 0.
 0.34760826 0.         0.         0.         1.         1.
 0.6756869  0.82520679 0.         1.         0.         0.
 0.32380455 0.39833516 0.         1.         0.         0.        ]"
