Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,2.011024,23/36 (63.89%),"[0.58706915 0.         0.         0.66838955 0.58492483 0.38284296
 1.         0.32627038 0.82586679 0.         0.         0.75986939
 0.         0.         0.83202316 0.         0.4236077  1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,23.615694,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 1.         0.         0.         0.         0.         1.
 1.         0.         0.         0.         0.24209979 0.7741586
 0.         1.         0.         0.77343807 0.         0.
 1.         0.         0.         1.         0.         0.27613408
 1.         0.08846541 0.         0.         0.62962994 0.60914091]"
3,"1,188,236",1.000000,22.409728,10/36 (27.78%),"[0.         0.84707794 1.         0.         1.         0.
 1.         0.         0.         0.         1.         0.
 1.         0.00186828 0.         0.         0.         1.
 0.         0.         0.         1.         1.         0.
 1.         1.         0.         0.         0.         1.
 0.         0.         0.84707794 1.         0.         0.84707794]"
4,"1,191,192",0.000000,0.036853,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,22.429336,9/36 (25.00%),"[0.8234729  0.         0.         1.         0.99334511 0.02040275
 0.65835084 0.         1.         0.         0.         0.07474498
 0.         0.         1.         0.         0.62293143 1.
 1.         1.         0.         0.         0.16781658 0.
 0.         0.         0.         0.91944194 0.         1.
 1.         1.         0.         0.99963648 0.         0.        ]"
6,"1,194,297",1.000000,19.337420,16/36 (44.44%),"[0.         0.72332794 0.         0.         0.25133925 1.
 1.         0.07615845 0.94871922 0.         0.         1.
 0.72332794 0.45784262 0.72332794 0.         0.         0.
 0.14736394 0.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,5.548112,19/36 (52.78%),"[1.         0.32813522 0.         0.61252666 1.         0.
 1.         0.         1.         0.         0.         1.
 0.47901611 0.         1.         0.         0.         1.
 0.87352929 1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,18.375510,11/36 (30.56%),"[1.         0.07186499 1.         1.         0.         1.
 1.         0.         0.         0.00220517 0.05527382 1.
 0.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.11457183 0.
 1.         0.         0.         1.         0.1667691  0.
 1.         0.         0.         0.         1.         0.72643138]"
9,"1,253,849",1.000000,15.592881,20/36 (55.56%),"[0.         0.61919034 0.52176211 0.         0.         0.
 1.         0.         0.         0.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.         0.         0.         1.         1.         0.
 1.         0.         0.         0.         0.         1.
 1.         0.         0.         0.         0.         1.        ]"
10,"1,317,605",1.000000,18.908558,8/36 (22.22%),"[0.00000000e+00 1.00000000e+00 7.82000555e-01 1.95653062e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 4.58397362e-01 9.49909012e-01 3.85306964e-01 9.49248011e-01
 1.00000000e+00 4.79042538e-01 0.00000000e+00 1.00000000e+00
 6.54647900e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.43234564e-01 0.00000000e+00 6.99490869e-01 1.00000000e+00
 9.13884092e-01 5.75354071e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 5.43834400e-03 4.39570924e-01 3.53141201e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]"
11,"1,332,159",1.000000,18.286749,11/36 (30.56%),"[0.89313464 0.         0.54595708 1.         0.         0.
 0.         0.05126457 0.         0.         1.         1.
 0.12332011 0.         0.83384254 1.         0.         0.
 0.89317979 0.81145304 0.         0.22438589 0.         1.
 0.1795077  0.48468942 0.         0.         0.         1.
 1.         0.54018757 0.         1.         0.61317386 0.        ]"
12,"1,341,844",0.000000,6.444198,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 0.84383658 0.         0.         0.         0.         1.
 0.         0.69110371 1.         0.         0.         0.
 1.         0.20058419 0.13994139 0.         1.         1.
 0.60669413 0.15752259 1.         0.61477136 0.         0.
 0.         0.         0.         0.         1.         1.        ]"
