Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.910315,23/36 (63.89%),"[1.         0.         0.         1.         0.94258234 0.39731421
 1.         0.         0.50426563 0.         0.         0.50334282
 0.         0.         0.5943501  0.         0.         0.53506484
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,25.777799,7/36 (19.44%),"[0.44012307 0.         0.         1.         1.         0.
 0.89852721 1.         0.         0.         0.         0.05815989
 0.         0.         1.         1.         0.1982498  0.
 1.         0.         0.         0.         1.         0.80329064
 1.         0.         0.15510526 0.         0.         0.
 0.         0.89852721 1.         0.         0.84501207 0.77636727]"
3,"1,188,236",1.000000,23.788292,10/36 (27.78%),"[1.         0.61575184 0.         0.         0.37755475 0.53955877
 0.30834317 0.         0.53613969 0.88336746 0.32426946 0.95754245
 0.94543029 0.814395   0.3069448  0.         0.58308976 0.00349628
 0.         0.         0.         0.         0.97190287 0.
 1.         1.         0.         0.20098898 0.         0.34916691
 0.         0.         0.03283033 0.         0.61810018 1.        ]"
4,"1,191,192",0.000000,0.035936,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,24.279362,9/36 (25.00%),"[1.         0.         0.         1.         0.92701875 0.01183322
 1.         0.         1.         0.         0.         1.
 0.44472118 0.         1.         0.         0.00612268 0.80774613
 0.         0.         0.         0.         0.         0.
 1.         0.         1.         0.         0.70863329 1.
 0.58568711 0.         0.67198955 0.         0.11857076 0.        ]"
6,"1,194,297",1.000000,23.545815,16/36 (44.44%),"[0.68265192 1.         0.         1.         0.0073025  0.51413691
 0.         0.2255499  0.27919595 1.         0.37010411 0.56078548
 0.68009235 0.98575774 0.         0.         0.         0.
 0.         0.         0.11606706 0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,21.804390,19/36 (52.78%),"[1.         1.         0.         0.76767175 0.         0.
 0.         0.         0.09038791 1.         0.         1.
 0.17140592 1.         0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.89509121 0.         0.         1.        ]"
8,"1,217,965",1.000000,23.707624,11/36 (30.56%),"[0.02714912 0.93526726 1.         0.01988911 0.68252407 0.
 1.         0.0734608  0.31675833 0.27484295 1.         0.
 1.         0.         0.         0.         0.20260639 0.02754347
 0.         1.         1.         0.         0.8840728  1.
 1.         0.         0.         0.16259363 0.         0.29832146
 1.         0.         0.50020491 0.87362167 0.06148045 0.        ]"
9,"1,253,849",0.000000,12.218784,20/36 (55.56%),"[0.2577025  1.         0.8278499  0.         0.         0.
 0.58259864 0.32491053 0.         0.         0.         1.
 1.         0.17046747 0.         0.         0.         1.
 0.38235174 0.85832684 0.         1.         1.         0.
 0.         0.53689852 0.         0.         0.         1.
 0.35151525 0.46787421 0.75174407 1.         0.         1.        ]"
10,"1,317,605",1.000000,24.489940,8/36 (22.22%),"[1.         0.         0.85162125 0.42708883 1.         0.85162125
 1.         0.07699185 1.         0.         0.         0.25404805
 0.         0.         0.         1.         0.78495613 0.0522729
 0.55241291 1.         0.16465765 0.         0.         0.
 0.38096282 0.         0.         1.         0.         0.0501681
 0.52018288 0.85162125 0.         1.         0.         0.        ]"
11,"1,332,159",0.000000,5.400918,11/36 (30.56%),"[0.03097011 0.         1.         0.96968327 0.         0.
 0.03145929 0.         0.         0.         1.         1.
 1.         0.         0.96968327 1.         0.         0.
 1.         0.         0.         0.         0.94595725 1.
 0.         0.32991874 1.         1.         0.         0.
 0.70801963 1.         0.         0.         0.53939183 1.        ]"
12,"1,341,844",0.000000,16.446944,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 0.54518037 0.         0.         0.         0.         1.
 0.         0.52856885 1.         0.32464426 0.         0.
 1.         0.31098145 0.05764432 0.         1.         1.
 0.66874944 0.06536905 1.         1.         0.         0.
 0.         0.         0.27600757 0.         1.         1.        ]"
13,"1,343,094",0.000000,4.287916,11/36 (30.56%),"[0.         1.         1.         0.         0.66976051 0.
 1.         0.         0.         0.         1.         0.00264568
 1.         0.         0.97739888 0.93380205 0.         1.
 0.         0.         0.         0.         0.26630539 1.
 0.         0.         0.58554267 1.         0.11003569 0.
 1.         1.         0.         0.         0.69388496 1.        ]"
14,"1,350,652",0.000000,1.036331,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.         1.         0.56276491 0.08482389 1.         0.
 1.         0.         0.13191822 0.04436898 0.         1.
 1.         0.         0.67841892 1.         0.         1.        ]"
15,"1,375,820",0.000000,0.036855,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,22.354424,16/36 (44.44%),"[0.         0.         0.         1.         0.         1.
 0.         1.         0.         0.79819569 0.         1.
 0.         1.         0.         0.         0.45204822 0.
 0.         0.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         0.94409943 0.887733  ]"
17,"1,454,003",1.000000,22.360598,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.82696266 1.         0.         0.         1.
 0.         0.         0.         1.         0.         0.94660525
 0.34329922 1.         0.         0.         0.         0.
 0.         1.         0.         1.         0.97861992 0.        ]"
18,"1,470,603",0.000000,0.043039,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
