Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,13.078291,23/36 (63.89%),"[1.0000 0.0000 1.0000 0.2676 0.0000 0.0000 1.0000 0.1240 0.9958 0.0000
 0.3481 1.0000 0.0000 0.0000 0.2332 0.0000 0.3701 0.9844 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",2.000000,14.487612,7/36 (19.44%),"[0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.7860 0.0000 0.0000 0.0000
 0.0000 0.0000 1.0000 0.0238 0.0000 0.0000 0.0000 1.0000 0.0000 1.0000
 0.9401 0.0000 0.0000 1.0000 0.0000 0.0000 0.1589 0.0000 0.0000 0.0000
 1.0000 0.9993 0.0000 0.0000 1.0000 1.0000]"
3,"1,188,236",2.000000,15.658333,10/36 (27.78%),"[0.0000 1.0000 0.5765 0.0000 1.0000 1.0000 0.8972 0.0000 0.1118 1.0000
 0.3397 0.1903 0.0000 1.0000 0.9898 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0967 0.0000 1.0000
 0.0000 0.0000 0.0297 0.4072 0.1040 1.0000]"
4,"1,191,192",0.000000,0.031250,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",3.000000,14.997227,9/36 (25.00%),"[0.0256 1.0000 0.0000 0.7389 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 0.7111 0.0000 1.0000 0.0000 0.0000 0.8016 0.6308 0.0000
 0.0000 0.0000 0.1955 0.7241 0.0000 0.0000 0.5759 0.5339 0.0000 0.0000
 0.8778 0.9103 0.0000 0.0000 0.0000 0.0000]"
6,"1,194,297",1.000000,14.423767,16/36 (44.44%),"[1.0000 0.0000 0.6852 0.0000 0.4154 1.0000 1.0000 0.4876 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",1.000000,13.834320,19/36 (52.78%),"[0.9917 0.1444 0.0582 0.6507 1.0000 0.0000 0.9599 0.1366 0.6089 0.0000
 0.0000 1.0000 0.0000 0.1720 1.0000 0.0000 0.0000 1.0000 1.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 0.3941 1.0000 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 0.1873 0.0000 0.0000 1.0000]"
8,"1,217,965",2.000000,14.883795,11/36 (30.56%),"[1.0000 1.0000 0.1258 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000
 1.0000 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 0.0970 0.1337 0.4880
 1.0000 0.0000 0.0000 0.9335 1.0000 0.0000]"
9,"1,253,849",0.000000,0.046894,20/36 (55.56%),"[0.0103 0.6142 0.9713 0.0000 0.0000 0.0000 1.0000 0.2979 0.0000 0.0000
 0.0000 1.0000 0.9211 0.2686 0.0000 0.0000 0.0000 1.0000 0.2294 0.7829
 0.0000 1.0000 1.0000 0.0000 0.2795 0.7841 0.0000 0.0000 0.0000 1.0000
 0.2860 0.0000 0.9404 1.0000 0.0000 1.0000]"
10,"1,317,605",1.000000,13.832000,8/36 (22.22%),"[1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.4608 0.0000 1.0000
 0.0000 1.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.2126 0.3715
 0.0000 0.0000 0.0000 0.0139 1.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 0.0029 0.0000 1.0000 0.0000 1.0000]"
11,"1,332,159",2.000000,14.965809,11/36 (30.56%),"[0.4237 0.0000 0.0000 0.6515 0.0000 0.0000 0.0466 0.0169 0.3986 0.0000
 1.0000 1.0000 1.0000 0.0061 0.9894 1.0000 0.0000 0.0000 0.8836 0.0000
 0.0000 0.4214 0.3282 1.0000 0.0000 0.3253 0.2225 0.7795 0.0000 0.7208
 0.8868 0.5930 0.0000 1.0000 0.2293 0.0593]"
12,"1,341,844",1.000000,13.469965,19/36 (52.78%),"[0.0331 0.0000 1.0000 1.0000 0.0000 1.0000 0.3006 0.4534 0.0000 0.0000
 0.0000 1.0000 0.7515 0.4668 0.9641 1.0000 0.0000 0.0000 0.5773 0.0526
 0.0000 0.0000 1.0000 1.0000 0.3163 0.0892 0.9171 0.4876 0.0000 0.0000
 0.3874 0.1988 0.8945 0.0000 1.0000 1.0000]"
13,"1,343,094",2.000000,15.830485,11/36 (30.56%),"[0.0000 0.9913 0.0299 0.1890 1.0000 0.9488 1.0000 0.0000 1.0000 0.2031
 0.4631 0.4519 1.0000 0.0000 0.6948 0.2187 0.5845 0.6425 0.0000 1.0000
 0.3796 0.3609 0.2158 0.1089 0.0000 0.0000 0.0236 0.5977 0.1548 0.1089
 1.0000 1.0000 0.0000 0.7218 0.0193 0.5882]"
14,"1,350,652",0.000000,0.551457,22/36 (61.11%),"[0.0000 0.0000 0.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000
 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.5668 0.0000 0.0000 0.5842
 0.6512 0.1851 1.0000 0.4379 1.0000 0.0000 0.4751 0.1322 0.0000 0.5237
 1.0000 0.0000 0.6144 0.8109 0.3075 0.8593]"
15,"1,375,820",0.000000,0.026661,36/36 (100.00%),"[0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 1.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 0.0000 0.0000 1.0000 1.0000]"
16,"1,430,637",2.000000,14.403977,16/36 (44.44%),"[0.0000 0.0000 0.6174 0.3223 0.0000 1.0000 0.0000 1.0000 0.0000 0.9881
 0.0000 1.0000 0.0000 1.0000 0.0000 0.9026 0.4774 0.0000 0.0000 0.0000
 0.7997 0.2251 0.8652 0.3890 0.0000 0.4073 0.6367 0.2182 0.9528 0.2153
 0.7540 0.7934 0.1002 0.5160 0.1637 0.5840]"
17,"1,454,003",1.000000,14.303980,16/36 (44.44%),"[1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000
 1.0000 0.0000 0.0000 0.7847 1.0000 0.0000 0.0000 0.0000 1.0000 0.0693
 0.0102 1.0000 0.0256 0.5114 0.8512 0.0071 0.1305 0.0107 0.0000 1.0000
 0.0000 0.2038 1.0000 1.0000 0.0642 0.0000]"
18,"1,470,603",0.000000,0.031698,36/36 (100.00%),"[1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000
 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000]"
19,"1,480,509",2.000000,16.419472,6/36 (16.67%),"[0.0000 0.0000 0.4240 1.0000 0.9222 0.0000 0.0000 0.8073 0.0000 0.0162
 0.0199 0.0000 1.0000 0.0000 0.5702 0.2219 0.8116 0.0066 1.0000 0.0000
 0.9518 0.4133 0.9969 0.0253 0.0000 0.0000 0.0000 0.5694 0.0126 0.6012
 1.0000 0.0578 0.0000 0.6067 0.0000 1.0000]"
20,"1,505,558",3.000000,14.325099,7/36 (19.44%),"[0.0000 0.0000 1.0000 0.8388 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 0.1418 0.0000 0.0000 1.0000 0.0000 0.7822 0.0000 0.0000 0.4397
 0.8291 0.1204 0.7767 0.0000 0.0000 0.0000 0.0000 0.0871 0.0000 0.0000
 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000]"
21,"1,554,862",2.000000,15.068341,7/36 (19.44%),"[0.5799 0.0000 0.0000 1.0000 1.0000 0.0000 0.7938 0.2254 0.0000 0.0000
 0.0000 0.0000 0.0512 0.0000 0.0000 0.6481 0.3400 0.0000 0.0000 0.4765
 0.0484 1.0000 0.2391 0.8440 1.0000 0.0000 1.0000 0.1106 0.4888 0.9832
 1.0000 0.0000 1.0000 0.2913 0.1704 0.1872]"
