Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.852873,23/36 (63.89%),"[0.66447739 0.         0.         0.71888825 1.         0.09680642
 1.         0.13657108 0.86347587 0.29747597 0.43298686 0.55863563
 0.         0.         0.93195289 0.         0.02496699 0.94225523
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,15.752486,7/36 (19.44%),"[0.02789468 0.         0.         1.         1.         0.
 0.         0.86457727 0.15153816 0.         0.         0.82060694
 0.22292473 0.69318886 0.04240017 0.         0.30166925 0.41827364
 0.         0.07769535 0.         1.         0.9573817  0.08131866
 0.65805422 0.         0.9573817  0.         0.00479087 0.06171849
 0.52894663 0.         0.89180666 0.19162023 1.         0.54729951]"
3,"1,188,236",1.000000,15.164092,10/36 (27.78%),"[0.88930024 1.         0.4259709  0.         0.95945071 0.53465138
 0.26302747 0.         0.57380041 0.51020969 0.         0.
 1.         1.         0.         0.         0.08417451 0.00287618
 0.         0.         0.31625928 0.62151451 0.9328427  0.26056882
 1.         1.         0.         0.28277789 0.         1.
 0.         0.         0.34294377 0.88507321 1.         0.01662191]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.000000,15.125543,9/36 (25.00%),"[0.96491877 0.37611367 0.         0.56220801 0.76342937 0.33497958
 0.79174821 0.         1.         0.         0.         0.
 0.43617291 0.         1.         0.         0.68508071 0.56892517
 0.29221988 0.38063866 0.         0.5519499  0.         0.04647996
 0.3907889  0.50142184 0.25666896 0.6061548  0.00302808 0.78221696
 0.         0.54169477 0.14913785 0.40449345 0.2558675  0.50426253]"
6,"1,194,297",0.000000,2.079142,16/36 (44.44%),"[0.80106023 0.59994688 0.22272378 0.45445517 0.47421675 0.84669789
 0.46500219 0.03707944 0.47630698 0.55564358 0.39702453 0.65023782
 0.56340761 0.76399426 0.10667996 0.53818136 0.         0.
 0.         0.         0.53234889 0.         1.         1.
 0.         0.         1.         0.48698778 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.278455,19/36 (52.78%),"[1.         0.34315423 0.         0.73936216 0.65485542 0.
 1.         0.48738588 0.51491417 0.12077682 0.         1.
 0.         0.         0.77921202 0.         0.         1.
 0.59217833 0.53492013 0.         1.         1.         0.
 0.14458695 0.18021793 1.         0.         0.         1.
 0.         0.         0.87792957 0.         0.         1.        ]"
8,"1,217,965",1.000000,15.207726,11/36 (30.56%),"[0.21135798 0.         0.97106977 0.57910683 0.         0.95437486
 0.54232193 0.65355338 0.37508348 0.         0.52957306 0.
 0.24679455 0.         0.         0.2908678  1.         0.24407115
 0.         1.         1.         0.         0.         0.83980304
 1.         0.         0.         0.         0.22296196 0.85420952
 1.         0.         0.84163062 0.84373628 0.44870284 0.        ]"
9,"1,253,849",1.000000,12.906844,20/36 (55.56%),"[0.31633307 0.32668717 0.3635026  0.         0.         0.
 0.75       0.37211122 0.         0.         0.         1.
 0.62711411 0.49171849 0.         0.         0.         1.
 0.33926949 1.         0.         1.         1.         0.
 0.44476822 0.55921407 0.34594939 0.         0.         1.
 0.33333333 0.31288102 0.52925711 0.75       0.         1.        ]"
10,"1,317,605",0.000000,1.519855,8/36 (22.22%),"[0.40922873 0.72855327 0.9987173  0.14723606 0.63013122 0.61934514
 0.92706362 0.4066915  0.         0.97894604 0.         0.
 0.71347017 0.2089815  0.         0.68858506 0.37058635 0.62634985
 0.         1.         1.         0.         0.29139366 0.99021177
 0.23328975 0.         0.         1.         0.         0.39337994
 1.         0.72465062 0.         1.         0.         0.16286255]"
11,"1,332,159",1.000000,15.631974,11/36 (30.56%),"[0.47779192 0.16041195 0.         0.97072936 0.         0.
 0.09738008 1.         0.         0.         1.         1.
 1.         0.31891087 1.         1.         0.         0.
 1.         0.45129794 0.         0.04410002 1.         1.
 0.10173015 0.38011509 0.76262183 1.         0.         0.
 0.88208984 0.7417895  0.10011718 0.13708357 0.58322674 1.        ]"
