Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.028146,23/36 (63.89%),"[0.69062927 0.         0.         1.         0.86604035 0.15994183
 1.         0.39482625 0.96342936 0.         0.20021962 1.
 0.         0.         0.50517997 0.         0.16335034 0.73103909
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,16.899829,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 0.4031518  0.51845407 1.         0.         0.         0.97252824
 0.         0.1413025  0.         0.15921686 0.         0.52493376
 1.         0.96745307 0.2748234  0.50353784 0.46028211 0.
 0.         0.04774732 0.48721248 0.37498343 0.         1.
 0.24467087 0.20014193 0.95862623 0.98735749 0.48720691 0.90121389]"
3,"1,188,236",2.000000,18.249648,10/36 (27.78%),"[0.02406694 0.70766885 0.42269303 0.         0.43096265 0.83886437
 0.74223591 0.         0.99061851 1.         0.         1.
 1.         0.30581808 0.         0.37318522 0.08240232 0.14855149
 0.         0.         0.02730429 1.         0.14301528 0.
 1.         1.         0.         0.58695697 0.         0.
 0.         0.         0.11581261 0.10353125 0.87318531 0.87044906]"
4,"1,191,192",0.000000,0.019724,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,16.585201,9/36 (25.00%),"[0.         0.         0.         0.79419919 1.         0.44142444
 0.79617824 0.         1.         0.         0.         1.
 1.         0.         1.         0.         0.25501696 0.8509217
 0.14918087 0.3208706  0.         0.7715452  1.         0.
 0.86584306 0.86008304 0.09349553 0.16271812 0.17245663 0.42816536
 0.         0.         1.         1.         0.10214894 0.23166148]"
6,"1,194,297",1.000000,15.776345,16/36 (44.44%),"[0.42592145 0.52446359 0.07772513 0.05000364 0.         0.52631241
 0.         0.53945212 0.18098394 0.75523587 0.40782423 0.61849004
 0.53515651 0.41156833 0.18052354 1.         0.         0.
 0.53427808 0.         1.         0.         1.         1.
 0.         0.         0.09468026 0.35598814 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,14.414359,19/36 (52.78%),"[0.00186411 0.08625862 0.         1.         1.         0.
 0.         0.57135762 0.72998735 0.         0.         1.
 0.         0.35431849 0.30137815 0.         0.         1.
 1.         1.         0.         1.         1.         0.
 0.37056326 0.24332356 1.         0.         0.         1.
 0.         0.         0.87073435 0.         0.         1.        ]"
8,"1,217,965",1.000000,16.571485,11/36 (30.56%),"[1.         0.14770107 1.         1.         0.         1.
 0.99469244 0.         0.06402203 0.         0.35919948 1.
 0.47144107 0.         0.         0.         0.         0.27870414
 0.         1.         1.         0.         1.         0.82362833
 1.         0.         0.         0.94739367 0.         0.
 1.         0.         0.38481508 0.         0.70914551 1.        ]"
9,"1,253,849",0.000000,2.399742,20/36 (55.56%),"[0.04754615 0.88757699 1.         0.         0.         0.
 0.58828308 0.         0.         0.         0.         1.
 0.93301827 0.05952698 0.         0.         0.         1.
 0.         0.91189553 0.         1.         1.         0.
 0.20628901 0.91246118 0.04148979 0.         0.         1.
 0.1729294  0.07753961 1.         0.53187392 0.         1.        ]"
10,"1,317,605",1.000000,16.535725,8/36 (22.22%),"[0.57835746 0.98629123 0.         0.15846195 0.0550284  0.09516896
 0.06593562 0.42666956 0.         0.89184041 0.22019203 1.
 1.         0.         0.         1.         0.12748874 1.
 0.76551336 0.         0.         0.         0.         0.
 0.         0.87258084 0.         1.         0.         0.75588694
 0.00317882 0.98610028 0.         1.         0.         0.68472007]"
