Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.576767,23/36 (63.89%),"[1.         0.         0.0360575  1.         0.9668518  0.
 1.         0.         1.         0.11010182 0.21717163 0.6021465
 0.         0.         1.         0.         0.4847401  1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,16.419757,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 1.         1.         0.20197125 0.         0.         0.
 0.         0.43851651 0.53990586 0.45134075 0.19109946 0.37852151
 0.98875827 0.27806036 0.88261399 0.         0.51388648 1.
 0.73163497 0.         0.         0.         0.12400855 0.
 0.27690044 0.51983109 0.71085252 0.07273348 0.99892727 0.56507226]"
3,"1,188,236",1.000000,16.399511,10/36 (27.78%),"[0.         1.         0.67199251 0.         0.76817728 0.02837655
 1.         0.         0.36008967 0.1590135  1.         0.04960888
 0.95733999 0.         0.59023131 0.6375234  0.         1.
 0.         0.         0.         0.         0.42396843 1.
 1.         1.         0.         1.         0.         0.
 0.         0.         0.06144217 0.13260927 0.80406276 0.58257828]"
4,"1,191,192",0.000000,0.010145,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,16.251693,9/36 (25.00%),"[0.81780003 0.         0.         0.92954375 1.         0.
 1.         0.         1.         0.         0.         0.
 0.         0.         1.         0.         0.56904384 0.73006109
 0.94481553 1.         0.         1.         0.15681524 0.405019
 0.45089104 0.         0.19779299 0.69841165 0.46627702 0.57287575
 0.4762647  0.591558   1.         0.24145258 0.47596129 1.        ]"
6,"1,194,297",1.000000,15.829867,16/36 (44.44%),"[0.         0.         0.53773362 0.87491654 0.23638811 0.
 0.43340932 0.82166275 0.49224127 0.25632531 0.9910826  1.
 0.21863656 0.53892934 0.1965302  0.68879613 0.         0.
 0.         0.         0.5982244  0.         1.         1.
 0.         0.         0.64074163 0.22583006 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.388259,19/36 (52.78%),"[1.         0.4343761  0.         0.59657365 1.         0.
 1.         0.234651   0.62444488 0.         0.         1.
 0.36339356 0.23683159 0.5519083  0.         0.         1.
 0.90061162 1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.56970823 0.         0.         1.        ]"
8,"1,217,965",2.000000,16.616765,11/36 (30.56%),"[1.         0.98871286 0.01936038 0.79421826 0.63753177 0.0050891
 0.04567211 0.09833828 0.99950532 0.         0.         0.20278741
 0.         0.         0.         1.         0.         0.20293713
 0.         1.         1.         0.         0.31311967 0.74398052
 1.         0.         0.         0.20083443 0.         1.
 1.         0.         0.94750093 1.         0.         0.        ]"
9,"1,253,849",1.000000,13.249540,20/36 (55.56%),"[0.68621962 0.         0.         0.         0.         0.
 0.75019538 0.         0.         0.         0.         1.
 0.         0.10925589 0.         0.         0.         1.
 1.         0.79760258 0.         1.         1.         0.
 0.38413835 0.31252723 1.         0.         0.         1.
 0.         0.15225214 1.         0.         0.         1.        ]"
10,"1,317,605",1.000000,16.604598,8/36 (22.22%),"[0.         0.93894945 0.78464522 0.         0.         0.
 0.63584091 0.41864215 0.3464696  0.8104907  0.         1.
 0.68921053 0.41203984 0.         0.93894945 0.33214243 1.
 0.17176408 1.         0.83354649 0.         0.55859819 0.28449694
 0.3227766  0.13082702 0.         1.         0.         0.
 0.84090462 0.92205695 0.         1.         0.         0.43002827]"
