Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",15.000000,10.679574,23/36 (63.89%),"[0.0966 0.0000 0.9978 0.7875 0.4589 0.1418 1.0000 0.7522 1.0000 0.9367
 0.2543 0.7286 0.0000 0.0000 0.3403 0.0000 0.4206 0.7725 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",73.500000,13.386567,7/36 (19.44%),"[0.7577 0.0000 0.0000 1.0000 1.0000 0.0000 0.7762 0.0000 0.6458 0.0000
 0.0000 0.9549 1.0000 0.0697 0.0000 0.0000 0.2371 0.9886 1.0000 0.2599
 0.0121 1.0000 0.0000 0.0000 0.9589 0.9463 0.0002 0.9089 0.0000 1.0000
 0.0007 0.0000 1.0000 1.0000 0.2436 0.1707]"
3,"1,188,236",45.000000,12.831391,10/36 (27.78%),"[0.0000 0.6239 0.5747 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 0.6239 1.0000 0.0598 0.0000 1.0000 0.0000 0.0000
 0.6239 0.0000 0.5912 1.0000 1.0000 1.0000 0.0000 0.6950 0.0000 0.5925
 0.0000 0.0000 0.0000 0.0000 1.0000 0.2440]"
4,"1,191,192",0.000000,0.015580,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",32.000000,12.878183,9/36 (25.00%),"[1.0000 0.0000 0.0000 0.9402 0.9402 0.7548 0.6203 0.0000 1.0000 0.0000
 0.0000 0.9402 1.0000 0.0000 1.0000 0.0000 0.9402 0.0000 0.0000 0.0003
 0.0000 0.0000 1.0000 0.0000 0.8930 0.0000 0.0000 0.0000 0.0000 0.0000
 0.8099 0.0000 0.7181 0.6587 0.0000 1.0000]"
6,"1,194,297",49.000000,12.061943,16/36 (44.44%),"[0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 1.0000
 0.0000 0.8978 1.0000 0.8978 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",26.000000,11.419321,19/36 (52.78%),"[1.0000 0.9460 0.0000 1.0000 0.0000 0.0000 0.9460 0.9460 0.0000 0.9460
 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 0.9460 0.9460 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000]"
8,"1,217,965",84.000000,12.975575,11/36 (30.56%),"[0.0000 1.0000 0.0000 1.0000 0.0000 0.7673 0.8270 0.0000 0.0000 0.0000
 0.8314 0.0000 0.8270 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000 1.0000
 1.0000 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 1.0000]"
9,"1,253,849",13.000000,10.983827,20/36 (55.56%),"[0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 1.0000
 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000]"
10,"1,317,605",43.000000,13.596786,8/36 (22.22%),"[0.0000 0.8776 0.0000 0.9387 0.9971 1.0000 1.0000 0.0000 1.0000 1.0000
 0.0000 0.0259 0.0000 0.9387 0.0000 0.0000 0.0000 1.0000 0.9410 0.9369
 0.5377 0.0000 0.8183 0.0000 0.9387 0.0317 0.0000 1.0000 0.0000 0.0000
 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000]"
