Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,2.867903,23/36 (63.89%),"[1.         0.         0.0284624  1.         1.         0.34620103
 1.         0.23466715 1.         0.         0.         1.
 0.         0.         1.         0.         0.         0.67793047
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,16.691487,7/36 (19.44%),"[0.12200729 0.         0.         1.         1.         0.
 0.77607395 0.07854201 0.         0.         0.         0.00139207
 0.64420585 0.         0.07826796 0.53207202 0.32266132 0.
 0.25980073 1.         0.         1.         0.00690843 0.66192227
 0.         0.77607395 0.         0.27566546 0.         0.77418249
 0.         0.         0.         0.80263403 1.         0.23783115]"
3,"1,188,236",2.000000,18.009872,10/36 (27.78%),"[0.67325181 0.         0.82440713 0.         0.58604346 0.64632403
 1.         0.         0.         0.69974243 0.24702505 0.26637542
 0.         0.87035923 0.32071367 0.60484936 0.18420465 0.00435038
 0.         0.         0.         0.36960769 0.93748318 1.
 1.         1.         0.         0.59529924 0.         0.33999046
 0.         0.         1.         0.31486686 1.         1.        ]"
4,"1,191,192",0.000000,0.016664,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,17.282253,9/36 (25.00%),"[0.7412748  0.26781847 0.         0.8874405  1.         0.23487341
 0.59969502 0.         1.         0.         0.         0.
 0.         0.         1.         0.         0.86479554 1.
 0.51166071 1.         0.         0.         0.         0.02805616
 0.23223848 0.17720864 0.8874405  0.         0.42389608 0.64215397
 0.80972525 0.74050827 0.00564348 0.06451127 0.04862191 0.59454464]"
6,"1,194,297",0.000000,0.142074,16/36 (44.44%),"[1.         0.99848179 0.         0.43357596 0.06340511 1.
 0.12897405 0.         0.         0.77702654 0.         0.71832359
 0.66953073 1.         0.20979331 1.         0.         0.
 0.29620683 0.         1.         0.         1.         1.
 0.         0.         1.         0.07849776 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.867761,19/36 (52.78%),"[1.         0.         0.09660345 0.71330522 1.         0.
 0.92384789 0.08787774 0.54647076 0.         0.         1.
 0.         0.         0.62255693 0.         0.         1.
 0.92003423 1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.96959168 0.         0.         1.        ]"
8,"1,217,965",1.000000,16.273744,11/36 (30.56%),"[0.35480368 0.51542347 1.         0.00346117 0.12528847 0.41846216
 1.         0.41073784 0.         1.         0.06371942 0.07226618
 1.         0.         0.         0.68059038 0.         0.
 0.         1.         1.         0.         0.80062499 0.9093796
 1.         0.         0.         0.43507125 0.36507706 0.15552768
 1.         0.         0.         1.         0.9093796  0.23034047]"
9,"1,253,849",0.000000,2.937423,20/36 (55.56%),"[0.11368816 1.         0.53142044 0.         0.         0.
 0.52947634 0.40838974 0.         0.         0.         1.
 0.53142044 0.11528854 0.         0.         0.         1.
 0.31746192 1.         0.         1.         1.         0.
 0.3709557  0.59668519 0.         0.         0.         1.
 0.49063548 0.10155181 1.         0.84475496 0.         1.        ]"
10,"1,317,605",2.000000,16.701236,8/36 (22.22%),"[4.34128314e-01 1.24229403e-02 2.63999905e-01 0.00000000e+00
 7.48969686e-03 6.51259781e-01 7.36011743e-03 7.83309901e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 9.59300689e-01
 1.91171958e-04 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 8.16287632e-02 5.45294422e-01 9.72053444e-01
 1.32731512e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.30927522e-01 1.67793076e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.17986336e-01 1.00000000e+00 7.06612344e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 2.30999454e-01]"
11,"1,332,159",1.000000,16.004891,11/36 (30.56%),"[0.1490201  0.66251296 0.68588924 0.         0.         0.
 0.18859008 0.         0.03181637 0.         1.         1.
 0.08205053 0.         0.58020514 1.         0.         0.
 0.         0.         0.         0.43618713 0.59275075 1.
 1.         0.04736611 1.         0.00277378 0.         0.30903976
 1.         0.0071227  0.66341487 0.         1.         1.        ]"
12,"1,341,844",0.000000,0.062930,19/36 (52.78%),"[0.73204025 0.         1.         1.         0.         1.
 0.94522034 0.32991388 0.         0.         0.         1.
 0.         0.66448067 0.5426441  0.08170507 0.         0.
 0.8221264  0.20460611 0.00788205 0.         1.         1.
 0.75223612 0.         0.64033845 0.6746946  0.         0.
 0.         0.02210978 0.         0.         1.         1.        ]"
13,"1,343,094",1.000000,15.891602,11/36 (30.56%),"[0.00000000e+00 1.99150989e-01 0.00000000e+00 1.42750071e-01
 6.21219707e-02 7.74408959e-01 1.00000000e+00 0.00000000e+00
 1.38163031e-03 8.93259493e-01 5.77822917e-04 1.00000000e+00
 1.00000000e+00 0.00000000e+00 3.29996148e-01 1.00000000e+00
 3.66141977e-01 0.00000000e+00 0.00000000e+00 6.75287509e-01
 6.59732018e-01 8.95100409e-03 9.25421524e-01 7.14805686e-01
 0.00000000e+00 0.00000000e+00 1.04334014e-01 0.00000000e+00
 3.58729762e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.40322524e-01 8.84659346e-01]"
14,"1,350,652",0.000000,0.462132,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         0.76797691 0.
 0.         1.         0.81907181 0.         0.78400287 0.07136493
 1.         0.         0.11929038 0.38707489 0.         0.92697973
 1.         0.         0.58007663 1.         0.15991311 0.68512617]"
15,"1,375,820",0.000000,0.013517,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,15.696167,16/36 (44.44%),"[0.         0.         0.92618798 0.59836256 0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         0.35658979 0.23443434 0.
 0.         0.         1.         0.         0.58643733 0.80498518
 0.         0.29182638 0.58998593 0.30003508 0.         0.
 1.         0.83420177 0.         0.65730646 0.72410336 0.        ]"
