Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.306613,23/36 (63.89%),"[0.65107419 0.         0.17951847 1.         0.71153862 0.3288071
 1.         0.         0.6419245  0.37428035 0.37798018 0.57772118
 0.         0.         0.58269946 0.         0.         0.60879412
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,18.929773,7/36 (19.44%),"[0.95403038 0.         0.         1.         1.         0.
 0.92659962 0.         1.         0.         0.         0.03528567
 0.38379658 0.24373114 1.         0.         0.         0.
 0.53841491 0.24621994 0.         0.29113501 1.         0.84456243
 0.89009862 0.         0.03282828 0.         0.15522969 0.08532853
 0.         0.10793809 0.94764563 1.         0.03860764 0.        ]"
3,"1,188,236",1.000000,18.905579,10/36 (27.78%),"[0.2949997  0.88916765 1.         0.         0.17732379 0.98841712
 0.61680261 0.         0.43680645 0.81568939 0.74503392 0.
 1.         0.         1.         0.1017394  0.03704154 0.2321194
 0.         0.         0.82893509 0.12797359 0.24918671 1.
 1.         1.         0.         0.41728638 0.         0.79169915
 0.         0.         0.         0.67135801 0.66036116 0.        ]"
4,"1,191,192",0.000000,0.015625,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.513458,9/36 (25.00%),"[0.56027475 0.         0.         1.         1.         0.12933958
 1.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.47832235 0.64283345
 0.9707176  0.81372198 0.         1.         0.4685147  0.03745421
 0.34199619 0.         0.         0.42897919 0.45756612 0.76965413
 0.8955356  0.58118415 0.016426   0.24072479 0.01018681 0.65657732]"
6,"1,194,297",1.000000,18.281881,16/36 (44.44%),"[0.10667642 1.         1.         0.         0.11180092 0.16853271
 0.45674612 0.17706874 0.         0.82420013 0.         0.44816358
 1.         0.71506031 0.01983596 0.66463284 0.         0.
 0.         0.         0.00598096 0.         1.         1.
 0.         0.         0.86120622 0.72529111 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,3.319185,19/36 (52.78%),"[0.61117921 0.         0.29626221 0.63483188 0.74403541 0.
 1.         0.         1.         0.04834544 0.         1.
 0.33856767 0.4244282  1.         0.         0.         1.
 1.         0.68952049 0.         1.         1.         0.
 0.30260524 0.3230231  1.         0.         0.         1.
 0.         0.         0.78251522 0.         0.         1.        ]"
8,"1,217,965",1.000000,19.089780,11/36 (30.56%),"[0.43765049 1.         1.         0.         0.         0.75048641
 0.93056851 0.         0.33405205 0.88245063 0.06708292 1.
 0.56397801 0.         0.         1.         0.         0.
 0.         1.         1.         0.         0.92376674 0.52040816
 1.         0.         0.         0.04469574 0.07851017 0.
 1.         0.         0.86659971 0.81722766 0.         0.        ]"
9,"1,253,849",0.000000,2.701250,20/36 (55.56%),"[0.37504996 0.50616401 0.75368495 0.         0.         0.
 0.69885889 0.33241521 0.         0.         0.         1.
 0.50623439 0.4443773  0.         0.         0.         1.
 0.13388652 0.92974758 0.         1.         1.         0.
 0.20600655 0.59182342 0.26510234 0.         0.         1.
 0.         0.48966867 1.         0.84036323 0.         1.        ]"
10,"1,317,605",1.000000,19.905567,8/36 (22.22%),"[0.         0.29637408 1.         0.87711855 0.31435364 0.6903225
 0.76748936 0.77214287 0.         0.02255192 0.         0.6502798
 0.         0.06441634 0.         0.74708051 0.         0.27209827
 0.60825338 1.         0.         0.         0.         0.83078453
 0.48645779 0.0675013  0.         1.         0.         0.53057199
 0.92804265 1.         0.         1.         0.         0.14293184]"
11,"1,332,159",0.000000,0.874312,11/36 (30.56%),"[0.         0.18702773 1.         0.88949929 0.         0.
 0.         0.01942823 0.         0.         1.         1.
 0.59116479 0.         1.         1.         0.         0.
 0.76485505 0.         0.         0.         0.66296675 1.
 0.         0.2956692  1.         0.54141413 0.         0.
 1.         0.81999108 0.31776395 0.34331702 0.7848786  0.87014288]"
12,"1,341,844",0.000000,0.062930,19/36 (52.78%),"[0.72470057 0.         1.         1.         0.         1.
 1.         0.00305325 0.         0.         0.         1.
 0.         1.         0.95852938 0.45170375 0.         0.
 1.         0.         0.         0.         1.         1.
 0.71512834 0.         1.         1.         0.         0.
 0.20776654 0.         0.06047195 0.         1.         1.        ]"
