Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,14.880200,23/36 (63.89%),"[0.0000 0.0000 1.0000 1.0000 0.0000 0.4435 1.0000 0.6248 0.0942 0.0000
 0.2185 0.8418 0.0000 0.0000 0.9143 0.0000 0.4775 0.9198 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",2.000000,16.908802,7/36 (19.44%),"[0.9281 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.1648 0.3167 0.0000
 0.0000 0.8849 0.4643 0.0000 0.0506 0.0000 0.0000 1.0000 0.7951 0.6887
 0.0000 0.8976 0.0000 0.0000 0.2394 0.0000 0.0000 1.0000 0.0634 1.0000
 1.0000 1.0000 0.0639 0.0000 0.0000 0.6562]"
3,"1,188,236",2.000000,15.313034,10/36 (27.78%),"[0.0000 0.8713 1.0000 0.0000 1.0000 0.9131 0.4752 0.0000 0.0000 0.0050
 0.0000 0.2076 0.0000 1.0000 1.0000 0.0000 0.0000 0.0443 0.0000 0.0000
 0.0000 0.1222 0.0000 1.0000 1.0000 1.0000 0.0000 0.1444 0.0000 0.8664
 0.0000 0.0000 1.0000 1.0000 0.0000 0.2443]"
4,"1,191,192",0.000000,0.022220,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",1.000000,16.017418,9/36 (25.00%),"[0.8928 0.2435 0.0000 0.8232 0.5783 0.1824 0.8770 0.0000 1.0000 0.0000
 0.0000 0.7083 0.1993 0.0000 1.0000 0.0000 0.0000 0.7146 0.8103 0.0154
 0.0000 1.0000 0.0518 0.0000 0.8996 0.3209 0.0000 0.4337 0.0243 0.8989
 0.0000 0.0218 0.6553 1.0000 0.1423 0.9331]"
6,"1,194,297",1.000000,14.950016,16/36 (44.44%),"[0.0000 1.0000 0.6596 0.2112 0.0000 0.0000 1.0000 0.0160 0.0000 0.1393
 1.0000 0.8820 1.0000 0.1629 1.0000 0.0802 0.0000 0.0000 0.0000 0.0000
 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.9895 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",0.000000,0.077516,19/36 (52.78%),"[1.0000 0.0000 0.4011 1.0000 0.9427 0.0000 1.0000 0.4141 1.0000 0.2839
 0.0000 1.0000 0.0000 0.0129 0.9202 0.0000 0.0000 1.0000 0.9556 1.0000
 0.0000 1.0000 1.0000 0.0000 0.1651 0.1822 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000]"
8,"1,217,965",2.000000,16.102828,11/36 (30.56%),"[0.0000 0.8524 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 0.1377 0.0000 1.0000 0.0000 0.0000 0.4251 1.0000 1.0000 0.0000 1.0000
 1.0000 0.0000 0.2928 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000
 1.0000 0.0000 1.0000 0.0176 0.0003 1.0000]"
9,"1,253,849",1.000000,13.481950,20/36 (55.56%),"[1.0000 1.0000 0.0689 0.0000 0.0000 0.0000 0.3636 0.3245 0.0000 0.0000
 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.1088 0.3512
 0.0000 1.0000 1.0000 0.0000 0.9684 0.8498 0.3103 0.0000 0.0000 1.0000
 0.2834 0.3029 0.0280 1.0000 0.0000 1.0000]"
10,"1,317,605",2.000000,15.853413,8/36 (22.22%),"[0.0000 0.6761 1.0000 0.0416 0.3754 1.0000 0.0000 0.3421 0.3804 0.1088
 0.0158 1.0000 0.9758 1.0000 0.0000 0.7388 0.9716 0.0000 0.0289 0.1225
 1.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 0.0920 0.0000 1.0000 0.0000 0.0000]"
