Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",1.000000,14.394492,23/36 (63.89%),"[0.         0.         1.         1.         0.         0.2844943
 1.         0.88214914 0.         0.         0.80294919 1.
 0.         0.         1.         0.         0.11797234 0.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,14.896947,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 1.         1.         0.         0.         0.         0.01878432
 0.         0.         0.         0.         0.         0.87236712
 0.         1.         1.         0.         0.         0.87236712
 0.         0.         0.         0.21394284 0.         0.
 1.         1.         0.06390716 0.63237383 0.87236712 0.13074885]"
3,"1,188,236",1.000000,15.722246,10/36 (27.78%),"[1.26785173e-01 1.00000000e+00 1.00000000e+00 0.00000000e+00
 4.29404280e-01 0.00000000e+00 5.85036876e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.42594074e-04 8.34575268e-01
 1.00000000e+00 2.84334745e-01 6.82914423e-02 0.00000000e+00
 0.00000000e+00 9.12984065e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 7.41244197e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 8.48208320e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00]"
4,"1,191,192",0.000000,0.018062,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,15.458802,9/36 (25.00%),"[1.         0.0736221  0.         1.         1.         0.
 0.90893886 0.         1.         0.         0.         0.76392495
 0.         0.         1.         0.         0.         0.78340054
 1.         0.         0.         1.         1.         0.
 1.         0.         1.         0.         0.         0.
 0.         0.         0.         0.7697065  0.84747165 0.        ]"
6,"1,194,297",1.000000,14.668236,16/36 (44.44%),"[0.         0.         1.         1.         0.         0.
 0.93562837 0.         0.         0.         1.         1.
 1.         0.         1.         1.         0.         0.
 0.         0.         0.         0.         1.         1.
 0.         0.         1.         0.90256752 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,13.868175,19/36 (52.78%),"[0.36339127 1.         0.         1.         0.13398106 0.
 0.         1.         0.         0.72038083 0.         1.
 0.         0.         0.         0.         0.         1.
 1.         1.         0.         1.         1.         0.
 0.07281865 0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,15.312194,11/36 (30.56%),"[0.         0.         1.         1.         0.         1.
 0.92022826 0.         0.         0.         0.03166669 1.
 1.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.
 1.         0.         0.         1.         0.75771907 0.
 1.         0.         0.99958659 0.         0.         0.        ]"
9,"1,253,849",0.000000,1.461017,20/36 (55.56%),"[0.         0.92278551 1.         0.         0.         0.
 1.         0.         0.         0.         0.         1.
 1.         0.01331667 0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.         1.         0.         0.         0.         1.
 0.         0.         1.         1.         0.         1.        ]"
10,"1,317,605",1.000000,15.893651,8/36 (22.22%),"[1.         1.         0.         0.         1.         0.9918765
 0.         0.         0.         0.9918765  0.         0.
 0.42790616 0.01261474 0.         0.81394906 0.         0.9918765
 0.         0.89358096 1.         0.         0.07929939 0.73941197
 0.         0.         0.         1.         0.         0.
 0.9918765  0.9918765  0.         1.         0.         0.27259668]"
