Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,12.306041,23/36 (63.89%),"[0.79788775 0.         0.         1.         0.79645171 0.
 1.         0.         0.81045586 0.         0.         0.54933086
 0.         0.         1.         0.         0.         1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,63.065015,7/36 (19.44%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.89590351e-01
 6.13232246e-01 0.00000000e+00 0.00000000e+00 2.66372141e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.14561456e-01 0.00000000e+00
 1.00000000e+00 8.90317758e-04 8.04881263e-01 8.89590351e-01
 0.00000000e+00 0.00000000e+00 8.64389086e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.15143983e-01 7.73266340e-01
 0.00000000e+00 8.89590351e-01 9.62925222e-01 0.00000000e+00]"
3,"1,188,236",1.000000,58.758776,10/36 (27.78%),"[1.         1.         0.         0.         0.         0.12206578
 0.         0.         0.         1.         0.94785575 0.
 0.94785575 1.         0.         0.         0.         0.94785575
 0.         0.         0.94785575 1.         0.         0.94785575
 1.         1.         0.         0.         0.         0.
 0.         0.         0.         0.07902082 0.94785575 1.        ]"
4,"1,191,192",0.000000,0.040478,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,55.539593,9/36 (25.00%),"[1.         1.         0.         0.         0.82123726 0.7163268
 0.         0.         1.         0.         0.         0.
 1.         0.         1.         0.         0.70756577 1.
 1.         0.         0.         0.04231956 0.         0.
 0.         0.         0.         0.         0.         0.
 1.         1.         0.         0.7163268  1.         0.        ]"
6,"1,194,297",1.000000,54.705473,16/36 (44.44%),"[0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.
 1.         0.96570886 0.         1.         0.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.         1.         0.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,6.640597,19/36 (52.78%),"[0.81138882 0.         0.         0.53440993 1.         0.
 0.94801479 0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.
 0.81138882 1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.55567957 0.         0.         1.        ]"
8,"1,217,965",1.000000,54.504385,11/36 (30.56%),"[0.         0.99252054 1.         0.         0.         0.
 0.93566486 0.         0.         0.91330258 0.         1.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         0.         1.
 1.         0.         0.         0.96737219 0.         0.96958478
 1.         0.         0.         1.         0.         0.        ]"
9,"1,253,849",0.000000,48.981517,20/36 (55.56%),"[0.03354905 1.         1.         0.         0.         0.
 1.         0.         0.         0.         0.         1.
 0.85601163 0.         0.         0.         0.         1.
 0.12231688 0.71978504 0.         1.         1.         0.
 0.         0.55425553 0.25536616 0.         0.         1.
 0.03294165 0.         0.93845387 0.54719095 0.         1.        ]"
10,"1,317,605",1.000000,57.772499,8/36 (22.22%),"[0.8287489  0.76830374 0.         1.         1.         0.
 0.         0.         0.36911568 0.         0.         0.78348133
 0.         0.         0.         1.         0.         0.65270999
 0.82902886 0.60472298 0.         0.         0.         0.
 0.         0.         0.         1.         0.         1.
 0.9928046  1.         0.         1.         0.         0.79362326]"
11,"1,332,159",1.000000,55.837253,11/36 (30.56%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.07761063e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.96564406e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.70563148e-01 8.08286229e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 2.89245153e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.29692925e-01 1.00000000e+00
 9.97176540e-05 0.00000000e+00 8.87414388e-01 8.35949946e-01]"
12,"1,341,844",1.000000,54.327913,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.         0.81723222 1.         0.         0.         0.
 0.50812861 0.         0.         0.         1.         1.
 0.17208334 0.         0.         0.34491963 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
13,"1,343,094",1.000000,56.452467,11/36 (30.56%),"[0.         0.88261081 0.         0.         1.         0.5135996
 1.         0.         1.         0.         0.         0.
 1.         0.         1.         0.         0.74273872 1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.88261081 0.98672663 0.         0.88261081
 1.         1.         0.         0.         0.         1.        ]"
14,"1,350,652",0.000000,9.380203,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         0.         0.         0.99028256
 1.         0.         1.         1.         0.         1.        ]"
15,"1,375,820",0.000000,0.039552,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",0.000000,5.653599,16/36 (44.44%),"[0.         0.         0.56195788 1.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.01170799 0.         1.
 1.         0.92683912 0.         1.         1.         0.        ]"
17,"1,454,003",0.000000,4.205662,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.97869537 0.69273238 0.         0.         0.
 0.94597619 0.         0.         0.         0.55921819 0.85815034
 1.         0.36363399 1.         1.         0.         0.
 0.         0.3828067  0.22878113 0.         0.78191981 0.94597619]"
18,"1,470,603",0.000000,0.037676,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",1.000000,55.794513,6/36 (16.67%),"[0.         0.         0.         0.         0.65948184 1.
 0.         0.88465153 0.5515835  0.         0.         0.
 1.         0.         0.11314193 0.88465153 0.88465153 0.
 1.         0.         1.         0.         0.08130188 0.274642
 0.         0.         1.         0.         0.         0.57180806
 1.         0.88465153 0.         0.         0.         1.        ]"
20,"1,505,558",1.000000,52.019298,7/36 (19.44%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 5.09860214e-01 1.00000000e+00
 0.00000000e+00 3.57927697e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.23610414e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.08691187e-01
 1.00000000e+00 2.42821016e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.39199345e-04 9.54954824e-01
 0.00000000e+00 9.54954824e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 7.41734026e-01 0.00000000e+00 1.00000000e+00]"
21,"1,554,862",2.000000,55.644763,7/36 (19.44%),"[0.00190885 0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.3012781
 0.62864646 0.         0.         1.         0.         0.
 0.         0.71160417 1.         0.         0.86208516 1.
 0.56863031 0.         0.         0.         0.39761113 0.
 1.         0.         0.86192072 1.         0.         0.80704631]"
22,"1,568,229",1.000000,47.803262,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.3136219
 1.         0.         0.         0.         0.         1.
 0.         0.         0.         1.         0.         1.
 0.         0.         0.19772503 0.65591378 0.         0.
 1.         1.         0.         0.         0.27591225 0.
 0.         0.         0.         0.         1.         0.75463349]"
23,"1,589,978",0.000000,1.201235,20/36 (55.56%),"[1.         0.         0.         0.9283484  1.         0.34002209
 1.         0.         0.         0.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         0.96134667 0.00997088 1.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.9754752  0.         1.         1.         0.         0.        ]"
24,"1,605,903",1.000000,50.908843,8/36 (22.22%),"[0.85052048 1.         0.         1.         0.85052048 0.
 0.         0.         0.         0.         0.         0.
 1.         0.         1.         0.84932989 0.         0.
 1.         0.         0.         0.         0.         0.85052048
 0.         0.80639925 0.88496655 0.         0.         1.
 0.         0.02829684 0.         0.9507872  0.75946418 0.        ]"
