Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.189196,23/36 (63.89%),"[0.6074797  0.         0.30619715 0.73537667 0.62508511 0.
 1.         0.35719315 0.53498585 0.40557004 0.35435463 0.52011945
 0.         0.         1.         0.         0.30299122 0.81084791
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,21.631760,7/36 (19.44%),"[0.1095639  0.         0.         1.         1.         0.
 0.10890567 0.84499258 0.57017161 0.         0.         0.58373264
 1.         0.44793065 0.         0.54724922 0.56810488 0.46108382
 0.78239544 0.35926781 0.41198709 0.         0.35693379 0.
 0.15702189 0.6099768  0.03903675 0.55029648 0.         0.06187475
 0.34939148 0.56247521 0.17378432 0.94232848 0.46439085 0.41393271]"
3,"1,188,236",1.000000,21.116874,10/36 (27.78%),"[0.48977397 0.50988945 0.57649756 0.         0.88318482 0.00297443
 0.15014716 0.         0.49353314 0.68016787 0.41728128 0.73394049
 0.99888865 0.57315689 0.31991873 0.50791033 0.29219344 0.8500083
 0.         0.         0.34764806 0.06473111 0.17636757 0.40418069
 1.         1.         0.         0.35788821 0.         0.86637891
 0.         0.         0.84278495 0.93704224 0.47799874 0.97091472]"
4,"1,191,192",0.000000,0.015624,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,21.439223,9/36 (25.00%),"[5.50877945e-01 0.00000000e+00 0.00000000e+00 9.98227956e-01
 9.61692660e-01 4.91467149e-01 6.85735993e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 6.44931568e-04
 2.92937643e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 9.08275199e-01 5.91206358e-01 7.27931678e-01 5.07210510e-01
 0.00000000e+00 6.17711468e-02 4.30542802e-01 4.54451592e-01
 3.48764547e-01 8.87216049e-03 4.38828503e-01 5.95067165e-01
 8.63985836e-01 3.05823381e-01 2.98861342e-01 6.22543795e-01
 7.55390233e-01 4.67410610e-01 3.08220165e-01 0.00000000e+00]"
6,"1,194,297",1.000000,20.023349,16/36 (44.44%),"[0.3749371  0.75327366 1.         0.47067979 0.         0.42129166
 0.26739019 0.39069159 0.34225463 0.         1.         0.98237891
 1.         0.55924025 0.47058313 0.72252349 0.         0.
 0.472086   0.         0.56181958 0.         1.         1.
 0.         0.         0.80607698 0.45291844 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,18.906455,19/36 (52.78%),"[0.76101817 0.1515973  0.         0.51574062 0.48270063 0.
 0.85934003 0.18994406 0.01955338 1.         0.         1.
 0.32391012 0.32207887 0.39237342 0.         0.         1.
 0.6573708  1.         0.         1.         1.         0.
 0.0102586  0.29846086 1.         0.         0.         1.
 0.         0.         0.84935908 0.         0.         1.        ]"
8,"1,217,965",1.000000,20.763956,11/36 (30.56%),"[0.08759915 0.28139171 0.5433254  0.87122029 0.34504483 1.
 0.52387291 0.62656383 0.36697394 0.         0.47604579 0.65527832
 0.         0.         0.         1.         0.98805907 0.11185814
 0.         1.         1.         0.         0.40463993 0.43261175
 1.         0.         0.         0.14533849 0.70624675 0.57871131
 1.         0.         0.54532396 0.637292   0.03832198 0.16615338]"
9,"1,253,849",0.000000,0.984377,20/36 (55.56%),"[0.36241015 0.57677664 0.9878768  0.         0.         0.
 0.5522065  0.02901729 0.         0.         0.         1.
 0.60676749 0.40335485 0.         0.         0.         1.
 0.37910485 0.58314415 0.         1.         1.         0.
 0.38971817 1.         0.         0.         0.         1.
 0.         0.20415924 0.69245226 0.64988938 0.         1.        ]"
10,"1,317,605",2.000000,21.833962,8/36 (22.22%),"[0.28206913 0.50399808 0.27007565 0.69388642 0.83019883 0.21901881
 0.31175412 0.81844834 0.47197783 0.34853741 0.40525081 0.62287191
 0.56569663 0.23960521 0.         0.50974273 1.         0.38489719
 0.1884333  0.50085385 0.70952571 0.         0.         0.48762675
 0.11690137 0.41646221 0.         1.         0.         0.07325556
 0.54614334 0.85250837 0.         1.         0.         0.        ]"
11,"1,332,159",1.000000,21.062479,11/36 (30.56%),"[0.05019219 0.84439705 0.32932726 0.72825747 0.         0.
 0.21992303 0.92951148 0.00194855 0.         1.         1.
 0.3779882  0.28775353 0.8198098  1.         0.         0.
 1.         0.42549551 0.         0.17756076 0.54491791 1.
 0.         0.15937493 0.57313101 1.         0.         0.40493562
 0.94306851 0.6781305  0.36009934 0.49275536 0.63835637 1.        ]"
12,"1,341,844",0.000000,1.932711,19/36 (52.78%),"[0.6092596  0.         1.         1.         0.         1.
 0.72180487 0.28012663 0.         0.         0.         1.
 0.36638435 0.72840926 0.76832532 0.         0.         0.
 0.5401987  0.40023564 0.15478929 0.         1.         1.
 0.83080773 0.45017684 0.87526049 0.56222674 0.         0.
 0.30073368 0.         0.31016417 0.         1.         1.        ]"
13,"1,343,094",1.000000,20.544886,11/36 (30.56%),"[0.         0.23204882 0.13668666 0.29825758 0.50378908 0.79518029
 1.         0.         0.76129076 0.72059889 0.44613306 0.33498581
 1.         0.         0.37722751 0.48465407 0.76297969 0.64729573
 0.         0.70078455 1.         0.00118767 0.4177637  0.01947365
 0.         0.         0.43659159 0.47660322 0.         0.64044347
 1.         1.         0.         0.35100333 0.         1.        ]"
14,"1,350,652",0.000000,0.203990,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.36048506 0.         0.5374703  0.
 0.         0.53289291 0.72334067 0.         0.51994645 0.34190538
 1.         0.         0.38728293 0.         0.         0.54036676
 1.         0.         1.         0.65010582 0.07727691 1.        ]"
15,"1,375,820",0.000000,0.020421,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",0.000000,16.734454,16/36 (44.44%),"[0.         0.         1.         0.67390075 0.         1.
 0.         1.         0.         0.49335994 0.         1.
 0.         1.         0.         1.         0.68229597 0.
 0.         0.         0.63934759 0.         0.0510965  0.51375678
 0.         0.         0.8162268  0.04493698 0.27377875 1.
 1.         0.55163592 0.01544408 1.         1.         0.02891741]"
17,"1,454,003",1.000000,18.956079,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.78094546 0.46008237 0.         0.         0.63615847
 0.36736535 0.86212572 0.4770091  0.26420446 0.42726445 0.77411784
 0.41389679 0.21199509 0.31493344 0.77490736 0.         0.33891831
 0.63313341 0.51815171 0.27743396 0.62550865 0.09635529 0.16314043]"
18,"1,470,603",0.000000,0.014075,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,21.837176,6/36 (16.67%),"[0.24608845 0.60804748 0.43303214 0.46863889 0.42825161 0.11822833
 0.         1.         0.27462341 0.62198449 0.         0.10973144
 1.         0.         0.18222243 0.62458563 0.16182044 0.56827333
 1.         0.         0.56101693 0.33361568 0.1905701  0.72865605
 0.         0.99419635 0.46262076 0.00893969 0.55006383 0.22215381
 0.13764577 0.73459383 0.42878171 0.3433214  0.91215941 0.        ]"
20,"1,505,558",1.000000,22.173604,7/36 (19.44%),"[3.62071466e-01 0.00000000e+00 7.96888755e-01 6.91052566e-01
 0.00000000e+00 6.77989948e-01 5.02186562e-02 6.78175252e-01
 4.20326930e-01 7.04767851e-02 5.52860755e-01 3.13622472e-03
 5.71395381e-01 3.55732743e-01 5.36103723e-01 2.75034417e-01
 7.43278189e-01 0.00000000e+00 7.40824835e-01 2.76178802e-01
 9.45744436e-01 1.27890304e-01 3.03207897e-04 6.75440429e-01
 0.00000000e+00 0.00000000e+00 4.15438448e-01 1.86527894e-01
 0.00000000e+00 9.17074955e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 7.11848233e-01 9.89862965e-01 2.72052782e-02]"
21,"1,554,862",2.000000,21.560124,7/36 (19.44%),"[0.19250912 0.86980625 0.         1.         1.         0.
 0.4735328  0.6640391  0.         0.         0.         0.45885968
 0.06431241 0.17325133 0.         0.3739037  0.52053121 0.90866389
 0.29228145 0.         0.59963929 1.         0.         0.34500791
 0.54382751 0.         0.3714842  0.25090024 0.0519449  0.38876457
 0.64986664 0.1975191  0.57225943 0.99545838 0.36690709 0.50561414]"
22,"1,568,229",1.000000,19.130922,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.48124083
 1.         0.         0.         0.         0.7860565  0.38129812
 0.         0.26843864 0.         0.33178075 0.5607163  0.41905046
 0.         0.         0.08278464 0.28731851 0.         0.4417535
 1.         1.         0.         0.62564458 0.4672195  0.66368426
 0.         0.         0.20329435 0.66605803 0.2312443  1.        ]"
23,"1,589,978",0.000000,17.299656,20/36 (55.56%),"[1.         0.         0.45235086 0.54883819 1.         0.22283012
 1.         0.         0.31412149 0.06541279 0.         0.64206679
 0.         0.65615843 0.         0.59702258 0.3439406  1.
 0.48972723 0.58621144 0.34883067 1.         0.         0.
 0.90564113 0.46770864 0.         0.         1.         1.
 0.77352852 0.         1.         1.         0.         0.        ]"
24,"1,605,903",1.000000,21.938244,8/36 (22.22%),"[0.86832236 0.65542428 0.13787137 0.48317195 0.50271477 0.2348006
 0.         0.16215623 0.58070429 0.1635405  0.52085279 0.29963507
 1.         0.         1.         0.23597079 0.38683688 0.
 1.         0.         0.27085671 0.09450702 0.38507395 0.59769446
 0.         0.65254363 0.81909143 0.         0.         0.69977493
 0.26217073 0.20739502 0.13259914 0.60146576 0.76807234 0.4280933 ]"
25,"1,611,457",1.000000,19.825498,18/36 (50.00%),"[1.         0.         0.88107132 0.         0.         0.32514563
 1.         0.         1.         0.46571391 0.         0.28901199
 0.         1.         0.         0.6891552  0.         0.43010496
 0.         1.         0.         0.00241466 0.58018114 0.53637771
 1.         0.         1.         0.         0.47691006 0.05874069
 1.         0.         1.         0.26313761 0.69851599 0.72000202]"
26,"1,615,209",1.000000,20.688862,9/36 (25.00%),"[0.55254987 0.07120845 0.         0.98577203 0.49823817 0.97746479
 0.68671624 0.15478908 0.47841522 0.44584643 0.41596382 0.67098432
 0.22478812 0.02142565 0.00442218 0.98412173 0.78862734 0.
 0.67264752 1.         0.20203347 0.35955736 0.         0.
 0.07210464 0.35829021 0.35550678 0.         1.         0.
 0.39094761 1.         0.56360188 0.         1.         0.        ]"
27,"1,700,818",0.000000,0.047287,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 1.         0.44903101 0.         1.         0.         0.
 0.69398999 0.48238416 0.57843375 0.         0.         0.
 0.02316475 0.42665134 0.8414411  0.         1.         1.
 0.60173898 0.93221328 0.00743625 0.4568468  0.         0.        ]"
28,"1,744,893",1.000000,19.080493,18/36 (50.00%),"[0.16155799 1.         0.61100433 0.1011147  0.56163262 0.55542506
 0.84621793 0.40415753 0.41342683 0.08805285 0.27831851 0.38389997
 0.77093383 0.         0.         0.         1.         0.87689917
 0.         1.         1.         0.         0.         0.46208028
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
